Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0151c36b94d654ae2ec0ae5d5693c45376258e4c,Jan,2021,auto,hold,Westwood,707.6859504132232,773.603305785124,715.7520661157025,0.0,True,False,False
01a0d7a563a1755d37bb856a01a56e452deb2010,Jan,2021,auto,hold,Olathe,684.5454545454545,752.8181818181819,688.2727272727273,30.0,False,False,False
025930004d65aaf19f60218f21b8f8e00a13f923,Jan,2021,heat,hold,Manhattan,701.7962962962963,711.1111111111111,711.1111111111111,0.0,False,False,False
025ec7c58b524de74d8986f4896917c31052701a,Jan,2021,auto,hold,Overland Park,676.03194765204,730.0,670.0,5.0,False,False,True
040d6c9344f910f2b175c7c92f64603273763d40,Jan,2021,heat,hold,Lawrence,736.3844086021505,740.3198924731183,740.3440860215054,20.0,False,False,False
050b44b61d052cae8d52e817cc0f2bb78bb91535,Jan,2021,auto,hold,Overland Park,703.1288659793814,767.4587628865979,693.5360824742268,55.0,False,False,False
053f08cf425de6461b017d70d840886d55428505,Jan,2021,heat,hold,Paola,662.9515814135103,667.269035532995,667.1538461538462,59.0,False,False,False
05690c952f81cab7baedcdbbb308b5acfd087908,Jan,2021,heat,hold,Valley Center,730.3103448275862,730.0,730.0,0.0,False,False,False
057ea86165735e3718ed1812b7017bca93e40d24,Jan,2021,heat,hold,Olathe,735.8064171122994,738.6470588235294,738.5732620320856,0.0,False,False,False
05fecbb5bdf6954f8c9e276a775864b470487ec9,Jan,2021,heat,hold,Lenexa,695.2045454545455,697.5568181818181,695.1886363636364,39.0,False,False,False
06c8b9ba9c4150204fe9ce20f748f175375d1a27,Jan,2021,auto,hold,Lawrence,725.9701492537314,779.310447761194,727.8805970149253,25.0,False,False,False
075b62cd783d248ed03b42acca748423acadea6f,Jan,2021,heat,hold,Wichita,686.4704,688.632,688.632,60.0,False,False,False
084de11308d3d8abbb83ac0ce159d35bc7514e11,Jan,2021,auto,hold,Wichita,674.1527777777778,740.0,676.6666666666666,20.0,False,False,False
094835bf52d59cab4862d0be55adaf076cdbade1,Jan,2021,heat,hold,Manhattan,678.6063651591289,676.5837520938023,676.5837520938023,15.0,False,False,False
0a0c921c64075a99634bba944268509634f3db59,Jan,2021,auto,hold,Mission,693.25,752.0,702.0,79.0,False,False,False
0a0c921c64075a99634bba944268509634f3db59,Jan,2021,heat,hold,Mission,716.3,727.1428571428571,727.1428571428571,79.0,False,False,False
0a67e15ce820d5a14826dcac5d177901b239b093,Jan,2021,auto,hold,Olathe,638.3823529411765,760.0,640.0,20.0,False,False,False
0c0f153a1d88e4a3d6ca7225ab0adae23f335e2b,Jan,2021,auto,hold,Washington,718.3511904761905,789.4107142857143,722.7142857142857,45.0,False,False,False
0d272d92755b070012671046e9a402b99d708651,Jan,2021,heat,hold,Augusta,684.5,703.875,703.5,48.0,False,False,False
0d56992879eec1060a4e51785c404a946c6fec67,Jan,2021,auto,hold,Derby,672.1518218623481,727.1619433198381,674.0445344129555,0.0,False,False,False
0df67c652a9c4ac6231a01f431e132497f04a552,Jan,2021,heat,hold,Lenexa,695.5714285714286,700.0,700.0,59.0,True,False,False
0eca67cf200de5b4d02589a471f886c9e9a82611,Jan,2021,heat,hold,Olathe,691.8971962616822,693.6366822429907,692.8130841121496,19.0,True,False,False
0f212b2e408b4cf65d1aa438c5b3a4206d060ad2,Jan,2021,auto,hold,Holton,719.304347826087,800.4347826086956,726.9565217391304,17.0,False,False,False
0fa3af1b5e4e3ffcdc7834fdd41157c6951bff55,Jan,2021,heat,hold,Leawood,683.3011527377522,686.217939481268,686.217939481268,27.0,False,False,False
104487d3381ecbcc4ec82cf2df59eb2f0641e3a2,Jan,2021,auto,hold,Liberal,669.9864864864865,780.0,701.081081081081,77.0,False,False,False
1064b7ae6c4f1f7b2048cab9a5d31951ebc1f0b4,Jan,2021,heat,hold,Pratt,752.843373493976,759.6024096385543,759.5903614457832,50.0,True,False,False
106e480c80d2b010a6d6ae41bcf0c44c31c56fa1,Jan,2021,heat,hold,Wichita,721.6877470355731,720.2322134387351,720.205533596838,19.0,False,False,False
141516a35237e2490e07f491a7fa7843690dcf09,Jan,2021,heat,hold,Olathe,679.5428571428571,683.9428571428572,682.6571428571428,20.0,False,False,False
154fd9684671c1f7bf152428154034b8f627ce0f,Jan,2021,heat,hold,Leawood,721.8709677419355,724.4677419354839,724.516129032258,0.0,False,False,True
156d5b478eef9e68f665fd0870c6af83b08af1fb,Jan,2021,auto,hold,Lenexa,678.1352201257862,745.2830188679245,682.6194968553459,45.0,False,False,False
15796a4f2f2fb2c5c27309e27bea9d614bda1184,Jan,2021,heat,hold,Wichita,652.9930555555555,652.9166666666666,652.9166666666666,69.0,False,False,False
16bb36055c8cd2154563b4e298a5b829ef03b2d3,Jan,2021,auto,hold,Mission Hills,658.0994397759104,738.0672268907563,644.0336134453781,0.0,False,False,False
174b9f44e57e89cded7928e5ede3068702ad2b78,Jan,2021,auto,hold,Olathe,700.5777777777778,746.0,695.8666666666667,20.0,True,False,False
1782d4f95ece46d0ff87a9ffa44d0137338b7181,Jan,2021,heat,hold,Spring Hill,691.1333333333333,700.0,700.0,57.0,True,False,False
17a4fafdbe5477ccb91c4a1eed234598658b6609,Jan,2021,auto,hold,Wichita,718.7972972972973,773.1081081081081,723.1081081081081,19.0,False,False,True
17d7754da7f018c551fc2e60ff5ce9a860d1a780,Jan,2021,auto,hold,Chanute,676.0382546323968,786.3837417812313,678.4497907949791,15.0,False,False,False
17df8921a8951cc206b08bd2fe530f6458037168,Jan,2021,heat,hold,Kansas City,705.45,715.75,712.75,55.0,False,False,False
185f3ce45777d71f032a8dbd83a2146a7aee3755,Jan,2021,auto,hold,manhattan,703.75,758.7916666666666,708.7916666666666,9.0,False,False,False
1902dc7d6f00c525a2249420d56d43aa4b942898,Jan,2021,heat,hold,Shawnee,709.1935483870968,710.796370967742,710.796370967742,0.0,False,False,False
1a9ce9cc62b8075dec3c80a0419d3ee7b8a3f66c,Jan,2021,heat,hold,Wichita,716.309543918919,719.5494087837837,719.5494087837837,10.0,False,False,False
1ae0f65ec0efde2b4cacd36d2af4c127c431e18f,Jan,2021,heat,hold,Shawnee,695.0416666666666,700.0,700.0,50.0,False,False,False
1b7457700279f2e60f6fee06661514ed25a71698,Jan,2021,heat,hold,Junction City,691.5983146067416,693.314606741573,692.8258426966293,60.0,False,False,False
1c356613eaaf3fc0b962564a09559a4f50b13b34,Jan,2021,heat,hold,Olathe,690.0714285714286,720.0,720.0,5.0,False,False,True
1d4cefa6526dc73ab61a7edf7b0d7470963cdcb0,Jan,2021,auto,hold,Andover,715.3539325842696,790.0,720.0,25.0,False,False,False
1d5127d551c44780301313ce717ac4c9dfea79a8,Jan,2021,heat,hold,Mission,686.25,700.625,700.0,40.0,False,False,False
1da193ff7da96117a4e1fe2505e67602ba32632c,Jan,2021,auto,hold,Wichita,723.3736007462686,759.598880597015,725.4095149253732,76.0,False,False,False
1da193ff7da96117a4e1fe2505e67602ba32632c,Jan,2021,heat,hold,Wichita,727.624808575804,731.5980091883614,731.5980091883614,76.0,False,False,False
1e312cdf89cce26c29cb07a47a4a9bf5a6817165,Jan,2021,heat,hold,Wichita,678.375,683.1666666666666,680.375,20.0,False,False,False
1e7a5f11e02a849c397463b4b57e7810197ff7be,Jan,2021,heat,hold,Wichita,638.8095238095239,651.9378881987577,642.1242236024844,80.0,False,False,False
1f0f4d52cb48b8f2d6a38535e8e1c7e81ea7f4a2,Jan,2021,auto,hold,Overland Park,731.114224137931,805.4418103448276,740.0948275862069,19.0,False,False,False
1f9e322ff47c7137dfff9231e89f430b9825064d,Jan,2021,heat,hold,Lenexa,726.6481481481482,730.0,730.0,50.0,False,False,False
201da5e664b8889dc3e6f82d4f2e971cc878ebae,Jan,2021,heat,hold,Wichita,689.4443765281173,692.1369193154035,692.1369193154035,40.0,False,False,False
20874e42a6d5777225900bd2579daa24f2e468ff,Jan,2021,heat,hold,Shawnee,697.3157894736842,701.6315789473684,700.4736842105264,20.0,False,False,False
20c2e3d15e88cd6b7fb70d2f4eb9a3cf522fc913,Jan,2021,auto,hold,Mission Hills,671.930407523511,760.4388714733542,674.7818181818182,0.0,False,False,False
2110e28976f848c3d0015a1d4ad4e37e3b955785,Jan,2021,auto,hold,Mission,683.6416184971098,750.0,690.0,29.0,False,False,False
2110e28976f848c3d0015a1d4ad4e37e3b955785,Jan,2021,heat,hold,Mission,692.4360189573459,700.0094786729858,699.9905213270142,29.0,False,False,False
2136e51bf86f2711a682597f83000f2342247800,Jan,2021,heat,hold,Lenexa,688.9565217391304,690.0,690.0,25.0,False,False,False
22b4521abfabb3ecc25afbd9bd0a622a08d879f5,Jan,2021,heat,hold,Olathe,680.8698630136986,684.0871385083714,684.0871385083714,0.0,False,False,False
22badbccfdc4b0dcd0b420f342a63a9855dbd445,Jan,2021,heat,hold,Wichita,694.5272727272727,693.9558441558441,693.9558441558441,9.0,True,False,False
2484c5f705acdb31a4ffb35cd6b404464b8799ed,Jan,2021,auto,hold,Mission,674.3125,730.0,679.9375,67.0,False,False,False
249f764feab7d56209624bd2522767b4d22ac961,Jan,2021,heat,hold,Shawnee,678.8817934782609,674.7826086956521,673.2336956521739,20.0,False,False,False
264738cd882534aa2fc9a938faa8126f5ae5816e,Jan,2021,heat,hold,Olathe,659.8421052631579,660.0,660.0,5.0,False,False,False
26aad5597ae27b272eb161825a68d4e0d4d29013,Jan,2021,heat,hold,Leawood,681.7675585284281,670.0802675585285,670.0802675585285,10.0,False,False,False
2823cfa667a43cb5cd5454eda1a8fa480fc8279d,Jan,2021,heat,hold,Overland Park,714.4380403458214,721.550432276657,721.550432276657,20.0,True,False,False
2baf96c86b32a63217e7771b6eb6da95ff499ecc,Jan,2021,heat,hold,Overland Park,700.7533425541724,704.2157676348547,704.2157676348547,55.0,False,False,False
2e438407a276d85b875443212eccf578fe27da49,Jan,2021,heat,hold,Spring Hill,670.5,740.0,690.0,10.0,False,False,False
2e940cf4e46b3f2db33c21ab2e04eb36313b6234,Jan,2021,auto,hold,Kansas City,636.5275229357799,740.0,645.0,87.0,False,False,True
3056a68cd220fd620ffceda92224592d98dc4fad,Jan,2021,heat,hold,Olathe,721.3055555555555,724.1176470588235,724.1176470588235,70.0,False,False,False
31383d9f5e2df37eef682e8433e08fc1e643590e,Jan,2021,auto,hold,Hutchinson,688.375,750.0,690.0,15.0,False,False,False
322f33dc68acb558588f19670210384307657631,Jan,2021,auto,hold,Wichita,708.0468670402445,800.0,710.0,20.0,False,False,True
329d7248c00dc9a96baadedfa8286bc673a0058f,Jan,2021,heat,hold,Olathe,717.6655913978494,720.6451612903226,720.6451612903226,15.0,False,False,False
33d463793fcf96e68f5fd8a386f94693e9d4b253,Jan,2021,auto,hold,Goddard,654.9649122807018,755.1359649122807,655.5431286549708,10.0,False,False,False
3413f75e3c8bac619706e36889813b559a40e932,Jan,2021,heat,hold,Manhattan,660.9375,806.0,662.0,39.0,True,False,False
34c6767a1aa9a714ba52706e3891b422ac7df5b9,Jan,2021,heat,hold,Wichita,684.6666666666666,700.0,678.3333333333334,25.0,False,False,False
34e4cb725efec77c2425263d74ba6a926dd2ed03,Jan,2021,heat,hold,Lenexa,737.6452483801296,740.0,740.0,15.0,False,False,False
