Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00d2d0e5e17f6dc9a19aa132916fdc6ddacb983e,jun,2017,cool,hold,Fairway,760.7826086956521,736.8695652173913,736.1739130434783,80.0,False,False,False
01a0d7a563a1755d37bb856a01a56e452deb2010,jun,2017,auto,hold,Olathe,749.5536565977742,754.137519872814,677.127186009539,30.0,False,False,False
025ec7c58b524de74d8986f4896917c31052701a,jun,2017,cool,hold,Overland Park,721.4198198198198,720.0096096096096,719.9663663663664,5.0,False,False,True
0448b121ebca96144ab5e5feb5ab88942e98de42,jun,2017,cool,auto,Olathe,740.900826446281,750.0,700.0,10.0,False,False,False
0448b121ebca96144ab5e5feb5ab88942e98de42,jun,2017,cool,hold,Olathe,743.6458333333334,750.0,749.3125,10.0,False,False,False
050b44b61d052cae8d52e817cc0f2bb78bb91535,jun,2017,auto,auto,Overland Park,745.1681681681682,778.5825825825826,657.927927927928,55.0,False,False,False
050b44b61d052cae8d52e817cc0f2bb78bb91535,jun,2017,auto,hold,Overland Park,730.4285714285714,744.9047619047619,669.047619047619,55.0,False,False,False
050b44b61d052cae8d52e817cc0f2bb78bb91535,jun,2017,cool,auto,Overland Park,734.5049504950495,736.1980198019802,687.7425742574258,55.0,False,False,False
050b44b61d052cae8d52e817cc0f2bb78bb91535,jun,2017,cool,hold,Overland Park,731.5765765765766,731.8738738738739,730.9099099099099,55.0,False,False,False
05690c952f81cab7baedcdbbb308b5acfd087908,jun,2017,cool,hold,Valley Center,734.918918918919,733.3108108108108,732.7432432432432,0.0,False,False,False
05cbf471d47f7abcdd01918a83328d8e91aef891,jun,2017,auto,hold,Overland Park,754.6875,760.0,685.0,50.0,False,False,False
084de11308d3d8abbb83ac0ce159d35bc7514e11,jun,2017,auto,auto,Wichita,738.6451612903226,738.6774193548387,650.0,20.0,False,False,False
084de11308d3d8abbb83ac0ce159d35bc7514e11,jun,2017,auto,hold,Wichita,725.9004149377594,729.3900414937759,650.0,20.0,False,False,False
09184ecc6e1675768e04d509bb54e5fc73cf59a4,jun,2017,auto,auto,Olathe,722.2549019607843,717.0588235294117,667.0588235294117,40.0,False,False,False
0c0f153a1d88e4a3d6ca7225ab0adae23f335e2b,jun,2017,cool,hold,Washington,745.1333333333333,749.9777777777778,739.9555555555555,45.0,False,False,False
0c5705bfc89c8f5f474eed93f7af8f2e1940d807,jun,2017,auto,hold,Goddard,793.5,746.0,713.0,80.0,False,False,True
0c5705bfc89c8f5f474eed93f7af8f2e1940d807,jun,2017,cool,auto,Goddard,742.9388145315487,747.8824091778203,742.5172084130019,80.0,False,False,True
0c5705bfc89c8f5f474eed93f7af8f2e1940d807,jun,2017,cool,hold,Goddard,745.5488958990536,751.8906414300736,751.7413249211356,80.0,False,False,True
0cb9cd3a3523d733fbba2a587127efacb610a225,jun,2017,cool,hold,Overland Park,709.1487603305785,706.2809917355372,690.5785123966942,55.0,True,False,False
0f212b2e408b4cf65d1aa438c5b3a4206d060ad2,jun,2017,auto,auto,Holton,751.7916666666666,750.0,680.0,17.0,False,False,False
0f212b2e408b4cf65d1aa438c5b3a4206d060ad2,jun,2017,auto,hold,Holton,758.1901960784314,760.0,680.0,17.0,False,False,False
104487d3381ecbcc4ec82cf2df59eb2f0641e3a2,jun,2017,auto,hold,Liberal,722.1848958333334,735.8932291666666,630.0,77.0,False,False,False
1064b7ae6c4f1f7b2048cab9a5d31951ebc1f0b4,jun,2017,auto,auto,Pratt,762.5227272727273,760.0,710.0,50.0,True,False,False
1064b7ae6c4f1f7b2048cab9a5d31951ebc1f0b4,jun,2017,auto,hold,Pratt,748.0384615384615,740.0,690.0,50.0,True,False,False
10fbae5fef4a2c56f7569213198403ae279d80a3,jun,2017,cool,auto,Olathe,710.8269230769231,712.6298076923077,703.0288461538462,40.0,False,False,False
10fbae5fef4a2c56f7569213198403ae279d80a3,jun,2017,cool,hold,Olathe,711.3493530499076,712.09426987061,712.0887245841035,40.0,False,False,False
140220e967676847166978e3cc645831b06b5ec1,jun,2017,cool,hold,Topeka,748.575,755.0,755.0,0.0,False,False,False
141516a35237e2490e07f491a7fa7843690dcf09,jun,2017,cool,auto,Olathe,739.0133333333333,729.88,690.12,20.0,False,False,False
141516a35237e2490e07f491a7fa7843690dcf09,jun,2017,cool,hold,Olathe,726.4857142857143,715.7142857142857,715.7142857142857,20.0,False,False,False
15222a54c736fa3d33d2827d03357994c08fad36,jun,2017,auto,auto,LENEXA,743.625,720.875,669.625,5.0,False,False,False
154fd9684671c1f7bf152428154034b8f627ce0f,jun,2017,auto,hold,Leawood,733.5729166666666,750.0,670.0,0.0,False,False,True
154fd9684671c1f7bf152428154034b8f627ce0f,jun,2017,cool,hold,Leawood,713.5618926911702,712.5855513307985,712.5855513307985,0.0,False,False,True
1588976fe582bd5ca334ab6f7cd287ccd5eee254,jun,2017,cool,hold,Olathe,728.2817574021012,733.6198662846227,733.585482330468,5.0,False,False,False
17df8921a8951cc206b08bd2fe530f6458037168,jun,2017,cool,auto,Kansas City,701.0,690.1111111111111,690.0,55.0,False,False,False
17df8921a8951cc206b08bd2fe530f6458037168,jun,2017,cool,hold,Kansas City,688.0,702.5,682.5,55.0,False,False,False
1902dc7d6f00c525a2249420d56d43aa4b942898,jun,2017,cool,auto,Shawnee,688.6923076923077,681.8076923076923,679.7884615384615,0.0,False,False,False
1902dc7d6f00c525a2249420d56d43aa4b942898,jun,2017,cool,hold,Shawnee,698.4421052631579,692.7561403508772,692.7561403508772,0.0,False,False,False
1b7457700279f2e60f6fee06661514ed25a71698,jun,2017,cool,auto,Junction City,726.2037516170764,703.5485122897801,666.300129366106,60.0,False,False,False
1b7457700279f2e60f6fee06661514ed25a71698,jun,2017,cool,hold,Junction City,740.8348623853211,742.1957186544342,739.0764525993884,60.0,False,False,False
1d4cefa6526dc73ab61a7edf7b0d7470963cdcb0,jun,2017,auto,hold,Andover,746.3333333333334,752.3333333333334,702.3333333333334,25.0,False,False,False
1d5127d551c44780301313ce717ac4c9dfea79a8,jun,2017,cool,auto,Mission,721.1176470588235,697.7254901960785,710.5980392156863,40.0,False,False,False
1da193ff7da96117a4e1fe2505e67602ba32632c,jun,2017,auto,hold,Wichita,739.4545454545455,740.0,680.0,76.0,False,False,False
2016bd5820ebf4f102da8d6d3851285746dc3ade,jun,2017,auto,auto,Overland Park,697.8502358490566,700.0,650.0,30.0,False,False,False
22b4521abfabb3ecc25afbd9bd0a622a08d879f5,jun,2017,cool,auto,Olathe,703.4088223710122,702.0157542339504,694.2749113824341,0.0,False,False,False
22b4521abfabb3ecc25afbd9bd0a622a08d879f5,jun,2017,cool,hold,Olathe,697.0147895335608,694.6951080773606,694.6496018202503,0.0,False,False,False
249f764feab7d56209624bd2522767b4d22ac961,jun,2017,auto,hold,Shawnee,755.25,748.0,690.0,20.0,False,False,False
249f764feab7d56209624bd2522767b4d22ac961,jun,2017,cool,auto,Shawnee,734.6666666666666,750.0,690.0,20.0,False,False,False
249f764feab7d56209624bd2522767b4d22ac961,jun,2017,cool,hold,Shawnee,743.3823529411765,742.9411764705883,742.9411764705883,20.0,False,False,False
264738cd882534aa2fc9a938faa8126f5ae5816e,jun,2017,cool,auto,Olathe,707.8024691358024,707.0493827160494,717.0370370370371,5.0,False,False,False
264738cd882534aa2fc9a938faa8126f5ae5816e,jun,2017,cool,hold,Olathe,719.9428571428572,718.9441558441558,718.7727272727273,5.0,False,False,False
29599e201db4ab5e128e9efb91f9ca0349c41844,jun,2017,cool,auto,Overland Park,784.6527777777778,730.0,720.0,15.0,False,False,False
29599e201db4ab5e128e9efb91f9ca0349c41844,jun,2017,cool,hold,Overland Park,747.5333333333333,732.6,730.9333333333333,15.0,False,False,False
2baf96c86b32a63217e7771b6eb6da95ff499ecc,jun,2017,cool,auto,Overland Park,727.4628571428572,753.7085714285714,637.7885714285715,55.0,False,False,False
2baf96c86b32a63217e7771b6eb6da95ff499ecc,jun,2017,cool,hold,Overland Park,725.7142857142857,722.6302521008404,719.0,55.0,False,False,False
2c84b585c124c590f98e4ac7009d428b5b565d69,jun,2017,cool,auto,Overland Park,727.0591549295775,719.9990610328639,717.1320813771518,10.0,False,False,False
2c84b585c124c590f98e4ac7009d428b5b565d69,jun,2017,cool,hold,Overland Park,725.7462686567164,717.0298507462686,717.0298507462686,10.0,False,False,False
31383d9f5e2df37eef682e8433e08fc1e643590e,jun,2017,auto,auto,Hutchinson,728.165991902834,715.0121457489879,664.995951417004,15.0,False,False,False
322f33dc68acb558588f19670210384307657631,jun,2017,auto,auto,Wichita,733.9047619047619,745.0,695.0,20.0,False,False,True
322f33dc68acb558588f19670210384307657631,jun,2017,auto,hold,Wichita,744.1818181818181,750.0909090909091,700.0,20.0,False,False,True
