Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
003e168f638289edc59e7df30f5a63ff7bae7a2e,aug,2018,cool,auto,Science Hill,761.9622641509434,780.8616352201258,656.2704402515724,5.0,True,False,True
003e168f638289edc59e7df30f5a63ff7bae7a2e,aug,2018,cool,hold,Science Hill,738.7234042553191,740.0,740.0,5.0,True,False,True
008cfa92481086d7def321eeabb85c0d3eb846de,aug,2018,cool,auto,Campbellsville,701.32,701.74,701.6866666666666,5.0,True,False,True
008cfa92481086d7def321eeabb85c0d3eb846de,aug,2018,cool,hold,Campbellsville,714.4761904761905,712.3809523809524,712.3809523809524,5.0,True,False,True
02057b5580116f08cdadf2a920e8b0c0abe55724,aug,2018,auto,auto,Henderson,748.3103448275862,752.1379310344828,657.4827586206897,20.0,False,False,False
02057b5580116f08cdadf2a920e8b0c0abe55724,aug,2018,auto,hold,Henderson,684.9712230215828,684.841726618705,657.410071942446,20.0,False,False,False
020ded524bca03fd8503e9676cbd617ae62f12d4,aug,2018,auto,auto,Louisville,703.851902173913,701.6032608695652,649.9538043478261,15.0,False,False,False
020ded524bca03fd8503e9676cbd617ae62f12d4,aug,2018,auto,hold,Louisville,708.9185867895545,706.3179723502304,650.0,15.0,False,False,False
040caef66d9d7b319542eccbdb035740128fa419,aug,2018,auto,auto,Lexington,739.9166666666666,810.0,640.0,27.0,False,False,False
04792d1e2d335ee66080edcd418e761a8c547d24,aug,2018,auto,auto,Louisville,782.0333333333333,760.0,690.0,15.0,True,False,True
04792d1e2d335ee66080edcd418e761a8c547d24,aug,2018,auto,hold,Louisville,770.6,760.952380952381,690.0,15.0,True,False,True
04c36ffcdb22b72d383cc5080da3bb3dc585fbea,aug,2018,cool,hold,Lexington,796.1564245810056,795.4189944134079,788.268156424581,20.0,False,False,False
050b80070ddaa56cbf6b5c9c26335521990e3169,aug,2018,cool,auto,Owensboro,723.2944444444445,723.8944444444444,704.4777777777778,25.0,False,False,False
050b80070ddaa56cbf6b5c9c26335521990e3169,aug,2018,cool,hold,Owensboro,723.6743421052631,722.5115131578947,722.5115131578947,25.0,False,False,False
06949103a84504053d0e29bef4cb3451160997f0,aug,2018,auto,auto,Louisville,669.3031055900622,666.0310559006211,616.0310559006211,0.0,False,False,False
06e700cffb486061579c6d328729f3a60e9092a3,aug,2018,cool,auto,louisville,732.0,710.0,670.0,30.0,False,True,True
078a24f28eab6e7332909534dcd1fc992476e65b,aug,2018,auto,auto,Newport,741.8,740.0,641.8,120.0,True,False,False
0acc103acb748115729e3a12589afec63d6597c5,aug,2018,cool,auto,Ashland,719.5303643724696,724.6153846153846,724.6153846153846,60.0,False,False,False
0acc103acb748115729e3a12589afec63d6597c5,aug,2018,cool,hold,Ashland,718.8099843993759,722.8842433697348,722.8842433697348,60.0,False,False,False
0afaaf27fcec84653a86ca6af3ce4f177ed5d797,aug,2018,cool,auto,Glasgow,739.6826923076923,740.7692307692307,740.7692307692307,60.0,True,True,True
0afaaf27fcec84653a86ca6af3ce4f177ed5d797,aug,2018,cool,hold,Glasgow,739.9081920903955,738.9420903954802,738.9420903954802,60.0,True,True,True
0b682492011abb20a99e5dfb3695cf327784e1c6,aug,2018,cool,hold,Lexington,749.5625,737.9625,737.2125,27.0,False,False,False
0b7950ba88eea6ec77069983e2669f09cb9466bc,aug,2018,cool,auto,South Shore,735.3842946490619,769.5149409312022,670.2876997915218,10.0,True,False,True
0c63b911c56082695f9c7416781cd37dbcad2262,aug,2018,auto,auto,Murray,765.176,755.032,655.032,58.0,False,False,False
0c63b911c56082695f9c7416781cd37dbcad2262,aug,2018,auto,hold,Murray,774.8681318681319,761.5714285714286,684.8351648351648,58.0,False,False,False
0d1996e60b5b6d7e2de621500af5fda1f76ceab3,aug,2018,cool,auto,Louisville,701.6189975464423,699.0848229933404,699.0841219768664,45.0,False,False,True
0d1996e60b5b6d7e2de621500af5fda1f76ceab3,aug,2018,cool,hold,Louisville,705.581616481775,700.0,700.0,45.0,False,False,True
0e29e5be7db3fedee78555e5b2bbdaabc2ae6dc2,aug,2018,cool,auto,Crestwood,791.5576323987539,770.0,770.0,20.0,False,False,False
0e29e5be7db3fedee78555e5b2bbdaabc2ae6dc2,aug,2018,cool,hold,Crestwood,788.0722610722611,770.0,770.0,20.0,False,False,False
0e3899753091b27361699c847193a1dd4f58be37,aug,2018,auto,auto,Meadowview Estates,740.8503937007874,740.0629921259842,690.0629921259842,37.0,False,False,False
0ecf20f79a08b2f1a48181ec78ab33768aad829a,aug,2018,cool,hold,Louisville,746.8930817610063,745.7106918238994,744.9433962264151,0.0,False,False,False
0ff91054f43c5fe863b800b1a8949979a93d2363,aug,2018,auto,hold,Lexington,727.0212765957447,720.0,670.0,0.0,True,False,True
116a146a6099b95cf9d45804f7a9596ff0ca0694,aug,2018,cool,hold,Crestwood,749.8451986754967,752.9470198675497,752.2756622516556,20.0,True,False,True
1284a01c8a2c0320c4d7a69983a5e2e33658f3ce,aug,2018,cool,auto,Georgetown,740.1855670103092,739.3298969072165,739.3298969072165,120.0,True,False,True
1284a01c8a2c0320c4d7a69983a5e2e33658f3ce,aug,2018,cool,hold,Georgetown,730.7455295735901,736.0949105914718,736.0949105914718,120.0,True,False,True
128a965fe90a982735a10805198dee22b6425bfb,aug,2018,auxHeatOnly,hold,Paris,739.3333333333334,743.0,743.0,90.0,False,False,True
128a965fe90a982735a10805198dee22b6425bfb,aug,2018,cool,auto,Paris,748.731778425656,755.3702623906705,755.3527696793003,90.0,False,False,True
128a965fe90a982735a10805198dee22b6425bfb,aug,2018,cool,hold,Paris,741.0276816608997,740.7508650519031,740.7335640138408,90.0,False,False,True
143839cef5810ef8e467d4112ef6959aa9b433ff,aug,2018,cool,auto,louisville,739.5833333333334,735.0416666666666,734.8958333333334,50.0,False,False,True
143839cef5810ef8e467d4112ef6959aa9b433ff,aug,2018,cool,hold,louisville,736.24,745.6266666666667,744.88,50.0,False,False,True
1492ba5a1269506a71d2e34e30381ef22f8cc4d8,aug,2018,cool,auto,Versailles,783.4191176470588,766.4264705882352,729.8676470588235,30.0,False,False,False
1492ba5a1269506a71d2e34e30381ef22f8cc4d8,aug,2018,cool,hold,Versailles,769.1,760.0,760.0,30.0,False,False,False
14c48b71a17f192c108b9133750396420329b843,aug,2018,auto,auto,Prospect,695.6458333333334,700.4166666666666,650.0,20.0,False,False,False
16f2dbd8ffef1773791d626a1a98ca05c6e59729,aug,2018,cool,auto,Lexington,669.3617021276596,658.936170212766,658.936170212766,0.0,False,False,False
16f2dbd8ffef1773791d626a1a98ca05c6e59729,aug,2018,cool,hold,Lexington,672.5128205128206,652.3846153846154,652.3846153846154,0.0,False,False,False
1784acdc410758205c72a7c1b5458bfe00bd041a,aug,2018,cool,auto,Lexington,711.4182004089979,710.079754601227,710.079754601227,60.0,False,False,False
1784acdc410758205c72a7c1b5458bfe00bd041a,aug,2018,cool,hold,Lexington,711.104609929078,710.9148936170212,710.9157801418439,60.0,False,False,False
1790efa06e7c0f36fc98b7fa0cf9dc4a030fb6f4,aug,2018,cool,auto,Somerset,731.6713286713286,740.020979020979,700.8181818181819,50.0,False,False,True
1790efa06e7c0f36fc98b7fa0cf9dc4a030fb6f4,aug,2018,cool,hold,Somerset,742.5487646293889,741.1781534460338,741.1781534460338,50.0,False,False,True
17f0e99a271fe927aa7d30fc309325c9b66521ee,aug,2018,cool,auto,Louisville,750.5420560747664,749.018691588785,747.7476635514018,60.0,False,False,False
17f0e99a271fe927aa7d30fc309325c9b66521ee,aug,2018,cool,hold,Louisville,751.1148459383753,748.890756302521,747.4285714285714,60.0,False,False,False
18537552bec40fbb81d59e6a96b7a4132f8fb87f,aug,2018,cool,auto,Lexington,734.7652173913043,716.0869565217391,671.7565217391304,10.0,True,False,True
187a8e395a1f0f2387eda8f70f3b4b3ff770b1b6,aug,2018,cool,auto,Louisville,750.71875,712.5,712.5,15.0,False,False,False
187a8e395a1f0f2387eda8f70f3b4b3ff770b1b6,aug,2018,cool,hold,Louisville,740.4925373134329,705.1044776119403,705.0597014925373,15.0,False,False,False
