Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00105867bef9463f0a62d5257d0e91b8c8d19dee,feb,2019,heat,auto,Southgate,648.421052631579,653.1052631578947,631.3684210526316,75.0,False,False,False
00105867bef9463f0a62d5257d0e91b8c8d19dee,feb,2019,heat,hold,Southgate,601.6666666666666,650.0,590.0,75.0,False,False,False
003e168f638289edc59e7df30f5a63ff7bae7a2e,feb,2019,heat,auto,Science Hill,723.925,770.25,725.5875,5.0,True,False,True
008cfa92481086d7def321eeabb85c0d3eb846de,feb,2019,heat,auto,Campbellsville,689.0,702.4,698.2,5.0,True,False,True
008cfa92481086d7def321eeabb85c0d3eb846de,feb,2019,heat,hold,Campbellsville,695.3333333333334,700.0,700.0,5.0,True,False,True
020ded524bca03fd8503e9676cbd617ae62f12d4,feb,2019,auto,auto,Louisville,712.4248554913295,755.2658959537572,712.2919075144508,15.0,False,False,False
020ded524bca03fd8503e9676cbd617ae62f12d4,feb,2019,auto,hold,Louisville,705.7543520309478,749.0667311411992,706.142166344294,15.0,False,False,False
0229a3d6d4bda2a96a19d9f4d4c983c1ae05895c,feb,2019,auto,auto,Louisville,700.7619047619048,760.0,700.0,9.0,False,False,False
0229a3d6d4bda2a96a19d9f4d4c983c1ae05895c,feb,2019,auto,hold,Louisville,692.4559585492228,744.3937823834196,691.2227979274611,9.0,False,False,False
040caef66d9d7b319542eccbdb035740128fa419,feb,2019,auto,hold,Lexington,703.75,770.0,720.0,27.0,False,False,False
04792d1e2d335ee66080edcd418e761a8c547d24,feb,2019,auto,hold,Louisville,697.6904761904761,770.0,690.0,15.0,True,False,True
04eb232c51c7634173c291c3d6c959b8f2c71b5f,feb,2019,auto,hold,Lexington,688.3840830449827,730.0,690.0,0.0,False,False,True
05a4c4c9f9739c27e38b57c3a52f3778c1338584,feb,2019,heat,auto,Union,727.3030303030303,730.1212121212121,729.7272727272727,5.0,True,False,False
05a4c4c9f9739c27e38b57c3a52f3778c1338584,feb,2019,heat,hold,Union,727.4444444444445,730.0,730.0,5.0,True,False,False
05f9e3518a2abc910d945da9bebf49e3fe1cfc38,feb,2019,heat,hold,Lexington,694.1877934272301,698.3802816901408,697.9530516431925,70.0,False,False,False
06949103a84504053d0e29bef4cb3451160997f0,feb,2019,auto,auto,Louisville,643.7152194211018,718.2352941176471,644.0336134453781,0.0,False,False,False
06949103a84504053d0e29bef4cb3451160997f0,feb,2019,auto,hold,Louisville,670.1620370370371,750.0,670.0,0.0,False,False,False
06e700cffb486061579c6d328729f3a60e9092a3,feb,2019,heat,auto,louisville,709.5945945945946,720.0,707.1396396396397,30.0,False,True,True
06e700cffb486061579c6d328729f3a60e9092a3,feb,2019,heat,hold,louisville,594.6811594202899,650.0,590.0,30.0,False,True,True
078a24f28eab6e7332909534dcd1fc992476e65b,feb,2019,auto,auto,Newport,625.5855855855856,755.5225225225225,622.009009009009,120.0,True,False,False
090ec471b9551c41e4f0eeebbaff6248afe9a27f,feb,2019,heat,auto,Louisville,658.9853054911059,660.0,660.0,90.0,False,False,False
0a5e6539744299b6a7a331b3950959cd0867bc20,feb,2019,heat,auto,Paducah,653.3684210526316,849.4649122807018,610.2368421052631,15.0,True,False,False
0acc103acb748115729e3a12589afec63d6597c5,feb,2019,heat,auto,Ashland,689.7059701492537,686.6661691542289,686.6661691542289,60.0,False,False,False
0acc103acb748115729e3a12589afec63d6597c5,feb,2019,heat,hold,Ashland,683.034188034188,680.0,680.0,60.0,False,False,False
0b682492011abb20a99e5dfb3695cf327784e1c6,feb,2019,auto,auto,Lexington,671.443137254902,750.0,670.0,27.0,False,False,False
0b682492011abb20a99e5dfb3695cf327784e1c6,feb,2019,auto,hold,Lexington,681.2535211267606,749.7183098591549,680.0,27.0,False,False,False
0b7950ba88eea6ec77069983e2669f09cb9466bc,feb,2019,heat,auto,South Shore,671.8351741716227,769.767204757859,670.1376380628717,10.0,True,False,True
0bd0908dddca94c00dd6e2f261abba7c542e4eb9,feb,2019,auxHeatOnly,auto,Crestwood,720.9024390243902,732.5343680709534,724.5232815964523,18.0,False,False,True
0bd0908dddca94c00dd6e2f261abba7c542e4eb9,feb,2019,auxHeatOnly,hold,Crestwood,719.7843137254902,724.3137254901961,724.3137254901961,18.0,False,False,True
0c63b911c56082695f9c7416781cd37dbcad2262,feb,2019,heat,auto,Murray,695.9,704.0,704.0,58.0,False,False,False
0c63b911c56082695f9c7416781cd37dbcad2262,feb,2019,heat,hold,Murray,695.1666666666666,700.0,700.0,58.0,False,False,False
0c6456e7628343894dbc1fdb1ae03ee36f876dba,feb,2019,auto,hold,Walton,671.8333333333334,662.5,662.5,0.0,True,False,False
0c6456e7628343894dbc1fdb1ae03ee36f876dba,feb,2019,heat,auto,Walton,676.1153846153846,726.7307692307693,686.5384615384615,0.0,True,False,False
0c6456e7628343894dbc1fdb1ae03ee36f876dba,feb,2019,heat,hold,Walton,659.3333333333334,650.0,645.0,0.0,True,False,False
0d1996e60b5b6d7e2de621500af5fda1f76ceab3,feb,2019,heat,auto,Louisville,654.1375245579568,670.9233791748527,650.5677799607073,45.0,False,False,True
0d1996e60b5b6d7e2de621500af5fda1f76ceab3,feb,2019,heat,hold,Louisville,660.059587020649,661.0206489675517,661.012389380531,45.0,False,False,True
0dc89109a95c6503229d40a701636f6f2f8538e6,feb,2019,heat,auto,Richmond,675.5,687.2,687.2,40.0,True,False,True
0dc89109a95c6503229d40a701636f6f2f8538e6,feb,2019,heat,hold,Richmond,672.7,681.8666666666667,679.4666666666667,40.0,True,False,True
