Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00105867bef9463f0a62d5257d0e91b8c8d19dee,Jan,2019,heat,auto,Southgate,641.28,651.12,640.48,75.0,False,False,False
00105867bef9463f0a62d5257d0e91b8c8d19dee,Jan,2019,heat,hold,Southgate,643.4444444444445,650.0,640.0,75.0,False,False,False
001cb822602423b9453a321b872212cdf014adb1,Jan,2019,auto,auto,Georgetown,713.5,750.0,700.0,10.0,True,False,True
003e168f638289edc59e7df30f5a63ff7bae7a2e,Jan,2019,auto,auto,Science Hill,721.2549019607843,778.7843137254902,725.0392156862745,5.0,True,False,True
003e168f638289edc59e7df30f5a63ff7bae7a2e,Jan,2019,heat,auto,Science Hill,717.1737451737451,770.2162162162163,721.4324324324324,5.0,True,False,True
008cfa92481086d7def321eeabb85c0d3eb846de,Jan,2019,heat,auto,Campbellsville,685.8248847926267,690.4331797235023,690.2027649769585,5.0,True,False,True
008cfa92481086d7def321eeabb85c0d3eb846de,Jan,2019,heat,hold,Campbellsville,685.5,687.1428571428571,687.1428571428571,5.0,True,False,True
02057b5580116f08cdadf2a920e8b0c0abe55724,Jan,2019,auto,auto,Henderson,667.7619047619048,695.0,667.3809523809524,20.0,False,False,False
02057b5580116f08cdadf2a920e8b0c0abe55724,Jan,2019,auto,hold,Henderson,664.875,702.5,669.75,20.0,False,False,False
020ded524bca03fd8503e9676cbd617ae62f12d4,Jan,2019,auto,auto,Louisville,712.6814159292036,757.7663716814159,714.8,15.0,False,False,False
020ded524bca03fd8503e9676cbd617ae62f12d4,Jan,2019,auto,hold,Louisville,709.6333830104322,757.5335320417288,709.6199701937406,15.0,False,False,False
040caef66d9d7b319542eccbdb035740128fa419,Jan,2019,auto,auto,Lexington,713.5,770.8333333333334,718.3333333333334,27.0,False,False,False
040caef66d9d7b319542eccbdb035740128fa419,Jan,2019,auto,hold,Lexington,684.0,760.0,710.0,27.0,False,False,False
0426ee3371f1fb836b9d651230c4539aa1503421,Jan,2019,heat,auto,London,686.3076923076923,697.2692307692307,690.9615384615385,0.0,True,False,False
0426ee3371f1fb836b9d651230c4539aa1503421,Jan,2019,heat,hold,London,697.2189054726368,701.9651741293533,701.9651741293533,0.0,True,False,False
04eb232c51c7634173c291c3d6c959b8f2c71b5f,Jan,2019,auto,hold,Lexington,670.875816993464,723.3333333333334,673.3333333333334,0.0,False,False,True
05a4c4c9f9739c27e38b57c3a52f3778c1338584,Jan,2019,heat,auto,Union,725.8846153846154,730.0,730.0,5.0,True,False,False
05a4c4c9f9739c27e38b57c3a52f3778c1338584,Jan,2019,heat,hold,Union,727.0121951219512,729.8780487804878,729.8780487804878,5.0,True,False,False
05f9e3518a2abc910d945da9bebf49e3fe1cfc38,Jan,2019,heat,auto,Lexington,679.2542372881356,750.0,699.8644067796611,70.0,False,False,False
05f9e3518a2abc910d945da9bebf49e3fe1cfc38,Jan,2019,heat,hold,Lexington,686.0487804878048,695.1219512195122,694.439024390244,70.0,False,False,False
06949103a84504053d0e29bef4cb3451160997f0,Jan,2019,auto,hold,Louisville,660.2143178748312,750.0,661.6118865375956,0.0,False,False,False
06e700cffb486061579c6d328729f3a60e9092a3,Jan,2019,heat,auto,louisville,703.5,720.0,704.7708333333334,30.0,False,True,True
078a24f28eab6e7332909534dcd1fc992476e65b,Jan,2019,auto,auto,Newport,636.3534743202417,767.7250755287009,618.2114803625377,120.0,True,False,False
0acc103acb748115729e3a12589afec63d6597c5,Jan,2019,heat,auto,Ashland,675.7906081601232,674.0735180908391,674.0735180908391,60.0,False,False,False
0acc103acb748115729e3a12589afec63d6597c5,Jan,2019,heat,hold,Ashland,692.5644283121597,690.0,690.0,60.0,False,False,False
0afaaf27fcec84653a86ca6af3ce4f177ed5d797,Jan,2019,cool,hold,Glasgow,668.3454861111111,770.0,750.0,60.0,True,True,True
0b7950ba88eea6ec77069983e2669f09cb9466bc,Jan,2019,heat,auto,South Shore,669.5262368815593,769.6379310344828,670.2136431784108,10.0,True,False,True
0bd0908dddca94c00dd6e2f261abba7c542e4eb9,Jan,2019,auxHeatOnly,auto,Crestwood,716.5669642857143,725.8221726190476,720.1733630952381,18.0,False,False,True
