Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00105867bef9463f0a62d5257d0e91b8c8d19dee,jul,2017,cool,hold,Southgate,715.6315789473684,700.0,700.0,75.0,False,False,False
008cfa92481086d7def321eeabb85c0d3eb846de,jul,2017,cool,auto,Campbellsville,706.5324675324675,700.0584415584416,680.0,5.0,True,False,True
008cfa92481086d7def321eeabb85c0d3eb846de,jul,2017,cool,hold,Campbellsville,704.1323529411765,695.5735294117648,695.5735294117648,5.0,True,False,True
020ded524bca03fd8503e9676cbd617ae62f12d4,jul,2017,auto,hold,Louisville,711.0535714285714,711.4553571428571,600.0,15.0,False,False,False
0475b61636d4d1ba679fd87d374f57927081105b,jul,2017,auto,auto,Independence,763.5376344086021,780.0,660.0,20.0,False,False,False
06949103a84504053d0e29bef4cb3451160997f0,jul,2017,auto,auto,Louisville,674.3508771929825,665.0,615.0,0.0,False,False,False
06e700cffb486061579c6d328729f3a60e9092a3,jul,2017,cool,auto,louisville,707.025641025641,704.4615384615385,683.5897435897435,30.0,False,True,True
06e700cffb486061579c6d328729f3a60e9092a3,jul,2017,cool,hold,louisville,712.3055555555555,710.5416666666666,709.6388888888889,30.0,False,True,True
09d5232886f2e0473072631466ab77d04f7301a8,jul,2017,cool,hold,Campbellsville,763.2857142857143,730.0,730.0,60.0,True,False,True
0a5e6539744299b6a7a331b3950959cd0867bc20,jul,2017,cool,auto,Paducah,754.7331606217616,748.5759930915372,744.7150259067357,15.0,True,False,False
0a5e6539744299b6a7a331b3950959cd0867bc20,jul,2017,cool,hold,Paducah,772.3783143939394,769.3181818181819,765.4545454545455,15.0,True,False,False
0afaaf27fcec84653a86ca6af3ce4f177ed5d797,jul,2017,cool,hold,Glasgow,748.8370396108409,748.180681028492,748.1546212647672,60.0,True,True,True
