Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
01231b3659604ae515f75ef6288754f18e167b01,aug,2019,cool,auto,Covington,736.8706896551724,736.0086206896551,731.5258620689655,50.0,False,False,False
01231b3659604ae515f75ef6288754f18e167b01,aug,2019,cool,hold,Covington,733.7621550591327,733.0906701708278,733.0906701708278,50.0,False,False,False
0144cd6fa687f78356594d2306f223188e4e4d33,aug,2019,cool,auto,Central,712.1138790035587,712.7947805456703,699.1542111506525,0.0,False,False,False
0144cd6fa687f78356594d2306f223188e4e4d33,aug,2019,cool,hold,Central,711.4830287206266,713.1161879895561,713.1109660574413,0.0,False,False,False
01b90ac4c296eea6d9b69a54a771a396a57ce094,aug,2019,cool,auto,Kenner,739.8260869565217,720.0,720.0,40.0,False,False,False
01cc7befffb747ace58e71a8f0124d3c61b6191a,aug,2019,cool,auto,Ragley,718.4489795918367,700.0,700.0,25.0,True,False,False
01cc7befffb747ace58e71a8f0124d3c61b6191a,aug,2019,cool,hold,Ragley,768.9130434782609,760.0,750.0,25.0,True,False,False
026f9cb5ea5ea90f77c5e550fa2e827561cddef7,aug,2019,cool,hold,Luling,751.5263157894736,721.578947368421,721.578947368421,0.0,False,False,False
02dd8e50f6b6ffc64e3a623bfb884158e67845d1,aug,2019,cool,auto,Mandeville,695.7477477477478,695.6756756756756,695.6756756756756,19.0,True,False,False
02dd8e50f6b6ffc64e3a623bfb884158e67845d1,aug,2019,cool,hold,Mandeville,696.2490974729242,693.2999671808336,692.1742697735477,19.0,True,False,False
035c73aeec631f27ac6ebba41aed54462bb4b2aa,aug,2019,auto,auto,Uncle Sam,763.5235849056604,760.7641509433962,650.9433962264151,5.0,False,False,True
035c73aeec631f27ac6ebba41aed54462bb4b2aa,aug,2019,auto,hold,Uncle Sam,751.5235602094241,761.0,665.651832460733,5.0,False,False,True
049b5df73fed19a6c5084ad5433f112a0849f724,aug,2019,cool,auto,Gonzales,750.0909090909091,750.0,750.0,25.0,False,False,False
049b5df73fed19a6c5084ad5433f112a0849f724,aug,2019,cool,hold,Gonzales,751.0,745.21875,745.21875,25.0,False,False,False
04a2788e5714fec4da52fbe74851a751eae03199,aug,2019,auto,auto,Jennings,732.3813018506701,730.0,650.0,40.0,True,False,False
053e5bd0b2c91d93cac7e20b0aca5e4769ffa913,aug,2019,auto,auto,Zachary,730.9,730.0,660.0,10.0,True,False,False
05abbf1c352650325894ca1175c3e5705bf706a1,aug,2019,auto,hold,New Orleans,748.3214285714286,738.3214285714286,680.0,5.0,False,False,False
05d6742631d44cf568e468696c42a95d1f7466da,aug,2019,cool,auto,New Orleans,748.3333333333334,747.8622222222223,747.8622222222223,120.0,True,False,False
05d6742631d44cf568e468696c42a95d1f7466da,aug,2019,cool,hold,New Orleans,753.3297839975662,752.0340736233647,752.0340736233647,120.0,True,False,False
0600e65fb5cde61014713789cc7ff16b49c46fae,aug,2019,auto,auto,Haughton,784.817120622568,780.4124513618677,672.5564202334631,0.0,False,False,False
