Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
052e3fc7cea46bc5fc812a70646c8e1fc8073ac1,feb,2017,auto,auto,Pearl River,708.6412352406903,749.7938237965486,698.0027247956403,5.0,False,False,False
052e3fc7cea46bc5fc812a70646c8e1fc8073ac1,feb,2017,auto,hold,Pearl River,715.4285714285714,717.5,667.3333333333334,5.0,False,False,False
052e3fc7cea46bc5fc812a70646c8e1fc8073ac1,feb,2017,cool,auto,Pearl River,722.0530973451328,739.7256637168142,719.9203539823009,5.0,False,False,False
052e3fc7cea46bc5fc812a70646c8e1fc8073ac1,feb,2017,cool,hold,Pearl River,719.5438596491229,717.4561403508771,717.4561403508771,5.0,False,False,False
052e3fc7cea46bc5fc812a70646c8e1fc8073ac1,feb,2017,heat,auto,Pearl River,716.5140186915888,740.0,720.0,5.0,False,False,False
05abbf1c352650325894ca1175c3e5705bf706a1,feb,2017,auto,hold,New Orleans,733.1904761904761,732.952380952381,660.0,5.0,False,False,False
088afc790d7b9e119bb67470c35d985fdb5afe22,feb,2017,cool,auto,Baton Rouge,675.5520833333334,670.09375,650.0,1.0,False,False,False
088afc790d7b9e119bb67470c35d985fdb5afe22,feb,2017,heat,auto,Baton Rouge,679.25,692.0357142857143,690.9285714285714,1.0,False,False,False
14b6f1d4671c596c606959259622267633318ed7,feb,2017,auto,auto,Metairie,713.5919117647059,730.5514705882352,622.6838235294117,5.0,False,False,False
163887bd9b486a62b588ea5378ada240dc69bee7,feb,2017,auto,auto,Lafayette,682.9139465875371,710.6446587537092,629.7678041543027,65.0,False,False,False
163887bd9b486a62b588ea5378ada240dc69bee7,feb,2017,auto,hold,Lafayette,683.3516713091922,708.6685236768802,635.6058495821727,65.0,False,False,False
17a397a93763b967d83af06f03cb4289a9d0a711,feb,2017,auto,hold,Youngsville,721.609756097561,720.609756097561,670.2439024390244,25.0,False,False,False
19a4288de396318b5e9ba7c2e24be9f81726490c,feb,2017,cool,auto,Harahan,709.5332167832167,803.4842657342657,622.0052447552448,50.0,False,False,False
19a4288de396318b5e9ba7c2e24be9f81726490c,feb,2017,heat,auto,Harahan,698.9518190757129,779.811209439528,645.2586037364798,50.0,False,False,False
19a4288de396318b5e9ba7c2e24be9f81726490c,feb,2017,heat,hold,Harahan,709.8974358974359,692.4487179487179,692.2692307692307,50.0,False,False,False
1bd6794bf13b745aa5d9c3294a227b008a0c0b15,feb,2017,auto,hold,Pearl River,704.8709677419355,737.6774193548387,687.6774193548387,5.0,False,False,True
1f085a6bf8310f7d31e7ad7011005d3f04454a51,feb,2017,auto,auto,Bossier City,742.1563245823389,760.0652346857597,740.0648369132856,40.0,False,False,False
22b62605de0c74391cf77510f9b3ab5b476cc23f,feb,2017,auto,hold,Lafayette,732.9197080291971,746.8613138686131,670.5109489051094,36.0,False,False,True
274cdd58f3d23a87f621b6f71e3061293ea83b1e,feb,2017,auto,auto,Broussard,663.0,750.0,643.0,60.0,False,False,False
2ae29726bad6ffbf345468ab8ba0c2d1e4c002b3,feb,2017,auto,auto,Baton Rouge,709.1944444444445,740.0810185185185,649.5,5.0,False,False,False
2aed2b74ab03f4f7a8d2af2f3057cee898373d46,feb,2017,cool,hold,Slidell,725.0489296636085,770.5810397553516,770.5810397553516,0.0,False,False,False
2aed2b74ab03f4f7a8d2af2f3057cee898373d46,feb,2017,heat,hold,Slidell,739.4062722736992,728.1247327156094,728.1247327156094,0.0,False,False,False
31a975dc73a383d7f015f1f8da3d0bc9f524d9de,feb,2017,cool,auto,Lutcher,712.3086419753087,722.2345679012345,649.2592592592592,40.0,False,False,False
31a975dc73a383d7f015f1f8da3d0bc9f524d9de,feb,2017,cool,hold,Lutcher,726.5945945945946,747.4054054054054,746.3513513513514,40.0,False,False,False
323a2db4f734070de3b10e80275a9d17e38dc8a8,feb,2017,heat,auto,Metairie,720.8792452830189,725.0339622641509,725.0226415094339,0.0,False,False,False
323a2db4f734070de3b10e80275a9d17e38dc8a8,feb,2017,heat,hold,Metairie,699.0616438356165,686.3287671232877,686.3150684931506,0.0,False,False,False
35b4338e01fae8ff86cc55a19980bf7654619116,feb,2017,auto,hold,Lake Charles,677.9230769230769,715.0,665.0,55.0,False,False,False
35b4338e01fae8ff86cc55a19980bf7654619116,feb,2017,cool,hold,Lake Charles,689.4803921568628,694.0392156862745,682.5686274509804,55.0,False,False,False
388805acc7ee0069490e1ff4963e3d4ab074d465,feb,2017,cool,auto,Baton Rouge,648.8653846153846,685.7692307692307,640.6730769230769,55.0,True,False,False
388805acc7ee0069490e1ff4963e3d4ab074d465,feb,2017,cool,hold,Baton Rouge,652.7916666666666,681.125,679.875,55.0,True,False,False
388805acc7ee0069490e1ff4963e3d4ab074d465,feb,2017,heat,auto,Baton Rouge,671.5555555555555,770.0,670.0,55.0,True,False,False
388805acc7ee0069490e1ff4963e3d4ab074d465,feb,2017,heat,hold,Baton Rouge,687.8421052631579,770.0,670.0,55.0,True,False,False
3bbb9df981343d90e390b22154ff5fe570d7337a,feb,2017,auto,auto,Shreveport,674.6518987341772,721.3322784810126,648.5348101265823,20.0,False,False,False
3bbb9df981343d90e390b22154ff5fe570d7337a,feb,2017,auto,hold,Shreveport,666.6218487394958,705.1512605042017,640.5344537815126,20.0,False,False,False
3bf400678885770298065fcc60831b9f925da44c,feb,2017,auto,auto,Opelousas,706.8435643564356,721.4217821782178,666.409900990099,0.0,False,False,False
3bf400678885770298065fcc60831b9f925da44c,feb,2017,auto,hold,Opelousas,701.1940446650124,731.239205955335,662.5732009925558,0.0,False,False,False
3d5b502ad193a4d406e52d434a589701014d6e84,feb,2017,cool,hold,New Orleans,727.8587223587224,737.6105651105651,734.2567567567568,0.0,True,False,False
3d5b502ad193a4d406e52d434a589701014d6e84,feb,2017,heat,hold,New Orleans,716.0885416666666,717.8177083333334,717.8177083333334,0.0,True,False,False
3d6d9c90c3ba48370c0437aa752b3f65c860ff25,feb,2017,auto,auto,Baton Rouge,672.3623188405797,718.4608695652174,660.5623188405797,0.0,False,False,False
3d6d9c90c3ba48370c0437aa752b3f65c860ff25,feb,2017,auto,hold,Baton Rouge,678.9113001215067,723.6925880923451,662.737545565006,0.0,False,False,False
