Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
052e3fc7cea46bc5fc812a70646c8e1fc8073ac1,Jan,2017,auto,auto,Pearl River,715.2643312101911,755.3009554140127,703.5031847133758,5.0,False,False,False
052e3fc7cea46bc5fc812a70646c8e1fc8073ac1,Jan,2017,auto,hold,Pearl River,706.7647058823529,748.3058823529411,697.5529411764705,5.0,False,False,False
052e3fc7cea46bc5fc812a70646c8e1fc8073ac1,Jan,2017,cool,auto,Pearl River,724.5301587301587,739.0603174603175,719.8793650793651,5.0,False,False,False
052e3fc7cea46bc5fc812a70646c8e1fc8073ac1,Jan,2017,cool,hold,Pearl River,718.0927835051547,717.4845360824743,715.7835051546392,5.0,False,False,False
052e3fc7cea46bc5fc812a70646c8e1fc8073ac1,Jan,2017,heat,auto,Pearl River,718.7404580152672,737.8587786259542,718.8893129770993,5.0,False,False,False
052e3fc7cea46bc5fc812a70646c8e1fc8073ac1,Jan,2017,heat,hold,Pearl River,721.4262295081967,723.311475409836,722.4262295081967,5.0,False,False,False
05abbf1c352650325894ca1175c3e5705bf706a1,Jan,2017,auto,auto,New Orleans,678.8333333333334,750.0,660.0,5.0,False,False,False
05abbf1c352650325894ca1175c3e5705bf706a1,Jan,2017,auto,hold,New Orleans,724.5184135977337,733.6515580736544,667.6628895184136,5.0,False,False,False
088afc790d7b9e119bb67470c35d985fdb5afe22,Jan,2017,cool,auto,Baton Rouge,679.0827586206897,679.7241379310345,650.0,1.0,False,False,False
088afc790d7b9e119bb67470c35d985fdb5afe22,Jan,2017,cool,hold,Baton Rouge,701.125,700.0,700.0,1.0,False,False,False
088afc790d7b9e119bb67470c35d985fdb5afe22,Jan,2017,heat,auto,Baton Rouge,673.225,676.05,673.125,1.0,False,False,False
088afc790d7b9e119bb67470c35d985fdb5afe22,Jan,2017,heat,hold,Baton Rouge,677.5172413793103,680.0,680.0,1.0,False,False,False
14b6f1d4671c596c606959259622267633318ed7,Jan,2017,auto,auto,Metairie,715.5679916317991,745.7510460251046,663.2970711297071,5.0,False,False,False
163887bd9b486a62b588ea5378ada240dc69bee7,Jan,2017,auto,auto,Lafayette,695.4610526315789,762.0736842105263,688.2947368421053,65.0,False,False,False
163887bd9b486a62b588ea5378ada240dc69bee7,Jan,2017,auto,hold,Lafayette,678.3962906888721,717.2335352006056,644.7653292959878,65.0,False,False,False
17a397a93763b967d83af06f03cb4289a9d0a711,Jan,2017,auto,auto,Youngsville,683.4,750.3,671.4,25.0,False,False,False
17a397a93763b967d83af06f03cb4289a9d0a711,Jan,2017,auto,hold,Youngsville,699.1219512195122,750.8048780487804,700.7682926829268,25.0,False,False,False
17a397a93763b967d83af06f03cb4289a9d0a711,Jan,2017,heat,hold,Youngsville,708.6440677966102,710.0,710.0,25.0,False,False,False
19a4288de396318b5e9ba7c2e24be9f81726490c,Jan,2017,cool,auto,Harahan,708.1974921630094,807.5094043887148,632.1128526645768,50.0,False,False,False
19a4288de396318b5e9ba7c2e24be9f81726490c,Jan,2017,cool,hold,Harahan,730.4,730.0,730.0,50.0,False,False,False
19a4288de396318b5e9ba7c2e24be9f81726490c,Jan,2017,heat,auto,Harahan,683.3357817418678,790.8258132214061,639.3578174186779,50.0,False,False,False
19a4288de396318b5e9ba7c2e24be9f81726490c,Jan,2017,heat,hold,Harahan,718.625,720.2916666666666,719.7083333333334,50.0,False,False,False
1bd6794bf13b745aa5d9c3294a227b008a0c0b15,Jan,2017,auto,auto,Pearl River,699.9480519480519,750.9090909090909,700.9090909090909,5.0,False,False,True
1bd6794bf13b745aa5d9c3294a227b008a0c0b15,Jan,2017,auto,hold,Pearl River,706.4596774193549,757.7258064516129,707.7258064516129,5.0,False,False,True
1bd6794bf13b745aa5d9c3294a227b008a0c0b15,Jan,2017,cool,hold,Pearl River,717.7222222222222,716.6666666666666,716.6666666666666,5.0,False,False,True
1bd6794bf13b745aa5d9c3294a227b008a0c0b15,Jan,2017,heat,hold,Pearl River,705.225,705.75,704.625,5.0,False,False,True
1f085a6bf8310f7d31e7ad7011005d3f04454a51,Jan,2017,auto,auto,Bossier City,748.332590942836,773.4424647364514,741.988864142539,40.0,False,False,False
1f085a6bf8310f7d31e7ad7011005d3f04454a51,Jan,2017,auto,hold,Bossier City,745.4040114613181,765.8001432664756,745.8001432664756,40.0,False,False,False
217eb80ed153edaea1afe86a155cd3ce62ca5d84,Jan,2017,auto,auto,Marrero,701.2831858407079,820.0,640.0,15.0,True,False,False
22b62605de0c74391cf77510f9b3ab5b476cc23f,Jan,2017,auto,hold,Lafayette,707.25,730.0147058823529,657.1323529411765,36.0,False,False,True
274cdd58f3d23a87f621b6f71e3061293ea83b1e,Jan,2017,auto,auto,Broussard,656.0,713.0,663.0,60.0,False,False,False
2ae29726bad6ffbf345468ab8ba0c2d1e4c002b3,Jan,2017,auto,auto,Baton Rouge,701.6944444444445,741.8819444444445,645.2939814814815,5.0,False,False,False
2ae29726bad6ffbf345468ab8ba0c2d1e4c002b3,Jan,2017,auto,hold,Baton Rouge,674.125,715.1180555555555,635.1180555555555,5.0,False,False,False
2aed2b74ab03f4f7a8d2af2f3057cee898373d46,Jan,2017,cool,hold,Slidell,745.4674220963173,760.0028328611897,760.0028328611897,0.0,False,False,False
2aed2b74ab03f4f7a8d2af2f3057cee898373d46,Jan,2017,heat,auto,Slidell,715.8888888888889,700.0,700.0,0.0,False,False,False
2aed2b74ab03f4f7a8d2af2f3057cee898373d46,Jan,2017,heat,hold,Slidell,734.3014888337469,712.8354011579818,697.7903225806451,0.0,False,False,False
2c8932aa591bc647fbc69f5069842546c01475a3,Jan,2017,heat,hold,Harvey,684.7368421052631,700.0,700.0,20.0,False,False,False
31a975dc73a383d7f015f1f8da3d0bc9f524d9de,Jan,2017,auto,auto,Lutcher,695.2070063694267,722.1019108280254,658.9649681528663,40.0,False,False,False
31a975dc73a383d7f015f1f8da3d0bc9f524d9de,Jan,2017,cool,auto,Lutcher,715.1353383458646,719.9248120300751,661.6766917293234,40.0,False,False,False
323a2db4f734070de3b10e80275a9d17e38dc8a8,Jan,2017,heat,hold,Metairie,675.5,699.8819444444445,699.8819444444445,0.0,False,False,False
34f45d5f687d52afd5230cc3062f20ca39c282db,Jan,2017,auto,auto,Gonzales,668.04,740.0,669.88,15.0,False,False,False
34f45d5f687d52afd5230cc3062f20ca39c282db,Jan,2017,auto,hold,Gonzales,679.3898305084746,740.0,680.0,15.0,False,False,False
35b4338e01fae8ff86cc55a19980bf7654619116,Jan,2017,cool,hold,Lake Charles,691.9864864864865,697.3243243243244,684.6621621621622,55.0,False,False,False
35b4338e01fae8ff86cc55a19980bf7654619116,Jan,2017,heat,hold,Lake Charles,744.3333333333334,738.3333333333334,738.3333333333334,55.0,False,False,False
388805acc7ee0069490e1ff4963e3d4ab074d465,Jan,2017,cool,auto,Baton Rouge,692.6818181818181,680.0,640.0,55.0,True,False,False
388805acc7ee0069490e1ff4963e3d4ab074d465,Jan,2017,heat,auto,Baton Rouge,686.2638888888889,690.4166666666666,689.5833333333334,55.0,True,False,False
388805acc7ee0069490e1ff4963e3d4ab074d465,Jan,2017,heat,hold,Baton Rouge,672.9420289855072,669.5217391304348,668.1449275362319,55.0,True,False,False
3bbb9df981343d90e390b22154ff5fe570d7337a,Jan,2017,auto,auto,Shreveport,666.7019667170953,718.2955118507313,644.7599596570852,20.0,False,False,False
3bbb9df981343d90e390b22154ff5fe570d7337a,Jan,2017,auto,hold,Shreveport,690.850144092219,746.2161383285303,685.8414985590778,20.0,False,False,False
3bf400678885770298065fcc60831b9f925da44c,Jan,2017,auto,auto,Opelousas,720.4186046511628,737.8488372093024,665.0387596899225,0.0,False,False,False
3bf400678885770298065fcc60831b9f925da44c,Jan,2017,auto,hold,Opelousas,699.5073093638878,739.6250493875939,660.1406558672461,0.0,False,False,False
3d5b502ad193a4d406e52d434a589701014d6e84,Jan,2017,cool,hold,New Orleans,728.2006802721088,729.4931972789116,729.4829931972789,0.0,True,False,False
3d5b502ad193a4d406e52d434a589701014d6e84,Jan,2017,heat,hold,New Orleans,729.8381201044386,717.0691906005222,717.0691906005222,0.0,True,False,False
3e1e1f15d778eed4fa1c2c9f5c6de4cdfec1de40,Jan,2017,cool,auto,Luling,708.4565217391304,709.25,672.6086956521739,25.0,True,False,False
3e1e1f15d778eed4fa1c2c9f5c6de4cdfec1de40,Jan,2017,cool,hold,Luling,712.0,712.6440677966102,712.6440677966102,25.0,True,False,False
3e1e1f15d778eed4fa1c2c9f5c6de4cdfec1de40,Jan,2017,heat,auto,Luling,689.6666666666666,685.1666666666666,685.1666666666666,25.0,True,False,False
438ad9028fceaf017e96c2e00bd8ad26955e7ed1,Jan,2017,auto,auto,New Orleans,684.1587301587301,800.0,640.0687830687831,105.0,False,False,False
438ad9028fceaf017e96c2e00bd8ad26955e7ed1,Jan,2017,auto,hold,New Orleans,709.5461672473867,768.5226480836237,717.3205574912892,105.0,False,False,False
441422e6a0a068f6b4f3f21d1b0d58812a5b8043,Jan,2017,heat,hold,Harvey,670.8627450980392,674.3137254901961,674.3137254901961,20.0,False,False,False
46431d039c1ac36d15750f7edf329764d6ee04c8,Jan,2017,auto,auto,Metairie,704.8671328671329,724.8041958041958,691.0979020979021,30.0,False,False,False
46431d039c1ac36d15750f7edf329764d6ee04c8,Jan,2017,auto,hold,Metairie,721.9428571428572,737.6,696.3428571428572,30.0,False,False,False
49ee67a2f3f2fc50b7dbf9b6bbbccaceb66f4bb7,Jan,2017,auto,auto,New Orleans,673.8962962962963,830.0,650.0,96.0,False,False,False
49ee67a2f3f2fc50b7dbf9b6bbbccaceb66f4bb7,Jan,2017,auto,hold,New Orleans,692.1558796718323,769.5282588878761,651.11257976299,96.0,False,False,False
4cde13fc57304d043c8d4c439486117f4016a4cf,Jan,2017,cool,auto,Sulphur,736.0271966527197,744.2970711297071,720.0,45.0,True,False,False
4cde13fc57304d043c8d4c439486117f4016a4cf,Jan,2017,cool,hold,Sulphur,738.790909090909,747.2636363636364,747.2636363636364,45.0,True,False,False
4cde13fc57304d043c8d4c439486117f4016a4cf,Jan,2017,heat,auto,Sulphur,737.8838630806846,736.8105134474328,736.4511002444988,45.0,True,False,False
4cde13fc57304d043c8d4c439486117f4016a4cf,Jan,2017,heat,hold,Sulphur,734.9328214971209,732.1669865642995,732.0767754318618,45.0,True,False,False
4ede188b1bfa35c8e98c408809e7321a7349909b,Jan,2017,auto,hold,New Orleans,695.6792452830189,770.0,720.0,55.0,False,False,False
