Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00a0f0ba8d5a1f94ea2806afb6c1baa70177c6c1,aug,2017,cool,auto,Medfield,770.0,780.0,680.0,37.0,False,False,False
00a0f0ba8d5a1f94ea2806afb6c1baa70177c6c1,aug,2017,cool,hold,Medfield,737.9615384615385,750.2692307692307,749.5,37.0,False,False,False
02382555cf0333ff1ad92861205814fd74616f88,aug,2017,cool,hold,South Hadley,784.1111111111111,774.8282828282828,679.8181818181819,55.0,False,False,False
02fe14bbcc60780d648cd5eae6868f1ff7e79b3c,aug,2017,auto,hold,Boston,732.7333333333333,733.4344569288389,645.1385767790263,100.0,False,False,False
0373b135029a70f677ca2ad36469b0088d3c56bf,aug,2017,cool,hold,Hopkinton,742.9041095890411,750.2123287671233,750.2123287671233,30.0,False,False,False
0373b135029a70f677ca2ad36469b0088d3c56bf,aug,2017,heat,hold,Hopkinton,680.8360655737705,680.0,680.0,30.0,False,False,False
044fe85f00b87d59369f157cb3c83ae761b88075,aug,2017,cool,hold,Framingham,761.2941176470588,691.9607843137255,691.9607843137255,0.0,False,False,False
04bf305e79d643f9abbf71b4133625a71d80de4a,aug,2017,cool,auto,Boston,697.815734989648,697.3146997929607,696.351966873706,15.0,False,False,True
05256343822adc11250ed359bf87fdc957d50fe1,aug,2017,cool,hold,Stoneham,767.8947368421053,757.4586466165414,757.0375939849624,70.0,False,False,False
053e620ece5aa62de0ef628b3d712c2bddd653a6,aug,2017,cool,hold,Haverhill,676.3934426229508,685.0,685.0,30.0,False,False,False
0541b0f1875c110880572e68cb7f96b08a0622b1,aug,2017,auto,hold,Southampton,723.9057239057239,739.4629629629629,649.942760942761,17.0,False,False,False
056acf9edbb36501bae8b3a2f0031a4874f7448f,aug,2017,auto,hold,Attleboro,723.2094240837696,721.2408376963351,670.6282722513089,0.0,False,False,False
0586456f00b8c644c0e666c3dc71530287be5700,aug,2017,cool,auto,Plymouth,720.0852713178294,728.5426356589147,668.8527131782946,0.0,False,False,False
0586456f00b8c644c0e666c3dc71530287be5700,aug,2017,cool,hold,Plymouth,729.443168771527,729.8668197474168,729.8438576349024,0.0,False,False,False
07076a05a793861d793b3bc6375e672127036afb,aug,2017,auto,auto,Sudbury,723.6663927691044,727.0969597370583,637.2473294987675,5.0,False,False,False
07076a05a793861d793b3bc6375e672127036afb,aug,2017,auto,hold,Sudbury,742.6427767354596,771.0968105065666,668.056660412758,5.0,False,False,False
07ffa9aae8ed23fcc9d7bdfb2766096a0d8421d7,aug,2017,cool,auto,Waltham,773.3333333333334,775.3333333333334,694.5,10.0,False,False,False
07ffa9aae8ed23fcc9d7bdfb2766096a0d8421d7,aug,2017,cool,hold,Waltham,774.9101123595506,767.8202247191011,766.2022471910112,10.0,False,False,False
0847630f30982a76741f01b9edb67b06d424d590,aug,2017,cool,auto,Brookline,743.6328125,747.98046875,699.8984375,17.0,False,False,False
0847630f30982a76741f01b9edb67b06d424d590,aug,2017,cool,hold,Brookline,729.2686567164179,731.776119402985,730.8805970149253,17.0,False,False,False
08510c3a6cabbd92539d0ddee8d08694516e2e28,aug,2017,auto,hold,Norwood,711.9166666666666,710.75,660.5,60.0,False,False,False
08510c3a6cabbd92539d0ddee8d08694516e2e28,aug,2017,cool,hold,Norwood,724.4042553191489,720.0,720.0,60.0,False,False,False
08f4bbffd98229b9dff6e093b629feb4779fdf89,aug,2017,auto,auto,Arlington,722.0,732.0,636.0,0.0,False,False,False
08f4bbffd98229b9dff6e093b629feb4779fdf89,aug,2017,auto,hold,Arlington,756.6976744186046,780.0,690.0,0.0,False,False,False
098fbf94925172d84f89bb1df55d7a0fd5fcdbd9,aug,2017,heat,hold,Yarmouth,765.4276315789474,710.0,710.0,70.0,False,False,False
09de8387d68fad87801e80b29007adea2f26ada3,aug,2017,auto,auto,Worcester,744.2142857142857,760.0,650.0,10.0,False,False,False
09de8387d68fad87801e80b29007adea2f26ada3,aug,2017,auto,hold,Worcester,743.75,775.0,650.0,10.0,False,False,False
0a09893790977946fe5bd69703f1c985cff153b0,aug,2017,cool,auto,Tewksbury,783.0,826.0,622.0,0.0,False,False,False
0a09893790977946fe5bd69703f1c985cff153b0,aug,2017,cool,hold,Tewksbury,787.1641025641026,800.6666666666666,780.9948717948718,0.0,False,False,False
0a338b1c6326436ced6ac400ee4cd1cd6d3973dd,aug,2017,heat,auto,Middleboro,745.9347623485554,710.0,660.0,15.0,False,False,False
0a3658bf66790149c39fdd347d3177030207f28d,aug,2017,cool,auto,Weston,704.8637992831541,710.2114695340501,718.3189964157706,5.0,False,False,False
