Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00a0f0ba8d5a1f94ea2806afb6c1baa70177c6c1,dec,2017,heat,auto,Medfield,645.4222222222222,650.8666666666667,636.6,37.0,False,False,False
00a0f0ba8d5a1f94ea2806afb6c1baa70177c6c1,dec,2017,heat,hold,Medfield,680.0532994923858,652.6167512690355,648.1091370558376,37.0,False,False,False
01dddc9a4241063b0f3fe22c1cbbd66cd3c8ca16,dec,2017,heat,auto,Amesbury,678.7234401349073,680.0910623946037,680.0910623946037,7.0,False,False,False
01dddc9a4241063b0f3fe22c1cbbd66cd3c8ca16,dec,2017,heat,hold,Amesbury,679.0959488272921,677.2921108742004,677.0724946695096,7.0,False,False,False
021bc49d2737cfc5291795252754c8c84d99fb90,dec,2017,heat,auto,Plainville,702.805785123967,705.6322314049587,705.3553719008264,35.0,False,False,False
021bc49d2737cfc5291795252754c8c84d99fb90,dec,2017,heat,hold,Plainville,703.9061190276614,704.8398994132439,704.7963118189439,35.0,False,False,False
02382555cf0333ff1ad92861205814fd74616f88,dec,2017,heat,auto,South Hadley,644.4532374100719,803.1654676258993,642.8057553956835,55.0,False,False,False
02382555cf0333ff1ad92861205814fd74616f88,dec,2017,heat,hold,South Hadley,657.8813559322034,760.8135593220339,656.1525423728814,55.0,False,False,False
025ad1edc944c0398c6f354f50846a02d024ba39,dec,2017,heat,auto,East Wareham,633.0044943820225,699.9258426966292,634.8629213483146,67.0,False,False,False
025ad1edc944c0398c6f354f50846a02d024ba39,dec,2017,heat,hold,East Wareham,655.9215686274509,659.2882352941176,658.1372549019608,67.0,False,False,False
02fe14bbcc60780d648cd5eae6868f1ff7e79b3c,dec,2017,auto,hold,Boston,658.1509167842031,771.1678420310296,652.2708039492243,100.0,False,False,False
0373b135029a70f677ca2ad36469b0088d3c56bf,dec,2017,heat,auto,Hopkinton,646.2864864864865,667.8486486486487,645.7945945945946,30.0,False,False,False
0373b135029a70f677ca2ad36469b0088d3c56bf,dec,2017,heat,hold,Hopkinton,685.679186228482,685.755868544601,685.5774647887324,30.0,False,False,False
037c92bd2737c0afd88be371d9fccfbe2c4b2c22,dec,2017,heat,auto,Jamaica Plain,700.6923076923077,700.0,700.0,5.0,False,False,False
037c92bd2737c0afd88be371d9fccfbe2c4b2c22,dec,2017,heat,hold,Jamaica Plain,705.7488151658767,710.1421800947867,710.1421800947867,5.0,False,False,False
03c97dee21e06d36d6e9a4b2b76f9768f90c2973,dec,2017,auto,auto,North Billerica,705.6335403726708,821.5465838509317,711.2173913043479,15.0,False,False,False
03c97dee21e06d36d6e9a4b2b76f9768f90c2973,dec,2017,auto,hold,North Billerica,695.1649029982364,816.4241622574956,700.4506172839506,15.0,False,False,False
03de431a603b0802300d3c254656bb37b953e558,dec,2017,heat,auto,Somerville,625.4642857142857,650.2857142857143,631.3928571428571,117.0,False,False,False
03de431a603b0802300d3c254656bb37b953e558,dec,2017,heat,hold,Somerville,636.7754385964912,650.0,642.8421052631579,117.0,False,False,False
042fc526ae98f18fb4927ec74b13b252a003bdc2,dec,2017,heat,hold,Middleton,679.1833333333333,680.0,680.0,15.0,True,False,False
044fe85f00b87d59369f157cb3c83ae761b88075,dec,2017,heat,auto,Framingham,707.4264705882352,711.4705882352941,711.4705882352941,0.0,False,False,False
