Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0001dfcbc22d23f9170714d0e3428f14b2626276,feb,2021,heat,hold,New Bedford,616.125,650.0,620.0,0.0,False,False,False
00a0f0ba8d5a1f94ea2806afb6c1baa70177c6c1,feb,2021,heat,hold,Medfield,675.9789029535865,678.2067510548524,678.0801687763714,37.0,False,False,False
00a9cbb5e2ee388e61d7fa92fc762c725d4a8c76,feb,2021,auto,hold,Newton,674.5,788.0,671.0,10.0,False,False,False
019c5eecdb47ecf46a4c4a1fe9d8a50618e652f2,feb,2021,auto,hold,Needham,665.45197740113,780.0,649.8135593220339,20.0,False,False,False
01a28ab243f4d2fd1a22bf4d05a115971d9fb471,feb,2021,heat,hold,North Andover,675.8958333333334,680.0,680.0,10.0,True,False,False
01a2ab82ff9b731e47a504b41b5802dbbbfaf4fa,feb,2021,auto,hold,Winchester,716.3395693611013,810.0,720.0,90.0,False,False,False
01c66208f7592bbe8a08a40fc76bde2cf4eebe66,feb,2021,heat,hold,Natick,637.6952380952381,650.0,642.1571428571428,0.0,False,False,False
01dddc9a4241063b0f3fe22c1cbbd66cd3c8ca16,feb,2021,heat,hold,Amesbury,690.8,695.2571428571429,693.5428571428571,7.0,False,False,False
021bc49d2737cfc5291795252754c8c84d99fb90,feb,2021,heat,hold,Plainville,671.0900473933649,672.3400473933649,671.7298578199052,35.0,False,False,False
023185350ab8ebc35230d3fcfd2a597d16f5e6c0,feb,2021,auto,hold,Hopkinton,704.2206896551725,765.7103448275863,703.3724137931034,5.0,False,False,False
02382555cf0333ff1ad92861205814fd74616f88,feb,2021,auto,hold,South Hadley,714.2488584474886,780.0,711.3333333333334,55.0,False,False,False
02bfbc9fcd3bbc8906fecf5887f03fe9cc27b06f,feb,2021,heat,hold,Malden,655.2659574468086,666.7198581560284,666.8156028368794,40.0,False,False,True
02fe14bbcc60780d648cd5eae6868f1ff7e79b3c,feb,2021,auto,hold,Boston,663.3333333333334,713.1428571428571,662.1666666666666,100.0,False,False,False
0373b135029a70f677ca2ad36469b0088d3c56bf,feb,2021,heat,hold,Hopkinton,654.0,664.2857142857143,664.2857142857143,30.0,False,False,False
03916eb9d268595a8a14e0cde58eb4e938e8dd48,feb,2021,heat,hold,Watertown,646.4606918238994,656.809355345912,648.500393081761,120.0,False,False,False
03c97dee21e06d36d6e9a4b2b76f9768f90c2973,feb,2021,auto,hold,North Billerica,578.0,820.0,617.0,15.0,False,False,False
03de431a603b0802300d3c254656bb37b953e558,feb,2021,heat,hold,Somerville,645.0,682.3333333333334,650.0,117.0,False,False,False
042fc526ae98f18fb4927ec74b13b252a003bdc2,feb,2021,heat,hold,Middleton,678.825,682.6644736842105,682.4394736842105,15.0,True,False,False
045a90f70c0bd6b605a2e0f2e49f4c6c1096cac4,feb,2021,heat,hold,Westminster,686.9990787655458,689.0921234454169,689.0792261630585,20.0,False,False,False
04a5a8382e632650b2531c41af3f71d878f12561,feb,2021,auto,hold,Feeding Hills,708.068100358423,790.0,710.0,30.0,False,False,False
051f64ffa94476070b828e6b3336233485a63572,feb,2021,heat,hold,Lunenburg,673.6048565121413,681.7086092715232,680.3730684326711,16.0,False,False,False
052328602d259e154de58fbea755e5236e4832f1,feb,2021,heat,hold,Templeton,656.0,684.0,658.0,120.0,False,False,False
052b94d71c3a60fc6565a6a7e6dc0aabbe85b16a,feb,2021,heat,hold,Natick,677.0336058128973,678.2970027247957,678.2970027247957,90.0,False,False,False
