Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00a8aafaecdc1226b60ab865f4741b02e5fec578,jul,2019,cool,auto,Westwood,777.5428571428571,781.9428571428572,675.2,5.0,False,False,False
019c5eecdb47ecf46a4c4a1fe9d8a50618e652f2,jul,2019,auto,auto,Needham,739.2460732984293,741.6753926701571,640.0,20.0,False,False,False
019c5eecdb47ecf46a4c4a1fe9d8a50618e652f2,jul,2019,auto,hold,Needham,791.4205298013245,800.0,640.0,20.0,False,False,False
01a28ab243f4d2fd1a22bf4d05a115971d9fb471,jul,2019,cool,auto,North Andover,732.7478005865103,733.592375366569,733.592375366569,10.0,True,False,False
01a28ab243f4d2fd1a22bf4d05a115971d9fb471,jul,2019,cool,hold,North Andover,725.6190476190476,719.5170068027211,719.5170068027211,10.0,True,False,False
01a2ab82ff9b731e47a504b41b5802dbbbfaf4fa,jul,2019,auto,hold,Winchester,779.6052631578947,781.35285795133,690.0,90.0,False,False,False
01dddc9a4241063b0f3fe22c1cbbd66cd3c8ca16,jul,2019,cool,auto,Amesbury,743.3529411764706,736.1960784313726,659.9803921568628,7.0,False,False,False
01dddc9a4241063b0f3fe22c1cbbd66cd3c8ca16,jul,2019,cool,hold,Amesbury,747.6538461538462,731.5384615384615,730.7307692307693,7.0,False,False,False
01e04fcaecc5646bbeba13a1392d33dd30403965,jul,2019,cool,auto,Wayland,717.898406374502,714.9588313413014,714.9588313413014,65.0,False,False,False
01e04fcaecc5646bbeba13a1392d33dd30403965,jul,2019,cool,hold,Wayland,712.6932624113475,710.0,710.0,65.0,False,False,False
01e87e1d1bd88f2a84455c015a45d3460cdce717,jul,2019,cool,auto,Boxborough,753.8333333333334,695.4166666666666,703.3333333333334,5.0,False,False,False
023185350ab8ebc35230d3fcfd2a597d16f5e6c0,jul,2019,auto,auto,Hopkinton,730.8888888888889,726.8840579710145,669.0338164251208,5.0,False,False,False
023185350ab8ebc35230d3fcfd2a597d16f5e6c0,jul,2019,auto,hold,Hopkinton,713.1041666666666,700.0,650.0,5.0,False,False,False
02382555cf0333ff1ad92861205814fd74616f88,jul,2019,cool,hold,South Hadley,785.7153284671533,786.5474452554745,719.0656934306569,55.0,False,False,False
02b696f3784a0b13fc9de7883fb76bd2c1d25fa5,jul,2019,cool,hold,Natick,706.1666666666666,703.0833333333334,702.9583333333334,15.0,False,False,False
02bfbc9fcd3bbc8906fecf5887f03fe9cc27b06f,jul,2019,cool,auto,Malden,697.9733023795706,696.9320951828207,678.3662217063262,40.0,False,False,True
