Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00146b92aa45248f15537bd507a76c650e898d53,aug,2020,cool,auto,Annapolis,712.5652173913044,713.1594202898551,713.1594202898551,30.0,True,False,True
00169fef3ce1e3a7aaaa39f9f28d8db467527197,aug,2020,auto,auto,Columbia,741.5,772.5,618.0,40.0,True,False,True
002810066b5066f73ebb23c9a6872760028f5cd8,aug,2020,cool,auto,Hanover,711.375,740.0,740.0,10.0,False,False,False
003a3b5c65e4767907f528a81c3bc75c08aefb02,aug,2020,cool,auto,Belcamp,704.141780155642,702.9666828793775,702.9666828793775,10.0,False,False,False
003a3b5c65e4767907f528a81c3bc75c08aefb02,aug,2020,cool,hold,Belcamp,707.114122681883,705.0542082738945,705.0542082738945,10.0,False,False,False
004d65377c96d3ad22f52b1f4cec9f5cd105ed0a,aug,2020,cool,hold,Silver Spring,755.0952380952381,750.1904761904761,749.5238095238095,10.0,False,False,False
005778a727585278e6e4ff5e4fa04d98b16477b7,aug,2020,cool,auto,Gaithersburg,723.4583333333334,680.6041666666666,669.875,17.0,False,False,False
005778a727585278e6e4ff5e4fa04d98b16477b7,aug,2020,cool,hold,Gaithersburg,734.0208333333334,690.5,689.6666666666666,17.0,False,False,False
0078c067e39a58f65e3ea18c7fb725c9a40d199f,aug,2020,cool,auto,Glen Burnie,743.6538461538462,730.0,680.0,35.0,True,False,True
0078c067e39a58f65e3ea18c7fb725c9a40d199f,aug,2020,cool,hold,Glen Burnie,755.7796610169491,722.0338983050848,722.0338983050848,35.0,True,False,True
00afa6761bc22486ea6b4194ea3c7be1a0158363,aug,2020,cool,hold,Bel Air,754.4705882352941,750.3725490196078,748.7843137254902,35.0,True,False,True
00dbe9ac8739bb0d1f669da1600427adedaa5bf9,aug,2020,auto,hold,North East,759.0,741.0,681.0,60.0,False,False,False
00eb44f8221a85af0ace0f5c7eae1d25e19d00ba,aug,2020,cool,auto,West River,730.85,730.0,730.0,20.0,True,False,True
00eb44f8221a85af0ace0f5c7eae1d25e19d00ba,aug,2020,cool,hold,West River,743.9128787878788,743.6363636363636,735.4545454545455,20.0,True,False,True
00fd0647d144ba028dfd28dc600312797908daa5,aug,2020,cool,auto,Pasadena,758.1509433962265,770.0,770.0,39.0,True,False,True
00fd0647d144ba028dfd28dc600312797908daa5,aug,2020,cool,hold,Pasadena,745.2237762237762,744.0,744.0,39.0,True,False,True
0165a2368b458338813f1bc9e8075213c41bed3e,aug,2020,cool,hold,Abingdon,706.9767441860465,700.3023255813954,698.9069767441861,40.0,True,False,True
0167fa77912540b337e1e4c29796643208af2ae0,aug,2020,cool,auto,Glen Burnie,698.5489417989418,696.260582010582,696.260582010582,0.0,False,False,False
0167fa77912540b337e1e4c29796643208af2ae0,aug,2020,cool,hold,Glen Burnie,745.5434500648508,752.2568093385214,752.2568093385214,0.0,False,False,False
0185d7fb1210cc49c28265b5ee9b6cebb27006a6,aug,2020,cool,auto,Bishopville,747.0757575757576,739.969696969697,660.0,10.0,False,False,False
01a005ccb3498b662cc66d9be842728a38b20037,aug,2020,cool,auto,Baltimore,741.6158415841584,746.8653465346534,746.4435643564357,39.0,False,False,False
01a005ccb3498b662cc66d9be842728a38b20037,aug,2020,cool,hold,Baltimore,731.7731092436975,720.0504201680673,719.8655462184873,39.0,False,False,False
01bd4e3b97a9dc3fb7d1d09b016918ee88b16717,aug,2020,cool,auto,Odenton,739.1588594704684,737.1008146639512,737.1008146639512,20.0,True,False,True
01bd4e3b97a9dc3fb7d1d09b016918ee88b16717,aug,2020,cool,hold,Odenton,742.4297752808989,740.7443820224719,740.7443820224719,20.0,True,False,True
01d38bbecc7f0421747b28bb30015f1b8464028e,aug,2020,cool,auto,Baltimore,764.4565868263473,764.4640718562874,736.6017964071856,0.0,True,False,False
01d52ed97d0be11254d11570a034879724567b3b,aug,2020,auto,hold,Laurel,776.1680672268908,774.8235294117648,722.6890756302521,5.0,False,False,False
01e3497cc972ac115d21a61fad8a84c315a156c1,aug,2020,cool,auto,Suitland,763.3780487804878,760.0,760.0,50.0,False,False,False
02363351accd044caeaa05653b8b87ed9c66cd49,aug,2020,cool,auto,Ellicott City,783.9176470588235,803.0235294117647,784.2588235294118,25.0,False,False,True
02363351accd044caeaa05653b8b87ed9c66cd49,aug,2020,cool,hold,Ellicott City,763.1812080536913,765.503355704698,763.0536912751678,25.0,False,False,True
02446cf9be66d9dd0ce200101d1c63f72a70d263,aug,2020,auto,hold,Upper Marlboro,771.4137931034483,760.0,700.0,37.0,True,False,True
024adc6eed1c5ef622c6b49a6d807b2a3a46a03e,aug,2020,cool,hold,Arnold,763.0,752.0,752.0,25.0,False,False,False
0273026003d9c4b7d9ca0be5a91974404b12056d,aug,2020,cool,hold,Bensville,740.9733727810651,710.5739644970414,710.5739644970414,0.0,True,False,False
0277942499067b43b633180ff20cdace9f5e4025,aug,2020,cool,auto,Baltimore,718.1924528301887,698.3954716981132,698.3954716981132,0.0,False,False,False
02ab87e2b0c9501f1c1acf2d6814ba0ac3385fd2,aug,2020,cool,auto,Baltimore,741.2474874371859,736.7154522613065,736.697864321608,40.0,False,False,False
02ac5e0b8e14ee2d3ace34e3b00768d0110ed7d2,aug,2020,auto,hold,Saint Leonard,730.8787878787879,730.6818181818181,629.6969696969697,39.0,True,False,True
02f985e7fee6a0b950fc2767c340dcaef164729c,aug,2020,cool,hold,Brunswick,722.0526315789474,719.7368421052631,689.7368421052631,0.0,False,False,False
031817c0614774e26466af3c6c1343c0f0dc0eb2,aug,2020,cool,hold,Baltimore,751.5684340320591,746.9704069050555,746.8199753390876,10.0,False,False,False
0331f91f82eb43a0586ac15e71841cdd1c6596dc,aug,2020,cool,auto,&#x9d;&#x9d;&#x9d;&#,740.5,716.0,716.0,0.0,True,False,True
0362e3f05c468407bd86b8e30f32272a528cb9f9,aug,2020,cool,auto,Ellicott City,759.9747235387046,763.2101105845181,763.2101105845181,0.0,False,False,False
0362e3f05c468407bd86b8e30f32272a528cb9f9,aug,2020,cool,hold,Ellicott City,762.9228115567055,769.8762397585166,769.8762397585166,0.0,False,False,False
038758a748056a594fdeb469244fbdf0af1c14b7,aug,2020,auto,auto,Essex,715.9166666666666,717.199074074074,652.9861111111111,0.0,True,False,True
