Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00146b92aa45248f15537bd507a76c650e898d53,dec,2018,auto,hold,Annapolis,715.4933333333333,772.92,721.7466666666667,30.0,True,False,True
00146b92aa45248f15537bd507a76c650e898d53,dec,2018,auxHeatOnly,auto,Annapolis,719.7555555555556,722.0,722.0,30.0,True,False,True
00146b92aa45248f15537bd507a76c650e898d53,dec,2018,auxHeatOnly,hold,Annapolis,718.123076923077,754.3076923076923,738.1538461538462,30.0,True,False,True
00169fef3ce1e3a7aaaa39f9f28d8db467527197,dec,2018,auto,auto,Columbia,710.4444444444445,768.3333333333334,718.3333333333334,40.0,True,False,True
001cb586cbb1bfa7441fff670b3357d9d412926a,dec,2018,heat,auto,Columbia,649.9166666666666,663.9444444444445,650.75,40.0,True,False,True
002810066b5066f73ebb23c9a6872760028f5cd8,dec,2018,heat,auto,Hanover,698.5882352941177,710.0,710.0,10.0,False,False,False
002810066b5066f73ebb23c9a6872760028f5cd8,dec,2018,heat,hold,Hanover,728.641975308642,739.6172839506173,738.9135802469136,10.0,False,False,False
003a3b5c65e4767907f528a81c3bc75c08aefb02,dec,2018,heat,auto,Belcamp,675.1777674634486,673.7723369691344,673.491761429566,10.0,False,False,False
003a3b5c65e4767907f528a81c3bc75c08aefb02,dec,2018,heat,hold,Belcamp,689.3361169102296,692.0271398747391,692.0271398747391,10.0,False,False,False
004d65377c96d3ad22f52b1f4cec9f5cd105ed0a,dec,2018,heat,auto,Silver Spring,708.4720930232559,710.6825581395349,710.5720930232558,10.0,False,False,False
004d65377c96d3ad22f52b1f4cec9f5cd105ed0a,dec,2018,heat,hold,Silver Spring,696.8443935926773,696.9038901601831,696.816933638444,10.0,False,False,False
005778a727585278e6e4ff5e4fa04d98b16477b7,dec,2018,heat,hold,Gaithersburg,599.3948811700183,653.4753199268739,589.4387568555759,17.0,False,False,False
00c23e0616d0ace3e31d7a1ea3dfae27623851fa,dec,2018,heat,auto,Pasadena,738.1794871794872,751.7948717948718,751.1794871794872,80.0,True,False,True
00c23e0616d0ace3e31d7a1ea3dfae27623851fa,dec,2018,heat,hold,Pasadena,606.8042704626334,602.9893238434164,602.9848754448399,80.0,True,False,True
