Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00146b92aa45248f15537bd507a76c650e898d53,feb,2020,heat,auto,Annapolis,714.9557522123894,720.5899705014749,720.5899705014749,30.0,True,False,True
001cb586cbb1bfa7441fff670b3357d9d412926a,feb,2020,heat,auto,Columbia,697.5,718.875,718.875,40.0,True,False,True
001cb586cbb1bfa7441fff670b3357d9d412926a,feb,2020,heat,hold,Columbia,683.6295180722891,685.0150602409639,684.3674698795181,40.0,True,False,True
002810066b5066f73ebb23c9a6872760028f5cd8,feb,2020,heat,auto,Hanover,685.5370370370371,695.1111111111111,693.7592592592592,10.0,False,False,False
002810066b5066f73ebb23c9a6872760028f5cd8,feb,2020,heat,hold,Hanover,691.0769230769231,698.9615384615385,697.6923076923077,10.0,False,False,False
003a3b5c65e4767907f528a81c3bc75c08aefb02,feb,2020,heat,auto,Belcamp,679.9925812228191,681.1893067280635,681.1893067280635,10.0,False,False,False
003a3b5c65e4767907f528a81c3bc75c08aefb02,feb,2020,heat,hold,Belcamp,686.6755555555555,687.48,687.48,10.0,False,False,False
004d65377c96d3ad22f52b1f4cec9f5cd105ed0a,feb,2020,heat,auto,Silver Spring,720.2935323383084,723.9253731343283,723.3880597014926,10.0,False,False,False
004d65377c96d3ad22f52b1f4cec9f5cd105ed0a,feb,2020,heat,hold,Silver Spring,724.44,729.144,728.232,10.0,False,False,False
0078c067e39a58f65e3ea18c7fb725c9a40d199f,feb,2020,heat,hold,Glen Burnie,676.1135693215339,680.0,680.0,35.0,True,False,True
00afa6761bc22486ea6b4194ea3c7be1a0158363,feb,2020,auxHeatOnly,auto,Bel Air,682.8235294117648,654.2352941176471,640.7058823529412,35.0,True,False,True
00afa6761bc22486ea6b4194ea3c7be1a0158363,feb,2020,auxHeatOnly,hold,Bel Air,682.2275862068966,675.2758620689655,672.4551724137931,35.0,True,False,True
00dbe9ac8739bb0d1f669da1600427adedaa5bf9,feb,2020,auto,hold,North East,690.4791666666666,711.2916666666666,661.2916666666666,60.0,False,False,False
00de2973fa20d09d8c2fd4431820bc1a3b361427,feb,2020,auto,hold,Bowie,712.28,765.0,715.0,0.0,False,False,False
00eb44f8221a85af0ace0f5c7eae1d25e19d00ba,feb,2020,heat,auto,West River,664.4603886397608,680.0,670.0,20.0,True,False,True
00fd0647d144ba028dfd28dc600312797908daa5,feb,2020,heat,auto,Pasadena,713.4666666666667,688.5333333333333,688.5333333333333,39.0,True,False,True
00fd0647d144ba028dfd28dc600312797908daa5,feb,2020,heat,hold,Pasadena,713.1408450704225,715.887323943662,715.8560250391237,39.0,True,False,True
0115d4565dcf7c1441e7f8d0e5d998c2f5bc07e9,feb,2020,auto,auto,California,696.7964601769911,750.0147492625368,700.0,57.0,False,False,False
0165a2368b458338813f1bc9e8075213c41bed3e,feb,2020,heat,hold,Abingdon,702.6666666666666,721.0,718.0,40.0,True,False,True
0185d7fb1210cc49c28265b5ee9b6cebb27006a6,feb,2020,heat,auto,Bishopville,663.1666666666666,770.0,670.0,10.0,False,False,False
01a005ccb3498b662cc66d9be842728a38b20037,feb,2020,heat,auto,Baltimore,641.7777777777778,635.2888888888889,635.2888888888889,39.0,False,False,False
