Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
001cb586cbb1bfa7441fff670b3357d9d412926a,feb,2021,heat,hold,Columbia,699.8461538461538,705.7211538461538,705.1826923076923,40.0,True,False,True
002810066b5066f73ebb23c9a6872760028f5cd8,feb,2021,heat,hold,Hanover,662.3333333333334,665.0,665.0,10.0,False,False,False
003a3b5c65e4767907f528a81c3bc75c08aefb02,feb,2021,heat,hold,Belcamp,696.8737864077669,700.0,700.0,10.0,False,False,False
004d65377c96d3ad22f52b1f4cec9f5cd105ed0a,feb,2021,heat,hold,Silver Spring,714.3205128205128,720.0,720.0,10.0,False,False,False
005778a727585278e6e4ff5e4fa04d98b16477b7,feb,2021,heat,hold,Gaithersburg,690.75,700.202380952381,699.6904761904761,17.0,False,False,False
0078c067e39a58f65e3ea18c7fb725c9a40d199f,feb,2021,heat,hold,Glen Burnie,677.9392338177015,683.8507265521797,683.7463672391017,35.0,True,False,True
00de2973fa20d09d8c2fd4431820bc1a3b361427,feb,2021,auto,hold,Bowie,696.9,750.0,700.0,0.0,False,False,False
00eb44f8221a85af0ace0f5c7eae1d25e19d00ba,feb,2021,heat,hold,West River,646.8846153846154,680.0,650.0,20.0,True,False,True
00fd0647d144ba028dfd28dc600312797908daa5,feb,2021,heat,hold,Pasadena,728.7683486238532,733.8119266055046,733.8119266055046,39.0,True,False,True
0115d4565dcf7c1441e7f8d0e5d998c2f5bc07e9,feb,2021,auto,hold,California,721.9166666666666,782.25,732.25,57.0,False,False,False
0167fa77912540b337e1e4c29796643208af2ae0,feb,2021,heat,hold,Glen Burnie,713.5970149253732,718.4104477611941,718.4104477611941,0.0,False,False,False
01a005ccb3498b662cc66d9be842728a38b20037,feb,2021,heat,hold,Baltimore,667.2454991816694,673.6693944353519,672.6252045826513,39.0,False,False,False
01bd4e3b97a9dc3fb7d1d09b016918ee88b16717,feb,2021,heat,hold,Odenton,676.25,690.0,690.0,20.0,True,False,True
01d52ed97d0be11254d11570a034879724567b3b,feb,2021,auto,hold,Laurel,719.0,790.0,740.0,5.0,False,False,False
01e3497cc972ac115d21a61fad8a84c315a156c1,feb,2021,heat,hold,Suitland,714.0481927710844,731.7048192771084,728.9156626506024,50.0,False,False,False
02363351accd044caeaa05653b8b87ed9c66cd49,feb,2021,heat,hold,Ellicott City,706.1458333333334,710.0,710.0,25.0,False,False,True
02ab87e2b0c9501f1c1acf2d6814ba0ac3385fd2,feb,2021,heat,hold,Baltimore,661.5871559633027,689.9908256880734,689.9724770642201,40.0,False,False,False
02ac5e0b8e14ee2d3ace34e3b00768d0110ed7d2,feb,2021,heat,hold,Saint Leonard,670.2347083926031,680.0,680.0,39.0,True,False,True
02b19afdbe3e1c6f4b8ba8b45549a116c82f13e2,feb,2021,heat,hold,Ellicott City,691.1550632911392,701.9018987341772,701.9018987341772,20.0,False,False,False
0362e3f05c468407bd86b8e30f32272a528cb9f9,feb,2021,heat,hold,Ellicott City,725.5718954248366,728.9330065359477,728.9330065359477,0.0,False,False,False
038758a748056a594fdeb469244fbdf0af1c14b7,feb,2021,auto,hold,Essex,713.1214574898786,820.0,721.2145748987854,0.0,True,False,True
038758a748056a594fdeb469244fbdf0af1c14b7,feb,2021,heat,hold,Essex,697.9484126984127,692.7638888888889,692.7638888888889,0.0,True,False,True
