Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00146b92aa45248f15537bd507a76c650e898d53,jul,2019,cool,auto,Annapolis,712.0511590727418,710.414068745004,650.3117505995203,30.0,True,False,True
00146b92aa45248f15537bd507a76c650e898d53,jul,2019,cool,hold,Annapolis,725.7222222222222,700.0,700.0,30.0,True,False,True
00155eb6bd323271f1175e39fe7dea89a76eeb83,jul,2019,cool,auto,Columbia,785.3543307086615,784.0157480314961,784.0157480314961,49.0,True,False,False
00169fef3ce1e3a7aaaa39f9f28d8db467527197,jul,2019,auto,hold,Columbia,737.0,813.0,695.0,40.0,True,False,True
001cb586cbb1bfa7441fff670b3357d9d412926a,jul,2019,cool,hold,Columbia,766.9903846153846,766.3269230769231,765.9903846153846,40.0,True,False,True
002810066b5066f73ebb23c9a6872760028f5cd8,jul,2019,cool,hold,Hanover,681.6284680337757,678.7442702050663,678.680337756333,10.0,False,False,False
003a3b5c65e4767907f528a81c3bc75c08aefb02,jul,2019,cool,auto,Belcamp,697.5196172248803,695.3888357256778,695.3888357256778,10.0,False,False,False
003a3b5c65e4767907f528a81c3bc75c08aefb02,jul,2019,cool,hold,Belcamp,712.36717752235,710.9980842911878,710.9980842911878,10.0,False,False,False
004d65377c96d3ad22f52b1f4cec9f5cd105ed0a,jul,2019,cool,auto,Silver Spring,794.4703856749311,805.9132231404959,674.0757575757576,10.0,False,False,False
004d65377c96d3ad22f52b1f4cec9f5cd105ed0a,jul,2019,cool,hold,Silver Spring,750.2857142857143,748.9113300492611,748.2610837438424,10.0,False,False,False
005778a727585278e6e4ff5e4fa04d98b16477b7,jul,2019,cool,hold,Gaithersburg,768.9722222222222,800.0,790.0,17.0,False,False,False
0078c067e39a58f65e3ea18c7fb725c9a40d199f,jul,2019,cool,auto,Glen Burnie,761.0,740.0,770.0,35.0,True,False,True
0078c067e39a58f65e3ea18c7fb725c9a40d199f,jul,2019,cool,hold,Glen Burnie,749.4758220502902,763.7998065764024,763.8201160541586,35.0,True,False,True
00afa6761bc22486ea6b4194ea3c7be1a0158363,jul,2019,auto,auto,Bel Air,739.8666666666667,739.1666666666666,679.6,35.0,True,False,True
00c23e0616d0ace3e31d7a1ea3dfae27623851fa,jul,2019,cool,auto,Pasadena,811.3255813953489,720.0,720.0,80.0,True,False,True
00de2973fa20d09d8c2fd4431820bc1a3b361427,jul,2019,auto,auto,Bowie,705.4642857142857,693.9642857142857,637.9357142857143,0.0,False,False,False
00de2973fa20d09d8c2fd4431820bc1a3b361427,jul,2019,auto,hold,Bowie,701.0833333333334,700.1666666666666,647.0,0.0,False,False,False
00eb44f8221a85af0ace0f5c7eae1d25e19d00ba,jul,2019,cool,hold,West River,764.7777777777778,770.0,750.0,20.0,True,False,True
00fd0647d144ba028dfd28dc600312797908daa5,jul,2019,cool,auto,Pasadena,770.0755208333334,778.875,778.7604166666666,39.0,True,False,True
00fd0647d144ba028dfd28dc600312797908daa5,jul,2019,cool,hold,Pasadena,770.6488413547237,770.1336898395722,770.1336898395722,39.0,True,False,True
0111741884c450a843ae8730fe8871400fc27b16,jul,2019,auto,auto,Ijamsville,736.4697031313542,736.1447742984953,670.0,0.0,False,False,False
0111741884c450a843ae8730fe8871400fc27b16,jul,2019,auto,hold,Ijamsville,741.014939309057,741.7880485527544,670.0,0.0,False,False,False
0115cb1e5813060135f603e67db7dc1794d15b98,jul,2019,cool,auto,Essex,721.5087719298245,720.0,720.0,29.0,True,False,True
0115cb1e5813060135f603e67db7dc1794d15b98,jul,2019,cool,hold,Essex,706.8014291086874,696.1180895073336,696.0842421963144,29.0,True,False,True
0115d4565dcf7c1441e7f8d0e5d998c2f5bc07e9,jul,2019,auto,auto,California,777.6190476190476,734.1428571428571,677.0,57.0,False,False,False
0165a2368b458338813f1bc9e8075213c41bed3e,jul,2019,cool,auto,Abingdon,720.5373134328358,702.5671641791045,701.6716417910447,40.0,True,False,True
0185d7fb1210cc49c28265b5ee9b6cebb27006a6,jul,2019,cool,auto,Bishopville,793.149377593361,805.5684647302904,647.5933609958506,10.0,False,False,False
0185d7fb1210cc49c28265b5ee9b6cebb27006a6,jul,2019,cool,hold,Bishopville,761.2786885245902,750.8524590163935,748.6065573770492,10.0,False,False,False
01bd4e3b97a9dc3fb7d1d09b016918ee88b16717,jul,2019,cool,auto,Odenton,741.8527555742533,747.3003786285234,747.3003786285234,20.0,True,False,True
01bd4e3b97a9dc3fb7d1d09b016918ee88b16717,jul,2019,cool,hold,Odenton,740.6672845227062,739.6756255792401,739.6756255792401,20.0,True,False,True
01d1d49eeb2e43e2dce986538af0dc432c79b747,jul,2019,cool,hold,California,723.1111111111111,703.4920634920635,703.4444444444445,39.0,True,False,True
01d38bbecc7f0421747b28bb30015f1b8464028e,jul,2019,cool,auto,Baltimore,785.7083333333334,785.0,785.0,0.0,True,False,False
01d52ed97d0be11254d11570a034879724567b3b,jul,2019,cool,auto,Laurel,799.4676258992806,811.0143884892086,685.6115107913669,5.0,False,False,False
01d52ed97d0be11254d11570a034879724567b3b,jul,2019,cool,hold,Laurel,809.6117647058824,823.6470588235294,740.0,5.0,False,False,False
01e3497cc972ac115d21a61fad8a84c315a156c1,jul,2019,cool,hold,Suitland,743.8627450980392,734.2549019607843,719.5490196078431,50.0,False,False,False
02363351accd044caeaa05653b8b87ed9c66cd49,jul,2019,cool,hold,Ellicott City,762.4618320610687,743.8549618320611,743.8549618320611,25.0,False,False,True
023c0fa05b58c503df8b3d752d52e60ae207fab7,jul,2019,cool,auto,Germantown,721.875,716.7954545454545,716.4318181818181,20.0,False,False,False
