Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
001cb586cbb1bfa7441fff670b3357d9d412926a,jun,2021,cool,hold,Columbia,772.6666666666666,770.0196078431372,770.0196078431372,40.0,True,False,True
003a3b5c65e4767907f528a81c3bc75c08aefb02,jun,2021,cool,hold,Belcamp,702.5902777777778,702.3263888888889,702.3263888888889,10.0,False,False,False
004d65377c96d3ad22f52b1f4cec9f5cd105ed0a,jun,2021,cool,hold,Silver Spring,751.9028571428571,749.4871428571429,749.1171428571429,10.0,False,False,False
005778a727585278e6e4ff5e4fa04d98b16477b7,jun,2021,cool,hold,Gaithersburg,724.1896551724138,684.9310344827586,684.7873563218391,17.0,False,False,False
0078c067e39a58f65e3ea18c7fb725c9a40d199f,jun,2021,cool,hold,Glen Burnie,766.1636363636363,771.4727272727273,771.4545454545455,35.0,True,False,True
00dbe9ac8739bb0d1f669da1600427adedaa5bf9,jun,2021,cool,hold,North East,738.25,720.0,720.0,60.0,False,False,False
00eb44f8221a85af0ace0f5c7eae1d25e19d00ba,jun,2021,cool,hold,West River,728.6606397774688,730.0,730.0,20.0,True,False,True
00fd0647d144ba028dfd28dc600312797908daa5,jun,2021,cool,hold,Pasadena,729.8243727598566,728.8446833930705,728.8446833930705,39.0,True,False,True
0115d4565dcf7c1441e7f8d0e5d998c2f5bc07e9,jun,2021,auto,hold,California,750.5,733.0,683.0,57.0,False,False,False
0167fa77912540b337e1e4c29796643208af2ae0,jun,2021,cool,hold,Glen Burnie,718.4402277039849,730.5749525616699,730.5749525616699,0.0,False,False,False
01a005ccb3498b662cc66d9be842728a38b20037,jun,2021,cool,hold,Baltimore,725.8263157894737,720.1315789473684,719.6421052631579,39.0,False,False,False
01bd4e3b97a9dc3fb7d1d09b016918ee88b16717,jun,2021,cool,hold,Odenton,726.3472222222222,735.0,735.0,20.0,True,False,True
01bd4e3b97a9dc3fb7d1d09b016918ee88b16717,jun,2021,heat,hold,Odenton,699.9166666666666,690.0,690.0,20.0,True,False,True
01d1d49eeb2e43e2dce986538af0dc432c79b747,jun,2021,auto,hold,California,736.258064516129,730.0,680.0,39.0,True,False,True
01d52ed97d0be11254d11570a034879724567b3b,jun,2021,auto,hold,Laurel,787.5,770.0,720.0,5.0,False,False,False
