Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
001d65da87242dc0b8bb7013ec8efe01c813e750,feb,2021,heat,hold,Lake Orion,703.4559386973181,705.919540229885,705.9226053639846,57.0,False,False,False
001fded0a083f726b2ccab5616a25874f4af28a2,feb,2021,heat,hold,Grand Rapids,690.2635658914729,695.7403100775193,694.7635658914729,40.0,False,False,False
0028411d4a94308c4b0baca5f2ea9c20ee6a3df6,feb,2021,heat,hold,Delhi charter Townsh,681.1851851851852,685.7259259259259,684.4814814814815,0.0,True,False,False
005ed661c2e61c794259a9ea59fa635198f73779,feb,2021,heat,hold,Gerrish Township,672.2293762575453,668.9758551307847,668.9758551307847,0.0,False,False,False
00600479ce78c1cb4bfc08723e8887e839314ecc,feb,2021,auto,hold,hudsonville,698.3129921259842,750.4625984251968,700.4625984251968,26.0,False,False,False
00dba2b3818636f730e3c1d6d4a65093dd8baeee,feb,2021,heat,hold,Greenville,693.3116883116883,683.8961038961039,683.8961038961039,20.0,False,False,False
00f8bf11061ef58415c425e1d4330c176068cb8d,feb,2021,heat,hold,Ada,689.3333333333334,697.0,697.0,49.0,False,False,False
0118fe69328c51c2015c2ad424735592d918ed94,feb,2021,heat,hold,Detroit,691.690807799443,698.5738161559889,697.933147632312,100.0,False,False,False
0119e0242041f03e3fe3e12ca532b508adf1d916,feb,2021,heat,hold,Novi,693.1134426229509,689.8065573770492,689.8065573770492,10.0,False,False,False
013f5d79e7b81d68c8a3f244f3286d94ac18e2d0,feb,2021,heat,hold,Detroit,759.7639821029082,758.7203579418344,758.7203579418344,80.0,False,False,False
0141e0bf8be1aea5fe7fd0e5cbbd80ba6a91e7cf,feb,2021,heat,hold,Grand Blanc,666.9402985074627,671.2537313432836,671.044776119403,69.0,False,False,False
01702af22d0cb064c81f7d18afde95cff8df32b2,feb,2021,heat,hold,South Lyon,730.7921587151629,735.2730278696268,735.2725555030704,5.0,False,False,False
01a796d5061831976d4f0e5a24e88d2fb47abfa0,feb,2021,heat,hold,Saint Joseph,713.835260115607,715.3959537572255,714.9653179190751,15.0,False,False,False
01f0a59798f2628a1d716936a76b0136a0904f70,feb,2021,heat,hold,Midland,705.2134905042567,706.9056974459725,706.9056974459725,35.0,False,False,False
021d875d947995b2da001d4c18db83760051e002,feb,2021,heat,hold,Marshall,694.2501992031872,700.0494023904382,700.0494023904382,87.0,False,False,False
02238cabe573049e8824ccf8b9a7a211639ed8a3,feb,2021,heat,hold,Grand Rapids,700.8737024221454,705.363321799308,705.363321799308,98.0,False,False,False
02264938df7633eea3cb607151fc3ea38bdd0aa8,feb,2021,heat,hold,Dearborn,712.0,720.0,720.0,75.0,False,False,False
02b945a07067947496bfde9fdbd3e298a593aa91,feb,2021,heat,hold,Brighton,681.5714285714286,681.038961038961,681.038961038961,5.0,False,False,False
02c14f1e952bed814a7f52a0e15894be2bcecafd,feb,2021,heat,hold,Milford Charter Town,692.1034482758621,698.7241379310345,696.7241379310345,0.0,False,False,False
02f8fbe53eb08d8cea30cabf7eb8bb4a90b1dc39,feb,2021,heat,hold,TROY,716.90857605178,720.0,720.0,50.0,False,False,False
02ff51796d57199a87db1540c6cad7932e93db80,feb,2021,auto,hold,Livonia,706.9469026548672,776.4115044247787,709.9513274336283,0.0,False,False,False
032701d1d16615ae8cd64086b99344f09e010f6d,feb,2021,heat,hold,Canton,670.7767220902613,673.0878859857482,673.0878859857482,40.0,False,False,False
0334ecfe6df3785bbdf06c673cb6f51cf592218f,feb,2021,heat,hold,Garfield,642.7777777777778,650.0,620.0,0.0,False,False,False
0336b44884a71e97f02729da18fc3306aa9cc9f6,feb,2021,auto,hold,Commerce,681.3180661577608,733.6412213740458,683.6412213740458,65.0,False,False,False
0336b44884a71e97f02729da18fc3306aa9cc9f6,feb,2021,heat,hold,Commerce,686.2205306655068,688.9769464984776,688.9769464984776,65.0,False,False,False
033a9cc676113add327b1b5ac6025dd8cf6199e7,feb,2021,auto,hold,Wilson,706.8795180722891,800.0,710.0,0.0,False,False,False
03443aaa2f6a8018198bb8e8f6a0d4c2ba75b8e6,feb,2021,heat,hold,Highland Township,658.4166666666666,660.625,660.0833333333334,0.0,False,False,False
0376993a855cda33bc370d2efc8c130c99e83663,feb,2021,heat,hold,Lake Orion,717.9888888888889,703.0,702.7333333333333,35.0,False,False,False
03ef35a1aeba7059dc8dad8dc6475c3b111d97ee,feb,2021,heat,hold,Oxford,722.296875,700.0,700.0,15.0,False,False,False
03f4b3f8d4eec7226728cceb684f0ccbede07aa7,feb,2021,heat,hold,Marine City,711.6830065359477,717.2385620915032,717.2385620915032,0.0,False,False,False
