Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
003694c41cad5e9b6fd22ab076ac82741f649155,Jan,2021,heat,hold,Cottage Grove,686.4285714285714,660.0,660.0,0.0,False,False,False
0051e4024c219cda4431c8c6868383c944b4f787,Jan,2021,heat,hold,Battle Lake,664.3217821782179,686.0841584158416,666.6237623762377,29.0,True,False,False
007acfc3e08a38ea3c02b08e36fecf9d314c1157,Jan,2021,heat,hold,Saint Paul,650.2690582959641,670.0448430493274,655.2331838565023,89.0,False,False,False
00ea998f390e32c4402317bee432e46c91f0a8ef,Jan,2021,heat,hold,Bloomington,684.65,701.3333333333334,687.4,49.0,True,False,False
015e8d7ebe673c9e6acc810138ab9aa969562e19,Jan,2021,heat,hold,Mankato,645.0,652.3333333333334,649.4166666666666,15.0,False,False,False
01cbc83700158311cb3594824a8c3db5ee300914,Jan,2021,heat,hold,Cottage Grove,663.0898203592815,673.2275449101796,671.4850299401197,40.0,False,False,False
01e1619793696fb693b082ea3d26b964d4d2c5ff,Jan,2021,auto,hold,Minneapolis,679.1262066499821,775.7990704326064,682.3407222023596,55.0,False,False,False
024b91dd5d25c67175eb791df124ffa57df9de22,Jan,2021,heat,hold,West Lakeland,698.555,700.0,700.0,30.0,False,False,False
02ab71b5d312482d24cc2963f95f7f8edaf5fcd5,Jan,2021,heat,hold,South Saint Paul,632.7746478873239,654.2253521126761,636.4084507042254,70.0,False,False,False
032b717e2bcc1f5fb2e5b1ff5010090a17d2b38e,Jan,2021,heat,hold,Saint Paul,691.8,690.0,690.0,120.0,False,False,False
03ed006bc97c22844bb49d799820f9c5c6002065,Jan,2021,heat,hold,Waite Park,664.1412872841445,669.1616954474098,669.0690737833595,60.0,False,False,False
03ee74f7bfeb004dab1276add8bbe73c95fea0f9,Jan,2021,heat,hold,Eagan,725.5,730.0833333333334,729.9583333333334,9.0,True,False,False
03f01bda01d9a7d0cb14744b20924f3fc9daa3fe,Jan,2021,heat,hold,Woodbury,667.3428571428572,669.0,669.0,30.0,False,False,False
04866dc8501529e6da24159c5b07b373b57cc10b,Jan,2021,auto,hold,Oakdale,747.4462809917355,755.0,705.0,20.0,False,False,False
0499a7a940b4869a5fe4410a5717f58393e9e106,Jan,2021,heat,hold,Farmington,687.75,760.0,690.0,30.0,False,False,False
04a7ee6256244334e2f54019c2eda6602257be62,Jan,2021,heat,hold,Rochester,676.6315789473684,664.7368421052631,660.7894736842105,0.0,True,False,False
04d87310ef28cb65b42001daaafd9218b2dcbf21,Jan,2021,heat,hold,Roseville,684.125,723.125,718.125,55.0,True,False,False
04f108991de33f625071611a8e86297b035d1934,Jan,2021,auto,hold,Rochester,687.2413793103449,785.1551724137931,691.0,15.0,False,False,False
04f61752ae8183892e363088d7a2972ed159e8a0,Jan,2021,heat,hold,Hugo,688.0596833130329,690.0,690.0,5.0,False,False,False
05195c902c0532469164d74563c04803d34f40e3,Jan,2021,heat,hold,Eagan,640.6470588235294,650.2941176470588,649.7647058823529,57.0,False,False,False
