Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
002c012fc1267f2ff9bbe2a30db5e0c8ac85ac9f,feb,2020,heat,hold,Ballwin,679.3853211009174,677.3761467889908,677.3761467889908,49.0,True,False,False
0056cebd6cd72164f185e551f894f028d3d2e319,feb,2020,auxHeatOnly,auto,Clarkson Valley,696.9545454545455,700.0,700.0,45.0,True,False,True
0056cebd6cd72164f185e551f894f028d3d2e319,feb,2020,auxHeatOnly,hold,Clarkson Valley,695.7142857142857,700.0,700.0,45.0,True,False,True
005b44ffe2812f645179dccec3443da1ec58a68d,feb,2020,auto,hold,Kirkwood,691.192513368984,759.0,698.8101604278074,0.0,False,False,False
009216ebfb0e31ad7fb75d09ab7ab582f777f2c2,feb,2020,heat,hold,Springfield,692.1,650.0,630.0,57.0,False,False,False
010b10cbfd269afb215575dcb8620c0e9baf1e55,feb,2020,heat,hold,St. Louis,666.2416666666667,670.8916666666667,665.7277777777778,90.0,False,False,False
0201b3ead65d2efb008132d6aa3f8023f32f530d,feb,2020,heat,auto,Oran,693.8642201834863,698.9036697247707,698.9036697247707,50.0,False,False,False
0201b3ead65d2efb008132d6aa3f8023f32f530d,feb,2020,heat,hold,Oran,692.3567415730337,696.9613764044943,696.9613764044943,50.0,False,False,False
025cc0e0d30aa3271bc9ee9e0253d070bbdaa9ff,feb,2020,heat,auto,Ofallon,715.303187250996,720.0,720.0,20.0,False,False,False
032256f0c3f84afabb439e80af499e07c3b0890f,feb,2020,heat,auto,-kansas city,685.4705882352941,690.4117647058823,689.5882352941177,25.0,False,False,False
0366cd7a2609ec463aafc754bb3a11b2d20f72a6,feb,2020,heat,auto,Poplar Bluff,685.78263229308,705.0420624151967,688.153052917232,0.0,True,False,False
0366cd7a2609ec463aafc754bb3a11b2d20f72a6,feb,2020,heat,hold,Poplar Bluff,674.6578947368421,683.671052631579,681.5263157894736,0.0,True,False,False
039f6f611e9de5992ad5344f6207015aa55b986a,feb,2020,auxHeatOnly,hold,Chesterfield,693.1794871794872,735.0,735.0,46.0,False,False,False
0416aba7cdf288551afbee077fefff13e895a933,feb,2020,heat,auto,Dardenne Prairie,676.5555555555555,680.0,680.0,15.0,False,False,False
0416aba7cdf288551afbee077fefff13e895a933,feb,2020,heat,hold,Dardenne Prairie,670.9110629067245,669.3665943600868,667.1540130151844,15.0,False,False,False
0494e5c840147603fbc41e9d20ee03714d8155ca,feb,2020,heat,auto,St. Charles,658.7125748502993,659.4191616766467,637.9221556886228,40.0,False,False,False
0494e5c840147603fbc41e9d20ee03714d8155ca,feb,2020,heat,hold,St. Charles,640.5461538461539,650.3461538461538,640.9153846153846,40.0,False,False,False
04dc98fe0838b0828b45d0d11f3923f915db5148,feb,2020,heat,auto,Columbia,688.895907826778,689.1823599523242,688.5689312673818,20.0,False,False,False
052a05aa1aac629c2150c63348a6bc228e8c9dee,feb,2020,heat,auto,Imperial,732.033950617284,738.179012345679,738.179012345679,15.0,False,False,False
052a05aa1aac629c2150c63348a6bc228e8c9dee,feb,2020,heat,hold,Imperial,730.2705882352941,740.0,740.0,15.0,False,False,False
0536362751db8b2954bb4f05e00b5a8ed9e4fd1b,feb,2020,heat,auto,Kansas City,711.8041958041958,750.3846153846154,713.4265734265734,37.0,False,False,False
0536362751db8b2954bb4f05e00b5a8ed9e4fd1b,feb,2020,heat,hold,Kansas City,715.61328125,727.89453125,721.84375,37.0,False,False,False
05732e6645059bce27ae826fa2dc0a4c6024bded,feb,2020,auto,auto,Saint Charles,662.0,700.0,650.0,0.0,False,False,False
05732e6645059bce27ae826fa2dc0a4c6024bded,feb,2020,auto,hold,Saint Charles,653.1461014383043,723.8448145344436,655.5889477668433,0.0,False,False,False
06405d37284313137a19ad09beb2597434bf5638,feb,2020,heat,hold,Kansas City,653.0529914529915,652.7709401709402,650.7692307692307,49.0,True,False,False
06813b22eefba93728d203b79b0b6c59b5f618da,feb,2020,heat,auto,Florissant,726.6029962546817,730.0,730.0,0.0,False,False,False
06813b22eefba93728d203b79b0b6c59b5f618da,feb,2020,heat,hold,Florissant,720.6674033149171,723.767955801105,723.767955801105,0.0,False,False,False
06a9e48cf48804bfbd4470d798742c4ad6383a1d,feb,2020,heat,hold,Camdenton,680.8666666666667,702.2666666666667,685.0,20.0,True,False,False
06cd5862123043c0534570787e2573f15f2e0f91,feb,2020,auto,hold,Columbia,714.3669064748201,780.6690647482014,717.568345323741,40.0,False,False,False
06f11191d1a1eea08fe8f03b18116865d8d47446,feb,2020,heat,auto,Fenton,704.0909090909091,701.9363636363636,701.5090909090909,20.0,False,False,False
078d3b714317f6bf1df7e8541563120a1d6e47c3,feb,2020,heat,auto,Saint Charles,693.2061855670103,730.0824742268042,699.7525773195877,0.0,False,False,False
