Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
005b44ffe2812f645179dccec3443da1ec58a68d,jul,2021,auto,hold,Kirkwood,738.0210970464135,730.954641350211,677.82805907173,0.0,False,False,False
008c4f598020b4161f9e0ee6c31c8f02b87b8a9c,jul,2021,auto,hold,Springfield,712.25,702.75,649.0,25.0,False,False,False
01ba0147c60a7211c7aaed335054b4ab06051e35,jul,2021,cool,hold,Wildwood,748.9135135135135,750.0756756756757,729.7621621621622,30.0,True,False,True
0201b3ead65d2efb008132d6aa3f8023f32f530d,jul,2021,cool,hold,Oran,714.8088235294117,714.3725490196078,714.3725490196078,50.0,False,False,False
022ca80b9cb18dbbc868c84e90c30a7eb88e6e56,jul,2021,cool,hold,Wildwood,762.0,710.0,710.0,5.0,False,False,False
026a4ead39fceb50d879f35413653cf8b4be578e,jul,2021,cool,hold,Herculaneum,714.081081081081,711.6216216216217,711.5135135135135,60.0,False,False,False
032256f0c3f84afabb439e80af499e07c3b0890f,jul,2021,cool,hold,-kansas city,707.7142857142857,713.3571428571429,713.1428571428571,25.0,False,False,False
0366cd7a2609ec463aafc754bb3a11b2d20f72a6,jul,2021,auto,hold,Poplar Bluff,732.1334841628959,737.6206636500755,668.6719457013575,0.0,True,False,False
039f6f611e9de5992ad5344f6207015aa55b986a,jul,2021,cool,hold,Chesterfield,718.1916129032259,725.2064516129033,725.2064516129033,46.0,False,False,False
0416aba7cdf288551afbee077fefff13e895a933,jul,2021,cool,hold,Dardenne Prairie,695.1480144404333,687.6931407942238,687.6389891696751,15.0,False,False,False
04a87e9ca74f218daa48c4570716f6ca0f04f0ac,jul,2021,cool,hold,Frontenac,744.5744855967079,746.2197530864197,739.522633744856,30.0,False,False,False
04dc98fe0838b0828b45d0d11f3923f915db5148,jul,2021,cool,hold,Columbia,727.3512280701755,722.8526315789474,722.8526315789474,20.0,False,False,False
05250ec1a452e49ce56a9a445d423eaf4142a3ea,jul,2021,cool,hold,St. Louis,650.375,650.0,650.0,115.0,False,False,False
052a05aa1aac629c2150c63348a6bc228e8c9dee,jul,2021,cool,hold,Imperial,727.8770491803278,725.6811906816221,725.6811906816221,15.0,False,False,False
05732e6645059bce27ae826fa2dc0a4c6024bded,jul,2021,auto,hold,Saint Charles,716.1602959309495,716.2503082614056,628.5943279901356,0.0,False,False,False
0620f21486724f10d2e324b0f418100f15b5f9f8,jul,2021,cool,hold,St. Louis,713.469387755102,718.7755102040817,718.7755102040817,75.0,False,False,False
06405d37284313137a19ad09beb2597434bf5638,jul,2021,cool,hold,Kansas City,738.8340807174887,737.7578475336323,736.780269058296,49.0,True,False,False
06813b22eefba93728d203b79b0b6c59b5f618da,jul,2021,cool,hold,Florissant,739.027713625866,738.2994611239415,738.2994611239415,0.0,False,False,False
06a9e48cf48804bfbd4470d798742c4ad6383a1d,jul,2021,cool,hold,Camdenton,706.8484848484849,704.2727272727273,703.630303030303,20.0,True,False,False
06cd5862123043c0534570787e2573f15f2e0f91,jul,2021,cool,hold,Columbia,730.234693877551,721.9795918367347,721.0408163265306,40.0,False,False,False
078d3b714317f6bf1df7e8541563120a1d6e47c3,jul,2021,cool,hold,Saint Charles,719.8181818181819,710.0,710.0,0.0,False,False,False
07c596e77de9222ac436767e24c56acb6a52184e,jul,2021,auto,hold,St. Louis,713.4358974358975,713.3696581196581,660.0,120.0,False,False,False
083eac09b9af57cf59c6e935440521ff4c7b0355,jul,2021,cool,hold,Kirkwood,718.4868421052631,717.5043859649123,717.438596491228,36.0,False,False,False
088463d2908b2a5800fe1009043e72b12ea00d3d,jul,2021,cool,hold,St Louis,730.4564849305791,730.0,730.0,0.0,True,False,True
08f90a99ec9083a76581941f929af410e921d8ff,jul,2021,cool,hold,Clayton,726.1182033096927,739.224586288416,739.224586288416,0.0,True,False,False
0a22a75fdab0e08d37c9e4f310b8b0528bc0bb99,jul,2021,cool,hold,Imperial,727.0909090909091,730.0,729.3939393939394,10.0,False,False,False
0a82bb392c66c106d6d350c9d720798510c3cc42,jul,2021,auto,hold,Saint Peters,733.8877551020408,741.6020408163265,580.0,27.0,False,False,False
0a82bb392c66c106d6d350c9d720798510c3cc42,jul,2021,cool,hold,Saint Peters,732.7542372881356,733.5282485875706,733.4830508474577,27.0,False,False,False
0a82bb392c66c106d6d350c9d720798510c3cc42,jul,2021,heat,hold,Saint Peters,728.0,730.0,730.0,27.0,False,False,False
0a848da3aba1a92e9cbfd0683a3808940b997b73,jul,2021,auto,hold,St. Louis,743.1374045801526,783.0534351145038,676.8702290076336,0.0,False,False,True
0a8589e2ef095a6915fd32cb630caf3aad633e30,jul,2021,cool,hold,Saint Charles,712.3842592592592,710.0,710.0,20.0,False,False,False
0a8906d0982213178c3d8e48b2b61a727f152c80,jul,2021,cool,hold,O Fallon,723.6092677345538,725.8661327231122,725.8661327231122,15.0,False,False,False
0aefbafe9b268dc3b8ccd7c8a58a2adbdb9e4e88,jul,2021,cool,hold,Saint Peters,707.8994291927154,705.6852405544985,705.6751834737701,46.0,False,False,False
0b8639becd7624bebe1820b5542ac26afb29913c,jul,2021,cool,hold,Chesterfield,726.1308203991131,728.4745011086475,728.4745011086475,49.0,False,False,False
0caabb43337af0ac85b9b3051a32a2645177fa3c,jul,2021,cool,hold,Columbia,740.1170431211499,750.0780287474332,749.9568788501027,0.0,False,False,False
0cb45b211ba923de94c8ff6e06042ad8d19a856f,jul,2021,cool,hold,Olivette,691.6477611940298,682.1522388059701,681.6686567164179,19.0,True,False,False
0cc123e2675557b5c2be3ca2a1b4b539aeb008e2,jul,2021,cool,hold,Centralia ,741.9141414141415,742.5,742.5,5.0,False,False,True
0d0b93f527fc72d7387a6cfffe29aa76304df9f1,jul,2021,cool,hold,Kansas City,744.2631578947369,740.0,740.0,60.0,False,False,False
0d658b0e1215b17f314a124ec1cba0e27ea4cf25,jul,2021,cool,hold,Kearney,692.5025062656641,690.0,690.0,25.0,False,False,False
0d8dbc8410cb18f1ea2f9bdf1b227cfc87429c08,jul,2021,cool,hold,Sullivan,667.3142191142191,660.1165501165501,660.1034965034966,0.0,False,False,False
0d97c16b509114c0035518bbe88f8b9d0f159357,jul,2021,cool,hold,Webb City,736.2432432432432,735.0,735.0,20.0,False,False,False
0d985082afefda3355038c6de8261b1d84ef73de,jul,2021,auto,hold,Kansas City,732.328869047619,731.0,681.0,0.0,False,False,False
0e0c18ad370aa3d5acf2278a33d87a59761a3972,jul,2021,cool,hold,Sugar Creek,733.7441497659906,734.9017160686427,734.8595943837754,0.0,False,False,False
0eb6ccf25acbae7b7270ade0600ab7430fb371b0,jul,2021,cool,hold,Kansas City,735.8049689440994,732.8347826086956,732.8347826086956,30.0,True,False,False
0ec91d1dd9051e140d844ee1747f6861d92b9aa2,jul,2021,cool,hold,Cuba,739.1304549675024,754.4113277623027,737.569173630455,5.0,True,False,True
0f5e38bb022c6c4a60767d52e19e06c0530b4dbd,jul,2021,auto,hold,St. Louis,735.2916666666666,700.5,670.0,30.0,False,False,True
1013248fcd20a0ebc7c8bfb5efd1ede35a3bdeff,jul,2021,cool,hold,Saint Charles,716.6521739130435,715.0434782608696,714.5652173913044,15.0,True,False,False
1024f8894803b4cae6d86a6da342b003bac8e542,jul,2021,cool,hold,Independence,741.5918032786885,741.6754098360656,741.672131147541,70.0,False,False,False
109f5331c8d4d70ee08a75822acf73453fe32c67,jul,2021,cool,hold,Kirksville,719.826124567474,720.0,720.0,15.0,True,False,False
1289b8ea97bd1d04f0f58386bdab4d307298b33b,jul,2021,cool,hold,St. Louis,738.1813471502591,728.6839378238342,728.6839378238342,99.0,True,False,False
129c60a38b4dbf9552de4fe8879e80ddf2cc7c40,jul,2021,cool,hold,O'Fallon,698.6619047619048,697.8238095238095,697.8238095238095,10.0,False,False,False
12e503eab18c9a4e58b8bd9df873f724a43b712d,jul,2021,cool,hold,Valley Park,742.7202572347267,741.9324758842444,741.9324758842444,26.0,False,False,True
13257a06f09a262e844d4cbd9dda834aef6544c2,jul,2021,cool,hold,St. Charles,693.4450980392157,695.8156862745099,695.8156862745099,0.0,False,False,False
1394e46a5f25ba6c78f483b44344c628749989fd,jul,2021,auto,hold,Mountain Grove,723.4040968342645,711.8994413407821,640.0,0.0,True,False,False
13b107e1dd62fcd42279556b4fdd9267a76e15a4,jul,2021,cool,hold,Wildwood,751.875,750.9780405405405,739.9695945945946,16.0,False,False,False
13fe6775dfce335ba4c3fdf5323a101c35e8ee5d,jul,2021,auto,hold,Rock Hill,699.0,660.0,610.0,76.0,False,False,False
140fd834362890f6f31ea341fc6b96d2117850cc,jul,2021,cool,hold,Saint Charles,803.2857142857143,731.5,718.7142857142857,27.0,False,False,False
144f267d71f01a994e532413adf43bf00281284d,jul,2021,cool,hold,Creve Coeur,751.5416666666666,720.5833333333334,718.7916666666666,20.0,False,False,False
148510f52217c3da40b584911d791d4ca191b0bb,jul,2021,cool,hold,Chesterfield,769.4943820224719,773.9138576779026,773.9138576779026,20.0,False,False,False
14cdb30ec50ebc7703c0d0ca1c854d980c21b0a8,jul,2021,cool,hold,Wildwood,763.3746966019418,763.1544296116505,760.3115898058253,10.0,False,False,False
150df04ae56a04fe38ca3c1f8e6b001e6c544f01,jul,2021,cool,hold,St. Louis,746.2673684210527,744.7210526315789,744.7210526315789,70.0,False,False,False
155675cd796141a45177caabf01766c277efbaa6,jul,2021,cool,hold,Springfield,710.086274509804,705.3882352941176,704.1843137254901,5.0,False,False,True
155a7a7a733840a4c2b4b53d2979fe88c300d498,jul,2021,cool,hold,St. Louis,749.8492462311558,748.8190954773869,748.5125628140704,0.0,True,False,False
15ce1753c4755c0dbe9475429c0c599d8e7320a7,jul,2021,cool,hold,Clayton,716.7305848513902,709.9616490891659,709.8245445829339,0.0,False,False,True
15ed3a3466f25ae7003058c9e4b2176ebf48e51f,jul,2021,cool,hold,Warrensburg,705.3811274509804,704.6748366013072,704.6748366013072,59.0,True,False,False
16e94085cfb726fba7537b6419dbbc93522f2417,jul,2021,cool,hold,Arnold,748.9473684210526,760.0,760.0,0.0,False,False,False
16fc4a34a1079b735a9c919e8cf4a7467dc0ff96,jul,2021,cool,hold,Kirkwood,720.9,710.8,708.8,10.0,False,False,False
179a34955231a2e96891cd7488a652f8626c5e47,jul,2021,cool,hold,Springfield,716.6409903713893,718.4979367262723,716.9793672627235,29.0,False,False,False
17dd8d9f81736c5dcbc42cd7e89eda2984634d25,jul,2021,auto,hold,Grain Valley,737.719298245614,733.0,683.0,15.0,False,False,True
188153650e879d5ca9fab3f333ae566cf00987c0,jul,2021,cool,hold,Lee's Summit,644.1197183098592,638.2488262910798,638.2370892018779,27.0,False,False,True
1901ff3823c67f8abdb8813f4cb905142efe0146,jul,2021,auto,hold,Lees Summit,702.1796875,698.3046875,648.28125,20.0,True,False,False
1908517f8bccf5b496e1c8774e54a5f8ba04f586,jul,2021,cool,hold,Ozark,698.22,700.0,700.0,50.0,True,False,False
195a1005bce7928e99996959088b44e007b50dfc,jul,2021,cool,hold,Festus,710.9444444444445,709.8981481481482,709.8981481481482,60.0,False,False,False
1a4280a89b077539a6402408dde3c783add250e2,jul,2021,auto,hold,Chesterfield,726.125,730.5,680.5,30.0,False,False,False
