Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
01194744830da7bbc9603d51735c58faef66f72e,dec,2019,cool,auto,Ocean Springs,737.2189349112426,737.2781065088758,737.2781065088758,0.0,False,False,True
01194744830da7bbc9603d51735c58faef66f72e,dec,2019,cool,hold,Ocean Springs,714.0,729.9203187250996,729.9203187250996,0.0,False,False,True
01194744830da7bbc9603d51735c58faef66f72e,dec,2019,heat,auto,Ocean Springs,701.7766714082503,700.6486486486486,700.6486486486486,0.0,False,False,True
01194744830da7bbc9603d51735c58faef66f72e,dec,2019,heat,hold,Ocean Springs,700.2319034852547,693.6166219839142,693.6166219839142,0.0,False,False,True
0442aded7dc2237382d8074027fe1db6823268d0,dec,2019,auto,auto,Oxford,661.2863247863248,692.9102564102565,640.9273504273505,26.0,False,False,False
0442aded7dc2237382d8074027fe1db6823268d0,dec,2019,auto,hold,Oxford,657.6557575757575,725.6145454545455,652.2290909090909,26.0,False,False,False
04e9b5167752b184a42353cfbf667d3e89d98f33,dec,2019,cool,auto,Long Beach,698.6693548387096,702.6048387096774,701.9354838709677,5.0,False,False,False
04e9b5167752b184a42353cfbf667d3e89d98f33,dec,2019,cool,hold,Long Beach,679.7073170731708,700.0,700.0,5.0,False,False,False
04e9b5167752b184a42353cfbf667d3e89d98f33,dec,2019,heat,auto,Long Beach,678.2977528089888,674.5674157303371,674.5674157303371,5.0,False,False,False
04e9b5167752b184a42353cfbf667d3e89d98f33,dec,2019,heat,hold,Long Beach,678.5738636363636,677.0397727272727,677.0397727272727,5.0,False,False,False
05ef15b0bbe9554c6d5f37071d93f8a6bcf7e954,dec,2019,heat,auto,Biloxi,691.90329218107,762.0,680.0,10.0,True,False,True
09d28c4c8ef1e78e6357bf33fdd6b4ad5d484381,dec,2019,cool,auto,Jackson,673.2075471698113,705.2830188679245,705.2830188679245,20.0,False,False,False
09d28c4c8ef1e78e6357bf33fdd6b4ad5d484381,dec,2019,heat,auto,Jackson,680.000395256917,673.4320158102767,673.4320158102767,20.0,False,False,False
09d28c4c8ef1e78e6357bf33fdd6b4ad5d484381,dec,2019,heat,hold,Jackson,693.2142857142857,697.4489795918367,697.4489795918367,20.0,False,False,False
0a2d42d14bce879d830493ae56833cdbadab701b,dec,2019,cool,hold,Jackson,691.0993657505286,708.9556025369978,708.9556025369978,20.0,False,False,False
0a2d42d14bce879d830493ae56833cdbadab701b,dec,2019,heat,hold,Jackson,691.5038994800693,692.1139514731369,692.1139514731369,20.0,False,False,False
0ba57f0490545743739be4e56543b918d65a7fcc,dec,2019,auto,auto,Purvis,690.7777777777778,750.0,699.4444444444445,5.0,False,False,True
0ba57f0490545743739be4e56543b918d65a7fcc,dec,2019,auto,hold,Purvis,696.1033519553073,750.2486033519554,693.2206703910615,5.0,False,False,True
0cb7ceebbf80d7c03b202d49b68a898c33118ab4,dec,2019,heat,hold,Brandon,689.1333333333333,690.4,677.8666666666667,25.0,False,False,False
0d3f063ec23d93e8d867c05d341137cd0804ca4e,dec,2019,heat,auto,Tupelo,713.7551020408164,732.047619047619,719.7687074829932,50.0,True,False,False
0d3f063ec23d93e8d867c05d341137cd0804ca4e,dec,2019,heat,hold,Tupelo,708.3770491803278,715.2950819672132,714.8032786885246,50.0,True,False,False
0e496da43b13cdbc364bada01adba6a0649e8867,dec,2019,auto,auto,Brandon,694.1637931034483,760.0,693.7931034482758,15.0,False,False,False
108f745a0136cec8adc667b1a2e08cc2140a33a4,dec,2019,cool,auto,Port Gibson,722.0,660.0,660.0,40.0,False,False,False
108f745a0136cec8adc667b1a2e08cc2140a33a4,dec,2019,cool,hold,Port Gibson,699.009900990099,700.0,700.0,40.0,False,False,False
108f745a0136cec8adc667b1a2e08cc2140a33a4,dec,2019,heat,auto,Port Gibson,708.0149667405765,703.780487804878,703.6640798226164,40.0,False,False,False
108f745a0136cec8adc667b1a2e08cc2140a33a4,dec,2019,heat,hold,Port Gibson,704.618947368421,707.4021052631579,707.4021052631579,40.0,False,False,False
11caf382a65a5059c97da0691b88cb1628200216,dec,2019,auto,hold,Madison,671.0,728.0,665.0,20.0,False,False,False
13746cab2533499a2952c428d69de9563c74bbf7,dec,2019,auto,hold,Hernando,644.9166666666666,734.7083333333334,673.4583333333334,10.0,False,False,False
13746cab2533499a2952c428d69de9563c74bbf7,dec,2019,cool,hold,Hernando,684.6304347826087,740.0217391304348,679.7826086956521,10.0,False,False,False
13746cab2533499a2952c428d69de9563c74bbf7,dec,2019,heat,auto,Hernando,675.0,774.0,623.0,10.0,False,False,False
13746cab2533499a2952c428d69de9563c74bbf7,dec,2019,heat,hold,Hernando,642.2164948453608,700.7731958762887,664.360824742268,10.0,False,False,False
13aaf2c3ca9b9bb68383c83d201a95919b45efe1,dec,2019,auto,auto,Jackson,699.7444444444444,740.0,690.0,35.0,False,False,False
13aaf2c3ca9b9bb68383c83d201a95919b45efe1,dec,2019,heat,auto,Jackson,750.5973597359736,709.7128712871287,755.7929042904291,35.0,False,False,False
13aaf2c3ca9b9bb68383c83d201a95919b45efe1,dec,2019,heat,hold,Jackson,724.5099337748344,719.1172185430463,719.3006622516556,35.0,False,False,False
142aad2243583481c5699472b7afc4dd404993be,dec,2019,auto,auto,Olive Branch,699.1212903225806,740.1845161290322,692.3393548387097,9.0,True,False,False
15cc72530560f6fe24e44023901e3ddbf84b16b1,dec,2019,auto,auto,Vicksburg,702.3478260869565,739.2173913043479,689.2173913043479,80.0,True,False,False
15cc72530560f6fe24e44023901e3ddbf84b16b1,dec,2019,auto,hold,Vicksburg,700.5619047619048,749.5428571428571,697.447619047619,80.0,True,False,False
15cc72530560f6fe24e44023901e3ddbf84b16b1,dec,2019,cool,auto,Vicksburg,678.0666666666667,682.2666666666667,680.2666666666667,80.0,True,False,False
15cc72530560f6fe24e44023901e3ddbf84b16b1,dec,2019,cool,hold,Vicksburg,688.9375,676.0,676.0,80.0,True,False,False
15cc72530560f6fe24e44023901e3ddbf84b16b1,dec,2019,heat,hold,Vicksburg,683.8923076923077,737.4153846153846,688.0,80.0,True,False,False
1621d17dd769a418287ee8a1702e662d6d7fe4a1,dec,2019,auto,hold,Oxford,641.0363636363636,669.7727272727273,620.8818181818182,30.0,True,False,True
1621d17dd769a418287ee8a1702e662d6d7fe4a1,dec,2019,cool,auto,Oxford,669.9222222222222,675.9111111111112,680.0,30.0,True,False,True
1621d17dd769a418287ee8a1702e662d6d7fe4a1,dec,2019,cool,hold,Oxford,678.6777777777778,680.0,680.0,30.0,True,False,True
1621d17dd769a418287ee8a1702e662d6d7fe4a1,dec,2019,heat,auto,Oxford,688.1081081081081,669.972972972973,667.7837837837837,30.0,True,False,True
1621d17dd769a418287ee8a1702e662d6d7fe4a1,dec,2019,heat,hold,Oxford,678.5363881401618,668.4797843665768,668.4797843665768,30.0,True,False,True
167cae5e1e38661604605afdfd5d7995cef1b3a9,dec,2019,cool,auto,New Albany,655.1617647058823,652.0,652.0,10.0,False,False,False
167cae5e1e38661604605afdfd5d7995cef1b3a9,dec,2019,cool,hold,New Albany,663.8644067796611,677.6271186440678,677.6271186440678,10.0,False,False,False
167cae5e1e38661604605afdfd5d7995cef1b3a9,dec,2019,heat,auto,New Albany,681.1011904761905,659.6428571428571,655.952380952381,10.0,False,False,False
167cae5e1e38661604605afdfd5d7995cef1b3a9,dec,2019,heat,hold,New Albany,690.75,650.625,650.625,10.0,False,False,False
16daf0ca4bfcc11cc2e4721db2c14c38559c0a92,dec,2019,auxHeatOnly,auto,Amory,711.0266666666666,696.96,691.1733333333333,10.0,True,False,True
16daf0ca4bfcc11cc2e4721db2c14c38559c0a92,dec,2019,auxHeatOnly,hold,Amory,704.4537634408603,702.2086021505377,700.8279569892474,10.0,True,False,True
