Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
01194744830da7bbc9603d51735c58faef66f72e,jun,2019,cool,auto,Ocean Springs,727.8947368421053,725.7588516746412,725.7588516746412,0.0,False,False,True
01194744830da7bbc9603d51735c58faef66f72e,jun,2019,cool,hold,Ocean Springs,716.3371320037986,712.9781576448244,712.9781576448244,0.0,False,False,True
01820a6c0f2cbc9e5916f55ea06e8895d00bf93c,jun,2019,cool,auto,Jackson,770.8698630136986,782.931506849315,682.1369863013699,60.0,False,False,False
01820a6c0f2cbc9e5916f55ea06e8895d00bf93c,jun,2019,cool,hold,Jackson,757.1358024691358,754.074074074074,754.074074074074,60.0,False,False,False
0442aded7dc2237382d8074027fe1db6823268d0,jun,2019,auto,auto,Oxford,668.952380952381,668.5,618.2619047619048,26.0,False,False,False
0442aded7dc2237382d8074027fe1db6823268d0,jun,2019,auto,hold,Oxford,697.2848101265823,702.373417721519,640.006329113924,26.0,False,False,False
04e9b5167752b184a42353cfbf667d3e89d98f33,jun,2019,cool,auto,Long Beach,724.1278195488721,733.8842105263158,733.8842105263158,5.0,False,False,False
04e9b5167752b184a42353cfbf667d3e89d98f33,jun,2019,cool,hold,Long Beach,720.9583333333334,720.0277777777778,720.0277777777778,5.0,False,False,False
09d28c4c8ef1e78e6357bf33fdd6b4ad5d484381,jun,2019,cool,auto,Jackson,714.445054945055,713.6461538461539,712.9274725274726,20.0,False,False,False
09d28c4c8ef1e78e6357bf33fdd6b4ad5d484381,jun,2019,cool,hold,Jackson,712.0,740.0,740.0,20.0,False,False,False
0a2d42d14bce879d830493ae56833cdbadab701b,jun,2019,cool,hold,Jackson,727.7069716775599,729.1844589687727,729.1844589687727,20.0,False,False,False
0ba57f0490545743739be4e56543b918d65a7fcc,jun,2019,auto,hold,Purvis,744.7415730337078,738.6741573033707,650.0,5.0,False,False,True
0cb7ceebbf80d7c03b202d49b68a898c33118ab4,jun,2019,auto,hold,Brandon,733.6470588235294,730.0,680.0,25.0,False,False,False
0cb7ceebbf80d7c03b202d49b68a898c33118ab4,jun,2019,cool,hold,Brandon,735.7368421052631,720.0,720.0,25.0,False,False,False
0cc861d81926d70c036828385eb0e61b6e98dfaa,jun,2019,cool,hold,Madison,707.1288343558282,700.0,700.0,10.0,False,False,False
0d3f063ec23d93e8d867c05d341137cd0804ca4e,jun,2019,cool,auto,Tupelo,737.4285714285714,734.6875,693.2589285714286,50.0,True,False,False
0d3f063ec23d93e8d867c05d341137cd0804ca4e,jun,2019,cool,hold,Tupelo,730.5,727.0,722.0,50.0,True,False,False
