Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
019764d7b48dd9d6f1f4ad95451d7d0da2669405,dec,2018,auto,auto,Billings,691.125,734.0535714285714,688.2053571428571,5.0,False,False,False
019764d7b48dd9d6f1f4ad95451d7d0da2669405,dec,2018,auto,hold,Billings,693.45,730.0,690.0,5.0,False,False,False
023f28aa735af23620c0b41b3af8a99be22cdd3c,dec,2018,heat,auto,Frenchtown,662.2179487179487,782.4102564102565,665.1794871794872,15.0,False,False,False
023f28aa735af23620c0b41b3af8a99be22cdd3c,dec,2018,heat,hold,Frenchtown,665.5714285714286,740.0,671.4285714285714,15.0,False,False,False
047670db85b0aa2dc5c8703f118e89ae19ad552a,dec,2018,auto,auto,Helena,728.1208791208791,770.007326007326,719.5824175824176,0.0,False,False,False
047670db85b0aa2dc5c8703f118e89ae19ad552a,dec,2018,auto,hold,Helena,689.8148148148148,743.5486968449932,688.641975308642,0.0,False,False,False
047670db85b0aa2dc5c8703f118e89ae19ad552a,dec,2018,heat,hold,Helena,701.9935483870968,700.0,700.0,0.0,False,False,False
06941505466c4069dc9b2cd6aaf6b800a4cd5d40,dec,2018,heat,auto,Fairfield,692.3333333333334,703.3333333333334,695.7777777777778,15.0,False,False,False
0728208cff5242993896da88a882e076094b765f,dec,2018,heat,auto,Billings,667.4285714285714,660.8571428571429,653.5714285714286,50.0,False,False,False
0bc51b95b2dc23713f611e182c689ad03dc2c300,dec,2018,heat,auto,Great Falls,669.25,673.2222222222222,673.2222222222222,10.0,False,False,False
0bc51b95b2dc23713f611e182c689ad03dc2c300,dec,2018,heat,hold,Great Falls,685.7630522088353,688.6305220883534,688.5341365461848,10.0,False,False,False
1ddea499a0c0b3ce5fb3dea339db485998b50485,dec,2018,heat,auto,billings,708.3864503816794,707.7910305343512,710.2080152671756,25.0,False,False,False
1ddea499a0c0b3ce5fb3dea339db485998b50485,dec,2018,heat,hold,billings,706.1346704871061,703.323782234957,703.0,25.0,False,False,False
1fe82232930e26efc50ba4da526c354676d03dec,dec,2018,auto,auto,Helena,677.6923076923077,750.0,680.0,38.0,False,False,False
2013b05eece28f2e08b8cd6da888a9b04dbdc854,dec,2018,heat,auto,Missoula,663.6438356164383,716.8082191780821,663.1917808219179,30.0,True,False,False
2013b05eece28f2e08b8cd6da888a9b04dbdc854,dec,2018,heat,hold,Missoula,682.1818181818181,700.0,683.1454545454545,30.0,True,False,False
2323dbdb6769370962e7858668fdc12bc0eaefcf,dec,2018,heat,auto,Deer Lodge,648.3434343434343,790.0,650.0,55.0,False,False,False
23d834c190c3686c02c030ee0bf42003872bd591,dec,2018,heat,auto,Bozeman,671.375,696.125,687.875,25.0,False,False,False
23d834c190c3686c02c030ee0bf42003872bd591,dec,2018,heat,hold,Bozeman,677.7954545454545,686.6704545454545,685.6477272727273,25.0,False,False,False
34fbbdfdbc62b907f2cb4f26559df29b230273e3,dec,2018,heat,hold,Missoula,665.7818181818182,678.3018181818181,668.1527272727272,25.0,False,False,False
3e35e2d37f16eb3b72b2cbb145e6ed964ce01ca4,dec,2018,auto,hold,Great Falls,714.9117647058823,780.0,719.7352941176471,45.0,False,False,False
3ffeef7e84d1467768985360f2de04047bdb5279,dec,2018,auto,auto,Great Falls,736.8504672897196,787.196261682243,737.196261682243,5.0,False,False,False
4089d9705650bdd49cd283f6660b95a5ed85aba7,dec,2018,heat,auto,missoula,676.7961165048544,780.0,680.0,5.0,False,False,False
4089d9705650bdd49cd283f6660b95a5ed85aba7,dec,2018,heat,hold,missoula,670.9466666666667,710.1333333333333,664.9333333333333,5.0,False,False,False
40f358a2efb733ab89fe3bb6e2f7b0280ccb4917,dec,2018,heat,auto,Billings,686.86,708.4,685.8,70.0,False,False,False
40f358a2efb733ab89fe3bb6e2f7b0280ccb4917,dec,2018,heat,hold,Billings,687.5545454545454,700.0,690.0,70.0,False,False,False
5a1fbc37826124394a837d94e7f46800280d115f,dec,2018,heat,auto,Great Falls,678.0346820809249,680.0115606936416,679.9942196531792,70.0,False,False,False
5a1fbc37826124394a837d94e7f46800280d115f,dec,2018,heat,hold,Great Falls,680.2692307692307,682.0,682.0,70.0,False,False,False
5d1ff376e3fc7ee713a1138cbb661ddad9b1e257,dec,2018,heat,auto,Bozeman,572.0,792.0,620.0,15.0,True,False,False
5dda6449bb5575fdf2a538f8208a3556b55c447b,dec,2018,auto,auto,Helena,689.695652173913,768.0434782608696,691.9565217391304,10.0,True,False,False
5dda6449bb5575fdf2a538f8208a3556b55c447b,dec,2018,auto,hold,Helena,680.4939759036145,746.4096385542168,684.843373493976,10.0,True,False,False
5e65748abfa7413de4b81ab0d609cf2b3d225520,dec,2018,heat,auto,Missoula,742.8461538461538,766.0,750.0,5.0,False,False,False
5e65748abfa7413de4b81ab0d609cf2b3d225520,dec,2018,heat,hold,Missoula,724.9425287356322,718.5172413793103,718.2298850574713,5.0,False,False,False
60f63223dc9bc1a3500de832e31d55a865266772,dec,2018,heat,hold,Fort Benton,607.2222222222222,650.0,610.0,40.0,False,False,False
666c08e73f2bee116322fafbf2fc1b2972422b81,dec,2018,heat,auto,Bozeman,672.6666666666666,782.0,675.3333333333334,7.0,False,False,False
6cfeb8284cb1ccacf64d9f649eccc813c1296d27,dec,2018,heat,hold,Billings,695.0243902439024,700.0,700.0,0.0,False,False,False
6e0c9d625f3ce2c91fb0dace7c2f92867c27badb,dec,2018,heat,auto,Scobey,720.7146596858639,724.4528795811518,724.4528795811518,50.0,False,False,False
6e0c9d625f3ce2c91fb0dace7c2f92867c27badb,dec,2018,heat,hold,Scobey,724.2395251396648,726.6487430167598,726.6312849162011,50.0,False,False,False
7258db280a1da00d548cd8ea30f21c7d7d4932e0,dec,2018,heat,hold,Bozeman,678.4571428571429,685.3428571428572,685.1714285714286,16.0,True,False,False
7522a70780f2d3f66a683747547beccbafc53be2,dec,2018,auto,hold,Billings,688.14,730.0,691.2,30.0,True,False,False
7e82f7bb0ad060bdb1e139bed8aa5d5f869cf054,dec,2018,heat,auto,East Helena,659.1837606837607,693.3333333333334,660.0,40.0,False,False,False
7e82f7bb0ad060bdb1e139bed8aa5d5f869cf054,dec,2018,heat,hold,East Helena,655.9722222222222,719.4027777777778,659.9333333333333,40.0,False,False,False
7fd90590a2b08a30ee2c1265b5a03298a4459d04,dec,2018,heat,auto,Helena,701.3369565217391,722.6902173913044,704.3369565217391,15.0,False,False,False
7fd90590a2b08a30ee2c1265b5a03298a4459d04,dec,2018,heat,hold,Helena,701.5232067510549,706.9367088607595,706.0970464135021,15.0,False,False,False
91bf53a6b10b7cc7cb3fcc3672cd6b3cd47a6ad0,dec,2018,heat,auto,Helena,673.8,697.8,675.0666666666667,40.0,False,False,False
91bf53a6b10b7cc7cb3fcc3672cd6b3cd47a6ad0,dec,2018,heat,hold,Helena,679.0,708.8,696.6,40.0,False,False,False
96857e1f251a78123070d8639ac0838e7be97649,dec,2018,auto,auto,Billings,716.4487179487179,770.0,720.0,0.0,False,False,True
96857e1f251a78123070d8639ac0838e7be97649,dec,2018,auto,hold,Billings,711.2555066079295,765.0,715.0,0.0,False,False,True
98427a2f54b32505d3f1a3e9dfe4acfb78346762,dec,2018,heat,hold,Great Falls,747.3345740281225,749.3217535153019,749.3217535153019,70.0,False,False,False
99fa8d150f6b0ed05de548014a2751d573270a6b,dec,2018,heat,auto,Corvallis,690.9666666666667,692.5714285714286,692.5714285714286,10.0,True,False,False
99fa8d150f6b0ed05de548014a2751d573270a6b,dec,2018,heat,hold,Corvallis,693.4666666666667,698.6666666666666,698.6666666666666,10.0,True,False,False
9d4866ebcb99c98fc731f171a8933d0a437eff2c,dec,2018,heat,auto,Missoula,630.5172413793103,650.0,620.0,25.0,False,False,True
9d4866ebcb99c98fc731f171a8933d0a437eff2c,dec,2018,heat,hold,Missoula,662.2015503875969,668.7364341085271,668.7364341085271,25.0,False,False,True
9ece7da8b39fee15b9ccaa8e095adf7d0cf2a2a6,dec,2018,heat,hold,Missoula,692.8333333333334,695.0,695.0,40.0,False,False,False
a446833ed31f9039f78e43743749d949ab71cfe0,dec,2018,auto,auto,Fort Benton,691.0,810.0,760.0,16.0,False,False,False
a446833ed31f9039f78e43743749d949ab71cfe0,dec,2018,auto,hold,Fort Benton,691.8,750.0,700.0,16.0,False,False,False
a5843cc963fec301306a65ed47b1063f1370c9c7,dec,2018,heat,auto,Billings,709.3609195402299,706.9931034482759,706.9931034482759,0.0,False,False,False
a5843cc963fec301306a65ed47b1063f1370c9c7,dec,2018,heat,hold,Billings,713.9591836734694,704.9081632653061,704.9081632653061,0.0,False,False,False
a6b5547e34405b7e11d145b6b81f37e2850b7cd9,dec,2018,heat,auto,Missoula,789.0,730.0,730.0,70.0,False,False,False
a6b5547e34405b7e11d145b6b81f37e2850b7cd9,dec,2018,heat,hold,Missoula,731.280701754386,721.0350877192982,721.0350877192982,70.0,False,False,False
a821e1d4f351b04078b355b2ccd3aca2882976b0,dec,2018,heat,auto,Shepherd,683.6346153846154,700.0,680.0,5.0,False,False,False
a821e1d4f351b04078b355b2ccd3aca2882976b0,dec,2018,heat,hold,Shepherd,681.3245181532944,677.9031824294038,677.9031824294038,5.0,False,False,False
b26f7e4f598a818bda524a7f70d04f43af201e63,dec,2018,heat,auto,Scobey,659.3619146722165,661.5837669094693,661.5837669094693,10.0,True,False,True
b26f7e4f598a818bda524a7f70d04f43af201e63,dec,2018,heat,hold,Scobey,687.3157894736842,689.1052631578947,689.1052631578947,10.0,True,False,True
b70abf6012a52a334b0b505e90e47e1d4bc1714e,dec,2018,heat,auto,Bozeman,641.0198412698413,760.0,650.0,0.0,True,False,False
