Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
004dfca396d696b8a7ce7dd71862b78384f55976,dec,2018,heat,auto,Charlotte,736.9426751592357,760.0,760.0,85.0,True,False,True
004dfca396d696b8a7ce7dd71862b78384f55976,dec,2018,heat,hold,Charlotte,686.7,693.9274193548387,693.9263440860215,85.0,True,False,True
0057524413acccb390d3a4ee0ba2e74236f02e98,dec,2018,auto,auto,Raleigh,687.3181818181819,761.9318181818181,695.1590909090909,10.0,False,False,False
0057524413acccb390d3a4ee0ba2e74236f02e98,dec,2018,auto,hold,Raleigh,686.6,763.2,698.2,10.0,False,False,False
007cdd82d7747e9a85dfc0616574a29adc8b5804,dec,2018,heat,hold,Woodcroft,698.2108208955224,705.5485074626865,704.4141791044776,35.0,True,False,True
0084e95b39ca4e03056e3d534b32f75d40dd6d9c,dec,2018,auto,hold,Holly Springs,705.5,788.0555555555555,694.7222222222222,10.0,False,False,False
008b9fe24b54f090ad27a433c0cb950142d3becb,dec,2018,auto,auto,Avon,699.203125,780.0,699.90625,30.0,True,False,True
008b9fe24b54f090ad27a433c0cb950142d3becb,dec,2018,auto,hold,Avon,698.0106382978723,780.0212765957447,690.6914893617021,30.0,True,False,True
00bbbdb5c3b6cb8b9e78191017ecdb97dad87e47,dec,2018,auto,auto,Jacksonville,688.1275720164609,778.0061728395061,671.9876543209876,5.0,False,False,True
00be7ee09140dc69ab0462bacd562e790e7bc57b,dec,2018,heat,auto,Holly Springs,714.6470588235294,720.2745098039215,717.9215686274509,20.0,False,False,False
00be7ee09140dc69ab0462bacd562e790e7bc57b,dec,2018,heat,hold,Holly Springs,715.0923076923077,720.4615384615385,716.4461538461538,20.0,False,False,False
00d55263cfcd8313afc4be48fe6de4397b7f437c,dec,2018,heat,hold,Durham,684.125,685.0,685.0,0.0,True,False,False
00eb3069b0d62a9be8ed0bcf0b7ca35860a7b716,dec,2018,auto,hold,Mint Hill,695.1348314606741,760.0,700.0,40.0,True,False,True
00eb3069b0d62a9be8ed0bcf0b7ca35860a7b716,dec,2018,heat,hold,Mint Hill,702.7428571428571,650.0,620.5714285714286,40.0,True,False,True
00fe927e079676ec2e0bdd97d164267165e25e86,dec,2018,cool,hold,Mint Hill,731.3636363636364,730.0909090909091,730.0909090909091,25.0,True,False,True
012086f3463a755a7cff8ca008a20337e83e5f8b,dec,2018,heat,auto,Mooresville,698.9097222222222,760.0,700.0,5.0,True,False,True
012f0187705b172238f26ccc41d5a0d94d8f3673,dec,2018,auto,hold,Durham,681.7878787878788,783.8484848484849,685.3030303030303,15.0,True,False,False
013708850f6d20343f635dc3c0130399b66b0578,dec,2018,auto,hold,Concord,683.9051724137931,731.2413793103449,681.1724137931035,0.0,False,False,False
014c50b16659e19a0ce2470cb8e9d734cf2deb2a,dec,2018,auto,hold,Durham,733.3970588235294,786.0,736.0,0.0,False,False,False
016c1867b7cc7622e183e8d74de2b93ddd9449a3,dec,2018,heat,hold,Dobson,688.8686868686868,680.2045454545455,679.7373737373738,15.0,False,False,True
0172751a7d4d785df2216952e1be26ff7861a414,dec,2018,heat,auto,Greensboro,710.3716894977169,711.3972602739726,711.0913242009133,65.0,False,False,False
01a8d4ec2aaddc4453ba8d9653fb1ac9d75eae39,dec,2018,auxHeatOnly,auto,Advance,665.3172043010753,730.0,670.0,10.0,False,False,True
01c362dc162d1accf0132df85cb8f2da603a6d8f,dec,2018,heat,auto,Charlotte,658.0625,660.0208333333334,660.0208333333334,30.0,False,False,False
01c362dc162d1accf0132df85cb8f2da603a6d8f,dec,2018,heat,hold,Charlotte,664.057698541329,672.2962722852512,655.8175040518638,30.0,False,False,False
01ed9ae510d962edab541c164606e651a76cb026,dec,2018,auto,hold,Mount Gilead,695.5165456012913,772.4697336561743,697.8054882970138,68.0,True,False,False
01eef9724e141b542d3a9a1f121a526bb41257f4,dec,2018,heat,auto,Pittsboro,686.32,692.4,692.4,25.0,False,False,False
01eef9724e141b542d3a9a1f121a526bb41257f4,dec,2018,heat,hold,Pittsboro,685.8217821782179,689.7524752475248,689.2574257425742,25.0,False,False,False
01f2cdbaac7362a290e7c1ef329644013dfaeff6,dec,2018,auto,auto,Raleigh,680.3076923076923,750.0,680.0,0.0,False,False,False
01f2cdbaac7362a290e7c1ef329644013dfaeff6,dec,2018,heat,auto,Raleigh,684.7835463258785,745.3490415335464,680.0359424920127,0.0,False,False,False
01f2cdbaac7362a290e7c1ef329644013dfaeff6,dec,2018,heat,hold,Raleigh,699.8948787061995,702.3234501347708,702.0997304582211,0.0,False,False,False
020150babe11636e130e77d7e746b4b9ee751921,dec,2018,heat,auto,Cary,667.8853211009174,658.0565749235474,658.0565749235474,30.0,False,False,False
020150babe11636e130e77d7e746b4b9ee751921,dec,2018,heat,hold,Cary,654.1317204301075,658.6659946236559,650.5020161290323,30.0,False,False,False
0260f5cc20796a72db72784c3c2bea67b1044577,dec,2018,heat,hold,Raleigh,696.7531120331951,695.8091286307053,695.8091286307053,75.0,True,False,True
026c81c54bc3afdd2b6a478d7532353b37c5d547,dec,2018,heat,auto,Gastonia,679.3770491803278,702.5409836065573,680.0040983606557,45.0,False,False,False
026c81c54bc3afdd2b6a478d7532353b37c5d547,dec,2018,heat,hold,Gastonia,688.0322357019064,687.9545927209705,687.9511265164645,45.0,False,False,False
027a2a5e27bf45e6c7a24f1e9ea31bd216655f0b,dec,2018,heat,hold,Greensboro,627.1836734693877,651.5510204081633,624.2857142857143,0.0,False,False,False
02a6480a1235b5bfd3bc1d4d626440bb50d18d1f,dec,2018,heat,auto,Charlotte,713.4664310954064,710.0848056537102,708.0671378091873,30.0,False,False,False
02a6480a1235b5bfd3bc1d4d626440bb50d18d1f,dec,2018,heat,hold,Charlotte,719.1888412017167,723.3004291845493,722.9828326180258,30.0,False,False,False
02bda8c348d24fc3c754d18822eaa07180f30dc7,dec,2018,heat,auto,Boone,629.2223728813559,650.335593220339,620.8786440677966,15.0,False,False,True
02bda8c348d24fc3c754d18822eaa07180f30dc7,dec,2018,heat,hold,Boone,652.6661911554921,666.6904422253923,651.8288159771755,15.0,False,False,True
02d202caca05ffb18768f669f0b31020467c495e,dec,2018,auto,hold,Purlear,685.7107843137255,750.0,690.0,77.0,False,False,True
02d202caca05ffb18768f669f0b31020467c495e,dec,2018,heat,auto,Purlear,668.403080872914,682.9993581514763,678.620025673941,77.0,False,False,True
02d202caca05ffb18768f669f0b31020467c495e,dec,2018,heat,hold,Purlear,673.9095626389918,683.7472201630837,677.702742772424,77.0,False,False,True
02dd5281f9852ad3b808e43fd82bdf69a14f0686,dec,2018,cool,hold,Raleigh,699.7834394904459,702.9936305732484,702.9936305732484,5.0,False,False,False
02dd5281f9852ad3b808e43fd82bdf69a14f0686,dec,2018,heat,hold,Raleigh,703.1248839368617,702.6109563602599,702.3207985143919,5.0,False,False,False
02df33b6cee97d10d75901fc710e9050418eea96,dec,2018,heat,auto,Charlotte,720.0555555555555,751.0,748.6666666666666,20.0,True,False,False
02df33b6cee97d10d75901fc710e9050418eea96,dec,2018,heat,hold,Charlotte,725.3061224489796,730.0,730.0,20.0,True,False,False
03153a1eb91f3cf82d85189f9e841e64886e96d6,dec,2018,heat,auto,Mooresville,672.2532467532468,710.422077922078,659.9805194805194,5.0,True,False,False
03153a1eb91f3cf82d85189f9e841e64886e96d6,dec,2018,heat,hold,Mooresville,699.4468085106383,705.8297872340426,703.5531914893617,5.0,True,False,False
031ebcd358c12af7ca6302b5ccbcac9af3142e89,dec,2018,heat,hold,Fletcher,702.109756097561,708.9634146341464,708.9634146341464,20.0,True,False,True
03258b6f32bb89fc0f8ae00ef05eeaa32cdbaf19,dec,2018,cool,auto,Charlotte,673.0588235294117,675.0,680.0,0.0,False,False,False
03258b6f32bb89fc0f8ae00ef05eeaa32cdbaf19,dec,2018,cool,hold,Charlotte,660.7,676.6666666666666,676.6666666666666,0.0,False,False,False
03258b6f32bb89fc0f8ae00ef05eeaa32cdbaf19,dec,2018,heat,auto,Charlotte,712.6848030018762,699.2823639774859,699.4183864915573,0.0,False,False,False
03258b6f32bb89fc0f8ae00ef05eeaa32cdbaf19,dec,2018,heat,hold,Charlotte,703.125,694.5727091633466,694.5841633466135,0.0,False,False,False
0361908ad2dd9bfcfa027e605f1cc9ad42e2e931,dec,2018,auto,hold,Greenville,676.4130434782609,770.0,685.195652173913,10.0,True,False,True
036e7a866630ba3c66e46cd334bf614615e1634a,dec,2018,auto,auto,Clayton,705.0,740.0,720.0,17.0,False,False,True
036e7a866630ba3c66e46cd334bf614615e1634a,dec,2018,auto,hold,Clayton,716.2592592592592,740.2592592592592,719.824074074074,17.0,False,False,True
0398b6340831fc96c01a2ff694a60b5f1dfc829e,dec,2018,heat,hold,Mooresville,696.4571428571429,700.6,699.8285714285714,5.0,False,False,False
042cb32a74dbe2e38465efb0e16feca523c8a74a,dec,2018,cool,hold,Havelock,711.5578330893119,739.3953147877013,739.3953147877013,20.0,False,False,True
042cb32a74dbe2e38465efb0e16feca523c8a74a,dec,2018,heat,auto,Havelock,740.6908344733242,740.0813953488372,740.0813953488372,20.0,False,False,True
042cb32a74dbe2e38465efb0e16feca523c8a74a,dec,2018,heat,hold,Havelock,741.7105263157895,738.3036437246964,738.3036437246964,20.0,False,False,True
04684a4d62193c30f0ec0018997f23b56350875c,dec,2018,heat,auto,Hatteras,731.5208333333334,727.1416666666667,727.1416666666667,15.0,True,False,True
04684a4d62193c30f0ec0018997f23b56350875c,dec,2018,heat,hold,Hatteras,730.2871794871795,731.7153846153847,731.6897435897436,15.0,True,False,True
04a9eef44531edead29bceed262f48fe970ba604,dec,2018,auto,hold,Clemmons,689.3648208469056,750.7654723127035,686.4527687296417,25.0,False,False,False
04dc84ba96348de4ca1c82a5fd69dc038430bc07,dec,2018,cool,auto,Lillington,721.6764705882352,740.0,740.0,10.0,True,False,True
04dc84ba96348de4ca1c82a5fd69dc038430bc07,dec,2018,heat,auto,Lillington,705.8811748998664,711.9626168224299,711.9612817089453,10.0,True,False,True
04dc84ba96348de4ca1c82a5fd69dc038430bc07,dec,2018,heat,hold,Lillington,710.2720527617478,712.0511129431162,712.050288540808,10.0,True,False,True
04dd518bf8f1884f9f669346b66a3f68af1b423f,dec,2018,auxHeatOnly,auto,Wallace,691.9539432176656,690.003785488959,689.997476340694,0.0,False,False,True
04dd518bf8f1884f9f669346b66a3f68af1b423f,dec,2018,auxHeatOnly,hold,Wallace,696.761396011396,696.4487179487179,696.4487179487179,0.0,False,False,True
050fbf07c0120ad756d195ec3ba682c8d3846775,dec,2018,heat,auto,Zebulon,700.575,720.225,704.475,5.0,False,False,False
050fbf07c0120ad756d195ec3ba682c8d3846775,dec,2018,heat,hold,Zebulon,706.2761904761904,709.2047619047619,708.9428571428572,5.0,False,False,False
051fb60df3e99b8cf0c9a8d9b14e6cf0c92aa2ca,dec,2018,auto,auto,Lenoir,705.4943820224719,744.3932584269663,714.685393258427,10.0,False,False,True
051fb60df3e99b8cf0c9a8d9b14e6cf0c92aa2ca,dec,2018,auto,hold,Lenoir,690.2954545454545,730.0,692.7272727272727,10.0,False,False,True
052186c9f2fb001e4ce8625a0f54bcda06c0f73d,dec,2018,auto,auto,Weddington,707.1777777777778,770.0,710.0,10.0,False,False,False
052186c9f2fb001e4ce8625a0f54bcda06c0f73d,dec,2018,auto,hold,Weddington,697.3976034858388,770.0,700.0,10.0,False,False,False
0537912b7a55c18b3202992565c177c6ff6bb5da,dec,2018,heat,hold,Apex,699.6341463414634,700.0243902439024,698.6829268292682,0.0,False,False,False
0567d372dd7fcbcaa599df9e9793ac7c8b62a342,dec,2018,auto,hold,Lexington,721.9101851851852,775.0,725.0,0.0,True,False,True
05695c7adfc8b0c97a81dc66baf9d55cbc915a5f,dec,2018,heat,auto,Durham,640.5496688741722,775.4569536423841,644.671523178808,30.0,False,False,True
05695c7adfc8b0c97a81dc66baf9d55cbc915a5f,dec,2018,heat,hold,Durham,685.0384615384615,690.5384615384615,690.5384615384615,30.0,False,False,True
057ec565d911c3c97cb10d713bb0fba08295ed0d,dec,2018,heat,hold,Waynesville,678.5347405452947,680.0,680.0,40.0,False,False,True
05a55d1615ff252bbb2827ca5ece8aec34f5204b,dec,2018,heat,auto,Raleigh,744.658394160584,705.887591240876,705.887591240876,0.0,False,False,True
05a55d1615ff252bbb2827ca5ece8aec34f5204b,dec,2018,heat,hold,Raleigh,750.8921568627451,739.843137254902,739.843137254902,0.0,False,False,True
05bbeb1e82fe2caf9e68562a3d773c50ba138326,dec,2018,auto,hold,Lexington,728.4541666666667,780.0,730.0,0.0,False,False,True
05e23eb51c7713b3fd674fdb6b16af2b90d8ac2d,dec,2018,auto,hold,Flat Rock,710.0,766.243093922652,712.4861878453039,5.0,False,False,False
063248201c13d5f91101b0bb4ec6d04100f7d621,dec,2018,heat,auto,Cornelius,649.2209302325581,650.0,649.8255813953489,0.0,True,False,False
06b4455e8024315effd9704360795475b0314ec7,dec,2018,auto,hold,Cary,706.0386334610472,819.6845466155811,699.9390166028097,5.0,False,False,True
06c6e58e1a891c36e46a39dccbd9b66d7da15766,dec,2018,auto,hold,Durham,700.990243902439,807.170731707317,699.3577235772358,10.0,False,False,False
0728880afd6266fdf2d3460f2117d83883eaad3f,dec,2018,auto,hold,fuquay varina,701.5595238095239,740.0,660.0,5.0,False,False,False
0728880afd6266fdf2d3460f2117d83883eaad3f,dec,2018,cool,auto,fuquay varina,731.1666666666666,690.0,690.0,5.0,False,False,False
0728880afd6266fdf2d3460f2117d83883eaad3f,dec,2018,cool,hold,fuquay varina,694.2307692307693,710.0,710.0,5.0,False,False,False
0728880afd6266fdf2d3460f2117d83883eaad3f,dec,2018,heat,auto,fuquay varina,698.0208333333334,700.5416666666666,699.4583333333334,5.0,False,False,False
0728880afd6266fdf2d3460f2117d83883eaad3f,dec,2018,heat,hold,fuquay varina,694.196,693.086,689.024,5.0,False,False,False
0732b5478e8a972bf6948bd0cd50ff7bf2b68566,dec,2018,heat,auto,Asheville,672.9313005143277,810.0,666.3703159441587,108.0,True,False,True
0732b5478e8a972bf6948bd0cd50ff7bf2b68566,dec,2018,heat,hold,Asheville,675.2142857142857,660.452380952381,660.452380952381,108.0,True,False,True
073f6cf666d7c6c1c84803c8dddd83b52a97cf7f,dec,2018,heat,auto,Charlotte,696.8333333333334,730.0,700.0,20.0,False,False,False
074254610c0e2433425058d25dbbab6b08bf7f39,dec,2018,auto,auto,Holden Beach,644.2613122171946,775.0904977375566,642.710407239819,40.0,True,False,True
074f9d7c60fee9def87d1422674a7d1cf0c0a3ea,dec,2018,auto,auto,Villa Heights,707.4166666666666,760.0,710.0,0.0,True,False,True
074f9d7c60fee9def87d1422674a7d1cf0c0a3ea,dec,2018,auto,hold,Villa Heights,696.2941176470588,761.9411764705883,697.1764705882352,0.0,True,False,True
07897e7376cf9646f159d6a3f8612b51fdc666c8,dec,2018,heat,auto,Raleigh,646.7889125799574,741.0149253731344,645.1620469083156,16.0,False,False,False
07897e7376cf9646f159d6a3f8612b51fdc666c8,dec,2018,heat,hold,Raleigh,695.5901639344262,701.4754098360655,701.4754098360655,16.0,False,False,False
