Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0010db271149fae01fa527e2c2105074d5771e5f,dec,2020,auto,auto,Raleigh,682.5,748.4780701754386,652.280701754386,37.0,True,False,True
002d657d269c2da28e96732bf69b6db645b85262,dec,2020,heat,hold,Lexington,727.4730831973899,737.0,737.0,20.0,False,False,True
0040ebf3245a0c006af3b3ba9447a500edfbeaf0,dec,2020,heat,auto,Clayton,726.275,759.8833333333333,739.8916666666667,0.0,True,False,True
0040ebf3245a0c006af3b3ba9447a500edfbeaf0,dec,2020,heat,hold,Clayton,717.6666666666666,739.2666666666667,737.1333333333333,0.0,True,False,True
0057524413acccb390d3a4ee0ba2e74236f02e98,dec,2020,auto,hold,Raleigh,707.2727272727273,769.2727272727273,718.9090909090909,10.0,False,False,False
007cdd82d7747e9a85dfc0616574a29adc8b5804,dec,2020,auto,hold,Woodcroft,689.0514905149051,780.0,692.8970189701897,35.0,True,False,True
008b9fe24b54f090ad27a433c0cb950142d3becb,dec,2020,auto,hold,Avon,710.5595238095239,789.3333333333334,709.3988095238095,30.0,True,False,True
00bbbdb5c3b6cb8b9e78191017ecdb97dad87e47,dec,2020,auto,auto,Jacksonville,703.9724770642201,753.954128440367,696.0412844036697,5.0,False,False,True
00d55263cfcd8313afc4be48fe6de4397b7f437c,dec,2020,heat,hold,Durham,696.5769230769231,699.0,699.0,0.0,True,False,False
00e5498cd188bdf09a9a1a902e6084b200cbbdef,dec,2020,auto,hold,Wade,684.7885906040268,750.0,689.8825503355705,55.0,False,False,False
00eb3069b0d62a9be8ed0bcf0b7ca35860a7b716,dec,2020,auto,hold,Mint Hill,676.438596491228,740.0,680.0,40.0,True,False,True
00fe927e079676ec2e0bdd97d164267165e25e86,dec,2020,heat,hold,Mint Hill,702.4716981132076,693.7547169811321,687.622641509434,25.0,True,False,True
012086f3463a755a7cff8ca008a20337e83e5f8b,dec,2020,heat,auto,Mooresville,706.4125,750.0,709.975,5.0,True,False,True
012086f3463a755a7cff8ca008a20337e83e5f8b,dec,2020,heat,hold,Mooresville,706.8255813953489,710.0,710.0,5.0,True,False,True
014c50b16659e19a0ce2470cb8e9d734cf2deb2a,dec,2020,auto,hold,Durham,716.5630099728014,767.3218495013599,717.3218495013599,0.0,False,False,False
0172751a7d4d785df2216952e1be26ff7861a414,dec,2020,heat,auto,Greensboro,721.7689473684211,723.8678947368421,723.8594736842106,65.0,False,False,False
0172751a7d4d785df2216952e1be26ff7861a414,dec,2020,heat,hold,Greensboro,716.7625329815304,720.6411609498681,720.6411609498681,65.0,False,False,False
01c362dc162d1accf0132df85cb8f2da603a6d8f,dec,2020,auto,auto,Charlotte,708.1645346272607,810.0,705.7362152624614,30.0,False,False,False
01ed9ae510d962edab541c164606e651a76cb026,dec,2020,auto,auto,Mount Gilead,736.4607843137255,790.0,740.0,68.0,True,False,False
01ed9ae510d962edab541c164606e651a76cb026,dec,2020,auto,hold,Mount Gilead,728.3300653594771,800.0,731.1078431372549,68.0,True,False,False
01eef9724e141b542d3a9a1f121a526bb41257f4,dec,2020,heat,auto,Pittsboro,689.1322314049587,766.0661157024794,697.7933884297521,25.0,False,False,False
01eef9724e141b542d3a9a1f121a526bb41257f4,dec,2020,heat,hold,Pittsboro,691.5655526992288,701.1439588688946,698.7763496143959,25.0,False,False,False
01f2cdbaac7362a290e7c1ef329644013dfaeff6,dec,2020,auto,hold,Raleigh,692.609022556391,752.406015037594,700.0,0.0,False,False,False
020150babe11636e130e77d7e746b4b9ee751921,dec,2020,heat,hold,Cary,725.9615384615385,730.0,730.0,30.0,False,False,False
0260f5cc20796a72db72784c3c2bea67b1044577,dec,2020,auto,auto,Raleigh,680.907060518732,740.0,680.0,75.0,True,False,True
0260f5cc20796a72db72784c3c2bea67b1044577,dec,2020,auto,hold,Raleigh,677.808690744921,717.6975169300226,677.6975169300226,75.0,True,False,True
026c81c54bc3afdd2b6a478d7532353b37c5d547,dec,2020,auto,hold,Gastonia,677.9542857142857,750.0,682.24,45.0,False,False,False
026c81c54bc3afdd2b6a478d7532353b37c5d547,dec,2020,heat,hold,Gastonia,684.0770119368502,688.3977666538314,686.0257989988448,45.0,False,False,False
027a2a5e27bf45e6c7a24f1e9ea31bd216655f0b,dec,2020,auto,hold,Greensboro,666.75,780.0,670.0,0.0,False,False,False
027b20250818f6d568a27a9ddcdbc6fd8766eaab,dec,2020,auto,auto,Charlotte,707.6324786324786,765.4700854700855,715.4700854700855,0.0,True,False,True
02a31fc1fd025452befb7f37cf48201468a46e6f,dec,2020,auto,auto,Chapel Hill,683.2764705882353,790.0,687.65,0.0,False,False,True
02a31fc1fd025452befb7f37cf48201468a46e6f,dec,2020,auto,hold,Chapel Hill,691.5002794857462,751.4924538848519,687.9670206819452,0.0,False,False,True
02a6480a1235b5bfd3bc1d4d626440bb50d18d1f,dec,2020,heat,auto,Charlotte,718.75,725.6666666666666,724.6875,30.0,False,False,False
02a6480a1235b5bfd3bc1d4d626440bb50d18d1f,dec,2020,heat,hold,Charlotte,718.1198501872659,727.4157303370787,726.8052434456929,30.0,False,False,False
02bda8c348d24fc3c754d18822eaa07180f30dc7,dec,2020,heat,auto,Boone,613.2515337423313,630.0,615.2760736196319,15.0,False,False,True
02bda8c348d24fc3c754d18822eaa07180f30dc7,dec,2020,heat,hold,Boone,667.9261744966443,670.0,670.0,15.0,False,False,True
02d202caca05ffb18768f669f0b31020467c495e,dec,2020,auto,auto,Purlear,674.9447938504542,769.9133473095737,681.1558350803634,77.0,False,False,True
02d202caca05ffb18768f669f0b31020467c495e,dec,2020,auto,hold,Purlear,682.2115621156212,776.2730627306273,682.8671586715867,77.0,False,False,True
02dd5281f9852ad3b808e43fd82bdf69a14f0686,dec,2020,heat,hold,Raleigh,716.3209549071618,718.5291777188329,718.5212201591512,5.0,False,False,False
0301d24a5fab8541809479e895976272c08de00a,dec,2020,heat,auto,Leland,715.3373493975904,680.0,680.0,15.0,True,False,True
03153a1eb91f3cf82d85189f9e841e64886e96d6,dec,2020,heat,auto,Mooresville,633.6946778711484,778.4901960784314,621.2857142857143,5.0,True,False,False
031ebcd358c12af7ca6302b5ccbcac9af3142e89,dec,2020,heat,hold,Fletcher,686.2105263157895,690.0,690.0,20.0,True,False,True
