Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00bbbdb5c3b6cb8b9e78191017ecdb97dad87e47,Jan,2017,auto,auto,Jacksonville,689.9978237214364,762.5016322089227,687.4907508161044,5.0,False,False,True
00e5498cd188bdf09a9a1a902e6084b200cbbdef,Jan,2017,auto,hold,Wade,686.2068965517242,751.3103448275862,688.2758620689655,55.0,False,False,False
013708850f6d20343f635dc3c0130399b66b0578,Jan,2017,auto,hold,Concord,690.9903846153846,750.5288461538462,690.0,0.0,False,False,False
016c1867b7cc7622e183e8d74de2b93ddd9449a3,Jan,2017,heat,auto,Dobson,720.2909604519774,710.1045197740114,709.8163841807909,15.0,False,False,True
0172751a7d4d785df2216952e1be26ff7861a414,Jan,2017,heat,auto,Greensboro,708.0296495956874,707.7345013477089,705.3719676549865,65.0,False,False,False
0172751a7d4d785df2216952e1be26ff7861a414,Jan,2017,heat,hold,Greensboro,707.3,711.4,710.35,65.0,False,False,False
02a6480a1235b5bfd3bc1d4d626440bb50d18d1f,Jan,2017,heat,auto,Charlotte,664.7714285714286,682.3314285714285,667.1028571428571,30.0,False,False,False
02a6480a1235b5bfd3bc1d4d626440bb50d18d1f,Jan,2017,heat,hold,Charlotte,672.8888888888889,696.8518518518518,695.0,30.0,False,False,False
02bda8c348d24fc3c754d18822eaa07180f30dc7,Jan,2017,heat,auto,Boone,624.6908037653874,650.0275162925417,620.044170890659,15.0,False,False,True
02bda8c348d24fc3c754d18822eaa07180f30dc7,Jan,2017,heat,hold,Boone,633.3278921220724,652.9531582682754,634.1220723917672,15.0,False,False,True
02dd5281f9852ad3b808e43fd82bdf69a14f0686,Jan,2017,heat,hold,Raleigh,712.2627986348123,723.7178612059158,723.5585893060296,5.0,False,False,False
04684a4d62193c30f0ec0018997f23b56350875c,Jan,2017,auto,auto,Hatteras,733.7557251908397,784.9847328244275,734.9847328244275,15.0,True,False,True
04684a4d62193c30f0ec0018997f23b56350875c,Jan,2017,auxHeatOnly,auto,Hatteras,729.182902584493,730.7196819085488,730.7196819085488,15.0,True,False,True
04684a4d62193c30f0ec0018997f23b56350875c,Jan,2017,auxHeatOnly,hold,Hatteras,724.3507853403141,724.7486910994764,724.5759162303665,15.0,True,False,True
04684a4d62193c30f0ec0018997f23b56350875c,Jan,2017,heat,auto,Hatteras,730.7459893048128,731.6229946524064,731.5160427807486,15.0,True,False,True
04684a4d62193c30f0ec0018997f23b56350875c,Jan,2017,heat,hold,Hatteras,732.1858407079646,735.9203539823009,735.9203539823009,15.0,True,False,True
04cb3f614e6e7f4629fd13e4978543eb623efccf,Jan,2017,auto,auto,Fuquay-Varina,691.3333333333334,744.9166666666666,694.9166666666666,5.0,False,False,False
04dd518bf8f1884f9f669346b66a3f68af1b423f,Jan,2017,auxHeatOnly,auto,Wallace,659.75,662.429012345679,662.429012345679,0.0,False,False,True
04dd518bf8f1884f9f669346b66a3f68af1b423f,Jan,2017,auxHeatOnly,hold,Wallace,688.6063618290259,690.4380384360504,690.4380384360504,0.0,False,False,True
051fb60df3e99b8cf0c9a8d9b14e6cf0c92aa2ca,Jan,2017,auto,auto,Lenoir,697.4728033472803,723.9707112970711,698.4644351464435,10.0,False,False,True
051fb60df3e99b8cf0c9a8d9b14e6cf0c92aa2ca,Jan,2017,auto,hold,Lenoir,698.3773234200744,727.9888475836432,700.1886617100372,10.0,False,False,True
05695c7adfc8b0c97a81dc66baf9d55cbc915a5f,Jan,2017,heat,hold,Durham,682.90625,690.0,690.0,30.0,False,False,True
05e23eb51c7713b3fd674fdb6b16af2b90d8ac2d,Jan,2017,heat,auto,Flat Rock,711.3728813559322,680.3389830508474,680.3389830508474,5.0,False,False,False
05e23eb51c7713b3fd674fdb6b16af2b90d8ac2d,Jan,2017,heat,hold,Flat Rock,700.2820512820513,696.4358974358975,696.4529914529915,5.0,False,False,False
05fb57ddba7d407a64b982dac03e06db5a7ad3c2,Jan,2017,heat,auto,Ocracoke,687.4031413612565,780.0157068062828,679.9842931937172,10.0,True,False,True
062bcef4aa8af727d06c749dd7e8fd0e1ef6bbe9,Jan,2017,heat,hold,Waxhaw,676.7866666666666,680.2666666666667,679.9466666666667,5.0,False,False,False
0728880afd6266fdf2d3460f2117d83883eaad3f,Jan,2017,auto,hold,fuquay varina,683.2225705329154,708.0282131661442,658.0282131661442,5.0,False,False,False
0728880afd6266fdf2d3460f2117d83883eaad3f,Jan,2017,heat,hold,fuquay varina,682.3333333333334,680.5,680.0833333333334,5.0,False,False,False
0771049c971ed96d926ff17b9f8229c8e0f143c1,Jan,2017,heat,auto,Surf City,704.7945205479452,689.2876712328767,688.7123287671233,15.0,True,True,True
07897e7376cf9646f159d6a3f8612b51fdc666c8,Jan,2017,heat,auto,Raleigh,684.55,690.34,689.62,16.0,False,False,False
07897e7376cf9646f159d6a3f8612b51fdc666c8,Jan,2017,heat,hold,Raleigh,676.0971428571429,680.0,680.0,16.0,False,False,False
079bfcb69d4bd2ab07a5f5eefb5bbd5447ffc99c,Jan,2017,heat,auto,Hillsborough,711.4541062801933,711.4685990338164,711.463768115942,20.0,False,False,False
079bfcb69d4bd2ab07a5f5eefb5bbd5447ffc99c,Jan,2017,heat,hold,Hillsborough,712.4298245614035,712.7065390749601,711.9553429027113,20.0,False,False,False
0808259e234910cfbfe5907fb690e3c77d3c87bb,Jan,2017,heat,hold,Raleigh,667.2791666666667,658.5,658.5,70.0,False,False,True
080a06a3d22de098f71ee307c9fd975721b63f3e,Jan,2017,heat,auto,Charlotte,703.3218658892129,705.7545189504373,688.135860058309,50.0,False,False,False
080a06a3d22de098f71ee307c9fd975721b63f3e,Jan,2017,heat,hold,Charlotte,697.2690058479532,704.2105263157895,671.1578947368421,50.0,False,False,False
084234dfdbd1856347e1c2d6cbdb3ce21940fae4,Jan,2017,auto,auto,Durham,688.765625,740.46875,690.46875,15.0,True,False,False
08c32fd7cb03b31fce76012b3990c45614b49fec,Jan,2017,auto,auto,Huntersville,663.0196078431372,770.0,670.0030165912519,40.0,True,False,True
