Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
007c248ef28f2dca0dd638319a0d779a8fa9cdb8,feb,2020,auto,auto,Mandan,680.1072555205047,740.3470031545742,689.3911671924291,5.0,False,False,False
007c248ef28f2dca0dd638319a0d779a8fa9cdb8,feb,2020,auto,hold,Mandan,686.078125,740.0,690.0,5.0,False,False,False
0f282db9c216fb43ec7241fe29cd5c947102a773,feb,2020,heat,auto,Grand Forks,726.0475482912333,729.4205052005943,729.4205052005943,0.0,False,False,False
0f282db9c216fb43ec7241fe29cd5c947102a773,feb,2020,heat,hold,Grand Forks,724.8590504451039,727.8783382789318,727.8783382789318,0.0,False,False,False
133b1a5141d782c76b9bc0bbae821c8049a5dade,feb,2020,heat,auto,McClusky,696.5088495575221,698.2349155269509,698.2349155269509,20.0,False,False,False
1ac4e006e1f03d07773c21b423ce418dedfdeb3b,feb,2020,auto,auto,Bismarck,706.4883720930233,740.0,710.0,15.0,False,False,False
1ac4e006e1f03d07773c21b423ce418dedfdeb3b,feb,2020,auto,hold,Bismarck,688.96,731.92,701.92,15.0,False,False,False
1d31331716c73ed3f47c4cafbcfe1593f3474319,feb,2020,heat,hold,Lignite,743.25,720.0,720.0,60.0,False,False,False
26023071a26724ad4835896554801910a124909a,feb,2020,heat,auto,Mandan,697.3333333333334,700.0,700.0,9.0,True,False,False
26023071a26724ad4835896554801910a124909a,feb,2020,heat,hold,Mandan,686.8333333333334,690.0,690.0,9.0,True,False,False
3e1895a4447b3d22741a2a18a91fa946c1562773,feb,2020,heat,auto,Lincoln,702.2,695.0246153846153,713.9323076923077,45.0,False,False,False
3e1895a4447b3d22741a2a18a91fa946c1562773,feb,2020,heat,hold,Lincoln,692.4492099322799,702.6907449209932,702.686230248307,45.0,False,False,False
3e99a1ed6d48bd710de3ab46d9cd2030a4beec8d,feb,2020,auto,hold,Fargo,682.8795180722891,765.0,695.0,80.0,False,False,False
3e9bc2bf919bc03704e70cf4f468b154080744ea,feb,2020,heat,auto,Bismarck,678.3333333333334,650.0,650.0,35.0,False,False,False
429207994956b6f62dc2d00b6b5df0de4efe6684,feb,2020,heat,auto,Grand Forks,679.8206896551724,682.6758620689656,682.5724137931035,56.0,False,False,False
429207994956b6f62dc2d00b6b5df0de4efe6684,feb,2020,heat,hold,Grand Forks,685.9731543624162,689.6700223713647,689.6375838926175,56.0,False,False,False
448c0386d6edaf3dae9216a720dd4b1465e89a2d,feb,2020,heat,auto,Fargo,695.2142857142857,725.0,700.0,90.0,True,False,False
448c0386d6edaf3dae9216a720dd4b1465e89a2d,feb,2020,heat,hold,Fargo,682.5986394557823,695.8843537414966,688.0272108843537,90.0,True,False,False
46c6cf7aa119b224a55cf4ce661634d3de1b8aa4,feb,2020,heat,auto,Fargo,682.1025641025641,730.2051282051282,690.3589743589744,68.0,False,False,False
4d17731b1ff0a2df444618f9481aa445cd823197,feb,2020,heat,auto,Dickinson,651.2432432432432,700.4527027027027,669.4932432432432,0.0,False,False,False
4d17731b1ff0a2df444618f9481aa445cd823197,feb,2020,heat,hold,Dickinson,660.306209850107,681.3083511777302,664.644539614561,0.0,False,False,False
51530537bb399a04d6facf1744c24ce32e0df7a2,feb,2020,heat,auto,Fargo,692.0714285714286,780.0,682.8809523809524,0.0,True,False,False
5579bd66e625e08661f10f3ef3b81aec8cc8989c,feb,2020,heat,auto,Fargo,691.3743016759777,699.6648044692737,699.6648044692737,89.0,True,False,False
5579bd66e625e08661f10f3ef3b81aec8cc8989c,feb,2020,heat,hold,Fargo,692.0065445026178,696.2801047120419,696.2303664921466,89.0,True,False,False
5ab66c52e0eac96c1c089419be40dc89262c3cfc,feb,2020,heat,auto,Dickinson,678.5,683.8076923076923,681.9807692307693,5.0,False,False,False
5ab66c52e0eac96c1c089419be40dc89262c3cfc,feb,2020,heat,hold,Dickinson,678.1081081081081,682.8378378378378,681.8828828828829,5.0,False,False,False
5d80b6d9480ff7b8b6f61ca7e07cdda06681d9fa,feb,2020,heat,auto,West Fargo,693.4005934718101,708.2581602373888,696.6083086053412,19.0,True,False,False
5d80b6d9480ff7b8b6f61ca7e07cdda06681d9fa,feb,2020,heat,hold,West Fargo,689.4957627118644,718.4025423728814,692.9279661016949,19.0,True,False,False
5e1bf9472cda935cc1d054d72cc0b8adddfed5df,feb,2020,heat,hold,Fargo,688.9230769230769,686.0,686.0,30.0,False,False,False
5fed0fd2fc505c7aeeb09c1f5d7f4fe6408fddef,feb,2020,heat,auto,West Fargo,695.6988505747127,732.4965517241379,700.2896551724137,45.0,False,False,False
60f5f1ed28f8e421d6dc8d57266a9e5e34393685,feb,2020,heat,auto,West Fargo,707.2560113154173,701.1032531824611,709.997171145686,7.0,False,False,False
60f5f1ed28f8e421d6dc8d57266a9e5e34393685,feb,2020,heat,hold,West Fargo,701.1984469370146,703.993097497843,704.006902502157,7.0,False,False,False
649c3c370a218828f7d2436b12f1c34c6f4705fc,feb,2020,heat,auto,Fargo,625.1666666666666,720.0,680.0,10.0,False,False,False
6a5cc37df16f3cc0a24d466864b7235faacdbf7e,feb,2020,heat,hold,West Fargo,709.8923611111111,710.0,710.0,5.0,False,False,False
6c8433aa1db0389cd3a0214904e1c8dbe3513686,feb,2020,heat,hold,Dickinson,725.9241071428571,725.0669642857143,725.0669642857143,0.0,False,False,False
6f248a70ab5815dab3ebb2e6ca657d4fbad93a75,feb,2020,auto,hold,Fargo,708.6666666666666,800.0,690.0,5.0,False,False,False
72feb8ad8aa140755f1aeca1b83738a54c67001c,feb,2020,heat,auto,Bismarck,725.9688473520249,777.9439252336449,725.5140186915888,40.0,True,False,False
7543f250c54358d149412911fee3058f8a8b40e5,feb,2020,heat,hold,Fargo,679.8667992047714,680.7157057654075,680.7157057654075,9.0,True,False,False
7d0c43eb4ebe84b3f303c289778db00d73e6709c,feb,2020,heat,auto,Fargo,666.148849797023,733.4594046008119,669.0514208389716,5.0,False,False,False
7d0c43eb4ebe84b3f303c289778db00d73e6709c,feb,2020,heat,hold,Fargo,673.5,696.25,685.75,5.0,False,False,False
8217745f571abdaa223df2cbeebcfbf00f3f9557,feb,2020,auto,auto,Bismarck,692.4646017699115,747.0,697.0,50.0,False,False,False
872dcb1e72d7165e5467e0a890e8d644cacb1b91,feb,2020,heat,auto,GRAND FORKS,684.4427480916031,681.5038167938932,681.2900763358779,20.0,False,False,False
8b5f61ec784b3bccda90d02afd324ebbfa44bb19,feb,2020,heat,auto,Grand Forks,669.0,780.0,700.0,59.0,False,False,False
8b5f61ec784b3bccda90d02afd324ebbfa44bb19,feb,2020,heat,hold,Grand Forks,693.5333333333333,701.2666666666667,698.2666666666667,59.0,False,False,False
8f20c0d306b7503704799f8515d37da8e6892a01,feb,2020,heat,hold,Fargo,688.5088339222615,698.8727915194346,698.1837455830389,0.0,False,False,False
8f4d43dff926ace6ea477d8ccec8a89f32b21c83,feb,2020,heat,hold,Gackle,508.3015873015873,625.936507936508,625.936507936508,70.0,False,False,False
9180931f861b3cf7b2c0594ee52f5114427acf02,feb,2020,heat,auto,Bismarck,709.6875,700.0,700.0,10.0,False,False,False
9180931f861b3cf7b2c0594ee52f5114427acf02,feb,2020,heat,hold,Bismarck,721.1512605042017,715.1260504201681,715.1260504201681,10.0,False,False,False
93f9c19e6a1094ec8475c5102660ddfbebf59596,feb,2020,heat,hold,Fargo,690.365034965035,690.0,690.0,9.0,True,False,False
95dcbd536a94a1d2d7f855d394365b866f1ccc1b,feb,2020,heat,hold,Fargo,681.0,665.0,665.0,5.0,False,False,False
a0497410ab134c9b104bf4b5df24fa336b582cf4,feb,2020,heat,auto,Bismarck,709.2363861386139,743.0,710.0,48.0,False,False,False
a0497410ab134c9b104bf4b5df24fa336b582cf4,feb,2020,heat,hold,Bismarck,692.3668341708543,741.0402010050251,694.3065326633166,48.0,False,False,False
a3fbc854d12a8b0449668dc33993db9f8ea5d626,feb,2020,heat,hold,Beulah,687.1875,690.0,690.0,0.0,True,False,False
a5dbba7ac3ef4e6339f4127b526d8973991b6745,feb,2020,heat,auto,Fargo,697.843137254902,762.0,700.0,90.0,False,False,False
a5dbba7ac3ef4e6339f4127b526d8973991b6745,feb,2020,heat,hold,Fargo,686.25,678.0,660.0,90.0,False,False,False
a6ba81e0f4fb1e9e09b25a3539f6ce357243c1ac,feb,2020,heat,auto,Barney,647.1166666666667,650.0,650.0,0.0,False,False,False
a7d3bcf73e0768b4a1e8a9e952594a1f67d7998d,feb,2020,heat,hold,Fargo,691.9677419354839,700.0,700.0,40.0,False,False,False
a98b36005c9ed656b0a09026a875917fe5343c02,feb,2020,auto,auto,Barney,675.5,750.0,680.0,9.0,True,False,False
ac4e1ef26fc2901cd9d1bdd1c24a31f90878e363,feb,2020,heat,auto,Bismarck,702.3793774319066,723.0,710.0,57.0,False,False,False
b142ce399034934ea39835d8b509c98b8187d51e,feb,2020,heat,auto,Grand Forks,696.4128440366973,700.0,700.0,0.0,False,False,False
b142ce399034934ea39835d8b509c98b8187d51e,feb,2020,heat,hold,Grand Forks,684.7142018779343,690.0404929577464,690.0404929577464,0.0,False,False,False
b165597534454cbba4b68a03d094728163adfd79,feb,2020,heat,auto,Thompson,686.0555555555555,719.6666666666666,690.1666666666666,47.0,False,False,False
b165597534454cbba4b68a03d094728163adfd79,feb,2020,heat,hold,Thompson,685.472602739726,687.7191780821918,686.972602739726,47.0,False,False,False
b303f93e8d65e3edcdc6e18bc4faa90750623acd,feb,2020,heat,hold,Colfax,715.0573476702509,736.0,716.0,5.0,False,False,False
b46aea8572f264ff18267e7e66230b90780f71cf,feb,2020,heat,auto,Jamestown,722.8729468599034,725.2173913043479,725.2173913043479,40.0,False,False,False
b46aea8572f264ff18267e7e66230b90780f71cf,feb,2020,heat,hold,Jamestown,717.6022222222222,719.5111111111111,719.5111111111111,40.0,False,False,False
bc41f5465456112cd6bcc5566eab0fbd4903df61,feb,2020,heat,auto,Bismarck,708.5,720.0,670.0,5.0,False,False,False
bc41f5465456112cd6bcc5566eab0fbd4903df61,feb,2020,heat,hold,Bismarck,696.0353260869565,685.9483695652174,672.1630434782609,5.0,False,False,False
bceaab209f66b6952049619e1e64ab0d4a0314c0,feb,2020,heat,auto,West Fargo,687.1588785046729,679.9927310488058,689.9854620976116,0.0,True,False,False
bceaab209f66b6952049619e1e64ab0d4a0314c0,feb,2020,heat,hold,West Fargo,674.9780361757106,677.6918604651163,677.6918604651163,0.0,True,False,False
c171e9566395e753d002ead8edbfacf80563248c,feb,2020,heat,auto,Minot,651.6230158730159,654.7678571428571,654.7678571428571,40.0,False,False,False
c171e9566395e753d002ead8edbfacf80563248c,feb,2020,heat,hold,Minot,647.5327380952381,650.0,650.0,40.0,False,False,False
c1f3119e2131dc3a7d8869ad6d7d7357b6f0bb82,feb,2020,heat,hold,West Fargo,679.8764892772041,690.0,678.1294678316124,7.0,True,False,False
d569597e5e65846aec6329c2cdddee664df9778a,feb,2020,auto,auto,Grand Forks,687.757281553398,800.0,690.7160194174758,49.0,True,False,False
d569597e5e65846aec6329c2cdddee664df9778a,feb,2020,auto,hold,Grand Forks,696.1324041811847,800.0,700.0,49.0,True,False,False
d705ace877c5b9fe820415e5ccce4f7d92a7ae6a,feb,2020,heat,auto,Grand Forks,720.6035862068966,749.9950344827586,749.9950344827586,90.0,False,False,False
d705ace877c5b9fe820415e5ccce4f7d92a7ae6a,feb,2020,heat,hold,Grand Forks,730.2130801687764,741.5738396624473,741.5527426160338,90.0,False,False,False
e15510388d74d5085bc80018605965cd82bbbe24,feb,2020,auto,hold,Arthur,704.6068181818182,760.0,710.0,60.0,False,False,False
e4efb5c766336d843c836cc7f2623203a2599f72,feb,2020,auto,auto,Bismarck,667.5333333333333,700.0,640.0,40.0,False,False,False
e4efb5c766336d843c836cc7f2623203a2599f72,feb,2020,auto,hold,Bismarck,689.5075555555555,745.2408888888889,691.3137777777778,40.0,False,False,False
e4efb5c766336d843c836cc7f2623203a2599f72,feb,2020,cool,hold,Bismarck,665.6338983050847,677.1355932203389,677.1355932203389,40.0,False,False,False
