Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
04ff7b2784b6b4854553989e5f8cfa4d8d653c4e,Jan,2021,heat,hold,Bismarck,705.6551724137931,710.183908045977,709.6781609195402,20.0,True,False,False
0a2c85faa9148f195dff7efd7fcaadd9b7e7a24b,Jan,2021,heat,hold,Bismarck,707.3559322033898,710.3050847457627,709.457627118644,20.0,True,False,False
0c0bd0b708210af527c4acd1652566b20b9e1113,Jan,2021,heat,hold,Casselton,690.9589041095891,695.0,695.0,70.0,False,False,False
0fac6afda912cd175202e8e2925e028b7d22bbec,Jan,2021,heat,hold,Thompson,694.8677685950413,698.9586776859504,698.9586776859504,69.0,True,False,False
1ac4e006e1f03d07773c21b423ce418dedfdeb3b,Jan,2021,heat,hold,Bismarck,680.0459453250631,681.666207213416,681.6418561911325,15.0,False,False,False
26023071a26724ad4835896554801910a124909a,Jan,2021,heat,hold,Mandan,695.8794326241135,698.4964539007092,697.6879432624113,9.0,True,False,False
31bab83a250783cc0d48f1509a6fdfeb059990b7,Jan,2021,heat,hold,Argusville,644.5,650.0,650.0,0.0,False,False,True
3e1895a4447b3d22741a2a18a91fa946c1562773,Jan,2021,heat,hold,Lincoln,694.2631578947369,710.3157894736842,710.3157894736842,45.0,False,False,False
429207994956b6f62dc2d00b6b5df0de4efe6684,Jan,2021,heat,hold,Grand Forks,678.0762331838565,677.847533632287,677.7757847533633,56.0,False,False,False
448c0386d6edaf3dae9216a720dd4b1465e89a2d,Jan,2021,heat,hold,Fargo,733.6013597033375,740.0,740.0,90.0,True,False,False
4d17731b1ff0a2df444618f9481aa445cd823197,Jan,2021,auto,hold,Dickinson,682.6271186440678,707.6610169491526,657.6610169491526,0.0,False,False,False
4d17731b1ff0a2df444618f9481aa445cd823197,Jan,2021,heat,hold,Dickinson,687.2881355932203,689.1694915254237,667.3050847457627,0.0,False,False,False
5144eced072ef32847cb8518ae294adfe067150c,Jan,2021,heat,hold,Colfax,710.1396396396397,741.0,711.0,5.0,False,False,False
5579bd66e625e08661f10f3ef3b81aec8cc8989c,Jan,2021,heat,hold,Fargo,690.063829787234,695.0,695.0,89.0,True,False,False
5ab66c52e0eac96c1c089419be40dc89262c3cfc,Jan,2021,heat,hold,Dickinson,682.2514619883041,685.1461988304094,684.8713450292398,5.0,False,False,False
5d80b6d9480ff7b8b6f61ca7e07cdda06681d9fa,Jan,2021,heat,hold,West Fargo,714.3485617597293,721.4906937394247,715.2554991539763,19.0,True,False,False
60f5f1ed28f8e421d6dc8d57266a9e5e34393685,Jan,2021,heat,hold,West Fargo,708.316369359916,710.0,710.0,7.0,False,False,False
6390fd3f9fbd20b5e3e44c24396e63aca01ee37d,Jan,2021,heat,hold,Casselton,698.2637362637363,701.8131868131868,701.8131868131868,75.0,False,False,False
