Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
078b48dc9011fc73ec28a0464a6e0b260e5a8715,jul,2018,cool,hold,Williston,731.0,740.0,665.0,5.0,False,False,False
0f282db9c216fb43ec7241fe29cd5c947102a773,jul,2018,cool,hold,Grand Forks,710.7555429221148,710.560545764639,710.4701534963048,0.0,False,False,False
31bab83a250783cc0d48f1509a6fdfeb059990b7,jul,2018,cool,auto,Argusville,714.5510204081633,750.0,750.0,0.0,False,False,True
31bab83a250783cc0d48f1509a6fdfeb059990b7,jul,2018,cool,hold,Argusville,679.0833333333334,680.0,680.0,0.0,False,False,True
3e1895a4447b3d22741a2a18a91fa946c1562773,jul,2018,cool,auto,Lincoln,749.5531914893617,750.5744680851063,715.0,45.0,False,False,False
3e1895a4447b3d22741a2a18a91fa946c1562773,jul,2018,cool,hold,Lincoln,745.3333333333334,737.1875,737.0,45.0,False,False,False
3e9bc2bf919bc03704e70cf4f468b154080744ea,jul,2018,cool,auto,Bismarck,742.4190476190477,761.7904761904762,757.8571428571429,35.0,False,False,False
3e9bc2bf919bc03704e70cf4f468b154080744ea,jul,2018,cool,hold,Bismarck,738.1230366492147,757.4738219895288,757.041884816754,35.0,False,False,False
3f39fe1ad41d5239b414e4922a76330f2d038501,jul,2018,cool,hold,Fargo,681.7027234369007,680.0099731492137,680.0099731492137,10.0,False,False,False
429207994956b6f62dc2d00b6b5df0de4efe6684,jul,2018,cool,auto,Grand Forks,748.8,740.0,740.0,56.0,False,False,False
429207994956b6f62dc2d00b6b5df0de4efe6684,jul,2018,cool,hold,Grand Forks,741.9461538461538,743.0961538461538,742.5923076923077,56.0,False,False,False
429207994956b6f62dc2d00b6b5df0de4efe6684,jul,2018,heat,hold,Grand Forks,737.8571428571429,739.1428571428571,739.1428571428571,56.0,False,False,False
4d17731b1ff0a2df444618f9481aa445cd823197,jul,2018,auto,auto,Dickinson,686.4193548387096,680.0322580645161,629.825806451613,0.0,False,False,False
4d17731b1ff0a2df444618f9481aa445cd823197,jul,2018,auto,hold,Dickinson,705.6666666666666,667.78125,617.7291666666666,0.0,False,False,False
5144eced072ef32847cb8518ae294adfe067150c,jul,2018,auto,hold,Colfax,735.8826815642458,737.7067039106146,699.1201117318436,5.0,False,False,False
5ab66c52e0eac96c1c089419be40dc89262c3cfc,jul,2018,cool,hold,Dickinson,698.3478260869565,690.5217391304348,689.804347826087,5.0,False,False,False
5cd961d7fce7850ef803f04c65462e23ec55fbc9,jul,2018,cool,hold,Fargo,750.7571428571429,760.0,750.0,5.0,False,False,False
5e1bf9472cda935cc1d054d72cc0b8adddfed5df,jul,2018,auto,hold,Fargo,708.7111111111111,753.4888888888889,706.2222222222222,30.0,False,False,False
5e1bf9472cda935cc1d054d72cc0b8adddfed5df,jul,2018,cool,auto,Fargo,689.56,662.36,661.56,30.0,False,False,False
5e1bf9472cda935cc1d054d72cc0b8adddfed5df,jul,2018,cool,hold,Fargo,690.6666666666666,730.0,730.0,30.0,False,False,False
5fed0fd2fc505c7aeeb09c1f5d7f4fe6408fddef,jul,2018,cool,auto,West Fargo,723.5073529411765,730.0,680.0,45.0,False,False,False
60f5f1ed28f8e421d6dc8d57266a9e5e34393685,jul,2018,cool,auto,West Fargo,692.046511627907,690.7674418604652,700.1860465116279,7.0,False,False,False
60f5f1ed28f8e421d6dc8d57266a9e5e34393685,jul,2018,cool,hold,West Fargo,693.2110091743119,689.3761467889908,687.8807339449542,7.0,False,False,False
649c3c370a218828f7d2436b12f1c34c6f4705fc,jul,2018,cool,auto,Fargo,748.5,767.0,663.5,10.0,False,False,False
6c8433aa1db0389cd3a0214904e1c8dbe3513686,jul,2018,cool,hold,Dickinson,732.8298906439854,732.5188335358445,732.5188335358445,0.0,False,False,False
6c8433aa1db0389cd3a0214904e1c8dbe3513686,jul,2018,heat,hold,Dickinson,739.2,730.0,730.0,0.0,False,False,False
6e3464542da5e275eebd42444f08f74e6e90d535,jul,2018,cool,auto,Fargo,737.3610223642172,806.1054313099041,630.0575079872204,56.0,False,False,False
6e3464542da5e275eebd42444f08f74e6e90d535,jul,2018,cool,hold,Fargo,733.5645161290323,735.5483870967741,716.4516129032259,56.0,False,False,False
6f248a70ab5815dab3ebb2e6ca657d4fbad93a75,jul,2018,cool,hold,Fargo,690.0313725490196,685.8823529411765,685.8823529411765,5.0,False,False,False
