Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
033afd975854035a4b0ab320768f094d2b716859,jul,2017,auto,hold,La Vista,673.8333333333334,670.0416666666666,620.0,0.0,False,False,False
05320d509a18b2d4022029409e7a267736e78e0b,jul,2017,cool,auto,Lincoln,751.974358974359,842.6923076923077,625.5384615384615,90.0,False,False,False
05320d509a18b2d4022029409e7a267736e78e0b,jul,2017,cool,hold,Lincoln,729.119512195122,734.9658536585366,734.0341463414634,90.0,False,False,False
0ad90268dcfa7e7aa1d92768a5d17e1841ceaf17,jul,2017,cool,hold,McCool Junction,759.255230125523,768.6192468619247,768.5732217573221,15.0,True,False,True
0d779ed5bbc93a32506824e72f1b051e9980a0cf,jul,2017,cool,auto,Blair,769.4666666666667,760.0,690.0,35.0,False,False,False
0d779ed5bbc93a32506824e72f1b051e9980a0cf,jul,2017,cool,hold,Blair,758.5947136563876,752.6079295154185,752.6079295154185,35.0,False,False,False
0e941550e1a9b4328f2290a4ffda69f7386326e1,jul,2017,auto,hold,Lincoln,721.1923076923077,712.6923076923077,658.0769230769231,40.0,False,False,False
10484576cdf6fa0ce377a1110f267866bcfea53d,jul,2017,cool,hold,Omaha,751.0857142857143,760.0,760.0,0.0,False,False,False
1368c1b32f1bf0e6653e05e1c3cc7a00b8ac0384,jul,2017,auto,hold,Papillion,733.108040201005,735.0,685.0,20.0,False,False,False
1368c1b32f1bf0e6653e05e1c3cc7a00b8ac0384,jul,2017,cool,hold,Papillion,726.8869395711502,720.0,720.0,20.0,False,False,False
139fad3ed64a1a20e1def36f6af543b56e705d97,jul,2017,cool,auto,Papillion,781.0049813200499,778.7409713574098,774.9296388542964,5.0,True,False,False
139fad3ed64a1a20e1def36f6af543b56e705d97,jul,2017,cool,hold,Papillion,750.8786502271253,750.3458792991564,750.1927319922129,5.0,True,False,False
145963248cf8d175636bcff4a19d64b4a2f34554,jul,2017,cool,auto,Lincoln,695.8125,715.875,698.25,57.0,True,False,False
145963248cf8d175636bcff4a19d64b4a2f34554,jul,2017,cool,hold,Lincoln,723.1962264150943,730.0943396226415,702.9245283018868,57.0,True,False,False
160ff68927fc9fe4b79b64e7ab2f68af98352b2a,jul,2017,cool,auto,Lincoln,750.5957446808511,735.3191489361702,690.0,30.0,False,False,False
160ff68927fc9fe4b79b64e7ab2f68af98352b2a,jul,2017,cool,hold,Lincoln,746.0625,740.0,740.0,30.0,False,False,False
1790846f30996810ebbff50dc7ff38a07c95b4b8,jul,2017,cool,auto,Lincoln,755.7044025157232,760.0,670.0,56.0,False,False,False
1985472cdc3f8d3bf064a68f444737c05c724ea8,jul,2017,auto,auto,Omaha,716.1857142857143,725.1428571428571,675.1428571428571,10.0,False,False,False
1985472cdc3f8d3bf064a68f444737c05c724ea8,jul,2017,auto,hold,Omaha,733.9153719008265,735.4995041322314,680.9428099173554,10.0,False,False,False
1bc9dd1a33d7cd4bd0ab22cf891a7a2bb06c7074,jul,2017,cool,auto,Bennington,733.894526034713,738.9844236760125,736.9724076546506,0.0,False,False,False
1bc9dd1a33d7cd4bd0ab22cf891a7a2bb06c7074,jul,2017,cool,hold,Bennington,730.5486338797814,755.4032786885246,755.4448087431693,0.0,False,False,False
1bfb62d0e9dba57c78954c88bfeea8fa24ce33dd,jul,2017,auto,hold,Omaha,741.6526315789474,749.7789473684211,646.8421052631579,40.0,False,False,False
1bfb62d0e9dba57c78954c88bfeea8fa24ce33dd,jul,2017,cool,auto,Omaha,758.8866995073892,760.2216748768473,739.8522167487685,40.0,False,False,False
1bfb62d0e9dba57c78954c88bfeea8fa24ce33dd,jul,2017,cool,hold,Omaha,754.7040395713108,756.0840890354493,756.0321516900248,40.0,False,False,False
1db4966bf487d3331c7559f372cd481085d0a68a,jul,2017,cool,hold,Omaha,746.8627450980392,751.1478758169935,751.1478758169935,20.0,False,False,False
1ed82abc39a0b31bee0eddc2ce4360bae3f60882,jul,2017,cool,hold,Ashland,733.4271523178808,733.5298013245033,733.3774834437086,5.0,False,False,False
209d366c078dea9d01b09adb79042c77676f62a2,jul,2017,cool,hold,Omaha,697.3978102189781,694.8175182481751,694.8175182481751,15.0,False,False,True
2488e00ea8acc1e433ee92f1017c8180d71e6737,jul,2017,auto,auto,Chadron,713.6728971962617,691.8691588785047,620.0,99.0,False,False,False
2488e00ea8acc1e433ee92f1017c8180d71e6737,jul,2017,auto,hold,Chadron,722.7645454545454,720.6527272727272,618.9609090909091,99.0,False,False,False
2779393984f20e6904a91531c622147ef528bb09,jul,2017,cool,hold,Omaha,759.7267441860465,757.3430232558139,757.1337209302326,5.0,False,False,False
27d9a2f33a5726f3b23a7c140fb602a1010522cc,jul,2017,auto,auto,Omaha,754.2283236994219,759.3294797687861,674.2456647398844,17.0,False,False,False
27d9a2f33a5726f3b23a7c140fb602a1010522cc,jul,2017,auto,hold,Omaha,749.5816326530612,746.1224489795918,670.1530612244898,17.0,False,False,False
2911c7e52c05ddbd5616934829dd9a850580e367,jul,2017,cool,hold,Lincoln,740.6017699115044,744.070796460177,743.0619469026549,10.0,False,False,False
2e81159df6e4544b495765d3338a7185c8d41402,jul,2017,cool,auto,Minden,750.8025477707006,777.6687898089172,680.0,50.0,False,False,False
2e81159df6e4544b495765d3338a7185c8d41402,jul,2017,cool,hold,Minden,766.5555555555555,775.0,775.0,50.0,False,False,False
3497197c66f4a1ef31eaac1bc0f4bb14516b3b2a,jul,2017,cool,auto,Minden,729.9416666666667,744.5,673.0,50.0,False,False,False
3497197c66f4a1ef31eaac1bc0f4bb14516b3b2a,jul,2017,cool,hold,Minden,734.2857142857143,750.0,750.0,50.0,False,False,False
37dbf65f546a39028b78b89aa2c97a55831d0083,jul,2017,cool,auto,Lincoln,752.2285714285714,755.1428571428571,648.8571428571429,10.0,False,False,False
37dbf65f546a39028b78b89aa2c97a55831d0083,jul,2017,cool,hold,Lincoln,754.1024844720497,752.4689440993789,752.2453416149068,10.0,False,False,False
388702a2312fc19a6173301615868a31e2fc2564,jul,2017,cool,auto,Omaha,741.75,740.0,690.0,25.0,False,False,False
388702a2312fc19a6173301615868a31e2fc2564,jul,2017,cool,hold,Omaha,720.094527363184,717.6268656716418,717.4477611940298,25.0,False,False,False
397ff2adf0ccfdd463ca6ea7b4edbaf6e3f1dd52,jul,2017,auto,hold,Lincoln,724.6666666666666,716.1228070175439,670.0,35.0,False,False,False
399c9c9f011895083e1e3063640a4b8313daad01,jul,2017,auto,auto,Fremont,711.3541666666666,710.0,660.0,10.0,False,False,True
399c9c9f011895083e1e3063640a4b8313daad01,jul,2017,auto,hold,Fremont,729.4230769230769,713.0,663.0,10.0,False,False,True
3bc5a1ea03c7caced8b4b1fa3d54e9ec8c3f951b,jul,2017,cool,auto,North Platte,784.3283582089553,780.6716417910447,680.1343283582089,30.0,False,False,False
3bc5a1ea03c7caced8b4b1fa3d54e9ec8c3f951b,jul,2017,cool,hold,North Platte,783.1666666666666,780.1666666666666,778.6666666666666,30.0,False,False,False
45e87711bb12ffda68db33266a2c8a21a8cea58a,jul,2017,auto,auto,Lincoln,762.1666666666666,760.0,680.0,20.0,True,False,True
