Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
02674609e156f6807ee78e1c9ac2851c16854804,jun,2018,cool,hold,Omaha,688.2083333333334,690.25,684.7083333333334,50.0,False,False,True
05320d509a18b2d4022029409e7a267736e78e0b,jun,2018,cool,auto,Lincoln,731.8909090909091,726.9363636363636,720.790909090909,90.0,False,False,False
05320d509a18b2d4022029409e7a267736e78e0b,jun,2018,cool,hold,Lincoln,733.7796610169491,725.1610169491526,724.6483050847457,90.0,False,False,False
07ab14a1e62abe24dbdc3c8c819ab2ba7d93c8bd,jun,2018,cool,auto,Elkhorn,722.6456876456876,724.1946386946387,724.1934731934732,20.0,False,False,False
07ab14a1e62abe24dbdc3c8c819ab2ba7d93c8bd,jun,2018,cool,hold,Elkhorn,719.592731829574,722.2932330827068,722.2932330827068,20.0,False,False,False
0888869bed67808acc6deba6f1d8c0ebc69e5d79,jun,2018,cool,auto,Omaha,703.1176470588235,711.8235294117648,724.4117647058823,15.0,False,False,False
0888869bed67808acc6deba6f1d8c0ebc69e5d79,jun,2018,cool,hold,Omaha,729.0904033379694,732.6662030598053,732.6077885952712,15.0,False,False,False
08b871076a1537bc6054f00b3e5cdb2755f569b1,jun,2018,cool,auto,Lincoln,723.0,700.0,700.0,50.0,False,False,False
08b871076a1537bc6054f00b3e5cdb2755f569b1,jun,2018,cool,hold,Lincoln,697.6435100548446,700.908592321755,700.2504570383912,50.0,False,False,False
0ac9c4da05cf71476d3038a06abae81f81217bad,jun,2018,auto,auto,Lincoln,731.9117647058823,730.0196078431372,665.1470588235294,20.0,False,False,False
0ac9c4da05cf71476d3038a06abae81f81217bad,jun,2018,auto,hold,Lincoln,729.6382666177011,728.5398457583548,668.211531399192,20.0,False,False,False
0d68a1abbd8eac7d18867b85b2439d51bb45d79d,jun,2018,auto,auto,Omaha,810.3913043478261,811.4782608695652,677.5652173913044,20.0,False,False,False
0d68a1abbd8eac7d18867b85b2439d51bb45d79d,jun,2018,auto,hold,Omaha,812.0277777777778,822.0555555555555,680.0,20.0,False,False,False
0d779ed5bbc93a32506824e72f1b051e9980a0cf,jun,2018,auto,auto,Blair,798.75,760.0,690.0,35.0,False,False,False
0d779ed5bbc93a32506824e72f1b051e9980a0cf,jun,2018,cool,auto,Blair,765.35,760.0,690.0,35.0,False,False,False
