Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0040cbe90c81e5e7380a45d736a756a1eaee3380,feb,2021,heat,hold,Nashua,699.9515717926932,703.0484282073068,703.0484282073068,30.0,False,False,False
015f72f468165a2474c7d0ba7761692aab3dfdf8,feb,2021,heat,hold,Londonderry,684.2948207171315,707.5019920318725,707.605577689243,29.0,False,False,False
01d65462ecbb1a30348808826d996e91025988ad,feb,2021,heat,hold,Londonderry,676.7135416666666,678.75,678.75,0.0,True,False,False
02abcb47d03cc048e70839b8c7a894a25274ca8e,feb,2021,auto,hold,Manchester,667.231308411215,746.3785046728972,665.6752336448598,80.0,False,False,False
0317a933c2fddad2ba7c2101509d0e1a849692b2,feb,2021,heat,hold,Brookline,650.1089108910891,660.4950495049505,660.4950495049505,5.0,False,False,False
03f31cfe1792523da75c3841085108f75e098397,feb,2021,heat,hold,Londonderry,661.9259100642398,662.2214132762313,661.9507494646681,0.0,False,False,False
042ad1d0b188b1106c42e6e17e17afb4084aa948,feb,2021,auto,hold,Merrimack,678.6666666666666,720.0,680.0,30.0,True,False,False
05a6c53acae73e5f6a4e767ba1a745d08937d879,feb,2021,heat,hold,Hudson,676.5393586005831,678.6793002915452,678.6326530612245,30.0,False,False,False
0640ecf375a31bf8652a0e659803e9f0e98e213f,feb,2021,heat,hold,Concord,633.7520661157025,650.8595041322315,639.8677685950413,35.0,False,False,False
083c84e9766506ae784d1f5c0d7ee72bacda7209,feb,2021,heat,hold,Amherst,677.1743119266055,685.8348623853211,684.0733944954128,40.0,True,False,False
09fc9e53b375ac1de2eff6b78768554a9d843f74,feb,2021,heat,hold,Exeter,640.957153231663,650.0,630.0,120.0,False,False,False
0b561a7a555356b4d7da4db871c54f356343a405,feb,2021,heat,hold,Raymond,667.5498489425981,670.0,670.0,120.0,False,False,False
0cd445865641bf908ae36af3933eb6fbbaf19c8f,feb,2021,heat,hold,Hampton Falls,635.7,680.0,680.0,15.0,False,False,False
0d265fb612581b34255c553ff02b373f3014b95b,feb,2021,heat,hold,Epping,685.7292993630573,691.1694267515924,690.9331210191083,7.0,False,False,False
0e259c6b36c8735e4caf5c024a8c1079b89cdfee,feb,2021,heat,hold,Nashua,672.1167512690355,684.1776649746192,683.2918781725888,118.0,False,False,False
0f11e860cee5f1299505d466f5bfe33810213c15,feb,2021,heat,hold,Nashua,695.3703703703703,680.0,680.0,10.0,False,False,False
0fd2cc902b9711592d53634be049d39c432ffe14,feb,2021,heat,hold,Hollis,639.2835820895523,651.1194029850747,640.1044776119403,30.0,False,False,False
19d8d81a76763bfe937edc848c4ae1049dfe17f6,feb,2021,heat,hold,Manchester,659.2212389380531,660.6047197640117,655.3274336283185,0.0,True,False,False
1a8b199779529318ffa81d98b3b9bb537ec127f8,feb,2021,heat,hold,North Conway,637.2698412698413,655.4761904761905,619.3015873015873,40.0,False,False,False
1ab87a3b18c302fdb2d6bf75ef333ab8b0128ee2,feb,2021,heat,hold,Peterborough,659.7547169811321,665.433962264151,660.7924528301887,0.0,False,False,False
