Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
08efa26c18b6d7a81a1e0e039953eef687044db2,jun,2017,auto,auto,Rochester,758.4285714285714,760.7142857142857,680.0,0.0,False,False,False
0b561a7a555356b4d7da4db871c54f356343a405,jun,2017,cool,hold,Raymond,718.8412698412699,720.0,720.0,120.0,False,False,False
0cd445865641bf908ae36af3933eb6fbbaf19c8f,jun,2017,auto,hold,Hampton Falls,758.4,759.1,650.0,15.0,False,False,False
0cd445865641bf908ae36af3933eb6fbbaf19c8f,jun,2017,cool,hold,Hampton Falls,755.3409090909091,763.4090909090909,740.0,15.0,False,False,False
0cd445865641bf908ae36af3933eb6fbbaf19c8f,jun,2017,heat,hold,Hampton Falls,658.0,690.0,690.0,15.0,False,False,False
13a3b2966344ab75582d63059a6cb8f70c1bcc01,jun,2017,auto,auto,Plaistow,723.75,725.0,675.0,5.0,True,False,False
13a3b2966344ab75582d63059a6cb8f70c1bcc01,jun,2017,auto,hold,Plaistow,707.0588235294117,706.0882352941177,655.8823529411765,5.0,True,False,False
1459d8eaf8bb9ed8fd3ad2155b4a6f15c1965470,jun,2017,heat,hold,Hollis,729.0877192982456,670.0,670.0,20.0,False,False,False
19d8d81a76763bfe937edc848c4ae1049dfe17f6,jun,2017,auto,auto,Manchester,732.4888888888889,770.0,720.0,0.0,True,False,False
19d8d81a76763bfe937edc848c4ae1049dfe17f6,jun,2017,auto,hold,Manchester,752.144578313253,750.0,660.0,0.0,True,False,False
1b686d18357a44a09e3f22e3bb6b8e758e8a51fc,jun,2017,cool,auto,Milford,714.562248995984,719.9839357429719,670.0281124497992,5.0,False,False,False
1b686d18357a44a09e3f22e3bb6b8e758e8a51fc,jun,2017,cool,hold,Milford,706.3650793650794,703.1587301587301,703.1587301587301,5.0,False,False,False
1fd7a8bdb1dda21534af38f441ddff505a320c2b,jun,2017,auto,hold,Salem,700.741935483871,700.1397849462365,650.1397849462365,50.0,True,False,True
211d58f1e0eada8a4a494a1b9e3f3ffff43e603b,jun,2017,cool,auto,Hampstead,774.9111111111112,800.0,680.0,30.0,False,False,True
21a461e74446843affe7756c0730a877d0fadae0,jun,2017,heat,hold,Atkinson,716.2237972508591,650.0,610.0,40.0,False,False,False
237f5d213cee83952c8b6c916092e45b6f66214d,jun,2017,cool,auto,-,696.7916666666666,712.5,695.0,10.0,False,False,True
237f5d213cee83952c8b6c916092e45b6f66214d,jun,2017,cool,hold,-,692.4305555555555,695.4861111111111,695.4861111111111,10.0,False,False,True
237f5d213cee83952c8b6c916092e45b6f66214d,jun,2017,heat,auto,-,677.4583333333334,680.0,680.0,10.0,False,False,True
25623f6f510ac3eb17b11926297fb2d9185a907b,jun,2017,cool,auto,Milford,845.0,720.0,692.0,10.0,False,False,False
25623f6f510ac3eb17b11926297fb2d9185a907b,jun,2017,cool,hold,Milford,777.4584837545126,758.2707581227437,758.2382671480144,10.0,False,False,False
26305af78700fb23d5569266e7c194778ee1f4aa,jun,2017,cool,auto,Belmont,708.1162790697674,703.1511627906976,619.8837209302326,49.0,False,False,False
26305af78700fb23d5569266e7c194778ee1f4aa,jun,2017,cool,hold,Belmont,716.1466666666666,719.5866666666667,714.72,49.0,False,False,False
28aa44a32998363789ccc0e48bb24a7dcdd0c4e7,jun,2017,auto,auto,Bedford,788.8571428571429,819.7142857142857,680.0,20.0,False,False,False
29afe5e73fd07be00763398bb3d34a8d3b19ae4f,jun,2017,heat,hold,Epping,729.5580029368575,674.7844346549192,674.7844346549192,120.0,False,False,False
3127a17e3a6b618c21032fa9f56998f06c5b0ece,jun,2017,auto,auto,Bedford,724.1736111111111,720.0,640.0,16.0,False,False,False
3127a17e3a6b618c21032fa9f56998f06c5b0ece,jun,2017,auto,hold,Bedford,719.1645639056501,739.2100932528799,644.4871091607241,16.0,False,False,False
3262f5b3fb2168c99ff8886b681b74fec974887b,jun,2017,auto,auto,Nashua,704.8809523809524,820.0,640.0,25.0,False,False,False
3262f5b3fb2168c99ff8886b681b74fec974887b,jun,2017,cool,auto,Nashua,725.6547085201794,749.1973094170404,687.3408071748879,25.0,False,False,False
3262f5b3fb2168c99ff8886b681b74fec974887b,jun,2017,cool,hold,Nashua,713.9491525423729,724.1016949152543,723.5932203389831,25.0,False,False,False
3f1b6f373f1e25284c416d7bf06087f531cebcbe,jun,2017,auto,auto,Portsmouth,703.7272727272727,742.9090909090909,680.0,85.0,False,False,False
3f1b6f373f1e25284c416d7bf06087f531cebcbe,jun,2017,auto,hold,Portsmouth,713.3827361563518,734.4128664495114,652.6547231270358,85.0,False,False,False
418c912c1df12e40bf3419aef0c31fbcc3d3dc25,jun,2017,cool,auto,Pelham,733.84375,750.0,740.0,0.0,False,False,False
418c912c1df12e40bf3419aef0c31fbcc3d3dc25,jun,2017,cool,hold,Pelham,722.0803278688525,718.6696721311475,718.6696721311475,0.0,False,False,False
418c912c1df12e40bf3419aef0c31fbcc3d3dc25,jun,2017,heat,hold,Pelham,700.72,708.68,708.68,0.0,False,False,False
421e38bb0a69295e43f293c8f2b3549b3021718b,jun,2017,auto,hold,Salem,763.1428571428571,760.0,620.0,60.0,False,False,False
43999531cb62e8fa300287afb7b69257e06ee74d,jun,2017,auto,auto,Bedford,713.3155080213904,732.6497326203208,683.1550802139037,35.0,False,False,False
43999531cb62e8fa300287afb7b69257e06ee74d,jun,2017,auto,hold,Bedford,721.503355704698,749.4765100671141,699.7785234899329,35.0,False,False,False
43999531cb62e8fa300287afb7b69257e06ee74d,jun,2017,cool,auto,Bedford,713.5735294117648,720.1593137254902,697.5588235294117,35.0,False,False,False
43999531cb62e8fa300287afb7b69257e06ee74d,jun,2017,cool,hold,Bedford,719.3433242506812,720.0435967302452,719.7574931880109,35.0,False,False,False
43999531cb62e8fa300287afb7b69257e06ee74d,jun,2017,heat,auto,Bedford,709.6084337349398,709.0602409638554,709.0602409638554,35.0,False,False,False
4409cf13a3a0c9d2c50af6652c936a53a9ee8fa9,jun,2017,cool,auto,Hudson,759.703125,760.0,660.0,20.0,False,False,False
4409cf13a3a0c9d2c50af6652c936a53a9ee8fa9,jun,2017,cool,hold,Hudson,755.6683673469388,758.5255102040817,758.5255102040817,20.0,False,False,False
44841edab85073cad132321db64a6b5d2c902ed8,jun,2017,auto,hold,Nashua,761.76,760.0,710.0,10.0,True,False,False
44a12de227684b08d9a4473a6ff99d7bf9b6a346,jun,2017,heat,hold,Northfield,684.5957446808511,670.0,670.0,5.0,False,False,False
498236b121d8dfc4555a3a6f1568e84bd92ac9c1,jun,2017,cool,auto,Bedford,722.1923076923077,720.0,659.6153846153846,6.0,False,False,False
4a537f2d63a513099193e49a0e1ad9d9c731644a,jun,2017,cool,hold,Bedford,771.1851851851852,765.7061728395062,751.7283950617284,20.0,False,False,False
4a537f2d63a513099193e49a0e1ad9d9c731644a,jun,2017,heat,hold,Bedford,685.2857142857143,650.1488095238095,622.2261904761905,20.0,False,False,False
50076e06aa338ce3d2f01a4ab8aec57914727fb2,jun,2017,cool,auto,Andover,666.7523012552301,690.3899581589958,665.7891213389121,0.0,False,False,True
52e9024de67abb3551d66bc1e4ba9337fbe37b11,jun,2017,cool,auto,Nashua,749.8285714285714,749.7761904761904,683.6095238095238,30.0,False,False,False
52e9024de67abb3551d66bc1e4ba9337fbe37b11,jun,2017,cool,hold,Nashua,734.1837837837838,732.1081081081081,732.1081081081081,30.0,False,False,False
57d13c2553f2af03b7d681fc268a94c7e36711f0,jun,2017,cool,auto,Newfields,742.7941176470588,780.0,710.0,20.0,True,False,True
57d13c2553f2af03b7d681fc268a94c7e36711f0,jun,2017,cool,hold,Newfields,703.5167007498296,703.8534423994547,703.8104976141786,20.0,True,False,True
57d13c2553f2af03b7d681fc268a94c7e36711f0,jun,2017,heat,hold,Newfields,686.6838487972509,660.1660939289806,660.1660939289806,20.0,True,False,True
591c661e44a9ab39ca4582a5911ea777f123275d,jun,2017,cool,auto,Auburn,715.6091954022988,768.2413793103449,691.5862068965517,0.0,False,False,False
591c661e44a9ab39ca4582a5911ea777f123275d,jun,2017,cool,hold,Auburn,714.9555555555555,738.6666666666666,738.6666666666666,0.0,False,False,False
