Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
001bdc26de45e68439cd2b14a086615ad7b15c92,aug,2019,cool,auto,Cape may courthouse,768.104543234001,767.7723497801661,767.7723497801661,5.0,False,False,False
001bdc26de45e68439cd2b14a086615ad7b15c92,aug,2019,cool,hold,Cape may courthouse,760.9460188933873,758.6005398110661,758.6005398110661,5.0,False,False,False
004f71a0c52a570bac8cebc13392ba54fc98da79,aug,2019,cool,auto,Millstone,775.8186274509804,767.2843137254902,766.1372549019608,0.0,False,False,False
004f71a0c52a570bac8cebc13392ba54fc98da79,aug,2019,cool,hold,Millstone,781.7314049586777,772.698347107438,770.4710743801653,0.0,False,False,False
00c0d284edf2b4458a2c05cbec68902944fcff99,aug,2019,cool,auto,Bayonne,739.1641791044776,720.0,730.0,80.0,False,False,False
00c0d284edf2b4458a2c05cbec68902944fcff99,aug,2019,cool,hold,Bayonne,745.0,720.0,720.0,80.0,False,False,False
00fffc77256e65d8b7e1657b30e446dd9fa32eb5,aug,2019,auto,auto,Hillsborough,689.6768149882904,687.9110070257611,637.9110070257611,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,aug,2019,cool,auto,Haddon Township,607.4129129129129,601.8303303303303,635.3768768768768,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,aug,2019,cool,hold,Haddon Township,607.8542635658915,607.6139534883721,607.4558139534884,5.0,False,False,False
01344d14a623a52997206e073b17517a488ddb6c,aug,2019,auto,auto,Piscataway,733.0714285714286,777.0,600.0,5.0,False,False,False
01344d14a623a52997206e073b17517a488ddb6c,aug,2019,cool,auto,Piscataway,730.3909224011713,796.4568081991215,606.3250366032211,5.0,False,False,False
013c2e7909beb8c4cd2f24f6f26acb5598bd89c8,aug,2019,cool,auto,Franklinville,701.5775700934579,702.3289719626168,702.3289719626168,19.0,False,False,False
013c2e7909beb8c4cd2f24f6f26acb5598bd89c8,aug,2019,cool,hold,Franklinville,719.3123255813954,738.6572093023256,738.6572093023256,19.0,False,False,False
0164cd1083165c880f81f9f7fc2991b94aa0af51,aug,2019,cool,hold,Monroe,750.2307692307693,710.0,710.0,0.0,False,False,False
0208854f0e763a633710ecdc6c09943643786d83,aug,2019,auto,hold,Bound Brook,763.9179487179487,762.0410256410256,680.5846153846154,99.0,True,False,False
0214c80c583ef7700703b65cac51e4209915d8fa,aug,2019,auto,auto,Kenilworth,742.6190476190476,755.8333333333334,644.5107142857142,5.0,False,False,False
0214c80c583ef7700703b65cac51e4209915d8fa,aug,2019,auto,hold,Kenilworth,730.1428571428571,718.6530612244898,649.8979591836735,5.0,False,False,False
0218f5e261862c4e29bc80b3fd87638a4dd80584,aug,2019,cool,auto,Lindenwold,737.8421052631579,732.1428571428571,724.0225563909775,10.0,True,False,False
0218f5e261862c4e29bc80b3fd87638a4dd80584,aug,2019,cool,hold,Lindenwold,729.8085106382979,719.9574468085107,719.9574468085107,10.0,True,False,False
0232d609b11b5f7f14997f726858d2275b027ea5,aug,2019,cool,auto,Princeton,747.5,740.0,740.0,25.0,False,False,False
0232d609b11b5f7f14997f726858d2275b027ea5,aug,2019,cool,hold,Princeton,739.2661870503597,736.3345323741007,735.7482014388489,25.0,False,False,False
