Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
001bdc26de45e68439cd2b14a086615ad7b15c92,dec,2018,heat,auto,Cape may courthouse,681.3354948805461,668.3549488054607,681.1767918088738,5.0,False,False,False
001bdc26de45e68439cd2b14a086615ad7b15c92,dec,2018,heat,hold,Cape may courthouse,696.2107843137255,695.0,695.0,5.0,False,False,False
004f71a0c52a570bac8cebc13392ba54fc98da79,dec,2018,heat,auto,Millstone,680.7117117117117,683.0900900900901,681.9549549549549,0.0,False,False,False
004f71a0c52a570bac8cebc13392ba54fc98da79,dec,2018,heat,hold,Millstone,696.9358288770053,701.3689839572193,699.8395721925134,0.0,False,False,False
0077dbe1c8326d5fbe2f7379172ae07159a24393,dec,2018,heat,auto,Ridgewood,678.4632352941177,680.0,680.0,0.0,False,False,False
0077dbe1c8326d5fbe2f7379172ae07159a24393,dec,2018,heat,hold,Ridgewood,701.2336742722266,702.9803304484658,702.9803304484658,0.0,False,False,False
00ab68bd62ef5990b0a3e43f2f67a4cf4ae4f5d4,dec,2018,heat,auto,Lawrence Township,674.0204081632653,673.8979591836735,673.8775510204082,30.0,False,False,False
00ab68bd62ef5990b0a3e43f2f67a4cf4ae4f5d4,dec,2018,heat,hold,Lawrence Township,663.9111111111112,662.0,661.4,30.0,False,False,False
00c0d284edf2b4458a2c05cbec68902944fcff99,dec,2018,heat,auto,Bayonne,694.8333333333334,700.0,685.0,80.0,False,False,False
00c0d284edf2b4458a2c05cbec68902944fcff99,dec,2018,heat,hold,Bayonne,708.0497685185185,708.2905092592592,708.2905092592592,80.0,False,False,False
00cfe51c25b825270bc4509dfadca8d4f50a4e99,dec,2018,heat,auto,Medford,705.175572519084,721.3740458015267,697.3282442748092,0.0,False,False,False
00cfe51c25b825270bc4509dfadca8d4f50a4e99,dec,2018,heat,hold,Medford,719.7964309319233,720.3251817580965,720.2742894910773,0.0,False,False,False
00f561507850963a60d2f979d590c2a6eb3f524c,dec,2018,heat,auto,Somerville,675.3214285714286,799.75,650.5,65.0,False,False,False
00f561507850963a60d2f979d590c2a6eb3f524c,dec,2018,heat,hold,Somerville,687.3142857142857,662.4857142857143,660.5714285714286,65.0,False,False,False
00fffc77256e65d8b7e1657b30e446dd9fa32eb5,dec,2018,auto,auto,Hillsborough,708.8572714993246,770.0,710.0,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,dec,2018,cool,auto,Haddon Township,615.5128205128206,610.0,610.0,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,dec,2018,cool,hold,Haddon Township,602.2583333333333,580.0,560.0,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,dec,2018,heat,auto,Haddon Township,601.5555555555555,590.0,649.3333333333334,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,dec,2018,heat,hold,Haddon Township,631.257281553398,594.5194174757281,594.5194174757281,5.0,False,False,False
01344d14a623a52997206e073b17517a488ddb6c,dec,2018,auto,auto,Piscataway,731.0625,797.375,695.8333333333334,5.0,False,False,False
01344d14a623a52997206e073b17517a488ddb6c,dec,2018,auto,hold,Piscataway,739.483870967742,782.1935483870968,730.1935483870968,5.0,False,False,False
015d5e26149f0a640f06bd76f7426f6b1e5c82f2,dec,2018,heat,auto,Aberdeen,718.1081081081081,730.0,720.0,50.0,False,False,False
015d5e26149f0a640f06bd76f7426f6b1e5c82f2,dec,2018,heat,hold,Aberdeen,723.5,730.0,730.0,50.0,False,False,False
0164cd1083165c880f81f9f7fc2991b94aa0af51,dec,2018,heat,auto,Monroe,669.6303317535545,676.0331753554502,658.1137440758293,0.0,False,False,False
01aa5c2c7deeb46af88dec7ba826c3b61c852347,dec,2018,heat,auto,Middletown,689.5366430260048,774.2139479905437,683.4917257683215,0.0,False,False,False
01aa5c2c7deeb46af88dec7ba826c3b61c852347,dec,2018,heat,hold,Middletown,697.7087719298246,688.1052631578947,658.6421052631579,0.0,False,False,False
0214c80c583ef7700703b65cac51e4209915d8fa,dec,2018,auto,auto,Kenilworth,717.110964332893,800.0,691.994715984148,5.0,False,False,False
0218f5e261862c4e29bc80b3fd87638a4dd80584,dec,2018,auto,auto,Lindenwold,709.8446601941747,745.6116504854369,716.4563106796116,10.0,True,False,False
0218f5e261862c4e29bc80b3fd87638a4dd80584,dec,2018,auto,hold,Lindenwold,707.5714285714286,742.0,717.0,10.0,True,False,False
0232d609b11b5f7f14997f726858d2275b027ea5,dec,2018,heat,auto,Princeton,690.025,650.0,640.0,25.0,False,False,False
0232d609b11b5f7f14997f726858d2275b027ea5,dec,2018,heat,hold,Princeton,681.5541125541125,671.6147186147186,666.5757575757576,25.0,False,False,False
0237f7899df5ff812ae5426cbd59c59304694f6f,dec,2018,heat,hold,Far Hills,607.7619047619048,650.0,540.0,80.0,False,False,False
02752d152833434be4faebaf7f6ff71a49c6cc1e,dec,2018,auto,auto,Elizabeth,730.5397526501766,769.0159010600706,717.5132508833922,10.0,False,False,False
02752d152833434be4faebaf7f6ff71a49c6cc1e,dec,2018,heat,auto,Elizabeth,740.950073421439,729.4089574155654,729.4089574155654,10.0,False,False,False
02752d152833434be4faebaf7f6ff71a49c6cc1e,dec,2018,heat,hold,Elizabeth,736.1163194444445,731.2013888888889,731.2013888888889,10.0,False,False,False
027caec3f24c09550e62630ba3ce01745263c40d,dec,2018,heat,auto,Harrington Park,653.3623188405797,740.0,653.2753623188406,47.0,False,False,False
027caec3f24c09550e62630ba3ce01745263c40d,dec,2018,heat,hold,Harrington Park,638.2664554734248,740.0038718761,615.219640971489,47.0,False,False,False
02813d3e6311537f5d98ef684fd09f0d1e198d14,dec,2018,heat,auto,Manchester Township,719.6296296296297,749.6,723.925925925926,15.0,True,False,False
02813d3e6311537f5d98ef684fd09f0d1e198d14,dec,2018,heat,hold,Manchester Township,717.3496503496503,721.2307692307693,721.2307692307693,15.0,True,False,False
02a83ac944a8e91be49cf266c45612a67d151373,dec,2018,heat,auto,Livingston,694.3333333333334,700.8333333333334,699.3333333333334,50.0,False,False,False
02a83ac944a8e91be49cf266c45612a67d151373,dec,2018,heat,hold,Livingston,684.8961038961039,687.8246753246754,686.5714285714286,50.0,False,False,False
02d40844fd3c1a50b5e1c327b2729b6131241b4e,dec,2018,auto,auto,West Caldwell,681.1407035175879,711.7889447236181,684.7663316582915,60.0,True,False,False
02d40844fd3c1a50b5e1c327b2729b6131241b4e,dec,2018,auto,hold,West Caldwell,684.4493163602075,707.8595002357379,685.941065535125,60.0,True,False,False
02d40844fd3c1a50b5e1c327b2729b6131241b4e,dec,2018,cool,auto,West Caldwell,615.0,680.0,680.0,60.0,True,False,False
02d40844fd3c1a50b5e1c327b2729b6131241b4e,dec,2018,heat,auto,West Caldwell,708.0425531914893,710.0,710.0,60.0,True,False,False
02d40844fd3c1a50b5e1c327b2729b6131241b4e,dec,2018,heat,hold,West Caldwell,677.5,710.0,685.0,60.0,True,False,False
02dbd4b2c02724732e0312932d3b5549ce7d63f7,dec,2018,heat,auto,East Brunswick,655.9761904761905,655.6238095238095,653.8,30.0,False,False,False
02dbd4b2c02724732e0312932d3b5549ce7d63f7,dec,2018,heat,hold,East Brunswick,690.9230769230769,695.0,695.0,30.0,False,False,False
02e074133cc4e539e19d53a848d0f01073372d99,dec,2018,heat,hold,Matawan,695.4666666666667,700.0,700.0,57.0,False,False,False
030be4e2891728690e45da461d2b370b88451ba6,dec,2018,heat,auto,Ewing,689.4444444444445,770.0,690.0,5.0,False,False,False
030ffb5fb25630524b99273042a06c74bac2d863,dec,2018,heat,hold,Livingston,668.2352941176471,665.6470588235294,660.9411764705883,70.0,False,False,False
031635dfcfeb737562efe99d04df91843de6de2d,dec,2018,heat,auto,Tinton Falls,700.6702619414484,702.5454545454545,702.5454545454545,20.0,False,False,False
031635dfcfeb737562efe99d04df91843de6de2d,dec,2018,heat,hold,Tinton Falls,699.3224351747464,697.9169485155957,695.5137166478768,20.0,False,False,False
03623560d3f7721fc28a0d103fbd13cd6fd4ab02,dec,2018,heat,auto,Bordentown,666.1282051282051,659.7532051282051,659.7532051282051,65.0,False,False,False
03623560d3f7721fc28a0d103fbd13cd6fd4ab02,dec,2018,heat,hold,Bordentown,665.7870036101083,663.9963898916967,663.9963898916967,65.0,False,False,False
041be2c967f56173a1ac05dabdc6df136470cb06,dec,2018,heat,auto,West Windsor,725.6786941580756,717.3917525773196,726.4587628865979,10.0,True,False,False
041be2c967f56173a1ac05dabdc6df136470cb06,dec,2018,heat,hold,West Windsor,733.3296703296703,733.5384615384615,733.5576923076923,10.0,True,False,False
