Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
001bdc26de45e68439cd2b14a086615ad7b15c92,jul,2019,cool,auto,Cape may courthouse,760.7461376404494,756.7801966292135,756.1232443820224,5.0,False,False,False
001bdc26de45e68439cd2b14a086615ad7b15c92,jul,2019,cool,hold,Cape may courthouse,764.2763157894736,760.0,760.0,5.0,False,False,False
0045fa6e8a42375b93dbb4d5b26b9c200c7e29aa,jul,2019,cool,auto,Toms River,755.5296296296297,760.5222222222222,682.762962962963,0.0,False,False,False
004f71a0c52a570bac8cebc13392ba54fc98da79,jul,2019,cool,auto,Millstone,787.7056277056278,780.0519480519481,773.9480519480519,0.0,False,False,False
004f71a0c52a570bac8cebc13392ba54fc98da79,jul,2019,cool,hold,Millstone,774.16,765.6461538461539,765.0492307692308,0.0,False,False,False
00c0d284edf2b4458a2c05cbec68902944fcff99,jul,2019,cool,auto,Bayonne,725.0532081377152,720.0,730.0,80.0,False,False,False
00fffc77256e65d8b7e1657b30e446dd9fa32eb5,jul,2019,auto,auto,Hillsborough,698.6948123620309,697.1043046357615,647.1043046357615,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,jul,2019,cool,auto,Haddon Township,613.934693877551,625.0612244897959,635.2489795918367,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,jul,2019,cool,hold,Haddon Township,622.0153374233129,630.4601226993865,630.6073619631902,5.0,False,False,False
01344d14a623a52997206e073b17517a488ddb6c,jul,2019,cool,auto,Piscataway,732.6985583224115,788.7090432503277,646.346002621232,5.0,False,False,False
013c2e7909beb8c4cd2f24f6f26acb5598bd89c8,jul,2019,cool,auto,Franklinville,717.1988439306358,726.4404624277456,726.4404624277456,19.0,False,False,False
013c2e7909beb8c4cd2f24f6f26acb5598bd89c8,jul,2019,cool,hold,Franklinville,724.1743687470224,738.1376846117199,738.1376846117199,19.0,False,False,False
0164cd1083165c880f81f9f7fc2991b94aa0af51,jul,2019,cool,auto,Monroe,739.2349397590361,734.343373493976,733.3012048192771,0.0,False,False,False
0164cd1083165c880f81f9f7fc2991b94aa0af51,jul,2019,cool,hold,Monroe,743.8609271523179,734.476821192053,733.7483443708609,0.0,False,False,False
0208854f0e763a633710ecdc6c09943643786d83,jul,2019,auto,hold,Bound Brook,765.9261744966443,766.0268456375838,674.7986577181208,99.0,True,False,False
0214c80c583ef7700703b65cac51e4209915d8fa,jul,2019,auto,auto,Kenilworth,741.2155477031802,747.5600706713781,649.3816254416961,5.0,False,False,False
0214c80c583ef7700703b65cac51e4209915d8fa,jul,2019,auto,hold,Kenilworth,740.6551724137931,740.1379310344828,650.0,5.0,False,False,False
0218f5e261862c4e29bc80b3fd87638a4dd80584,jul,2019,auto,auto,Lindenwold,735.6822033898305,731.2542372881356,678.2881355932203,10.0,True,False,False
0218f5e261862c4e29bc80b3fd87638a4dd80584,jul,2019,auto,hold,Lindenwold,753.4358974358975,724.3247863247864,680.8632478632478,10.0,True,False,False
0218f5e261862c4e29bc80b3fd87638a4dd80584,jul,2019,cool,auto,Lindenwold,745.25,740.0,740.0,10.0,True,False,False
0218f5e261862c4e29bc80b3fd87638a4dd80584,jul,2019,cool,hold,Lindenwold,745.6382978723404,711.4468085106383,709.9148936170212,10.0,True,False,False
0232d609b11b5f7f14997f726858d2275b027ea5,jul,2019,cool,auto,Princeton,757.8072289156627,756.0361445783133,755.3253012048193,25.0,False,False,False
0232d609b11b5f7f14997f726858d2275b027ea5,jul,2019,cool,hold,Princeton,737.7655860349128,736.930174563591,725.8628428927681,25.0,False,False,False
0237f7899df5ff812ae5426cbd59c59304694f6f,jul,2019,cool,auto,Far Hills,773.219587628866,777.8453608247422,777.8453608247422,80.0,False,False,False
02752d152833434be4faebaf7f6ff71a49c6cc1e,jul,2019,cool,auto,Elizabeth,716.8810328927144,717.2603750384261,717.2603750384261,10.0,False,False,False
02752d152833434be4faebaf7f6ff71a49c6cc1e,jul,2019,cool,hold,Elizabeth,715.8122743682311,716.2093862815884,716.2093862815884,10.0,False,False,False
027caec3f24c09550e62630ba3ce01745263c40d,jul,2019,cool,auto,Harrington Park,821.6756756756756,820.7837837837837,750.0,47.0,False,False,False
027caec3f24c09550e62630ba3ce01745263c40d,jul,2019,cool,hold,Harrington Park,810.8298676748582,815.1077504725898,750.0,47.0,False,False,False
02813d3e6311537f5d98ef684fd09f0d1e198d14,jul,2019,cool,auto,Manchester Township,749.5311572700297,748.8358061325421,648.7853610286845,15.0,True,False,False
02813d3e6311537f5d98ef684fd09f0d1e198d14,jul,2019,cool,hold,Manchester Township,741.6119402985074,740.0,740.0,15.0,True,False,False
02d40844fd3c1a50b5e1c327b2729b6131241b4e,jul,2019,cool,auto,West Caldwell,689.2269938650306,693.8404907975461,693.6257668711656,60.0,True,False,False
02d40844fd3c1a50b5e1c327b2729b6131241b4e,jul,2019,cool,hold,West Caldwell,685.6590833054534,684.469387755102,684.468718634995,60.0,True,False,False
02dbd4b2c02724732e0312932d3b5549ce7d63f7,jul,2019,cool,auto,East Brunswick,681.963696369637,682.072607260726,681.8778877887788,30.0,False,False,False
030be4e2891728690e45da461d2b370b88451ba6,jul,2019,cool,auto,Ewing,762.5714285714286,760.0,760.0,5.0,False,False,False
031635dfcfeb737562efe99d04df91843de6de2d,jul,2019,cool,auto,Tinton Falls,699.5476772616137,684.2444987775061,683.8777506112469,20.0,False,False,False
031635dfcfeb737562efe99d04df91843de6de2d,jul,2019,cool,hold,Tinton Falls,686.5443383356071,680.1896316507504,679.2414733969987,20.0,False,False,False
0325d9baee10b519218619190a11413e898244cb,jul,2019,auto,hold,Westfield,717.4375,710.0,660.0,77.0,False,False,False
0325d9baee10b519218619190a11413e898244cb,jul,2019,cool,hold,Westfield,691.2083333333334,680.0,680.0,77.0,False,False,False
03623560d3f7721fc28a0d103fbd13cd6fd4ab02,jul,2019,cool,auto,Bordentown,734.0329949238578,730.5888324873097,730.5888324873097,65.0,False,False,False
03623560d3f7721fc28a0d103fbd13cd6fd4ab02,jul,2019,cool,hold,Bordentown,731.2468513853904,728.6511335012594,728.6511335012594,65.0,False,False,False
03ba71668c8e8295796806ae6832b10ace01c9a8,jul,2019,cool,auto,Morristown,685.8039117352056,684.950852557673,684.950852557673,39.0,False,False,False
03ba71668c8e8295796806ae6832b10ace01c9a8,jul,2019,cool,hold,Morristown,694.2140902872777,693.3043775649795,693.3043775649795,39.0,False,False,False
041be2c967f56173a1ac05dabdc6df136470cb06,jul,2019,cool,auto,West Windsor,729.0210881484605,729.8127372416702,712.5162378743146,10.0,True,False,False
041be2c967f56173a1ac05dabdc6df136470cb06,jul,2019,cool,hold,West Windsor,732.8554778554778,732.6060606060606,732.6689976689977,10.0,True,False,False
041be2c967f56173a1ac05dabdc6df136470cb06,jul,2019,heat,auto,West Windsor,751.9049079754601,726.7484662576687,735.1104294478528,10.0,True,False,False
041be2c967f56173a1ac05dabdc6df136470cb06,jul,2019,heat,hold,West Windsor,721.0,720.0,720.0,10.0,True,False,False
0462338e1ddb2cb8fc673cfe4a99bd6380b9e26d,jul,2019,cool,auto,Barclay Farm,707.6904761904761,707.2380952380952,705.3095238095239,30.0,False,False,False
0472d270a905552b8a5670a827d2c72cc28dbb8d,jul,2019,auto,auto,Franklin,742.2173228346456,739.1590551181102,658.3653543307087,20.0,True,False,False
0472d270a905552b8a5670a827d2c72cc28dbb8d,jul,2019,auto,hold,Franklin,745.3021885521886,742.3846801346801,655.0092592592592,20.0,True,False,False
