Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
016512bd92404310d5ad9f1aaf7c4c38f6cd18a7,feb,2020,heat,auto,Clovis,640.902394106814,700.0,665.767955801105,20.0,False,False,False
016512bd92404310d5ad9f1aaf7c4c38f6cd18a7,feb,2020,heat,hold,Clovis,613.3636363636364,700.0,608.1931818181819,20.0,False,False,False
034f98fe8f4117d011824b1b5c1cfe823fbc29fb,feb,2020,auto,hold,CLOVIS,685.7519500780031,749.5709828393136,681.2870514820593,15.0,False,False,True
07205074e862181d57fb995714da5559142dedcf,feb,2020,auto,auto,Albuquerque,691.4,720.0,600.0,39.0,False,False,False
09274521da0f4dd895d256e778b5d7417e7c354b,feb,2020,auto,auto,Alamogordo,728.0,790.0,730.0,25.0,False,False,False
09d2e59869d3c2ae3cdfc450f6e63d9f2f5685cc,feb,2020,heat,auto,Roswell,679.046875,714.28125,682.15625,38.0,False,False,True
09d2e59869d3c2ae3cdfc450f6e63d9f2f5685cc,feb,2020,heat,hold,Roswell,678.8275862068965,678.8189655172414,677.801724137931,38.0,False,False,True
0a3fdc81db9597916e4c018684686cbc7aec6cc9,feb,2020,heat,auto,Albuquerque,738.6521739130435,795.7652173913043,733.304347826087,38.0,False,False,False
0a966d2478b1d4f1a6eb0859587beb3723abf220,feb,2020,auto,hold,Rio Rancho,694.2179487179487,751.0,701.0,5.0,False,False,False
0d1846228bf4d3de1ea29bd4c4ae51606878f776,feb,2020,auto,hold,CLOVIS,706.0246433203631,751.2970168612192,710.1750972762646,15.0,False,False,True
0ec51b6ac76933e8ca30d8963d6d71d43a266f61,feb,2020,heat,auto,Albuquerque,683.4169983610395,745.4942636384922,673.075158042613,35.0,False,False,False
0ec51b6ac76933e8ca30d8963d6d71d43a266f61,feb,2020,heat,hold,Albuquerque,689.7764705882353,689.2,688.8941176470588,35.0,False,False,False
0f141439935d7193c2eeb31603d02a6cad179500,feb,2020,heat,auto,Albuquerque,697.6470588235294,815.0,699.2352941176471,30.0,False,False,False
0f141439935d7193c2eeb31603d02a6cad179500,feb,2020,heat,hold,Albuquerque,681.9360902255639,815.1052631578947,684.2359022556391,30.0,False,False,False
0fc0f1a48ce828bd9523ab8a77af519aa8e4b1af,feb,2020,heat,hold,Hobbs,562.4258834327674,650.0,500.0,0.0,False,False,False
112ab696991e135909df9f3c0b140ae2aa0f4227,feb,2020,heat,hold,Deming,613.9111842105264,616.6644736842105,612.8322368421053,105.0,False,False,False
1475fecad1c559962afb1d690b01d87cba9156ea,feb,2020,auto,hold,Clovis,703.3587454212454,775.0,706.8397435897435,0.0,False,False,False
15a693724ac106cb63d40bc8a2ae25dc91683b82,feb,2020,heat,auto,Albuquerque,664.3235294117648,720.0,669.9411764705883,25.0,False,False,False
15a693724ac106cb63d40bc8a2ae25dc91683b82,feb,2020,heat,hold,Albuquerque,651.0625,657.65625,626.1875,25.0,False,False,False
16b061612183d102dc014f933af930d1e71a16fc,feb,2020,heat,auto,Albuquerque,667.9574468085107,803.5744680851063,631.9148936170212,0.0,False,False,False
16b061612183d102dc014f933af930d1e71a16fc,feb,2020,heat,hold,Albuquerque,688.0722891566265,699.3855421686746,695.8313253012049,0.0,False,False,False
18375692a4071b29170c56142c5f9c2447c5fb37,feb,2020,heat,auto,Edgewood,709.0025974025974,722.1558441558442,710.0,5.0,True,False,False
18375692a4071b29170c56142c5f9c2447c5fb37,feb,2020,heat,hold,Edgewood,709.6057692307693,710.0,710.0,5.0,True,False,False
18393b92831b0a51ebcac5bd4ba6b6433199a92e,feb,2020,auto,hold,Artesia,711.1942446043165,769.0287769784172,717.9496402877697,0.0,False,False,False
1a4dbd257465485e937eb72661e6514182cfe53d,feb,2020,heat,auto,Albuquerque,689.6774193548387,698.0,650.0,20.0,False,False,False
1a82e4e66dc2b2801e4f2644ba4ac13d2c036a8f,feb,2020,auto,hold,Roswell,684.4487179487179,760.0,690.0,100.0,False,False,False
1a82e4e66dc2b2801e4f2644ba4ac13d2c036a8f,feb,2020,heat,hold,Roswell,685.8893916540975,690.7219708396179,690.7219708396179,100.0,False,False,False
1c5f309c2df1cac8558570ff739fb95704cf1f48,feb,2020,auto,auto,Alamogordo,714.3333333333334,780.0,730.0,25.0,False,False,False
1cab1273eb5f050b9f7240c2e8ebb6bb5a148839,feb,2020,heat,auto,Rio Rancho,718.65,723.7785714285715,723.5428571428571,20.0,False,False,False
1cab1273eb5f050b9f7240c2e8ebb6bb5a148839,feb,2020,heat,hold,Rio Rancho,716.2957746478874,720.2816901408451,720.2816901408451,20.0,False,False,False
1cb7501e043f4b35ed4a9e85c063fee90c9efad4,feb,2020,auto,auto,Los Alamos,723.5483870967741,780.0,730.0,50.0,False,False,False
1cb7501e043f4b35ed4a9e85c063fee90c9efad4,feb,2020,auto,hold,Los Alamos,700.6187845303867,769.8121546961326,719.8121546961326,50.0,False,False,False
1f349d0bb12823221952e04771586b16d7fdb591,feb,2020,heat,hold,Rio Rancho,705.3441860465116,710.4093023255814,710.2558139534884,10.0,False,False,False
21f65cd96df07cf57f767730caa24e20b5495560,feb,2020,heat,auto,Mesquite,710.0,650.0,650.0,25.0,False,False,False
21f65cd96df07cf57f767730caa24e20b5495560,feb,2020,heat,hold,Mesquite,674.836262323189,656.7873981997428,652.5143591941707,25.0,False,False,False
236a8bab8ab56321ef8b52a3a48cdb0eaa3eab88,feb,2020,heat,auto,Clovis,651.1605206073752,658.2277657266811,643.6724511930586,30.0,False,False,False
236a8bab8ab56321ef8b52a3a48cdb0eaa3eab88,feb,2020,heat,hold,Clovis,649.3730569948186,681.3367875647668,662.5181347150259,30.0,False,False,False
23907d84af49579cc2ee6158598b4564039c8360,feb,2020,auto,auto,Albuquerque,685.0,760.0,690.0,10.0,False,False,False
2484d6151dfc3d890ced0d2864542c70eea332eb,feb,2020,auto,hold,Albuquerque,676.3155339805825,723.9805825242719,639.3398058252427,57.0,False,False,False
25d40c374ccc63bb812019b3ab711f4821c2efb2,feb,2020,heat,hold,Roswell,686.4227272727272,687.8363636363637,685.0227272727273,35.0,False,False,True
2629667834e107986c389fb4ddf74616bea5a777,feb,2020,heat,auto,Angel Fire,569.3571428571429,650.0,650.0,35.0,False,False,False
2629667834e107986c389fb4ddf74616bea5a777,feb,2020,heat,hold,Angel Fire,555.1841736694678,651.9236694677871,557.8627450980392,35.0,False,False,False
2818adf5822b1f2a3276bf379a90a57f32777861,feb,2020,auto,hold,Alamogordo,719.3793103448276,722.2068965517242,702.2068965517242,25.0,False,False,False
28aea5ca4686334e0b1cb3ad68a171310bbf2a32,feb,2020,heat,auto,Rio Rancho,650.9177820267687,670.5289993626513,619.0509878903761,5.0,False,False,False
28aea5ca4686334e0b1cb3ad68a171310bbf2a32,feb,2020,heat,hold,Rio Rancho,644.9967479674797,650.0,620.0,5.0,False,False,False
2cf468436bd3ed1b6cba6ddf8ea971928eb60021,feb,2020,heat,hold,Las Cruces,697.980293308891,729.0,700.0,9.0,True,False,False
2d3cb9607e7a23b9bce71b87764d473ec23d312c,feb,2020,auto,hold,Clovis,695.9751984126984,790.0,700.0,40.0,False,False,False
2f709e6a3dedd66bc854ab5582717b6600a39a74,feb,2020,auto,auto,Albuquerque,722.3793103448276,780.0,730.0,60.0,False,False,False
2f709e6a3dedd66bc854ab5582717b6600a39a74,feb,2020,auto,hold,Albuquerque,722.574074074074,780.0,729.7222222222222,60.0,False,False,False
31527e5e840476508017efa3fb451d77df6810ce,feb,2020,auto,hold,Albuquerque,713.3492427719137,810.0,716.0624139513538,49.0,True,False,False
