Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
016512bd92404310d5ad9f1aaf7c4c38f6cd18a7,jun,2020,cool,auto,Clovis,720.5933908045977,746.0847701149426,746.0847701149426,20.0,False,False,False
016512bd92404310d5ad9f1aaf7c4c38f6cd18a7,jun,2020,cool,hold,Clovis,717.375,720.0,720.0,20.0,False,False,False
034f98fe8f4117d011824b1b5c1cfe823fbc29fb,jun,2020,auto,hold,CLOVIS,709.9944903581268,711.694214876033,671.66391184573,15.0,False,False,True
09128eee40d1b9752e3aec43ebf9db92c8f7a61d,jun,2020,cool,hold,Las Cruces,722.5416666666666,720.625,718.5416666666666,25.0,False,False,False
09d2e59869d3c2ae3cdfc450f6e63d9f2f5685cc,jun,2020,cool,hold,Roswell,704.1304347826087,711.9130434782609,708.7826086956521,38.0,False,False,True
0a3fdc81db9597916e4c018684686cbc7aec6cc9,jun,2020,cool,auto,Albuquerque,742.5945945945946,750.0,671.8108108108108,38.0,False,False,False
0a3fdc81db9597916e4c018684686cbc7aec6cc9,jun,2020,cool,hold,Albuquerque,735.0416666666666,732.5,730.625,38.0,False,False,False
0c1cc54cbd5e7030b0946152616aabe3cb31ff5e,jun,2020,auto,hold,Alamogordo,762.4484536082474,761.9948453608248,649.0,0.0,False,False,False
0d1846228bf4d3de1ea29bd4c4ae51606878f776,jun,2020,auto,auto,CLOVIS,732.5526315789474,749.9473684210526,710.0,15.0,False,False,True
0d1846228bf4d3de1ea29bd4c4ae51606878f776,jun,2020,auto,hold,CLOVIS,744.5125,744.475,708.91875,15.0,False,False,True
0ec51b6ac76933e8ca30d8963d6d71d43a266f61,jun,2020,cool,auto,Albuquerque,716.7943279313632,729.3505719733079,675.4561487130601,35.0,False,False,False
0ec51b6ac76933e8ca30d8963d6d71d43a266f61,jun,2020,cool,hold,Albuquerque,715.0477386934673,720.2688442211055,719.6834170854271,35.0,False,False,False
0f141439935d7193c2eeb31603d02a6cad179500,jun,2020,cool,auto,Albuquerque,765.0222222222222,760.9555555555555,759.4888888888889,30.0,False,False,False
0f141439935d7193c2eeb31603d02a6cad179500,jun,2020,cool,hold,Albuquerque,771.4527272727273,767.4345454545454,767.4345454545454,30.0,False,False,False
0fc0f1a48ce828bd9523ab8a77af519aa8e4b1af,jun,2020,cool,auto,Hobbs,810.2,744.0,738.0,0.0,False,False,False
118d947a8b30956c681cdef1dcb2f25831009997,jun,2020,cool,hold,Santa Fe,737.4,700.0,700.0,5.0,False,False,False
1475fecad1c559962afb1d690b01d87cba9156ea,jun,2020,auto,auto,Clovis,749.6394520547946,750.8827397260274,650.0,0.0,False,False,False
