Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00007f75565dc03f82d4bb9f18a61421abe7475e,feb,2020,auto,hold,Henderson,702.3835616438356,780.5342465753424,721.917808219178,30.0,True,False,True
00186e8f440fc6a047e4002c8f3a7bdfb2396f37,feb,2020,heat,auto,North Las Vegas,725.9831349206349,730.0,730.0,9.0,True,False,False
00344f7902f07e49b84a3135e34648206bad5720,feb,2020,heat,auto,Henderson,687.1428571428571,711.4285714285714,711.4285714285714,5.0,False,False,False
00344f7902f07e49b84a3135e34648206bad5720,feb,2020,heat,hold,Henderson,705.4409448818898,720.0629921259842,714.9448818897638,5.0,False,False,False
003cca1f55084502a02f0e079f699fcf517f7b6e,feb,2020,heat,auto,Las Vegas,688.8028404344194,690.1545530492899,690.1545530492899,0.0,False,False,False
0054aa03cf80d7dfd5d090258433aa964fff9230,feb,2020,auto,auto,Las Vegas,679.9853896103896,792.4456168831168,674.4423701298701,20.0,False,False,False
01264b4a7f47f182e0d8221f20b856025b6da4e1,feb,2020,heat,auto,Northwest,645.9318181818181,750.0,650.0,10.0,True,False,False
022456732f5463c03d6d153e8b0e44e3aa05ff84,feb,2020,heat,hold,Las Vegas,711.7333333333333,711.4,707.2,9.0,False,False,False
02e2b13baeec68c1918d4c063be4e4a5876db752,feb,2020,heat,auto,Las Vegas,698.2866520787746,700.7943107221007,700.6892778993436,9.0,True,False,False
02e2b13baeec68c1918d4c063be4e4a5876db752,feb,2020,heat,hold,Las Vegas,704.1623931623932,711.5213675213676,711.4188034188035,9.0,True,False,False
03281f96d7bc79c00c1de7e4fdc42156fea756ef,feb,2020,heat,hold,Las Vegas,700.9329411764705,700.5835294117647,699.3752941176471,0.0,False,False,False
03554eff92f6007aaa1908c40bb7d336d628465b,feb,2020,heat,hold,Henderson,664.9775280898876,770.5280898876405,768.4606741573034,0.0,True,False,False
03bb0a009948fe046173fd3f4755dfb5da3e1d78,feb,2020,heat,hold,Henderson,662.2189317821259,658.1269169751454,649.0502379693284,0.0,False,False,False
03c4808eb7ae578131e106fcfa6f9d170986131d,feb,2020,heat,auto,Reno,706.5833333333334,780.0,680.0,20.0,False,False,False
03c4808eb7ae578131e106fcfa6f9d170986131d,feb,2020,heat,hold,Reno,709.1538461538462,681.5384615384615,677.8461538461538,20.0,False,False,False
042f5947e333bcef9f3da9060037b643773742d3,feb,2020,heat,hold,Las Vegas,658.0756802721088,660.0,660.0,10.0,False,False,False
04b1ae17e0c7b17b47954cb74276b98585d62118,feb,2020,heat,auto,North Las Vegas,732.4,800.0,739.6,0.0,False,False,False
04b1ae17e0c7b17b47954cb74276b98585d62118,feb,2020,heat,hold,North Las Vegas,725.970802919708,728.3175182481751,727.8065693430657,0.0,False,False,False
04cf6834cbdac5b75e81417b4435b029fecca321,feb,2020,auto,auto,Henderson,695.4042553191489,780.0,680.0,0.0,False,False,False
04cf6834cbdac5b75e81417b4435b029fecca321,feb,2020,auto,hold,Henderson,690.5833333333334,777.4166666666666,650.4166666666666,0.0,False,False,False
0507b1bb9804f35c5ba9c5d7da063498290db314,feb,2020,heat,auto,Las Vegas,685.1951871657755,755.596256684492,661.6078431372549,20.0,True,False,False
0507b1bb9804f35c5ba9c5d7da063498290db314,feb,2020,heat,hold,Las Vegas,706.3333333333334,723.6666666666666,711.6666666666666,20.0,True,False,False
050eec041a28f13ef33a14346663390eb65e4cfc,feb,2020,heat,auto,Las Vegas,756.0,750.3333333333334,749.3333333333334,20.0,True,False,False
050eec041a28f13ef33a14346663390eb65e4cfc,feb,2020,heat,hold,Las Vegas,762.456,746.16,740.888,20.0,True,False,False
05590e67afd3c6852501be7f5b003d4792f1dc8f,feb,2020,heat,auto,Las Vegas,718.5129533678756,719.9844559585492,719.9844559585492,10.0,False,False,False
05590e67afd3c6852501be7f5b003d4792f1dc8f,feb,2020,heat,hold,Las Vegas,706.3450549450549,700.0098901098901,700.0098901098901,10.0,False,False,False
