Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00007f75565dc03f82d4bb9f18a61421abe7475e,Jan,2021,heat,hold,Henderson,681.7105943152454,699.5581395348837,699.5245478036176,30.0,True,False,True
00344f7902f07e49b84a3135e34648206bad5720,Jan,2021,heat,hold,Henderson,673.1428571428571,699.9920634920635,684.8650793650794,5.0,False,False,False
0054aa03cf80d7dfd5d090258433aa964fff9230,Jan,2021,auto,hold,Las Vegas,706.3450704225352,780.1572769953052,709.87558685446,20.0,False,False,False
022456732f5463c03d6d153e8b0e44e3aa05ff84,Jan,2021,cool,hold,Las Vegas,710.0,710.0,710.0,9.0,False,False,False
022456732f5463c03d6d153e8b0e44e3aa05ff84,Jan,2021,heat,hold,Las Vegas,711.1447299423178,713.9653906659674,713.9653906659674,9.0,False,False,False
02e2b13baeec68c1918d4c063be4e4a5876db752,Jan,2021,heat,hold,Las Vegas,675.78125,699.0,680.0,9.0,True,False,False
03281f96d7bc79c00c1de7e4fdc42156fea756ef,Jan,2021,heat,hold,Las Vegas,721.5510670731708,724.65625,724.65625,0.0,False,False,False
03bb0a009948fe046173fd3f4755dfb5da3e1d78,Jan,2021,heat,hold,Henderson,726.8,716.6947368421053,716.6194331983805,0.0,False,False,False
03c4808eb7ae578131e106fcfa6f9d170986131d,Jan,2021,heat,hold,Reno,694.9087136929461,689.045643153527,689.0663900414938,20.0,False,False,False
04b1ae17e0c7b17b47954cb74276b98585d62118,Jan,2021,heat,hold,North Las Vegas,730.6775956284152,737.4262295081967,736.8032786885246,0.0,False,False,False
0507b1bb9804f35c5ba9c5d7da063498290db314,Jan,2021,heat,hold,Las Vegas,703.0,714.1666666666666,701.5,20.0,True,False,False
050eec041a28f13ef33a14346663390eb65e4cfc,Jan,2021,heat,hold,Las Vegas,753.35,736.89,733.54,20.0,True,False,False
05d5215a5738ef7c5fc2b04c42ca85d40e6e269c,Jan,2021,auto,hold,Las Vegas,679.0,782.2625,677.1125,0.0,False,False,False
0704f8b33d4759c3045868df232a1030dd36c30f,Jan,2021,heat,hold,Las Vegas,706.6299145299146,706.3333333333334,706.3333333333334,0.0,False,False,False
