Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00007f75565dc03f82d4bb9f18a61421abe7475e,jun,2020,cool,hold,Henderson,774.7208480565371,749.9116607773851,745.7773851590106,30.0,True,False,True
00186e8f440fc6a047e4002c8f3a7bdfb2396f37,jun,2020,cool,auto,North Las Vegas,761.9057412167951,760.0,760.0,9.0,True,False,False
00344f7902f07e49b84a3135e34648206bad5720,jun,2020,cool,hold,Henderson,739.9765258215963,742.7323943661971,741.0516431924883,5.0,False,False,False
0054aa03cf80d7dfd5d090258433aa964fff9230,jun,2020,auto,auto,Las Vegas,792.4605451936873,802.7230989956959,660.8364418938307,20.0,False,False,False
0054aa03cf80d7dfd5d090258433aa964fff9230,jun,2020,auto,hold,Las Vegas,781.76,780.32,669.76,20.0,False,False,False
005f6690ccc47fa5ef7e8752a5e307677fe1ba58,jun,2020,auto,hold,Spring Valley,739.0480349344978,741.8340611353711,675.5021834061135,7.0,False,False,False
01264b4a7f47f182e0d8221f20b856025b6da4e1,jun,2020,auto,auto,Northwest,679.9262295081967,740.0,650.0,10.0,True,False,False
01264b4a7f47f182e0d8221f20b856025b6da4e1,jun,2020,cool,auto,Northwest,678.9015918958032,729.0303907380608,650.0,10.0,True,False,False
022456732f5463c03d6d153e8b0e44e3aa05ff84,jun,2020,cool,hold,Las Vegas,741.7222222222222,740.0,740.0,9.0,False,False,False
02e2b13baeec68c1918d4c063be4e4a5876db752,jun,2020,cool,auto,Las Vegas,733.5555555555555,732.1111111111111,732.1111111111111,9.0,True,False,False
02e2b13baeec68c1918d4c063be4e4a5876db752,jun,2020,cool,hold,Las Vegas,761.0526315789474,754.7368421052631,754.7368421052631,9.0,True,False,False
02fce4aa7ae5dd93c7c5fef15b26cb09c4bfc1a4,jun,2020,cool,auto,West Henderson,738.62,740.0,740.0,10.0,False,False,False
02fce4aa7ae5dd93c7c5fef15b26cb09c4bfc1a4,jun,2020,cool,hold,West Henderson,747.5483870967741,745.0,745.0,10.0,False,False,False
03281f96d7bc79c00c1de7e4fdc42156fea756ef,jun,2020,cool,auto,Las Vegas,746.2857142857143,840.7142857142857,787.0,0.0,False,False,False
03281f96d7bc79c00c1de7e4fdc42156fea756ef,jun,2020,cool,hold,Las Vegas,741.6425576519916,744.246855345912,744.2038784067086,0.0,False,False,False
03554eff92f6007aaa1908c40bb7d336d628465b,jun,2020,cool,hold,Henderson,750.3521126760563,736.056338028169,736.056338028169,0.0,True,False,False
03a2e818806b6c07f5d591f53829291834491613,jun,2020,cool,auto,Genoa,741.8076923076923,740.0,740.0,5.0,False,False,False
03bb0a009948fe046173fd3f4755dfb5da3e1d78,jun,2020,cool,auto,Henderson,700.9294871794872,700.0,690.0,0.0,False,False,False
03bb0a009948fe046173fd3f4755dfb5da3e1d78,jun,2020,cool,hold,Henderson,693.5770114942529,695.8045977011494,695.8045977011494,0.0,False,False,False
03c4808eb7ae578131e106fcfa6f9d170986131d,jun,2020,cool,auto,Reno,731.9735099337748,723.4172185430464,670.0198675496689,20.0,False,False,False
03c4808eb7ae578131e106fcfa6f9d170986131d,jun,2020,cool,hold,Reno,728.5250836120401,724.438127090301,724.3745819397993,20.0,False,False,False
03c4808eb7ae578131e106fcfa6f9d170986131d,jun,2020,heat,hold,Reno,710.1219512195122,701.0731707317074,699.4634146341464,20.0,False,False,False
