Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00ae124983451237520586ba85955c62dce37df5,aug,2017,cool,hold,Massapequa,721.7512747875354,720.9631728045326,720.9631728045326,60.0,False,False,False
0121a65bb6b5c42b127417008cd2f09a34da5f75,aug,2017,cool,auto,Malverne,776.8635851183766,778.9312288613303,652.7125140924464,70.0,False,False,False
0121a65bb6b5c42b127417008cd2f09a34da5f75,aug,2017,cool,hold,Malverne,745.4553903345725,748.3221809169764,748.1201982651796,70.0,False,False,False
01abbe67487f0559d85464ca7c072ccd0fdd6a54,aug,2017,cool,hold,New Hartford,735.5757575757576,728.3030303030303,724.6363636363636,55.0,False,False,False
01c8d408d81af596e2f83117506bc83b17b16cf8,aug,2017,cool,auto,New York,738.6014234875445,759.9270462633452,755.508896797153,9.0,True,False,False
01c8d408d81af596e2f83117506bc83b17b16cf8,aug,2017,cool,hold,New York,721.7588028169014,725.4788732394367,725.4823943661971,9.0,True,False,False
01e39a485e23fc29c19b1d3d43a5b7250449db40,aug,2017,cool,hold,Schenectady,725.5454545454545,720.0,720.0,20.0,False,False,False
01e8be1d394b58646b9f4b9a9ba1ef394f192147,aug,2017,cool,auto,Avon,718.049814126394,720.453531598513,649.9338289962825,30.0,True,False,True
01e8be1d394b58646b9f4b9a9ba1ef394f192147,aug,2017,cool,hold,Avon,729.6885928393006,728.451290591174,649.9883430474605,30.0,True,False,True
0227dc0420b5d39c567951ee2e7cbcb72f40bbba,aug,2017,cool,auto,Walden,740.3771929824561,742.1541353383459,719.6365914786967,15.0,False,False,False
0227dc0420b5d39c567951ee2e7cbcb72f40bbba,aug,2017,cool,hold,Walden,731.8445505861919,731.4042553191489,719.8988276161529,15.0,False,False,False
032cfa5b452b3ca114afd0a7de1345d108386231,aug,2017,cool,auto,Lysander,731.6802575107296,733.1824034334763,679.1309012875537,25.0,False,False,False
032cfa5b452b3ca114afd0a7de1345d108386231,aug,2017,cool,hold,Lysander,733.8860759493671,725.3417721518987,725.2101265822785,25.0,False,False,False
03a890e76429b4edaf178fa70ad99f81c56b66f9,aug,2017,cool,hold,Parish,734.2,720.0,720.0,20.0,False,False,False
03b7856e32e4574f6c105429904e65e8a9159292,aug,2017,cool,auto,Montauk,729.803738317757,751.392523364486,672.1635514018692,20.0,False,False,False
03b7856e32e4574f6c105429904e65e8a9159292,aug,2017,cool,hold,Montauk,723.9906542056075,722.4392523364486,722.7102803738318,20.0,False,False,False
03e8768476128f3bdd730c919074bca9eec1b06e,aug,2017,auto,auto,Forestport,666.3125,780.0,698.2708333333334,0.0,True,True,True
03e8768476128f3bdd730c919074bca9eec1b06e,aug,2017,auto,hold,Forestport,677.9647887323944,780.2816901408451,704.0845070422536,0.0,True,True,True
040f0fbe3f8b2536cd6c2765ef7a9c9e4f027d75,aug,2017,heat,auto,Cold Spring,693.1904761904761,820.0,640.0,120.0,False,False,False
045098afef61ad704d7e00422af32a6614ef6daf,aug,2017,auto,auto,Somers,705.2664974619289,736.8350253807107,677.1256345177665,35.0,False,False,True
045098afef61ad704d7e00422af32a6614ef6daf,aug,2017,auto,hold,Somers,711.4373177842566,718.0408163265306,649.6122448979592,35.0,False,False,True
04b20976a5c0a37d8f36f7a07990e9272da250b8,aug,2017,cool,auto,Rochester,721.6317494600432,722.5345572354212,777.3441324694024,63.0,False,False,False
04b20976a5c0a37d8f36f7a07990e9272da250b8,aug,2017,cool,hold,Rochester,704.1052631578947,707.9473684210526,707.8947368421053,63.0,False,False,False
04bd4e943203d5aa26fb05625cf2c7d0aa139eb1,aug,2017,cool,hold,Nanuet,736.8823529411765,750.0,680.0,39.0,True,False,False
065508a0df41ea9936692b0b0658bc1a89f53550,aug,2017,cool,auto,Clarence,700.5333333333333,726.0,726.0,0.0,False,False,False
065efcaed23c35222e78abfea9ac43d10d74bacc,aug,2017,cool,auto,Pittsford,740.8080065359477,750.0,770.0,0.0,False,False,False
07e617600f98683e814f3b4fdb46712eea76b3b2,aug,2017,cool,auto,Greenwich,754.2857142857143,740.0,720.0,45.0,False,False,False
0807be77a3096598b0988dd41e673eaf1a0984b4,aug,2017,auto,auto,Melville,722.5454545454545,710.0,660.0,10.0,False,False,False
0807be77a3096598b0988dd41e673eaf1a0984b4,aug,2017,auto,hold,Melville,706.2420382165606,702.484076433121,652.0063694267516,10.0,False,False,False
08d219f699a172acf985545ad311c9a8e8b62b07,aug,2017,cool,auto,Mount Sinai,719.579268292683,734.6524390243902,690.0914634146342,0.0,False,False,False
08d219f699a172acf985545ad311c9a8e8b62b07,aug,2017,cool,hold,Mount Sinai,725.7318077803203,740.4613272311212,740.433409610984,0.0,False,False,False
091c53006a204fb2b3934f086f329951cff68077,aug,2017,cool,auto,Hyde Park,723.5714285714286,740.0,670.0,36.0,False,False,False
091c53006a204fb2b3934f086f329951cff68077,aug,2017,cool,hold,Hyde Park,722.75,734.5,733.25,36.0,False,False,False
09db4028c2b69451eb2d857fd6a98ffac6972ce7,aug,2017,cool,auto,Waterford,747.0117647058823,747.2470588235294,714.0588235294117,50.0,False,False,False
09db4028c2b69451eb2d857fd6a98ffac6972ce7,aug,2017,cool,hold,Waterford,740.5900621118012,741.1055900621118,740.3229813664597,50.0,False,False,False
09db88ceba925a9147d5aacaff26854472cd4c04,aug,2017,cool,hold,East Meadow,754.8623188405797,750.0217391304348,749.9565217391304,60.0,False,False,False
0a0d6f3aa0e98335071fb75705e166208825a97c,aug,2017,cool,hold,Kerhonkson,702.0412371134021,700.0618556701031,700.0618556701031,20.0,False,False,False
0b485cdb81eea038bbc1fa1fc12c4a9c4bacf8b0,aug,2017,cool,hold,Durham,675.8707482993198,670.1088435374149,670.6122448979592,5.0,False,False,False
0bdd0c6af42e3382f63d918c143d258895df06d0,aug,2017,auto,auto,New York,716.962,717.77,630.0,10.0,False,False,True
0bdd0c6af42e3382f63d918c143d258895df06d0,aug,2017,auto,hold,New York,735.2014563106796,737.2378640776699,642.4514563106796,10.0,False,False,True
0bdd0c6af42e3382f63d918c143d258895df06d0,aug,2017,cool,auto,New York,727.3273056057866,728.3001808318264,720.1410488245931,10.0,False,False,True
0bdd0c6af42e3382f63d918c143d258895df06d0,aug,2017,cool,hold,New York,730.717018469657,731.9953825857519,731.9663588390501,10.0,False,False,True
0ca65192b661528a59da67199de295c18c25a9b0,aug,2017,cool,hold,Ripley,708.3018867924528,662.2641509433962,662.2641509433962,120.0,False,False,False
0cab1f306d55c2ed335905b63be5128d750d8951,aug,2017,cool,hold,North Tonawanda,762.5698630136986,756.5643835616438,756.1643835616438,60.0,False,False,False
