Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0057073590b36f6c235dab2cc53cc8c001185b2b,dec,2019,heat,hold,Clifton Park,712.1764705882352,714.7549019607843,714.7549019607843,60.0,False,False,False
00996606dc340bb60b08b0704486388082dc5b1f,dec,2019,heat,auto,Buffalo,680.8712916476495,691.3199452304883,691.3181195801004,110.0,False,False,False
00996606dc340bb60b08b0704486388082dc5b1f,dec,2019,heat,hold,Buffalo,681.1917808219179,716.6164383561644,716.6164383561644,110.0,False,False,False
00ae124983451237520586ba85955c62dce37df5,dec,2019,heat,auto,Massapequa,715.2544642857143,718.0208333333334,718.0208333333334,60.0,False,False,False
00ae124983451237520586ba85955c62dce37df5,dec,2019,heat,hold,Massapequa,715.5528169014085,718.2723004694835,718.2723004694835,60.0,False,False,False
00eebc9ec9ffb397cb2fa2c72ab08abfedf5a17e,dec,2019,heat,hold,Rhinebeck,648.46,650.0,650.0,40.0,False,False,False
0121a65bb6b5c42b127417008cd2f09a34da5f75,dec,2019,heat,hold,Malverne,678.9542168674699,701.2289156626506,680.0048192771085,70.0,False,False,False
01451ba531cf9fec46a95a9c67269b0907a6a11b,dec,2019,auto,auto,Irvington,676.6666666666666,770.0,640.0,35.0,False,False,False
01451ba531cf9fec46a95a9c67269b0907a6a11b,dec,2019,auto,hold,Irvington,698.0,761.5,700.0,35.0,False,False,False
0167c075fcda69dd5986ae03751dade7cb4974a2,dec,2019,heat,hold,Lancaster,691.1351351351351,696.3513513513514,696.3513513513514,20.0,True,False,False
017aaab56be28ee808eb7a5bb832671b174d6b80,dec,2019,heat,hold,Mahopac,689.1796875,683.6953125,683.578125,60.0,False,False,False
01e8be1d394b58646b9f4b9a9ba1ef394f192147,dec,2019,heat,hold,Avon,681.427807486631,700.0,649.0909090909091,30.0,True,False,True
01f1c67b509ecd36e3f560f52b0f890c5496752a,dec,2019,heat,auto,Spring Valley,690.9333333333333,729.7333333333333,699.7333333333333,0.0,False,False,False
01f1c67b509ecd36e3f560f52b0f890c5496752a,dec,2019,heat,hold,Spring Valley,704.7723577235772,712.5772357723578,712.1951219512196,0.0,False,False,False
0222d94d2b1c947ee348247984a9029edfc6851b,dec,2019,heat,auto,Lancaster,662.7608695652174,710.0,680.0,0.0,True,False,False
0222d94d2b1c947ee348247984a9029edfc6851b,dec,2019,heat,hold,Lancaster,655.1295180722891,665.3313253012049,658.1144578313254,0.0,True,False,False
02265605510eb3a1dee0cc26c663263f7cd96588,dec,2019,auto,auto,Valatie,695.2432432432432,760.0,700.0,39.0,False,False,False
02265605510eb3a1dee0cc26c663263f7cd96588,dec,2019,auto,hold,Valatie,678.222891566265,782.3885542168674,680.0,39.0,False,False,False
0227dc0420b5d39c567951ee2e7cbcb72f40bbba,dec,2019,heat,hold,Walden,661.9607843137255,730.0,720.0,15.0,False,False,False
02e661eb08dbfcd76aab439331e377be619dff62,dec,2019,heat,auto,New York,729.6666666666666,739.5416666666666,739.2916666666666,70.0,False,False,False
030a13278b10d4d1472c5439028ef8eb81ed814c,dec,2019,auto,auto,Bethlehem,657.3333333333334,740.0,660.0,55.0,False,False,False
032cfa5b452b3ca114afd0a7de1345d108386231,dec,2019,heat,auto,Lysander,689.3243243243244,695.3513513513514,694.2162162162163,25.0,False,False,False
032cfa5b452b3ca114afd0a7de1345d108386231,dec,2019,heat,hold,Lysander,680.3823529411765,675.5392156862745,675.2254901960785,25.0,False,False,False
0331561e56a5465c109c72d1e6df1f67c8f9c063,dec,2019,heat,hold,Schenectady,710.6896551724138,723.080459770115,722.3218390804598,60.0,False,False,False
034beab566f846e4d13204ad9145366d7dd7c210,dec,2019,heat,hold,Brentwood,737.3989850935617,740.0,740.0,0.0,False,False,False
034c4fe289568df8695bb43f3483fe5b4010a8f6,dec,2019,heat,auto,Hamden,651.7066666666667,701.0266666666666,701.0266666666666,90.0,True,False,False
034c4fe289568df8695bb43f3483fe5b4010a8f6,dec,2019,heat,hold,Hamden,650.2727272727273,656.6233766233767,652.4350649350649,90.0,True,False,False
037a66bcdd91b3e8df6c1ccc2d8e4f2138f57d8e,dec,2019,heat,auto,Oyster Bay,669.0769230769231,706.0979020979021,692.3006993006993,50.0,False,False,False
037a66bcdd91b3e8df6c1ccc2d8e4f2138f57d8e,dec,2019,heat,hold,Oyster Bay,671.9586206896552,696.0344827586207,693.648275862069,50.0,False,False,False
03a890e76429b4edaf178fa70ad99f81c56b66f9,dec,2019,heat,auto,Parish,665.1670951156813,668.3419023136247,668.3316195372751,20.0,False,False,False
03a890e76429b4edaf178fa70ad99f81c56b66f9,dec,2019,heat,hold,Parish,657.8461538461538,668.974358974359,667.5897435897435,20.0,False,False,False
03b7856e32e4574f6c105429904e65e8a9159292,dec,2019,heat,auto,Montauk,691.8450704225352,690.0,690.0,20.0,False,False,False
03b7856e32e4574f6c105429904e65e8a9159292,dec,2019,heat,hold,Montauk,669.4519230769231,668.9863782051282,668.8165064102565,20.0,False,False,False
0404d765885cd5e3fd981e70e8d90fb28a3f6952,dec,2019,auto,hold,Whitestone,714.9090909090909,780.0,720.0,57.0,False,False,False
0404d765885cd5e3fd981e70e8d90fb28a3f6952,dec,2019,heat,hold,Whitestone,678.2539682539683,713.3333333333334,713.3333333333334,57.0,False,False,False
040d3f10a5de5e604cb0965ecd700b8e865dd30d,dec,2019,heat,auto,Webster,680.688524590164,683.551912568306,683.551912568306,0.0,False,False,False
040d3f10a5de5e604cb0965ecd700b8e865dd30d,dec,2019,heat,hold,Webster,669.3703703703703,672.9296296296296,665.6296296296297,0.0,False,False,False
040f0fbe3f8b2536cd6c2765ef7a9c9e4f027d75,dec,2019,heat,auto,Cold Spring,708.265625,703.90625,702.78125,120.0,False,False,False
04125e365a8d55d18bf39ed4676c60f1746549bf,dec,2019,auto,auto,Schenectady,679.4896373056995,733.4404145077721,683.4404145077721,25.0,True,False,False
04125e365a8d55d18bf39ed4676c60f1746549bf,dec,2019,auto,hold,Schenectady,680.1216730038022,733.745247148289,683.745247148289,25.0,True,False,False
0431a87b022fe91ffe766fa01eff710711032947,dec,2019,heat,hold,Fulton,688.5581395348837,680.0,680.0,30.0,True,False,False
045098afef61ad704d7e00422af32a6614ef6daf,dec,2019,auto,hold,Somers,699.75,742.5357142857143,701.25,35.0,False,False,True
047ec047e185b13811c7f446479484be2f5e7293,dec,2019,heat,hold,Cornwall,711.9894602363462,719.934845097413,719.934845097413,50.0,False,False,False
04b3f5456926f6ea2d3dedf806d54808b659b461,dec,2019,heat,hold,Rocky Point,673.0,681.5217391304348,679.8260869565217,25.0,True,False,False
04c64ba2648749247a37c281f91fe3575df67646,dec,2019,heat,auto,Utica,638.9657657657658,814.5423423423423,626.4180180180181,80.0,False,False,False
04c64ba2648749247a37c281f91fe3575df67646,dec,2019,heat,hold,Utica,655.5625,703.0,700.0,80.0,False,False,False
04ca00abd1cf2bde048982ac0b049c0c7d1f3797,dec,2019,heat,auto,Selkirk,654.049491825011,660.5594343791428,658.8369421122404,15.0,False,False,False
04ca00abd1cf2bde048982ac0b049c0c7d1f3797,dec,2019,heat,hold,Selkirk,668.9253731343283,672.3432835820895,672.3432835820895,15.0,False,False,False
04eb77bee4948825ee659019c5ed5be60c0f299c,dec,2019,heat,auto,Somers,712.9316037735849,716.5165094339623,716.4622641509434,49.0,False,False,False
04eb77bee4948825ee659019c5ed5be60c0f299c,dec,2019,heat,hold,Somers,705.3915756630265,709.9531981279251,709.9531981279251,49.0,False,False,False
0531634ea91bce2ce7e62ea2417f0c28ab7caa27,dec,2019,heat,auto,Farmingdale,666.6545789797173,718.460971112477,675.278426551936,9.0,True,False,False
0531634ea91bce2ce7e62ea2417f0c28ab7caa27,dec,2019,heat,hold,Farmingdale,687.2482993197278,700.6061224489796,701.0142857142857,9.0,True,False,False
057b66ea14201f31a7ced086fabe30a4fecdf621,dec,2019,heat,auto,Syosset,697.686170212766,750.0,710.0,0.0,False,False,False
057b66ea14201f31a7ced086fabe30a4fecdf621,dec,2019,heat,hold,Syosset,717.9912280701755,730.0,730.0,0.0,False,False,False
0592064fd0637b9b1ea31976d5db9c63988f9667,dec,2019,heat,auto,Barryville,671.501002004008,780.0360721442886,679.9098196392786,10.0,False,False,False
0592064fd0637b9b1ea31976d5db9c63988f9667,dec,2019,heat,hold,Barryville,696.0125,701.125,698.875,10.0,False,False,False
05d6328a2e1d513e4579ee79c4bffe364230e3c8,dec,2019,cool,hold,New York,737.0,730.6666666666666,730.6666666666666,9.0,True,False,True
05d6328a2e1d513e4579ee79c4bffe364230e3c8,dec,2019,heat,auto,New York,706.6079545454545,711.5738636363636,710.8920454545455,9.0,True,False,True
05d6328a2e1d513e4579ee79c4bffe364230e3c8,dec,2019,heat,hold,New York,722.4514066496164,723.3682864450128,723.2109974424552,9.0,True,False,True
