Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0057073590b36f6c235dab2cc53cc8c001185b2b,feb,2021,heat,hold,Clifton Park,705.1923076923077,707.4175824175824,707.4175824175824,60.0,False,False,False
00996606dc340bb60b08b0704486388082dc5b1f,feb,2021,heat,hold,Buffalo,691.9574105621806,696.587734241908,696.587734241908,110.0,False,False,False
00ae124983451237520586ba85955c62dce37df5,feb,2021,heat,hold,Massapequa,717.4967490247074,720.7113133940182,720.7113133940182,60.0,False,False,False
00eebc9ec9ffb397cb2fa2c72ab08abfedf5a17e,feb,2021,heat,hold,Rhinebeck,538.2622498274673,650.0,540.0,40.0,False,False,False
0121a65bb6b5c42b127417008cd2f09a34da5f75,feb,2021,heat,hold,Malverne,671.28,670.0,670.0,70.0,False,False,False
01451ba531cf9fec46a95a9c67269b0907a6a11b,feb,2021,auto,hold,Irvington,698.9166666666666,808.1666666666666,706.9375,35.0,False,False,False
0167c075fcda69dd5986ae03751dade7cb4974a2,feb,2021,heat,hold,Lancaster,715.3684210526316,680.0,680.0,20.0,True,False,False
017aaab56be28ee808eb7a5bb832671b174d6b80,feb,2021,heat,hold,Mahopac,708.3064516129032,656.1935483870968,645.5752688172043,60.0,False,False,False
01c8d408d81af596e2f83117506bc83b17b16cf8,feb,2021,auto,hold,New York,703.1946902654868,755.1327433628319,699.70796460177,9.0,True,False,False
01e8be1d394b58646b9f4b9a9ba1ef394f192147,feb,2021,heat,hold,Avon,552.0203527815468,700.0,500.0,30.0,True,False,True
0222d94d2b1c947ee348247984a9029edfc6851b,feb,2021,heat,hold,Lancaster,668.2777777777778,674.3333333333334,673.0833333333334,0.0,True,False,False
02e661eb08dbfcd76aab439331e377be619dff62,feb,2021,heat,hold,New York,729.0416666666666,742.2916666666666,741.7916666666666,70.0,False,False,False
032cfa5b452b3ca114afd0a7de1345d108386231,feb,2021,heat,hold,Lysander,686.0218855218856,686.2037037037037,685.8282828282828,25.0,False,False,False
0331561e56a5465c109c72d1e6df1f67c8f9c063,feb,2021,heat,hold,Schenectady,700.5255474452555,710.051094890511,709.8905109489051,60.0,False,False,False
034beab566f846e4d13204ad9145366d7dd7c210,feb,2021,heat,hold,Brentwood,745.9982269503546,750.0,750.0,0.0,False,False,False
034c4fe289568df8695bb43f3483fe5b4010a8f6,feb,2021,heat,hold,Hamden,622.4267605633803,662.7070422535211,607.5894366197183,90.0,True,False,False
037a66bcdd91b3e8df6c1ccc2d8e4f2138f57d8e,feb,2021,heat,hold,Oyster Bay,692.609756097561,700.0,700.0,50.0,False,False,False
03a890e76429b4edaf178fa70ad99f81c56b66f9,feb,2021,heat,hold,Parish,699.2574399426318,703.3485120114736,703.3485120114736,20.0,False,False,False
03b7856e32e4574f6c105429904e65e8a9159292,feb,2021,heat,hold,Montauk,655.2727272727273,654.0909090909091,645.4545454545455,20.0,False,False,False
040d3f10a5de5e604cb0965ecd700b8e865dd30d,feb,2021,heat,hold,Webster,688.3947368421053,693.2271468144045,693.2271468144045,0.0,False,False,False
04125e365a8d55d18bf39ed4676c60f1746549bf,feb,2021,heat,hold,Schenectady,724.4391866913123,729.1870609981515,729.1279112754158,25.0,True,False,False
045098afef61ad704d7e00422af32a6614ef6daf,feb,2021,auxHeatOnly,hold,Somers,682.249500998004,662.2055888223553,662.2055888223553,35.0,False,False,True
047ec047e185b13811c7f446479484be2f5e7293,feb,2021,heat,hold,Cornwall,705.6480547550432,715.6286023054755,715.599423631124,50.0,False,False,False
04bd4e943203d5aa26fb05625cf2c7d0aa139eb1,feb,2021,auto,hold,Nanuet,695.7842565597667,740.0,700.0,39.0,True,False,False
04eb77bee4948825ee659019c5ed5be60c0f299c,feb,2021,heat,hold,Somers,717.5406643757159,725.955326460481,725.9152348224513,49.0,False,False,False
0531634ea91bce2ce7e62ea2417f0c28ab7caa27,feb,2021,heat,hold,Farmingdale,676.3837209302326,721.828488372093,721.3561046511628,9.0,True,False,False
057b66ea14201f31a7ced086fabe30a4fecdf621,feb,2021,heat,hold,Syosset,704.7428571428571,705.2285714285714,704.6571428571428,0.0,False,False,False
0592064fd0637b9b1ea31976d5db9c63988f9667,feb,2021,heat,hold,Barryville,674.8039215686274,700.0,700.0,10.0,False,False,False
05b0dbcd726589bddc633a99fb5560022826bae5,feb,2021,heat,hold,Brooklyn,684.679012345679,730.0,730.0,95.0,False,False,False
05d6328a2e1d513e4579ee79c4bffe364230e3c8,feb,2021,heat,hold,New York,709.9698630136986,700.8356164383562,700.7095890410959,9.0,True,False,True
06145c97629bac75f7ac781627f9f6d827ae19a5,feb,2021,heat,hold,New York,706.8958333333334,710.0,710.0,115.0,False,False,False
06378227322933504c85664f3cefce57cd446fe6,feb,2021,heat,hold,Clifton Park,696.5971014492753,700.0043478260869,699.9985507246377,0.0,False,False,False
064129525f0a4a842dc65a55a3da561d82460d63,feb,2021,heat,hold,Buffalo,703.1323529411765,749.0,749.0,0.0,False,False,False
065efcaed23c35222e78abfea9ac43d10d74bacc,feb,2021,heat,hold,Pittsford,706.8260869565217,720.0,720.0,0.0,False,False,False
067ff383f5fae24c3a87c42713b901e40ff31514,feb,2021,auto,hold,Massapequa Park,700.5274140752864,800.0,695.8858428805237,0.0,False,False,False
06878ebc6479aa003be1e7868bfa8f6272448662,feb,2021,heat,hold,East Hills,734.8257655755016,730.0,730.0,0.0,False,False,False
068c0b5c4fda2f8f1509da8f6dbfb336a94401ac,feb,2021,heat,hold,Syracuse,695.8102189781022,696.5693430656934,696.3868613138686,0.0,False,False,False
069363f96dd1210ab4734c80dc41639976c6e876,feb,2021,heat,hold,New York,699.8767123287671,699.0199771689498,699.0199771689498,10.0,False,False,False
06eff09bff7a20c4dc68dd13a12236b018421f67,feb,2021,cool,hold,Riverhead,576.40625,750.0,750.0,30.0,False,False,False
07caf069eb153e0a1fe6aa55842493626db615ca,feb,2021,heat,hold,Haverstraw,723.4160343121082,715.6390630155064,715.6390630155064,90.0,False,False,False
08250d02223a281ab68472951fbad2351b4cc80f,feb,2021,heat,hold,Pittsford,698.2893617021276,704.063829787234,704.063829787234,0.0,True,False,False
08a946070eaa926ecc02e764b17696ede13bf5ac,feb,2021,heat,hold,Brooklyn,731.7252604166666,737.1171875,737.1171875,0.0,False,False,False
08cab698f2b3ccc037e1ddfa503cce4aced885ea,feb,2021,heat,hold,WARWICK,688.7887005649718,691.4700564971752,691.477966101695,25.0,False,False,False
08d219f699a172acf985545ad311c9a8e8b62b07,feb,2021,heat,hold,Mount Sinai,662.6683544303797,669.2472573839663,662.7654008438818,0.0,False,False,False
08d4c4d0a659ac72d35d8351ef879a38a7e5856f,feb,2021,heat,hold,West Falls,618.9309262166405,650.0,621.6985871271586,100.0,False,False,False
08e1812c0c26fec4f4b54307e807ce29131a7518,feb,2021,heat,hold,Rhinebeck,538.2150803461063,650.0,540.0,40.0,False,False,False
091c53006a204fb2b3934f086f329951cff68077,feb,2021,heat,hold,Hyde Park,691.9615384615385,700.0,700.0,36.0,False,False,False
0939e7bd63235cbacae6d11a2e51daca7139e05e,feb,2021,heat,hold,Hopewell Junction,663.2659574468086,665.4893617021277,662.2765957446809,19.0,False,False,False
09db4028c2b69451eb2d857fd6a98ffac6972ce7,feb,2021,heat,hold,Waterford,703.952380952381,700.2142857142857,698.9047619047619,50.0,False,False,False
09db88ceba925a9147d5aacaff26854472cd4c04,feb,2021,auto,hold,East Meadow,661.9411764705883,750.0,640.0,60.0,False,False,False
0a0d6f3aa0e98335071fb75705e166208825a97c,feb,2021,heat,hold,Kerhonkson,664.8319641523525,666.6725168035848,666.6725168035848,20.0,False,False,False
0aae839be9bd7e672af8dbe61fb504358b2d8a8e,feb,2021,heat,hold,New york,706.8333333333334,711.6666666666666,709.0,10.0,False,False,False
0ad047e16b93a13937b2c78b3d5294eeb83daf6b,feb,2021,heat,hold,Somers,717.2083333333334,700.0,700.0,40.0,False,False,True
0b485cdb81eea038bbc1fa1fc12c4a9c4bacf8b0,feb,2021,heat,hold,Durham,605.726688102894,591.6237942122186,591.6237942122186,5.0,False,False,False
0b640fb54112e9b253f208a54fc70329e17e8f03,feb,2021,heat,hold,New York,667.5277777777778,660.0,660.0,10.0,False,False,True
0b69cb0c4855f60b5e15753b3ef71dea3910acfd,feb,2021,auto,hold,Canastota,679.4887596899225,740.0,680.0,5.0,False,False,False
0b7453f796694c12b6e52882f2653bbcf87fe1e9,feb,2021,heat,hold,Rockville Centre,735.6538461538462,739.9230769230769,739.6923076923077,30.0,False,False,False
0b944008ffd0a51a969ecbd20f11485316ca9622,feb,2021,heat,hold,Wassaic,580.4849215922799,650.0,585.9264173703257,0.0,False,False,False
0bf7abfcb65e710ee3bce1f5a2fcac0e1af9c787,feb,2021,heat,hold,Ballston Spa,665.7888888888889,670.0,670.0,70.0,False,False,False
0bfb7dce52d898e8ba1cf77bc4e9e9c7ea3f143f,feb,2021,heat,hold,New York,704.8333333333334,698.0277777777778,698.0277777777778,90.0,False,False,False
0c5aabcf96e4039785839e93d7e93bec59e02a15,feb,2021,heat,hold,Goshen,667.6961690885073,665.8837516512549,665.8837516512549,0.0,False,False,False
0d09b1036227f100e77d2cfd4b7c75559ded116b,feb,2021,heat,hold,Rochester,686.6363636363636,670.0,670.0,90.0,False,False,False
0d358fb1865e0c4bc78cef8de91614dda27c447a,feb,2021,auto,hold,Voorheesville,704.3666666666667,773.2,722.7666666666667,25.0,False,False,False
0d5398f932b752b94d212aa5b095e36f939e2b14,feb,2021,heat,hold,Bemus Point,685.3508064516129,690.0,690.0,75.0,False,False,False
0d714a4e0e8cc562d88486c236081532c2314907,feb,2021,heat,hold,Chester,717.1699164345404,723.5905292479108,723.5905292479108,5.0,False,False,False
0de3fbbe97e708a3819b034fde356c68bc92c8fa,feb,2021,heat,hold,Orchard Park,695.9583333333334,702.1666666666666,699.7083333333334,0.0,False,False,False
0e04bc7db53f1824e41e33006a6a53a90c2b4483,feb,2021,auto,hold,Pittsford,671.0731707317074,743.6951219512196,691.9878048780488,55.0,False,False,False
0e2cdb98f751cecf959c5f8aad4e183ad01523ec,feb,2021,auto,hold,Medford,688.8922852983989,760.0,688.3464337700145,10.0,False,False,False
0e464cdc08d0c0b228aa5c68c60e3511d514ff5f,feb,2021,heat,hold,Mount Sinai,608.2119460500963,620.8670520231213,467.57225433526014,15.0,False,False,False
0e4c18e0c4451bdff06a4600155f530e216d4a2c,feb,2021,heat,hold,Amherst,564.1775656324583,656.7064439140811,557.164200477327,35.0,False,False,False
0e561d418a8e0f4675a7eefacb04b20dbbd41028,feb,2021,heat,hold,Chester,694.8,695.0,695.0,5.0,False,False,False
0e584c1feb0421467c4a29d478b532f9daf199e0,feb,2021,heat,hold,Port Jefferson,732.549442896936,737.158774373259,737.158774373259,0.0,True,False,False
0e869650a77c019574056849483cbf9466c40caa,feb,2021,heat,hold,Elma,710.2858555885263,715.0791295746785,715.0791295746785,0.0,False,False,False
0ea214477e6a6f5d76ac42f060d1221fe858dd71,feb,2021,heat,hold,Babylon,667.5,678.0,643.0,10.0,False,False,False
0eb676cc499233e21fd1b0c1c3379dacedfd1003,feb,2021,heat,hold,Ballston Lake,687.2419467787115,692.3077731092437,692.3077731092437,60.0,False,False,False
0ee727ee6d075d4a98cbea72b106780db4075745,feb,2021,heat,hold,Katonah,680.2,698.76,698.76,70.0,True,False,False
0efb8d82e74394fbc0b974b681a4e392f3e09e79,feb,2021,heat,hold,Fort Edward,690.9619047619047,700.8761904761905,699.7809523809524,29.0,True,False,False
0f28452d6eda586b16d57dc2f58721b122a5ba78,feb,2021,heat,hold,Sloatsburg,717.7183967112024,720.1329222336417,720.1329222336417,99.0,False,False,False
0f64808b74d223151bbf1b56abb1bdad5e723e3a,feb,2021,heat,hold,Bronx,684.6111111111111,711.625,708.3194444444445,65.0,False,False,False
0fc5702b09bed4f9fe887111b0c48da9385967c9,feb,2021,auto,hold,Rochester,761.75,809.875,759.7916666666666,90.0,False,False,False
0fc74e0bb6aeac226b0e29b730899d444f46da05,feb,2021,heat,hold,Penfield,706.445623342175,710.0,710.0,0.0,True,False,False
10197f66ec5e779163a9b553a309ffbf1aa73e1b,feb,2021,heat,hold,East Rockaway,700.6031042128603,702.7228381374723,702.7028824833703,66.0,False,False,False
101c4f4595d5c6dc4abbdf940a67ad4b768d52af,feb,2021,heat,hold,Scotia,703.7846153846153,710.0,710.0,115.0,False,False,False
10ac941e9d8850e721139c3f786e05602a62a652,feb,2021,heat,hold,MAHOPAC,681.128862094951,678.4758854559155,678.4623210248682,30.0,True,False,False
10c28461873adc35141df26bed3208a8bf5c59e5,feb,2021,heat,hold,Merrick,757.2708333333334,760.0,760.0,0.0,False,False,False
10cf714d228ca83e2046166587a5f5c6593ebfc9,feb,2021,heat,hold,Oyster Bay,702.7586206896551,711.9080459770115,711.9080459770115,60.0,False,False,False
10e97afbf5e901dfd8463d9aa09bbfe96185626b,feb,2021,heat,hold,New Hartford,675.4583333333334,692.7916666666666,689.6666666666666,55.0,False,False,False
113c353645de026231abf3bcc85fb8fcb7401633,feb,2021,heat,hold,Armonk,733.7925636007827,733.1771037181996,733.1771037181996,25.0,False,False,False
