Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0004d992b250a15135e87ac6397ea55cc8312214,aug,2019,heat,hold,New Philadelphia,752.6774744027304,690.0,690.0,40.0,False,False,False
001296bc7af467bd8c552578d0ff4cc855345204,aug,2019,cool,auto,Chillicothe,704.5288197621226,699.5910338517841,699.5910338517841,120.0,False,False,False
001296bc7af467bd8c552578d0ff4cc855345204,aug,2019,cool,hold,Chillicothe,710.6469317199654,706.6611927398444,706.6611927398444,120.0,False,False,False
002ab6b3320e4b4667626b262c624c675076d1c0,aug,2019,cool,auto,New Albany,739.3782505910166,739.1111111111111,739.1111111111111,0.0,False,False,False
002ab6b3320e4b4667626b262c624c675076d1c0,aug,2019,cool,hold,New Albany,741.5182972367438,747.2169529499627,747.2169529499627,0.0,False,False,False
003daf010076c5132f75a48bb52fb507cdb47c15,aug,2019,cool,auto,Dublin,722.2877697841726,760.431654676259,758.2014388489208,19.0,True,False,False
003daf010076c5132f75a48bb52fb507cdb47c15,aug,2019,cool,hold,Dublin,731.7382671480144,742.5324909747293,742.5198555956679,19.0,True,False,False
008708a18059f2847b8385699bc376034e386c8d,aug,2019,auto,auto,Harrison,725.8385416666666,724.8958333333334,667.4479166666666,0.0,False,False,False
008708a18059f2847b8385699bc376034e386c8d,aug,2019,auto,hold,Harrison,722.9814814814815,719.2592592592592,662.1296296296297,0.0,False,False,False
009264f7599fc5c2372f21188ed1ceb993248ae0,aug,2019,cool,auto,Delaware,751.0,750.0,750.0,0.0,True,False,False
00b3d56d8ecd4a5ee1eb9303ad8ad86ce121af45,aug,2019,cool,auto,Sylvania,726.3011695906433,727.5165692007797,727.5009746588694,20.0,True,False,False
00b3d56d8ecd4a5ee1eb9303ad8ad86ce121af45,aug,2019,cool,hold,Sylvania,727.2210526315789,728.1336032388664,728.1336032388664,20.0,True,False,False
01193423d765e95e26315c356123ba9f02b6c584,aug,2019,cool,auto,Berea,696.2746478873239,698.5915492957746,691.7605633802817,7.0,False,False,False
011b43c5a16016373499bcec61b788772b0d7b50,aug,2019,cool,auto,Saint Bernard,722.8390928725702,720.7804175665947,710.0007199424047,110.0,False,False,False
011b43c5a16016373499bcec61b788772b0d7b50,aug,2019,cool,hold,Saint Bernard,723.263440860215,723.4193548387096,723.4096774193548,110.0,False,False,False
0153ab44a796a626b6bbf1d4b1feb7ceff9b2dab,aug,2019,auto,auto,Cincinnati,782.1650339110777,784.2004521477015,679.3993971363979,0.0,False,False,False
0153ab44a796a626b6bbf1d4b1feb7ceff9b2dab,aug,2019,auto,hold,Cincinnati,786.141498216409,792.319857312723,680.7645659928656,0.0,False,False,False
0153ab44a796a626b6bbf1d4b1feb7ceff9b2dab,aug,2019,cool,auto,Cincinnati,762.734375,759.9947916666666,689.9895833333334,0.0,False,False,False
01655b343cf71d3b4570fae42cdb717b961a10b8,aug,2019,cool,auto,Hilliard,730.2553191489362,820.0,640.0,27.0,False,False,False
017e8bfb2ff7e1cdb7a97255fe8f07794da3faa1,aug,2019,cool,hold,Sunbury,741.9239766081871,740.0,700.0,45.0,True,False,True
01ba7e4bfc979c3fe6a47d2069a4e3d5f572d617,aug,2019,cool,auto,Beavercreek Township,735.446,812.954,664.222,0.0,False,False,False
01d6cb8b9776a7b9dd39de426a071cb3d669e766,aug,2019,cool,auto,Columbus,706.336032388664,702.1821862348178,701.9514170040486,30.0,False,False,False
01d6cb8b9776a7b9dd39de426a071cb3d669e766,aug,2019,cool,hold,Columbus,712.6281588447654,721.6642599277978,721.4115523465704,30.0,False,False,False
01d9f0cfe5da6643600a7812c866cdf8900ac495,aug,2019,cool,hold,Amherst,724.8658008658009,724.517316017316,724.517316017316,20.0,False,False,False
01d9f0cfe5da6643600a7812c866cdf8900ac495,aug,2019,heat,hold,Amherst,768.7575757575758,752.0,752.0,20.0,False,False,False
01dea9eda7bb26be14d25b749be1b047cccce34b,aug,2019,cool,hold,Amherst,687.2198335644938,691.2024965325936,691.0520110957004,20.0,False,False,False
0227a58313c8e14a3474e1e6b4cba9b4d59e688b,aug,2019,cool,auto,Millersburg,750.9544534412955,782.3269230769231,774.2803643724696,30.0,True,False,False
0227a58313c8e14a3474e1e6b4cba9b4d59e688b,aug,2019,cool,hold,Millersburg,736.3376623376623,839.8831168831168,789.7532467532468,30.0,True,False,False
0259a0a305554cc0f6e1b672360c0a16b6207e3c,aug,2019,heat,hold,Painesville,730.6888888888889,700.0,700.0,0.0,False,False,True
026648af3870e8de5fb3db6804ee8339b1e1fdd6,aug,2019,auto,auto,Litchfield,744.1428571428571,715.0,665.0,0.0,True,False,False
026648af3870e8de5fb3db6804ee8339b1e1fdd6,aug,2019,cool,hold,Litchfield,721.3111111111111,720.0,719.0444444444445,0.0,True,False,False
02d135064d9dd3fee7019921e09b5c118f0f16dd,aug,2019,cool,auto,Cleveland,745.8196721311475,753.5409836065573,751.8251366120219,75.0,False,False,False
02d54338b021b7841a19d64cd5b2ffeb739134dc,aug,2019,cool,hold,Cincinnati,716.7640398550725,716.4175724637681,716.4175724637681,90.0,False,False,False
02d56dc5db1dd238d1587211190b99e62cc2d0b8,aug,2019,cool,auto,Grafton,692.4047619047619,713.5873015873016,699.984126984127,0.0,True,False,False
02d56dc5db1dd238d1587211190b99e62cc2d0b8,aug,2019,cool,hold,Grafton,713.7333333333333,690.0,690.0,0.0,True,False,False
02e402a4ebc2503d1b151c73a08fae3f5c9f4f9d,aug,2019,cool,auto,Westerville,746.0788497217069,744.0705009276438,738.2254174397032,0.0,True,False,False
030190f34f971c81f2b61a26de5be0792e21813c,aug,2019,cool,auto,Cleveland,712.7152317880794,717.9403973509934,717.4039735099337,45.0,True,False,False
030190f34f971c81f2b61a26de5be0792e21813c,aug,2019,cool,hold,Cleveland,717.0980392156863,710.2941176470588,709.5490196078431,45.0,True,False,False
0357277f27a69a0e2e98adc10227b26bd52f23e7,aug,2019,auto,auto,Westerville,718.6137254901961,720.0,670.0,10.0,False,False,False
03815176b666fd2a8dd441961faa0b02b6a706f9,aug,2019,auto,auto,Ottoville,723.4712328767123,720.0,670.0,30.0,False,False,False
039338b03d16ddfcb271a4baa9cb33c96e1cceca,aug,2019,cool,hold,Cleveland,766.0483870967741,769.3778801843318,769.3778801843318,70.0,False,False,False
0467be946e6649a0b5f992d3b74dce09e64973b4,aug,2019,cool,auto,Mason,765.3888888888889,770.0,770.0,10.0,False,False,False
0467be946e6649a0b5f992d3b74dce09e64973b4,aug,2019,cool,hold,Mason,712.2,700.0,700.0,10.0,False,False,False
047e361f13e6f19a11d59786ab188361590a6542,aug,2019,cool,auto,Mason,748.6142131979695,747.6065989847716,747.2994923857868,40.0,True,False,True
