Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0060e7a0af03651e6426442471e5ff5857f6594a,jun,2017,auto,hold,Ashland,713.438596491228,715.0,665.0,0.0,False,False,False
008fb72df6f08eeb7284d5fa4f148833251ff5e3,jun,2017,auto,hold,Columbus,693.6889306992788,690.7149576669802,640.7149576669802,90.0,False,False,True
009c68a7b26c494e4ebacfae61ef65b502eea795,jun,2017,cool,hold,Worthington,754.8815789473684,741.4473684210526,741.4473684210526,55.0,False,False,False
01193423d765e95e26315c356123ba9f02b6c584,jun,2017,cool,auto,Berea,708.0508474576271,709.9491525423729,699.1796610169491,7.0,False,False,False
01193423d765e95e26315c356123ba9f02b6c584,jun,2017,cool,hold,Berea,709.1262135922331,708.6796116504854,708.4757281553398,7.0,False,False,False
011b43c5a16016373499bcec61b788772b0d7b50,jun,2017,cool,auto,Saint Bernard,727.0334810438208,728.2235352043328,724.768094534712,110.0,False,False,False
011b43c5a16016373499bcec61b788772b0d7b50,jun,2017,cool,hold,Saint Bernard,729.8215423836839,731.0369662205226,731.0369662205226,110.0,False,False,False
01655b343cf71d3b4570fae42cdb717b961a10b8,jun,2017,auto,auto,Hilliard,712.9464285714286,742.8571428571429,691.4285714285714,27.0,False,False,False
016e7f0b54c10c0156112e069c90dedec6be0afa,jun,2017,cool,auto,Columbus,730.1428571428571,778.5714285714286,622.1428571428571,45.0,False,False,False
016e7f0b54c10c0156112e069c90dedec6be0afa,jun,2017,cool,hold,Columbus,720.780487804878,730.020325203252,729.4918699186992,45.0,False,False,False
01d9f0cfe5da6643600a7812c866cdf8900ac495,jun,2017,auto,auto,Amherst,754.0652173913044,820.0,640.0,20.0,False,False,False
01d9f0cfe5da6643600a7812c866cdf8900ac495,jun,2017,cool,auto,Amherst,739.8032786885246,742.8360655737705,640.4262295081967,20.0,False,False,False
01d9f0cfe5da6643600a7812c866cdf8900ac495,jun,2017,cool,hold,Amherst,746.978515625,677.9765625,677.84765625,20.0,False,False,False
01dea9eda7bb26be14d25b749be1b047cccce34b,jun,2017,cool,auto,Amherst,719.0,743.0,630.0,20.0,False,False,False
01dea9eda7bb26be14d25b749be1b047cccce34b,jun,2017,cool,hold,Amherst,708.3867457962414,707.6904055390702,707.5430267062314,20.0,False,False,False
02d135064d9dd3fee7019921e09b5c118f0f16dd,jun,2017,cool,auto,Cleveland,748.4262295081967,741.8360655737705,652.6475409836065,75.0,False,False,False
02d56dc5db1dd238d1587211190b99e62cc2d0b8,jun,2017,cool,hold,Grafton,757.5833333333334,750.8333333333334,750.8333333333334,0.0,True,False,False
04b0a81741deb80fc379dee9e8305983bbfb380a,jun,2017,cool,auto,Loveland,731.6965317919075,738.9421965317919,679.0780346820809,25.0,False,False,False
