Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
01ac10bc02b4056dcba48fe50a960e6423136bee,aug,2018,cool,auto,Lawton,746.3315789473684,744.6684210526316,723.3105263157895,77.0,False,False,False
01ac10bc02b4056dcba48fe50a960e6423136bee,aug,2018,cool,hold,Lawton,743.2549019607843,709.4117647058823,709.4117647058823,77.0,False,False,False
01ed737bc2ddbd804a797b31627ccf113c8d84a5,aug,2018,cool,hold,Oklahoma City,759.2708333333334,761.7458333333333,761.7458333333333,30.0,False,False,False
0211eaf3110e78dbb0c68b5fe4fa17980427b53b,aug,2018,cool,auto,Edmond,719.593670886076,718.8575949367089,718.8575949367089,20.0,False,False,False
0211eaf3110e78dbb0c68b5fe4fa17980427b53b,aug,2018,cool,hold,Edmond,719.578125,720.3375,720.3375,20.0,False,False,False
023b0311cc3479eeedeee327697542ea0e98b263,aug,2018,cool,auto,Broken Arrow,738.887323943662,745.7042253521126,745.5492957746479,40.0,False,False,False
03268a602de07ff76e632d29d6aea52bfdff06cd,aug,2018,cool,hold,Bixby,667.214789812826,667.1825713409021,667.1825713409021,0.0,False,False,False
0397a7f3d16df76b03edeb3439525cad4f1b2729,aug,2018,cool,auto,Midwest City,739.2933333333333,819.92,685.4133333333333,0.0,False,False,False
0397a7f3d16df76b03edeb3439525cad4f1b2729,aug,2018,cool,hold,Midwest City,747.8888888888889,765.7777777777778,764.1111111111111,0.0,False,False,False
03fae025a3b915160c02d5e0c0478206c387d3a8,aug,2018,cool,auto,Oklahoma City,785.8605442176871,787.5680272108843,758.2448979591836,5.0,False,False,False
03fae025a3b915160c02d5e0c0478206c387d3a8,aug,2018,cool,hold,Oklahoma City,823.6101694915254,855.5602140945584,780.8019625334523,5.0,False,False,False
040beb34d735638b826bab3f8edd7d202b29a643,aug,2018,auto,auto,Moore,770.6,680.0,630.0,35.0,False,False,False
043757348c59292de2a957b62f803d46d0a67a14,aug,2018,cool,auto,Edmond,726.5099075297226,730.9696169088508,730.9696169088508,0.0,True,False,True
043757348c59292de2a957b62f803d46d0a67a14,aug,2018,cool,hold,Edmond,721.248492159228,723.6542018496181,723.6542018496181,0.0,True,False,True
0475a0044eeab16403a0c94d70929c4436bf2302,aug,2018,auto,auto,Broken Arrow,752.8928571428571,730.0,710.0,35.0,False,False,False
04b8ae746acf0ee170873d79d56f0796fb50665f,aug,2018,cool,auto,Oklahoma City,778.3826086956522,780.0,750.0,25.0,False,False,False
04b8ae746acf0ee170873d79d56f0796fb50665f,aug,2018,cool,hold,Oklahoma City,773.6481149012567,781.0987432675045,749.9946140035906,25.0,False,False,False
0554ab589fe4d5282d201e5ef210848517a37c1b,aug,2018,auto,auto,Oklahoma City,729.7666666666667,713.2666666666667,650.0,60.0,False,False,False
0554ab589fe4d5282d201e5ef210848517a37c1b,aug,2018,auto,hold,Oklahoma City,733.31456154465,729.7168141592921,650.0,60.0,False,False,False
05e121eab992f97b8a8e8d8146c52404ee04b722,aug,2018,cool,auto,Edmond,730.2876712328767,729.972602739726,729.972602739726,0.0,False,False,True
05e121eab992f97b8a8e8d8146c52404ee04b722,aug,2018,cool,hold,Edmond,726.4131920710868,725.8656869446343,725.8656869446343,0.0,False,False,True
06c77694269fee9ed3c0dabdb4af9437ea7e9b0f,aug,2018,cool,auto,Lawton,742.3272727272728,738.0909090909091,662.4545454545455,47.0,False,False,True
