Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
016488fbfc2122be4ab7bb8e237f6f4a6956574e,aug,2020,auto,auto,Broken Arrow,701.7519379844962,701.5258397932816,619.9664082687339,29.0,True,False,False
016488fbfc2122be4ab7bb8e237f6f4a6956574e,aug,2020,auto,hold,Broken Arrow,712.1705565529624,711.6068222621185,619.9353680430879,29.0,True,False,False
01ac10bc02b4056dcba48fe50a960e6423136bee,aug,2020,cool,auto,Lawton,768.5242718446602,782.0485436893204,775.1650485436893,77.0,False,False,False
01ac10bc02b4056dcba48fe50a960e6423136bee,aug,2020,cool,hold,Lawton,762.1428571428571,730.0,730.0,77.0,False,False,False
01ed737bc2ddbd804a797b31627ccf113c8d84a5,aug,2020,cool,hold,Oklahoma City,755.4251012145749,722.0688259109312,718.9311740890688,30.0,False,False,False
0211eaf3110e78dbb0c68b5fe4fa17980427b53b,aug,2020,cool,auto,Edmond,724.2448979591836,724.0884353741496,723.9183673469388,20.0,False,False,False
0211eaf3110e78dbb0c68b5fe4fa17980427b53b,aug,2020,cool,hold,Edmond,714.6785714285714,713.7105263157895,713.6917293233083,20.0,False,False,False
0224312aad99bbb11f8d10061bb4f3baaea87de6,aug,2020,auto,hold,Tulsa,713.2242990654206,710.4953271028037,660.4953271028037,45.0,False,False,False
023b0311cc3479eeedeee327697542ea0e98b263,aug,2020,cool,auto,Broken Arrow,714.6175115207374,719.8986175115207,729.8110599078341,40.0,False,False,False
023b0311cc3479eeedeee327697542ea0e98b263,aug,2020,cool,hold,Broken Arrow,722.7608695652174,725.4565217391304,728.3478260869565,40.0,False,False,False
02622b3c7a1284f5771378d386c5177eed06f0e3,aug,2020,auto,auto,Oklahoma City,746.3037974683544,740.4050632911392,639.3924050632911,0.0,False,False,True
02cfd2f65ec21abb498029a8bb918bef31a65d40,aug,2020,cool,auto,Salina,761.1734693877551,759.9795918367347,759.9795918367347,20.0,False,False,False
02cfd2f65ec21abb498029a8bb918bef31a65d40,aug,2020,cool,hold,Salina,753.0534759358288,750.8449197860963,750.8422459893048,20.0,False,False,False
03268a602de07ff76e632d29d6aea52bfdff06cd,aug,2020,cool,hold,Bixby,669.9503502893695,669.990252817545,669.9753274444106,0.0,False,False,False
032edc8d347dc8fb8bd34b8690cf48de6263f380,aug,2020,cool,auto,Norman,731.6521739130435,723.3333333333334,723.3333333333334,29.0,False,False,False
032f0c46801b18ccffee8e4b375db93ad5d42301,aug,2020,cool,auto,Tulsa,734.0247718383312,734.0612777053454,733.3194263363755,30.0,False,False,False
032f0c46801b18ccffee8e4b375db93ad5d42301,aug,2020,cool,hold,Tulsa,725.4475703324808,723.8618925831202,723.8618925831202,30.0,False,False,False
033c2ad262deefbe4b36f79f077e67f06c1a844e,aug,2020,cool,auto,Tulsa,721.5277777777778,712.1944444444445,660.3888888888889,0.0,False,False,False
033c2ad262deefbe4b36f79f077e67f06c1a844e,aug,2020,cool,hold,Tulsa,743.0,760.2,748.4,0.0,False,False,False
03fae025a3b915160c02d5e0c0478206c387d3a8,aug,2020,cool,auto,Oklahoma City,780.5304470256951,783.541006687786,728.7856388595565,5.0,False,False,False
03fae025a3b915160c02d5e0c0478206c387d3a8,aug,2020,cool,hold,Oklahoma City,784.1274509803922,788.2156862745098,782.4411764705883,5.0,False,False,False
040beb34d735638b826bab3f8edd7d202b29a643,aug,2020,auto,auto,Moore,748.6,740.0,680.0,35.0,False,False,False
0475a0044eeab16403a0c94d70929c4436bf2302,aug,2020,auto,auto,Broken Arrow,745.8,726.0,660.0,35.0,False,False,False
04b8ae746acf0ee170873d79d56f0796fb50665f,aug,2020,cool,hold,Oklahoma City,766.7058823529412,763.7254901960785,740.0,25.0,False,False,False
0554ab589fe4d5282d201e5ef210848517a37c1b,aug,2020,cool,hold,Oklahoma City,726.9675925925926,721.3888888888889,721.3888888888889,60.0,False,False,False
05c90b93fdc39cd88d50b1f69446ccfbe24e77fd,aug,2020,auto,auto,Oklahoma City,736.6981132075472,743.8867924528302,650.0,9.0,True,False,True
05c90b93fdc39cd88d50b1f69446ccfbe24e77fd,aug,2020,auto,hold,Oklahoma City,725.2222222222222,722.3247863247864,650.0,9.0,True,False,True
05e121eab992f97b8a8e8d8146c52404ee04b722,aug,2020,auto,hold,Edmond,759.919378238342,763.9452849740933,667.2507772020725,0.0,False,False,True
05ec3264d4f5971d0c2f4e7673dac31b774c19ce,aug,2020,cool,hold,Moore,731.9863313285948,735.5385456533625,735.5385456533625,0.0,False,False,False
0700df6a1d2fa5d1db791eb12a48d56942b97a76,aug,2020,auto,auto,Oklahoma City,739.8532110091743,732.9250764525993,664.2951070336392,20.0,False,False,False
0700df6a1d2fa5d1db791eb12a48d56942b97a76,aug,2020,auto,hold,Oklahoma City,748.0888208269525,741.9663093415007,664.594180704441,20.0,False,False,False
0700df6a1d2fa5d1db791eb12a48d56942b97a76,aug,2020,cool,hold,Oklahoma City,744.2380952380952,740.0,670.0,20.0,False,False,False
074dc707d4319fb7fdaf22a8dd45cd8d5cff07b8,aug,2020,cool,auto,Tulsa,758.8181818181819,770.0,770.0,40.0,False,False,False
076fe762a6e0c1bd2edcd4e2e71a6f8cca159fe6,aug,2020,auto,hold,Tulsa,728.3333333333334,722.5677083333334,670.609375,0.0,False,False,False
079b989d4c1c00e34be591b449c998c114a08a8f,aug,2020,cool,auto,Oklahoma City,754.9454545454546,745.8181818181819,741.4545454545455,19.0,True,False,False
079b989d4c1c00e34be591b449c998c114a08a8f,aug,2020,cool,hold,Oklahoma City,761.9217877094972,761.9217877094972,747.4581005586592,19.0,True,False,False
07d9ceed47bb1d393063ee4e9ac0d75962e73bf3,aug,2020,cool,hold,Skiatook,726.6848861283644,731.6028985507246,731.6028985507246,5.0,False,False,False
