Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
01ac10bc02b4056dcba48fe50a960e6423136bee,dec,2018,heat,auto,Lawton,717.5625,753.1875,718.625,77.0,False,False,False
01ed737bc2ddbd804a797b31627ccf113c8d84a5,dec,2018,heat,hold,Oklahoma City,724.7411003236246,731.0113268608415,731.0113268608415,30.0,False,False,False
0211eaf3110e78dbb0c68b5fe4fa17980427b53b,dec,2018,cool,hold,Edmond,711.2558139534884,710.0232558139535,710.0232558139535,20.0,False,False,False
0211eaf3110e78dbb0c68b5fe4fa17980427b53b,dec,2018,heat,auto,Edmond,711.1169977924944,712.4039735099337,712.4039735099337,20.0,False,False,False
0211eaf3110e78dbb0c68b5fe4fa17980427b53b,dec,2018,heat,hold,Edmond,704.4178743961353,703.7342995169082,703.7342995169082,20.0,False,False,False
023b0311cc3479eeedeee327697542ea0e98b263,dec,2018,heat,auto,Broken Arrow,711.5384615384615,712.3846153846154,712.3846153846154,40.0,False,False,False
02622b3c7a1284f5771378d386c5177eed06f0e3,dec,2018,auto,hold,Oklahoma City,680.275,780.0,700.0,0.0,False,False,True
02cfd2f65ec21abb498029a8bb918bef31a65d40,dec,2018,auto,hold,Salina,749.7615384615384,761.5692307692308,729.4923076923077,20.0,False,False,False
03268a602de07ff76e632d29d6aea52bfdff06cd,dec,2018,heat,hold,Bixby,679.914022517912,681.3671102012964,681.3671102012964,0.0,False,False,False
032f0c46801b18ccffee8e4b375db93ad5d42301,dec,2018,auto,auto,Tulsa,698.3655462184873,730.0546218487395,699.890756302521,30.0,False,False,False
032f0c46801b18ccffee8e4b375db93ad5d42301,dec,2018,auto,hold,Tulsa,699.6805555555555,730.25,699.5,30.0,False,False,False
0397a7f3d16df76b03edeb3439525cad4f1b2729,dec,2018,heat,auto,Midwest City,641.5714285714286,650.0238095238095,642.1428571428571,0.0,False,False,False
0397a7f3d16df76b03edeb3439525cad4f1b2729,dec,2018,heat,hold,Midwest City,618.9777777777778,647.6,607.4166666666666,0.0,False,False,False
03fae025a3b915160c02d5e0c0478206c387d3a8,dec,2018,heat,auto,Oklahoma City,713.7400284900285,721.4615384615385,707.5612535612536,5.0,False,False,False
03fae025a3b915160c02d5e0c0478206c387d3a8,dec,2018,heat,hold,Oklahoma City,678.0222222222222,650.0,630.0,5.0,False,False,False
040beb34d735638b826bab3f8edd7d202b29a643,dec,2018,auto,auto,Moore,701.0819672131148,774.0819672131148,705.3852459016393,35.0,False,False,False
040beb34d735638b826bab3f8edd7d202b29a643,dec,2018,auto,hold,Moore,701.3333333333334,795.3333333333334,694.0,35.0,False,False,False
043757348c59292de2a957b62f803d46d0a67a14,dec,2018,cool,auto,Edmond,675.8449612403101,676.1085271317829,676.1085271317829,0.0,True,False,True
043757348c59292de2a957b62f803d46d0a67a14,dec,2018,cool,hold,Edmond,710.25,712.9545454545455,712.9545454545455,0.0,True,False,True
043757348c59292de2a957b62f803d46d0a67a14,dec,2018,heat,auto,Edmond,720.3960674157304,705.7050561797753,705.7050561797753,0.0,True,False,True
