Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0035a5b4899db450684c9e8a69ae5f551baad326,Jan,2021,heat,hold,Edmond,677.536858974359,680.0,680.0,9.0,False,False,False
00460dd38f7e4b4fd2bda68e09f8f054443f2d76,Jan,2021,heat,hold,Moore,683.904,689.192,688.096,9.0,True,False,False
016488fbfc2122be4ab7bb8e237f6f4a6956574e,Jan,2021,auto,hold,Broken Arrow,705.1321428571429,758.8392857142857,703.4142857142857,29.0,True,False,False
01ed737bc2ddbd804a797b31627ccf113c8d84a5,Jan,2021,auto,hold,Oklahoma City,705.8888888888889,760.0,710.0,30.0,False,False,False
0211eaf3110e78dbb0c68b5fe4fa17980427b53b,Jan,2021,heat,hold,Edmond,721.149855907781,721.9654178674351,721.9538904899135,20.0,False,False,False
023b0311cc3479eeedeee327697542ea0e98b263,Jan,2021,auto,hold,Broken Arrow,693.0625,750.0,700.0,40.0,False,False,False
023b0311cc3479eeedeee327697542ea0e98b263,Jan,2021,heat,hold,Broken Arrow,696.4912280701755,728.1578947368421,728.1578947368421,40.0,False,False,False
02cfd2f65ec21abb498029a8bb918bef31a65d40,Jan,2021,heat,hold,Salina,769.0816666666667,767.045,767.045,20.0,False,False,False
03268a602de07ff76e632d29d6aea52bfdff06cd,Jan,2021,heat,hold,Bixby,667.3179916317991,669.9874476987447,669.979079497908,0.0,False,False,False
032edc8d347dc8fb8bd34b8690cf48de6263f380,Jan,2021,heat,hold,Norman,730.7379679144385,736.8983957219251,736.8983957219251,29.0,False,False,False
032f0c46801b18ccffee8e4b375db93ad5d42301,Jan,2021,auto,hold,Tulsa,679.8141135972461,740.0,680.3967297762479,30.0,False,False,False
033c2ad262deefbe4b36f79f077e67f06c1a844e,Jan,2021,auto,hold,Tulsa,667.294964028777,757.1352517985612,672.0489208633094,0.0,False,False,False
0397a7f3d16df76b03edeb3439525cad4f1b2729,Jan,2021,heat,hold,Midwest City,631.8030372756558,636.8844914864243,636.814081914404,0.0,False,False,False
03fae025a3b915160c02d5e0c0478206c387d3a8,Jan,2021,heat,hold,Oklahoma City,716.9257703081232,715.4341736694678,715.4341736694678,5.0,False,False,False
040beb34d735638b826bab3f8edd7d202b29a643,Jan,2021,auto,hold,Moore,729.2325581395348,786.3197674418604,735.7732558139535,35.0,False,False,False
04b8ae746acf0ee170873d79d56f0796fb50665f,Jan,2021,auto,hold,Oklahoma City,705.548951048951,774.6153846153846,705.5769230769231,25.0,False,False,False
0554ab589fe4d5282d201e5ef210848517a37c1b,Jan,2021,heat,hold,Oklahoma City,695.5888888888888,699.2460317460317,699.2460317460317,60.0,False,False,False
05e121eab992f97b8a8e8d8146c52404ee04b722,Jan,2021,auto,hold,Edmond,697.0814863102999,765.0,701.3285528031291,0.0,False,False,True
05e121eab992f97b8a8e8d8146c52404ee04b722,Jan,2021,heat,hold,Edmond,713.1264108352144,715.0474040632054,715.0474040632054,0.0,False,False,True
05ec3264d4f5971d0c2f4e7673dac31b774c19ce,Jan,2021,auto,hold,Moore,765.6495726495726,815.0,765.0,0.0,False,False,False
05ec3264d4f5971d0c2f4e7673dac31b774c19ce,Jan,2021,heat,hold,Moore,770.9643705463183,808.9429928741092,771.0570071258908,0.0,False,False,False
065727a9d276242177c97dbbebbc5e2ebd5a44e0,Jan,2021,auto,hold,Oklahoma City,697.2753623188406,750.0,700.0,0.0,False,False,False
0700df6a1d2fa5d1db791eb12a48d56942b97a76,Jan,2021,auto,hold,Oklahoma City,691.3069620253165,756.7215189873418,691.243670886076,20.0,False,False,False
074dc707d4319fb7fdaf22a8dd45cd8d5cff07b8,Jan,2021,heat,hold,Tulsa,714.5374149659864,720.2176870748299,719.8299319727892,40.0,False,False,False
076fe762a6e0c1bd2edcd4e2e71a6f8cca159fe6,Jan,2021,auto,hold,Tulsa,683.625,730.5,680.0,0.0,False,False,False
079b989d4c1c00e34be591b449c998c114a08a8f,Jan,2021,heat,hold,Oklahoma City,721.6808510638298,730.8510638297872,729.1276595744681,19.0,True,False,False
07d9ceed47bb1d393063ee4e9ac0d75962e73bf3,Jan,2021,heat,hold,Skiatook,684.4975562072336,688.252688172043,688.252688172043,5.0,False,False,False
09308931d715fda8e11c2cfd0f53e79e71e18325,Jan,2021,heat,hold,Forest Park,684.2166666666667,699.6333333333333,699.6333333333333,69.0,True,False,False
09a9098de6a308c91b5d82cac1ac330c12446d98,Jan,2021,auto,hold,Tuttle,632.2666666666667,752.0666666666667,641.4666666666667,70.0,False,False,False
0bd1b5a94a884b14ff0e6d9ab1b4e3dbe4ce9cc8,Jan,2021,heat,hold,Jenks,711.366576819407,709.0242587601078,708.0296495956874,5.0,False,False,False
0c4a4e40d156a88f304679da73e943e564f922ec,Jan,2021,heat,hold,Nichols Hills,668.9876390605687,673.0840543881335,672.1347342398022,66.0,False,False,False
0c77d29ac3404226ae5cf03570905d9b03b806ce,Jan,2021,cool,hold,Norman,662.7,670.0,670.0,30.0,True,False,False
0c77d29ac3404226ae5cf03570905d9b03b806ce,Jan,2021,heat,hold,Norman,644.1795580110497,650.1961325966851,640.1519337016574,30.0,True,False,False
0d3f27c3e98611ca2f2e9bf89103aa2338b02122,Jan,2021,heat,hold,Broken Bow,706.7461629279811,706.8937426210153,706.9161747343566,9.0,True,False,True
0df81e48258a6994c4878de1f8bb8b899be24fd6,Jan,2021,heat,hold,Oklahoma City,698.5789007092199,700.9858156028369,700.9858156028369,59.0,True,False,False
12575d8840be6b74ae363a55ccf587cb1437bb36,Jan,2021,heat,hold,Norman,656.1768292682926,662.5487804878048,661.2032520325204,55.0,False,False,False
129481ff85aa61c1b7bef570e3799780160ebca7,Jan,2021,heat,hold,Elgin,694.1111111111111,700.0,700.0,30.0,False,False,False
1328d487e10e0a2386ce83a81685fadc544af94c,Jan,2021,heat,hold,Del City,693.6363636363636,703.6363636363636,701.0,0.0,False,False,False
13b456252d97924bcae01226b1afee9975262807,Jan,2021,auto,hold,Oklahoma City,717.4491163924437,749.1413772090189,729.1413772090189,59.0,True,False,False
