Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0035a5b4899db450684c9e8a69ae5f551baad326,jul,2020,cool,auto,Edmond,709.7907869481766,710.0009596928983,709.9961612284069,9.0,False,False,False
016488fbfc2122be4ab7bb8e237f6f4a6956574e,jul,2020,auto,auto,Broken Arrow,706.3111111111111,704.893567251462,619.978947368421,29.0,True,False,False
016488fbfc2122be4ab7bb8e237f6f4a6956574e,jul,2020,auto,hold,Broken Arrow,710.0855704697987,707.5771812080537,619.8624161073825,29.0,True,False,False
01ac10bc02b4056dcba48fe50a960e6423136bee,jul,2020,cool,auto,Lawton,751.1764705882352,750.5294117647059,748.1764705882352,77.0,False,False,False
01ed737bc2ddbd804a797b31627ccf113c8d84a5,jul,2020,cool,hold,Oklahoma City,775.4273858921161,769.5394190871369,749.7178423236514,30.0,False,False,False
0211eaf3110e78dbb0c68b5fe4fa17980427b53b,jul,2020,cool,auto,Edmond,716.4304932735427,713.4618834080718,713.2466367713005,20.0,False,False,False
0211eaf3110e78dbb0c68b5fe4fa17980427b53b,jul,2020,cool,hold,Edmond,723.491935483871,723.366935483871,721.383064516129,20.0,False,False,False
0224312aad99bbb11f8d10061bb4f3baaea87de6,jul,2020,auto,auto,Tulsa,700.4888888888889,700.1555555555556,650.1555555555556,45.0,False,False,False
0224312aad99bbb11f8d10061bb4f3baaea87de6,jul,2020,auto,hold,Tulsa,701.9824561403509,700.1754385964912,650.1754385964912,45.0,False,False,False
023b0311cc3479eeedeee327697542ea0e98b263,jul,2020,cool,auto,Broken Arrow,749.0237154150198,745.8656126482214,661.6324110671936,40.0,False,False,False
023b0311cc3479eeedeee327697542ea0e98b263,jul,2020,cool,hold,Broken Arrow,721.2258064516129,720.0,729.9677419354839,40.0,False,False,False
02622b3c7a1284f5771378d386c5177eed06f0e3,jul,2020,auto,auto,Oklahoma City,764.25,752.5,640.0,0.0,False,False,True
02cfd2f65ec21abb498029a8bb918bef31a65d40,jul,2020,cool,hold,Salina,760.1652661064426,757.1022408963586,757.1022408963586,20.0,False,False,False
03268a602de07ff76e632d29d6aea52bfdff06cd,jul,2020,cool,auto,Bixby,710.6687697160884,713.9652996845426,713.9652996845426,0.0,False,False,False
03268a602de07ff76e632d29d6aea52bfdff06cd,jul,2020,cool,hold,Bixby,679.1713973799127,679.4119359534207,679.4035662299855,0.0,False,False,False
032edc8d347dc8fb8bd34b8690cf48de6263f380,jul,2020,cool,auto,Norman,746.1960784313726,740.0,640.0,29.0,False,False,False
032f0c46801b18ccffee8e4b375db93ad5d42301,jul,2020,cool,auto,Tulsa,729.2866666666666,726.0,726.0,30.0,False,False,False
032f0c46801b18ccffee8e4b375db93ad5d42301,jul,2020,cool,hold,Tulsa,736.5498442367601,734.7663551401869,734.7663551401869,30.0,False,False,False
033c2ad262deefbe4b36f79f077e67f06c1a844e,jul,2020,cool,auto,Tulsa,758.1666666666666,771.1481481481482,650.0,0.0,False,False,False
03fae025a3b915160c02d5e0c0478206c387d3a8,jul,2020,cool,auto,Oklahoma City,781.58118498417,783.5753052917232,727.3677069199457,5.0,False,False,False
03fae025a3b915160c02d5e0c0478206c387d3a8,jul,2020,cool,hold,Oklahoma City,786.2502744237102,787.5203073545555,783.1756311745335,5.0,False,False,False
040beb34d735638b826bab3f8edd7d202b29a643,jul,2020,auto,auto,Moore,749.5747126436781,767.1494252873563,712.6666666666666,35.0,False,False,False
040beb34d735638b826bab3f8edd7d202b29a643,jul,2020,auto,hold,Moore,751.6,772.8,694.8,35.0,False,False,False
0475a0044eeab16403a0c94d70929c4436bf2302,jul,2020,auto,hold,Broken Arrow,757.4444444444445,720.0,700.0,35.0,False,False,False
04b8ae746acf0ee170873d79d56f0796fb50665f,jul,2020,cool,hold,Oklahoma City,772.5460750853242,775.2116040955632,740.0,25.0,False,False,False
0554ab589fe4d5282d201e5ef210848517a37c1b,jul,2020,cool,hold,Oklahoma City,743.4589371980676,740.8743961352657,740.8743961352657,60.0,False,False,False
05c90b93fdc39cd88d50b1f69446ccfbe24e77fd,jul,2020,auto,auto,Oklahoma City,730.2284644194757,737.1198501872659,646.7265917602996,9.0,True,False,True
05c90b93fdc39cd88d50b1f69446ccfbe24e77fd,jul,2020,auto,hold,Oklahoma City,737.4444444444445,756.6995884773662,650.0,9.0,True,False,True
05e121eab992f97b8a8e8d8146c52404ee04b722,jul,2020,auto,hold,Edmond,758.3061605476042,760.8106202032774,675.0,0.0,False,False,True
05ec3264d4f5971d0c2f4e7673dac31b774c19ce,jul,2020,cool,auto,Moore,735.7513513513513,740.2243243243244,789.9162162162162,0.0,False,False,False
05ec3264d4f5971d0c2f4e7673dac31b774c19ce,jul,2020,cool,hold,Moore,741.0018773466834,740.4255319148937,740.4255319148937,0.0,False,False,False
065727a9d276242177c97dbbebbc5e2ebd5a44e0,jul,2020,auto,hold,Oklahoma City,744.4895020995801,745.2093581283743,669.8920215956808,0.0,False,False,False
0700df6a1d2fa5d1db791eb12a48d56942b97a76,jul,2020,auto,auto,Oklahoma City,742.1494252873563,734.8390804597701,663.1034482758621,20.0,False,False,False
0700df6a1d2fa5d1db791eb12a48d56942b97a76,jul,2020,auto,hold,Oklahoma City,749.1607006854532,742.7905559786748,663.9771515613099,20.0,False,False,False
074dc707d4319fb7fdaf22a8dd45cd8d5cff07b8,jul,2020,cool,hold,Tulsa,732.1142857142858,730.0,730.0,40.0,False,False,False
076fe762a6e0c1bd2edcd4e2e71a6f8cca159fe6,jul,2020,auto,auto,Tulsa,749.8427205100957,753.0967056323061,668.3857598299682,0.0,False,False,False
076fe762a6e0c1bd2edcd4e2e71a6f8cca159fe6,jul,2020,auto,hold,Tulsa,727.8359303391384,726.7002749770852,671.8386801099908,0.0,False,False,False
079b989d4c1c00e34be591b449c998c114a08a8f,jul,2020,cool,hold,Oklahoma City,759.6567901234567,763.6617283950617,748.4123456790123,19.0,True,False,False
07d9ceed47bb1d393063ee4e9ac0d75962e73bf3,jul,2020,cool,hold,Skiatook,725.6902985074627,726.8308457711443,726.8308457711443,5.0,False,False,False
09308931d715fda8e11c2cfd0f53e79e71e18325,jul,2020,cool,auto,Forest Park,736.7619047619048,725.8571428571429,725.8571428571429,69.0,True,False,False
09308931d715fda8e11c2cfd0f53e79e71e18325,jul,2020,cool,hold,Forest Park,740.735524256651,724.2785602503913,724.0266040688576,69.0,True,False,False
09a9098de6a308c91b5d82cac1ac330c12446d98,jul,2020,cool,auto,Tuttle,747.4444444444445,760.7777777777778,611.7777777777778,70.0,False,False,False
09a9098de6a308c91b5d82cac1ac330c12446d98,jul,2020,cool,hold,Tuttle,741.4473684210526,742.1421052631579,700.0,70.0,False,False,False
0a14883a8dfb9d20be1f929e6838801b38033eb5,jul,2020,auto,auto,Lawton,685.8571428571429,684.4285714285714,626.0,35.0,False,False,False
0a14883a8dfb9d20be1f929e6838801b38033eb5,jul,2020,auto,hold,Lawton,704.9746949841843,695.8499774062359,629.5490284681428,35.0,False,False,False
0bd1b5a94a884b14ff0e6d9ab1b4e3dbe4ce9cc8,jul,2020,cool,hold,Jenks,719.7627118644068,715.0,715.0,5.0,False,False,False
