Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00460dd38f7e4b4fd2bda68e09f8f054443f2d76,jul,2021,cool,hold,Moore,707.2209302325581,716.5697674418604,714.6162790697674,9.0,True,False,False
016488fbfc2122be4ab7bb8e237f6f4a6956574e,jul,2021,auto,hold,Broken Arrow,699.9753787878788,698.3181818181819,643.469696969697,29.0,True,False,False
023b0311cc3479eeedeee327697542ea0e98b263,jul,2021,cool,hold,Broken Arrow,719.8035714285714,700.1285714285714,700.1285714285714,40.0,False,False,False
02cfd2f65ec21abb498029a8bb918bef31a65d40,jul,2021,cool,hold,Salina,756.2606837606837,754.4615384615385,754.4615384615385,20.0,False,False,False
03268a602de07ff76e632d29d6aea52bfdff06cd,jul,2021,cool,hold,Bixby,668.317136659436,669.0390455531453,668.9921908893709,0.0,False,False,False
032f0c46801b18ccffee8e4b375db93ad5d42301,jul,2021,auto,hold,Tulsa,722.3164961636828,720.0511508951406,670.0,30.0,False,False,False
033c2ad262deefbe4b36f79f077e67f06c1a844e,jul,2021,auto,hold,Tulsa,730.2857142857143,720.5714285714286,662.0,0.0,False,False,False
033c2ad262deefbe4b36f79f077e67f06c1a844e,jul,2021,cool,hold,Tulsa,762.468085106383,763.7446808510638,763.7446808510638,0.0,False,False,False
0397a7f3d16df76b03edeb3439525cad4f1b2729,jul,2021,cool,hold,Midwest City,730.9802469135802,724.6271604938272,724.6271604938272,0.0,False,False,False
043757348c59292de2a957b62f803d46d0a67a14,jul,2021,auto,hold,Edmond,737.7427821522309,737.0944881889764,663.6918635170604,0.0,True,False,True
0475a0044eeab16403a0c94d70929c4436bf2302,jul,2021,cool,hold,Broken Arrow,739.0595238095239,740.0,740.0,35.0,False,False,False
04b8ae746acf0ee170873d79d56f0796fb50665f,jul,2021,auto,hold,Oklahoma City,751.7272727272727,750.7878787878788,700.7878787878788,25.0,False,False,False
0554ab589fe4d5282d201e5ef210848517a37c1b,jul,2021,cool,hold,Oklahoma City,747.7945041816009,748.5292712066905,748.2831541218638,60.0,False,False,False
05e121eab992f97b8a8e8d8146c52404ee04b722,jul,2021,auto,hold,Edmond,743.0718232044198,741.3517495395948,690.2845303867404,0.0,False,False,True
05ec3264d4f5971d0c2f4e7673dac31b774c19ce,jul,2021,cool,hold,Moore,778.4810849393291,780.0,780.0,0.0,False,False,False
0700df6a1d2fa5d1db791eb12a48d56942b97a76,jul,2021,auto,hold,Oklahoma City,732.8154034229829,730.916870415648,663.9743276283618,20.0,False,False,False
079b989d4c1c00e34be591b449c998c114a08a8f,jul,2021,auto,hold,Oklahoma City,743.4166666666666,730.0416666666666,680.0416666666666,19.0,True,False,False
079b989d4c1c00e34be591b449c998c114a08a8f,jul,2021,cool,hold,Oklahoma City,748.012987012987,744.6155844155844,740.1558441558442,19.0,True,False,False
07d9ceed47bb1d393063ee4e9ac0d75962e73bf3,jul,2021,cool,hold,Skiatook,733.182381584772,733.0,733.0,5.0,False,False,False
09308931d715fda8e11c2cfd0f53e79e71e18325,jul,2021,cool,hold,Forest Park,735.8333333333334,734.2,726.6333333333333,69.0,True,False,False
09a9098de6a308c91b5d82cac1ac330c12446d98,jul,2021,auto,hold,Tuttle,724.1304347826087,730.0,612.0,70.0,False,False,False
09c43a5fec14b8459dd8459048d4d7061f3950ca,jul,2021,cool,hold,Oklahoma City,728.4325842696629,731.7247191011236,731.2528089887641,5.0,True,False,False
