Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00b089459452edc92a0469d6ea9d74767924f3f5,aug,2018,cool,hold,Beaverton,716.8,717.6,710.4,25.0,True,False,False
00bc4f328673432b1fd2fff05c6a88a846f61605,aug,2018,heat,hold,Portland,699.6673097534834,650.0,450.0,20.0,False,False,False
01c0bcfb93290263ebf006f82169f776b9d2ba2f,aug,2018,auto,auto,Portland,695.762157382847,721.6741821396994,658.1710875331565,0.0,False,False,False
01c0bcfb93290263ebf006f82169f776b9d2ba2f,aug,2018,auto,hold,Portland,686.9294871794872,730.0,680.0,0.0,False,False,False
0309a5c9d3ef4434a4c8b06d25d2d6889313c8c9,aug,2018,auto,auto,Beaverton,712.4333333333333,779.9333333333333,679.9,45.0,False,False,False
03caad454a66062fc56b9128d6de2ca5ae4b7996,aug,2018,cool,auto,Portland,715.5816532258065,720.835685483871,720.6532258064516,5.0,False,False,False
03caad454a66062fc56b9128d6de2ca5ae4b7996,aug,2018,cool,hold,Portland,722.4140350877193,731.5438596491229,731.5438596491229,5.0,False,False,False
03d7cec2a3aaa04053a4b80455e24ca34d6279e4,aug,2018,heat,hold,Oregon City,723.4321955719557,650.0,600.0,60.0,False,False,False
03e0dc8c87a567847b55767330f44332abcb2814,aug,2018,cool,hold,Happy Valley,671.0823008849558,695.0769911504425,695.0738938053097,10.0,False,False,False
03e6922deaea537164d7628fe5e5c0515d3db20c,aug,2018,cool,auto,Gresham,691.5588235294117,712.5882352941177,680.0,15.0,False,False,False
03e6922deaea537164d7628fe5e5c0515d3db20c,aug,2018,cool,hold,Gresham,686.3894230769231,705.6730769230769,680.7211538461538,15.0,False,False,False
047b28efb7e25df6649b59da503015e770775700,aug,2018,cool,auto,Portland,767.543795620438,780.0,780.0,10.0,False,False,False
047b28efb7e25df6649b59da503015e770775700,aug,2018,cool,hold,Portland,729.3754940711462,786.9881422924901,786.9565217391304,10.0,False,False,False
04d22fd8788aa3fd9458991251395cfacc317363,aug,2018,auto,auto,Portland,752.375,738.0416666666666,688.0416666666666,15.0,True,False,True
04d22fd8788aa3fd9458991251395cfacc317363,aug,2018,auto,hold,Portland,724.0612244897959,715.5510204081633,665.5510204081633,15.0,True,False,True
04fac6711e3ad53990eebc8a7d198052deb2a9b1,aug,2018,auto,auto,Hood River,729.9414024975985,779.3659942363113,685.4755043227666,0.0,False,False,False
0624dc8fec23932f314f9e0f97a6c7fb059446b2,aug,2018,auto,hold,Portland,714.9751157407408,764.4537037037037,664.7743055555555,0.0,False,False,False
06fda20645454422c9e730f491189245c10bd9ef,aug,2018,auto,hold,Eugene,735.8,780.0,630.0,60.0,False,False,True
094ffb89ce08f49ab9b329257a31f9259a3cb9ca,aug,2018,cool,auto,Lake Oswego,661.3595068137573,672.8293316028553,672.8293316028553,10.0,False,False,False
094ffb89ce08f49ab9b329257a31f9259a3cb9ca,aug,2018,cool,hold,Lake Oswego,665.00878293601,675.9322459222083,675.9322459222083,10.0,False,False,False
09602e7a1233f497f1a26cd05a0f74512d61a8b9,aug,2018,cool,auto,Lake Oswego,716.6428571428571,710.8928571428571,710.4761904761905,35.0,False,False,False
096f5ef37bed4cfdf51c0acaab16af2eee264400,aug,2018,auto,hold,Hillsboro,680.2424242424242,670.0,620.0,37.0,False,False,False
096f5ef37bed4cfdf51c0acaab16af2eee264400,aug,2018,cool,hold,Hillsboro,687.2923076923076,701.4615384615385,701.4615384615385,37.0,False,False,False
0a0539168d37eb246885f0b325ff72b822c0940a,aug,2018,cool,auto,Portland,727.605026929982,737.4129263913824,737.359066427289,50.0,False,False,False
0a0539168d37eb246885f0b325ff72b822c0940a,aug,2018,cool,hold,Portland,736.3403298350825,740.9175412293853,740.9130434782609,50.0,False,False,False
0aacb55b58d84313246fc05942f35eea16941e00,aug,2018,cool,hold,Dallas,695.6172248803828,700.0,700.0,5.0,False,False,False
0b199be64c7c17d15c2eee2645be87cf3a143600,aug,2018,cool,hold,Corvallis,752.8217391304348,760.0,690.0,15.0,True,False,True
0d0cf9141a32e41f86fe6fd7539c44bdfb535d74,aug,2018,heat,auto,Coos Bay,662.8181818181819,680.3636363636364,671.3636363636364,75.0,True,False,True
0d0cf9141a32e41f86fe6fd7539c44bdfb535d74,aug,2018,heat,hold,Coos Bay,677.8064516129032,682.3087557603686,682.3087557603686,75.0,True,False,True
0d667d150228d251387200a688c7c4aa2786d169,aug,2018,auto,auto,Portland,716.5532734274711,716.007702182285,629.0115532734275,90.0,False,False,False
0d667d150228d251387200a688c7c4aa2786d169,aug,2018,auto,hold,Portland,713.5659163987139,707.9453376205788,653.972347266881,90.0,False,False,False
0df153f90a6180a342e35588dd350b2a96ba0118,aug,2018,auto,auto,Albany,711.4444444444445,700.0,650.0,50.0,False,False,False
0e4399d6d65a4b4354c98f4db556043fa1ae04f4,aug,2018,heat,hold,Portland,670.6881355932203,650.0,550.0,10.0,False,False,False
0f6950236a3fc5e05032d841d5e3dd47e144ef02,aug,2018,cool,auto,PORTLAND,738.5492957746479,775.2887323943662,650.0,7.0,False,False,True
0f6950236a3fc5e05032d841d5e3dd47e144ef02,aug,2018,cool,hold,PORTLAND,781.0,817.9583333333334,786.2083333333334,7.0,False,False,True
0f847b6ef57c5f44de2f11e09362419fb496573a,aug,2018,cool,auto,Bend,746.0192307692307,754.7371794871794,754.7371794871794,20.0,False,False,False
0f847b6ef57c5f44de2f11e09362419fb496573a,aug,2018,cool,hold,Bend,742.0585585585585,744.2936936936937,744.1036036036036,20.0,False,False,False
0fe5174871ba03a2ac87a3c98f52e4ad57f666ee,aug,2018,auto,auto,Medford,714.5106888361045,720.0,620.0,10.0,False,False,False
114702ca6a8da3f42947dd25a6d56a0e60c41541,aug,2018,cool,hold,Central point,728.75,720.875,695.875,55.0,False,False,False
118eef954068f4429c119ad7be1cb0b90516b7df,aug,2018,auto,hold,Forest Grove,668.4694533762058,654.7395498392283,508.3022508038585,25.0,False,False,False
118eef954068f4429c119ad7be1cb0b90516b7df,aug,2018,cool,hold,Forest Grove,656.5833333333334,650.0,530.0,25.0,False,False,False
140c97613d5f38a079bf01f675249f8f13f28f95,aug,2018,cool,hold,Portland,751.5227272727273,747.4772727272727,745.7045454545455,0.0,False,False,True
1596049f71ba20edceddd62628d1c61a4ebaf0d1,aug,2018,cool,auto,Troutdale,737.7724358974359,763.75,710.0,47.0,False,False,False
1596049f71ba20edceddd62628d1c61a4ebaf0d1,aug,2018,cool,hold,Troutdale,729.3440170940171,765.0,710.0,47.0,False,False,False
15ce169da6a35cce3583d281c7a693d182f6501d,aug,2018,auto,auto,Portland,728.6,820.0,680.0,0.0,False,False,False
15ce169da6a35cce3583d281c7a693d182f6501d,aug,2018,auto,hold,Portland,737.0,696.0,632.0,0.0,False,False,False
1703977c73a4302f37334edbcd1d75b160490158,aug,2018,auto,auto,Hillsboro,727.6530612244898,775.9387755102041,659.5102040816327,20.0,False,False,False
1703977c73a4302f37334edbcd1d75b160490158,aug,2018,auto,hold,Hillsboro,695.5176470588235,700.0588235294117,642.7411764705882,20.0,False,False,False
17922005043fce5fe0316d6e899617614bd6622c,aug,2018,cool,auto,portland,738.5994641661085,747.4065639651708,747.4065639651708,0.0,False,False,False
17922005043fce5fe0316d6e899617614bd6622c,aug,2018,cool,hold,portland,736.7868852459017,760.0,760.0,0.0,False,False,False
17922005043fce5fe0316d6e899617614bd6622c,aug,2018,heat,auto,portland,733.7114093959732,730.2013422818792,730.2013422818792,0.0,False,False,False
191b0361a17bd7568ee701635aa815c690e9fcdc,aug,2018,auto,auto,Lake Oswego,734.7391304347826,726.0869565217391,660.0,15.0,False,False,False
191b0361a17bd7568ee701635aa815c690e9fcdc,aug,2018,auto,hold,Lake Oswego,735.080459770115,729.8850574712644,660.0,15.0,False,False,False
19c46bf834f7bcd2bc72ec5b08fc4eb2c7be226a,aug,2018,heat,hold,Portland,746.5842839036756,650.0,650.0,70.0,False,False,False
