Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
006b3b1d03de005725492594b7733c3ef67d7dfe,Jan,2018,heat,hold,Oregon City,693.1875,701.875,695.1875,20.0,False,False,False
00bc4f328673432b1fd2fff05c6a88a846f61605,Jan,2018,heat,auto,Portland,637.3,650.06,640.08,20.0,False,False,False
00bc4f328673432b1fd2fff05c6a88a846f61605,Jan,2018,heat,hold,Portland,626.9841822208163,653.3600126542234,617.8677633660234,20.0,False,False,False
03caad454a66062fc56b9128d6de2ca5ae4b7996,Jan,2018,heat,auto,Portland,688.7831325301205,690.9638554216867,690.9638554216867,5.0,False,False,False
03d7cec2a3aaa04053a4b80455e24ca34d6279e4,Jan,2018,heat,auto,Oregon City,646.4,663.4,653.7,60.0,False,False,False
03d7cec2a3aaa04053a4b80455e24ca34d6279e4,Jan,2018,heat,hold,Oregon City,677.6335877862596,678.8396946564885,678.5801526717557,60.0,False,False,False
0624dc8fec23932f314f9e0f97a6c7fb059446b2,Jan,2018,auto,hold,Portland,699.4015151515151,757.5,702.5,0.0,False,False,False
0624dc8fec23932f314f9e0f97a6c7fb059446b2,Jan,2018,heat,auto,Portland,658.234375,770.0,770.0,0.0,False,False,False
0624dc8fec23932f314f9e0f97a6c7fb059446b2,Jan,2018,heat,hold,Portland,707.7860606060606,710.4,710.4,0.0,False,False,False
0866b190e8961b21ae672875ce62b417469cb04c,Jan,2018,heat,auto,Portland,698.1320754716982,700.2620545073376,699.9559748427673,20.0,False,False,False
0866b190e8961b21ae672875ce62b417469cb04c,Jan,2018,heat,hold,Portland,653.1897637795275,682.9047244094488,654.5551181102362,20.0,False,False,False
099d727a71f6df3adc1add16bab7358831990e2c,Jan,2018,heat,hold,Portland,667.5,780.0,670.0,100.0,False,False,False
0a0539168d37eb246885f0b325ff72b822c0940a,Jan,2018,heat,auto,Portland,669.3333333333334,678.8888888888889,674.4444444444445,50.0,False,False,False
0aacb55b58d84313246fc05942f35eea16941e00,Jan,2018,auto,hold,Dallas,681.6941580756014,743.7113402061856,682.1288659793814,5.0,False,False,False
0ac6bac9204c9aff1cb8ce5a65258f0ad6748702,Jan,2018,auto,auto,Clackamas,671.0,730.0,680.0,25.0,False,False,True
0ac6bac9204c9aff1cb8ce5a65258f0ad6748702,Jan,2018,auto,hold,Clackamas,684.0,740.0,690.0,25.0,False,False,True
0aff37a2091e1b903eba5064498f5a0217d233d7,Jan,2018,auto,auto,tigard,623.1867219917012,800.2489626556016,609.0622406639004,0.0,False,False,True
0aff37a2091e1b903eba5064498f5a0217d233d7,Jan,2018,auto,hold,tigard,673.5369649805448,791.828793774319,618.8093385214008,0.0,False,False,True
0ba3a295c43ad476a135651e21cd2bc1a8659fd9,Jan,2018,auto,auto,Grants Pass,656.0,690.0,630.0,40.0,True,False,True
0ba3a295c43ad476a135651e21cd2bc1a8659fd9,Jan,2018,heat,auto,Grants Pass,659.9166666666666,780.1666666666666,669.8333333333334,40.0,True,False,True
