Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
001540b162bef02b1e52f9a93e03625d9f2492f6,aug,2017,cool,hold,Tredyffrin,722.392006149116,720.7186779400461,720.7186779400461,65.0,False,False,True
011de1ca8e0ee82d48ca2ac4cb1c182657d50248,aug,2017,cool,auto,Upper Nazareth,758.8759825327511,797.4323144104803,748.1484716157205,0.0,False,False,False
011de1ca8e0ee82d48ca2ac4cb1c182657d50248,aug,2017,cool,hold,Upper Nazareth,743.0804270462634,747.9430604982207,747.9387900355872,0.0,False,False,False
0212f695761a719f8afa5ac8c450a099acec98ba,aug,2017,auto,hold,pottstown,731.6285714285714,730.2571428571429,680.2571428571429,20.0,False,False,False
025a1d00df108f951005ee0dfe2539d4732aaeaa,aug,2017,auto,hold,Exton,686.0984340044743,689.3557046979865,630.0,30.0,False,False,False
026ffacea3323f9111e96fd1ad3040e137a2586f,aug,2017,auto,hold,Pittsburgh,747.4405705229794,756.9160063391442,704.9160063391442,0.0,False,False,False
0381a75c972946090ff0a60087a08b7273757660,aug,2017,cool,auto,Conshohocken,751.193929173693,807.8920741989882,646.0101180438448,0.0,False,False,False
0381a75c972946090ff0a60087a08b7273757660,aug,2017,cool,hold,Conshohocken,728.8135593220339,730.4915254237288,729.4237288135594,0.0,False,False,False
04b6d0a79d9a74c4d181b2c92cc3f44abddb77d1,aug,2017,cool,auto,Dover township,736.8774459320289,762.3774459320289,686.9170957775489,10.0,False,False,False
04c34a0525d98efc776a7b5aebbf184435b7b09c,aug,2017,cool,hold,Pittsburgh,768.0,711.0,706.0,0.0,True,False,False
065afa804b4d81c577322ae84a184610baf15f75,aug,2017,cool,auto,Northampton,736.6315789473684,769.2631578947369,641.4736842105264,40.0,True,False,True
065afa804b4d81c577322ae84a184610baf15f75,aug,2017,cool,hold,Northampton,743.5714285714286,740.4285714285714,737.4285714285714,40.0,True,False,True
0731df1b1313e27a9575017fc7bdaaf71c6410eb,aug,2017,cool,auto,Berwyn,682.8471834913553,682.6887897378695,701.7757947573898,0.0,False,False,False
0731df1b1313e27a9575017fc7bdaaf71c6410eb,aug,2017,cool,hold,Berwyn,695.068141063957,695.5505080693365,695.5552898983861,0.0,False,False,False
0736ae99256bb3ed251f9f1f8fd9ae4ed126735a,aug,2017,auto,hold,Philadelphia,732.0252100840336,735.4201680672269,680.0,10.0,False,False,False
07f9557a6652e90d2f4bedf481dabb6a57ba4b6d,aug,2017,auto,auto,Manor,725.623595505618,727.7022471910112,675.6797752808989,10.0,False,False,False
07f9557a6652e90d2f4bedf481dabb6a57ba4b6d,aug,2017,auto,hold,Manor,720.5555555555555,715.0,665.0,10.0,False,False,False
08e9e261af041545fae7b7b72d94f212a6e144e4,aug,2017,auto,hold,Ohio,733.9055118110236,743.1496062992126,670.1968503937007,15.0,False,False,False
09be84cca0ff800925fa4a4525100d64a4143f97,aug,2017,auto,hold,Lower Nazareth,730.0631578947368,726.7473684210527,670.0,5.0,False,False,False
0a5182937ec7310756b2b7eddb7fac285a253845,aug,2017,auto,hold,Port Matilda,741.0892857142857,746.5,677.9107142857143,20.0,False,False,False
0ab45836ba01d92f6dbcf3b5b4bfe99da5ce2202,aug,2017,auto,auto,Breinigsville,734.0353535353536,737.0909090909091,660.0,110.0,False,False,True
0ab45836ba01d92f6dbcf3b5b4bfe99da5ce2202,aug,2017,auto,hold,Breinigsville,721.6981627296587,730.0,660.0,110.0,False,False,True
0b5682ae1bcfcafda610762f2ec6d6cdfdec99ea,aug,2017,cool,hold,McKees Rocks,728.1394557823129,750.204081632653,750.204081632653,95.0,False,False,True
0b9318060646029fea76351ba2ea614a0daf46ca,aug,2017,cool,auto,Pottstown,756.7658924205379,768.1723716381418,777.1974327628362,0.0,False,False,False
