Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
000cb4018ac842aa5428402d14cccb4c63045d08,Jan,2019,heat,hold,Middletown,647.7089947089947,650.2380952380952,650.0687830687831,27.0,False,False,True
001540b162bef02b1e52f9a93e03625d9f2492f6,Jan,2019,heat,hold,Tredyffrin,647.1458333333334,651.1488095238095,649.7113095238095,65.0,False,False,True
00620863110b307e9cdc373f003669f9cba85c0c,Jan,2019,auto,auto,North Versailles,671.925925925926,750.0,650.2592592592592,55.0,False,False,False
00620863110b307e9cdc373f003669f9cba85c0c,Jan,2019,auto,hold,North Versailles,688.4941176470588,759.2941176470588,693.7647058823529,55.0,False,False,False
00b97585fab6a6deacb8a76a9a621e8d6fd528a5,Jan,2019,auto,hold,McCandless,705.8528138528138,760.0,710.0,50.0,False,False,False
00b97585fab6a6deacb8a76a9a621e8d6fd528a5,Jan,2019,heat,auto,McCandless,695.4307692307692,742.0,701.2307692307693,50.0,False,False,False
00b97585fab6a6deacb8a76a9a621e8d6fd528a5,Jan,2019,heat,hold,McCandless,690.0425531914893,707.8723404255319,707.8723404255319,50.0,False,False,False
00d3229e677e0a650cf7a9d519737bbe6671e875,Jan,2019,heat,auto,Glen Mills,711.7735849056604,710.6792452830189,710.6686320754717,0.0,False,False,False
00d3229e677e0a650cf7a9d519737bbe6671e875,Jan,2019,heat,hold,Glen Mills,710.0170648464164,706.9522184300341,706.9470989761093,0.0,False,False,False
011de1ca8e0ee82d48ca2ac4cb1c182657d50248,Jan,2019,heat,auto,Upper Nazareth,670.9379407616361,670.6911142454161,669.62341325811,0.0,False,False,False
011de1ca8e0ee82d48ca2ac4cb1c182657d50248,Jan,2019,heat,hold,Upper Nazareth,672.1283582089552,671.9897654584222,671.8430703624733,0.0,False,False,False
014fa9fc91ac8d78a3075f1be46dcf6aaa369a66,Jan,2019,heat,hold,Philadelphia,677.8171641791045,701.070895522388,700.9925373134329,120.0,True,False,False
01d94262cc45c678f8c3b8fb8c9f0cdd258b9e01,Jan,2019,heat,auto,Hampden,698.1527777777778,694.1666666666666,688.3333333333334,50.0,False,False,False
01e6fbdf0f41c0c2c75f9edabef9d0644458d7af,Jan,2019,heat,hold,Lititz,684.8717948717949,699.8717948717949,689.1025641025641,25.0,True,False,False
0236a2992f6bb3a6c3369d8485cb0f6063a7efd8,Jan,2019,auto,hold,Northampton,606.5833333333334,783.25,614.0833333333334,40.0,True,False,True
02393d54ff378618d620ff60f658ab1f8f3f4b70,Jan,2019,heat,auto,Cabot,667.76,670.0311111111112,670.0311111111112,10.0,False,False,False
