Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
001540b162bef02b1e52f9a93e03625d9f2492f6,jul,2020,cool,hold,Tredyffrin,685.8473227206946,680.0,680.0,65.0,False,False,True
00515d3e37ac262d6d051418258875bd68992674,jul,2020,auto,auto,Schwenksville,734.8461538461538,725.3846153846154,660.0,0.0,False,False,False
00620863110b307e9cdc373f003669f9cba85c0c,jul,2020,cool,auto,North Versailles,744.68125,744.75,700.0,55.0,False,False,False
00ae320f0e8a0bffe1cc1c8b86ec914a5f8fd7ff,jul,2020,cool,auto,Laureldale,748.4696356275304,755.5222672064777,668.3562753036438,10.0,False,False,False
00d3229e677e0a650cf7a9d519737bbe6671e875,jul,2020,cool,auto,Glen Mills,712.8932874354562,685.540447504303,685.540447504303,0.0,False,False,False
00d3229e677e0a650cf7a9d519737bbe6671e875,jul,2020,cool,hold,Glen Mills,722.8097345132743,695.7743362831858,695.6526548672566,0.0,False,False,False
00e93bc001e04e520d19022d81d83aec1da39e17,jul,2020,auto,auto,Kutztown,717.7399557102183,715.6991458399241,650.0,9.0,True,False,True
00e93bc001e04e520d19022d81d83aec1da39e17,jul,2020,auto,hold,Kutztown,725.3389037433155,723.5300802139037,649.0006684491979,9.0,True,False,True
00f8bca027d25075cb6e6dbfb08bd32e50387487,jul,2020,cool,hold,Chambersburg,703.1412429378531,695.0381355932203,695.0381355932203,19.0,True,False,True
01049c9b3d9d21c3470c598bb899d65f517c94ed,jul,2020,cool,auto,Butler,700.0833333333334,689.4375,623.4375,5.0,True,False,True
01049c9b3d9d21c3470c598bb899d65f517c94ed,jul,2020,cool,hold,Butler,699.58,680.84,680.88,5.0,True,False,True
011de1ca8e0ee82d48ca2ac4cb1c182657d50248,jul,2020,cool,auto,Upper Nazareth,762.7498588368154,770.2891022021457,762.3743647656692,0.0,False,False,False
011de1ca8e0ee82d48ca2ac4cb1c182657d50248,jul,2020,cool,hold,Upper Nazareth,746.4653179190751,752.7767341040462,752.7767341040462,0.0,False,False,False
0150718cbeabe7e2ae316035cca615e469459810,jul,2020,cool,auto,Industry,689.1341874578557,689.6534052596089,686.9534726904923,25.0,False,False,False
0150718cbeabe7e2ae316035cca615e469459810,jul,2020,cool,hold,Industry,691.8388704318937,694.4130675526025,694.4130675526025,25.0,False,False,False
01d94262cc45c678f8c3b8fb8c9f0cdd258b9e01,jul,2020,cool,auto,Hampden,776.25,740.0,740.0,50.0,False,False,False
01d94262cc45c678f8c3b8fb8c9f0cdd258b9e01,jul,2020,cool,hold,Hampden,757.8565573770492,744.5122950819672,744.1926229508197,50.0,False,False,False
02095794c12baf36af3cac594e94126674a1ccca,jul,2020,cool,auto,Ohioville,712.3010262257696,709.091220068415,709.091220068415,0.0,False,False,True
02095794c12baf36af3cac594e94126674a1ccca,jul,2020,cool,hold,Ohioville,713.7072796934866,709.6819923371647,709.6819923371647,0.0,False,False,True
0227e21257ef18a54c5e3b7653d35af591ce7c18,jul,2020,cool,auto,Glen Mills,713.625,711.1666666666666,708.7916666666666,9.0,True,False,False
0227e21257ef18a54c5e3b7653d35af591ce7c18,jul,2020,cool,hold,Glen Mills,745.8,720.0,720.0,9.0,True,False,False
0236a2992f6bb3a6c3369d8485cb0f6063a7efd8,jul,2020,cool,hold,Northampton,743.0491803278688,758.6065573770492,678.9344262295082,40.0,True,False,True
02393d54ff378618d620ff60f658ab1f8f3f4b70,jul,2020,cool,auto,Cabot,764.6687242798354,786.9897119341564,774.2366255144033,10.0,False,False,False
02393d54ff378618d620ff60f658ab1f8f3f4b70,jul,2020,cool,hold,Cabot,753.6158192090395,761.4555084745763,760.7662429378531,10.0,False,False,False
025a1d00df108f951005ee0dfe2539d4732aaeaa,jul,2020,cool,auto,Exton,730.8,700.0,700.0,30.0,False,False,False
025a1d00df108f951005ee0dfe2539d4732aaeaa,jul,2020,cool,hold,Exton,684.8892617449665,676.8601789709172,676.84451901566,30.0,False,False,False
02dfd7c25e90463152c92a50a31ec1fc954f2577,jul,2020,cool,auto,Kennett,714.0,710.0,710.0,30.0,False,False,False
033e779be543e63d5adef0bbfd6ca1b743644e35,jul,2020,cool,auto,Adams Township,726.6849471579549,723.925164238789,723.925164238789,25.0,False,False,False
033e779be543e63d5adef0bbfd6ca1b743644e35,jul,2020,cool,hold,Adams Township,674.25,650.0,650.0,25.0,False,False,False
034a727814a9a82d7d201bc4329c1d8a133d9944,jul,2020,cool,auto,Oberlin,681.8277243589744,680.0,680.0,0.0,True,False,False
039f7fd1d8033b9b1deea932f879a69ad3527a68,jul,2020,cool,hold,Mars,769.9764201500536,781.3033226152197,778.5691318327974,0.0,True,False,False
03fbccf50b1720a78429854b52a70a767274cce2,jul,2020,cool,hold,Downingtown,752.8061224489796,750.4285714285714,696.8163265306123,39.0,False,False,True
0414d11e9d5cc4b5d591a9ab7e68a7743673cec0,jul,2020,auto,auto,Ambler,758.4565217391304,740.0,680.0,90.0,False,False,False
0414d11e9d5cc4b5d591a9ab7e68a7743673cec0,jul,2020,auto,hold,Ambler,746.530303030303,735.0378787878788,680.0,90.0,False,False,False
044505d9c320032000c374e91c92119db4522324,jul,2020,cool,auto,West Chester,822.5555555555555,850.0,790.0,30.0,False,False,False
0473a1d94ad570f79807eab2bccd89ccc494f490,jul,2020,cool,auto,Wexford,732.3233333333334,730.0,730.0,9.0,False,False,False
0473a1d94ad570f79807eab2bccd89ccc494f490,jul,2020,cool,hold,Wexford,760.4875,762.0,746.0,9.0,False,False,False
04b6d0a79d9a74c4d181b2c92cc3f44abddb77d1,jul,2020,cool,auto,Dover township,742.5658381808566,754.6134320465362,636.7043892120571,10.0,False,False,False
04c34a0525d98efc776a7b5aebbf184435b7b09c,jul,2020,cool,auto,Pittsburgh,714.8200270635995,692.9661705006766,689.4479025710419,0.0,True,False,False
04c34a0525d98efc776a7b5aebbf184435b7b09c,jul,2020,cool,hold,Pittsburgh,715.6795366795367,687.7490347490348,687.7490347490348,0.0,True,False,False
04d807acecaba448e0677d8a43226d09687844b3,jul,2020,cool,auto,Fredericksburg,691.0763636363637,690.0,690.0,0.0,False,False,True
