Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
01bf3b3095111308e495a2e3010d8476e1c64af5,Jan,2017,heat,hold,west Kingston,645.5,650.6666666666666,640.0,6.0,False,False,False
0acff50a5a8097d75e4524bdcd367521bda0cf1a,Jan,2017,heat,auto,Barrington,682.4347826086956,679.2826086956521,678.4782608695652,0.0,False,False,False
0acff50a5a8097d75e4524bdcd367521bda0cf1a,Jan,2017,heat,hold,Barrington,689.0771992818671,685.4937163375224,684.1274685816876,0.0,False,False,False
11dd99d2a0bcb3f35a2e0525c002274f96786c98,Jan,2017,heat,auto,Providence,646.7567567567568,657.4594594594595,648.527027027027,80.0,False,False,False
11dd99d2a0bcb3f35a2e0525c002274f96786c98,Jan,2017,heat,hold,Providence,676.2885906040268,682.4295302013422,681.4630872483222,80.0,False,False,False
1d9aa70ece903158f45385f3f978290a5abb0289,Jan,2017,heat,auto,Smithfield,707.2666666666667,710.0,710.0,30.0,False,False,False
1d9aa70ece903158f45385f3f978290a5abb0289,Jan,2017,heat,hold,Smithfield,697.827380952381,700.0,698.2142857142857,30.0,False,False,False
22dc70d7a4a4fbd3ef8242785999fe75043dc178,Jan,2017,heat,auto,Little Compton,638.552,666.9973333333334,646.4,5.0,False,False,False
22dc70d7a4a4fbd3ef8242785999fe75043dc178,Jan,2017,heat,hold,Little Compton,656.1105263157895,662.2184210526316,660.9052631578948,5.0,False,False,False
235e97c051016568a5d6bc72a8d10c0beb5044e2,Jan,2017,heat,hold,North Smithfield,698.125,700.0,700.0,15.0,False,False,False
2529dc0f781e42d38f2785d8eb6cb72fe38df847,Jan,2017,heat,hold,Warwick,669.4102564102565,671.2435897435897,670.4358974358975,15.0,False,False,False
2c11b5af2ad0c6b911929ee17d6435743ab38985,Jan,2017,heat,hold,Johnston,674.7685614849188,681.7546403712297,681.6206496519721,0.0,False,False,False
3270d6c6f56434923d63bbd951d1674120e5a83b,Jan,2017,heat,auto,Narragansett,676.5672514619883,742.1598440545808,677.1890838206627,25.0,False,False,False
3270d6c6f56434923d63bbd951d1674120e5a83b,Jan,2017,heat,hold,Narragansett,664.3626373626373,679.7032967032967,675.7692307692307,25.0,False,False,False
3fddfe1485efe616d3705f27ef40b09945009a4a,Jan,2017,heat,auto,Pawtucket,665.8888888888889,677.3333333333334,670.0,80.0,False,False,False
3fddfe1485efe616d3705f27ef40b09945009a4a,Jan,2017,heat,hold,Pawtucket,681.1960784313726,680.0,680.0,80.0,False,False,False
40b3a551f8447ac2521491d9bf48e20e16d46ac9,Jan,2017,heat,auto,Middletown,640.7431906614786,650.0,640.182879377432,95.0,False,False,False
40b3a551f8447ac2521491d9bf48e20e16d46ac9,Jan,2017,heat,hold,Middletown,646.5253623188406,653.2717391304348,645.6494565217391,95.0,False,False,False
40b5fa039f4140ce0b93a664a9ec300d9c0f6b33,Jan,2017,heat,auto,Riverside,694.5701754385965,700.6578947368421,698.9122807017544,20.0,False,False,False
40b5fa039f4140ce0b93a664a9ec300d9c0f6b33,Jan,2017,heat,hold,Riverside,658.4436090225564,655.7142857142857,646.8872180451128,20.0,False,False,False
425015365618becbc56dffda20637b85d4d0f122,Jan,2017,heat,auto,East Providence,620.1699819168174,819.9529837251356,620.0343580470163,100.0,False,False,False
43d7ace9e528ead0bc91b430d9929b2489a518dc,Jan,2017,heat,auto,Barrington,663.6666666666666,676.6666666666666,650.0,25.0,False,False,False
445d2ecd2f4b280d9274841ae62a9058421e970d,Jan,2017,heat,auto,Barrington,672.7777777777778,668.3333333333334,658.3333333333334,25.0,False,False,False
445d2ecd2f4b280d9274841ae62a9058421e970d,Jan,2017,heat,hold,Barrington,670.820788530466,696.9283154121864,694.7670250896057,25.0,False,False,False
46df39f6235465faf9a7dd81f7e14f9fe3de6954,Jan,2017,heat,hold,Narragansett,688.4625,690.3,689.9666666666667,25.0,False,False,False
46ff6890fc030ff1235216ea5f81bc678a60ac0e,Jan,2017,heat,auto,west Kingston,660.5938864628821,728.2838427947598,664.353711790393,6.0,False,False,False
46ff6890fc030ff1235216ea5f81bc678a60ac0e,Jan,2017,heat,hold,west Kingston,659.9821428571429,665.0714285714286,664.7142857142857,6.0,False,False,False
4703c00ac0cf74292db9e590047557545c9df208,Jan,2017,heat,auto,Providence,634.68,652.48,639.81,120.0,False,False,False
4703c00ac0cf74292db9e590047557545c9df208,Jan,2017,heat,hold,Providence,635.1809954751131,655.2488687782806,633.6877828054298,120.0,False,False,False
4a3e6163b5f4598f85a5a45c719f64b26d318ae5,Jan,2017,heat,auto,Middletown,639.1474103585657,650.0,634.215139442231,0.0,True,False,False
4a3e6163b5f4598f85a5a45c719f64b26d318ae5,Jan,2017,heat,hold,Middletown,649.3196480938417,650.5718475073314,650.3049853372434,0.0,True,False,False
4b6d7048a18b97d34997e9f6be2e5b6937f83a8b,Jan,2017,heat,auto,Barrington,681.3333333333334,693.5555555555555,689.2222222222222,50.0,False,False,False
4b6d7048a18b97d34997e9f6be2e5b6937f83a8b,Jan,2017,heat,hold,Barrington,693.6267942583733,694.9282296650717,694.1387559808612,50.0,False,False,False
4ceb3945d9ac4d554b9db7c4f4748efbe955a2b6,Jan,2017,heat,hold,North Providence,681.0,750.0,680.0,45.0,True,False,False
4ecf0a7337d715cf288321ce7e5dced69c6c7293,Jan,2017,heat,hold,North Smithfield,703.3578947368421,701.4526315789474,701.2631578947369,15.0,False,False,False
535a9c94b64b2fa126c2624a815388df3c3f8961,Jan,2017,heat,hold,Providence,648.25,740.0,740.0,100.0,False,False,False
54e13c5ed73f72d425cac3ece9d3cd32e38a533c,Jan,2017,heat,hold,Warwick,682.3333333333334,720.0,720.0,115.0,False,False,False
62d4a98020527f76d347bb9c5aaf52383b346dbb,Jan,2017,auto,hold,North Kingstown,678.4362416107383,780.0536912751678,680.496644295302,50.0,False,False,False
630cf50d8463f901f42094a4dce158644e75b639,Jan,2017,heat,hold,Saunderstown,686.6571428571428,685.0571428571428,684.5428571428571,0.0,False,False,False
69ef2ce8fd7d2353ef8bf43dd8fd27a66d1413fc,Jan,2017,heat,hold,Tiverton,668.3373015873016,650.7103174603175,648.4880952380952,0.0,False,False,False
6c54ea11144b0c748c23aead8486e3ed25bcb712,Jan,2017,heat,auto,Little Compton,645.9378238341969,666.3160621761658,650.2487046632124,5.0,False,False,False
6c54ea11144b0c748c23aead8486e3ed25bcb712,Jan,2017,heat,hold,Little Compton,645.5560428849902,651.3157894736842,624.4522417153996,5.0,False,False,False
7357379d344c770382ed31acdade35404877f5bc,Jan,2017,heat,hold,Saunderstown,699.6032388663967,699.7165991902834,699.3765182186235,0.0,False,False,False
74e50c30c44c997b3cd1bbdd91b3941c363528fc,Jan,2017,heat,auto,Barrington,646.6914285714286,819.9828571428571,640.0114285714286,25.0,False,False,False
75979a4b3bf9e7461793a0cbd4a8bc68aafa44f1,Jan,2017,heat,auto,East Greenwich,662.3693693693693,662.027027027027,660.4954954954954,15.0,False,False,False
75979a4b3bf9e7461793a0cbd4a8bc68aafa44f1,Jan,2017,heat,hold,East Greenwich,686.1,690.0,690.0,15.0,False,False,False
766afcda596e22a209e8105d178df9af0b0bb432,Jan,2017,heat,auto,Lincoln,642.2150259067357,750.0,647.3082901554404,26.0,False,False,False
766afcda596e22a209e8105d178df9af0b0bb432,Jan,2017,heat,hold,Lincoln,656.0714285714286,750.0,662.3214285714286,26.0,False,False,False
