Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0000ac445144d0c6debe6d9952ead47342bdd9f7,dec,2020,auto,auto,York,705.8988764044943,757.1348314606741,707.1348314606741,15.0,False,False,False
0000ac445144d0c6debe6d9952ead47342bdd9f7,dec,2020,auto,hold,York,692.0555555555555,751.7685185185185,647.6018518518518,15.0,False,False,False
0011fb83dfa5644ad133058b0540e2af72598827,dec,2020,auto,auto,Hanahan,694.2745098039215,760.0,690.0,10.0,True,False,True
0011fb83dfa5644ad133058b0540e2af72598827,dec,2020,auto,hold,Hanahan,678.4705882352941,722.5,672.5,10.0,True,False,True
0011fb83dfa5644ad133058b0540e2af72598827,dec,2020,heat,auto,Hanahan,682.5972413793104,680.1475862068966,680.1475862068966,10.0,True,False,True
0011fb83dfa5644ad133058b0540e2af72598827,dec,2020,heat,hold,Hanahan,685.9129476584022,680.2710743801653,656.6677685950414,10.0,True,False,True
00f84a3c7f1096a53cbe252d757eadf37f79631a,dec,2020,auto,auto,Mount Pleasant,664.3969035890218,740.0,640.0,0.0,False,False,True
00f84a3c7f1096a53cbe252d757eadf37f79631a,dec,2020,auto,hold,Mount Pleasant,660.2916666666666,740.0,640.0,0.0,False,False,True
01390b2cbf4276736239ee6b693e67f6cb20e7c8,dec,2020,auto,auto,Travelers Rest,677.2447318007663,730.0311302681993,680.0311302681993,10.0,True,False,True
01390b2cbf4276736239ee6b693e67f6cb20e7c8,dec,2020,auto,hold,Travelers Rest,650.5769230769231,705.0,655.0,10.0,True,False,True
026a08681f9f6f523391140ffee2334f9b4845c0,dec,2020,auto,hold,North Charleston,647.7692307692307,730.1538461538462,650.1538461538462,60.0,False,False,True
034f7acc5406d2acf9aefbf56054f175989922e5,dec,2020,auto,auto,Seneca,691.9968253968254,744.8952380952381,694.3619047619047,5.0,False,False,True
034f7acc5406d2acf9aefbf56054f175989922e5,dec,2020,auto,hold,Seneca,699.2264150943396,707.8867924528302,648.3962264150944,5.0,False,False,True
03bef4aae91c5ff7d053e64e8b9ecbb87b716259,dec,2020,auto,hold,Mount Pleasant,715.4583333333334,774.5416666666666,724.5416666666666,5.0,False,False,False
04529f3d42aa6fbd98694e3e8e919676de36ae71,dec,2020,heat,hold,Greenville,689.4647849462366,691.0,691.0,15.0,False,False,False
04e03135f1ece7f646e2553fa92b2979ab79c7d3,dec,2020,auto,auto,Fort Mill,690.2307692307693,754.6538461538462,724.6538461538462,0.0,False,False,True
04e03135f1ece7f646e2553fa92b2979ab79c7d3,dec,2020,auto,hold,Fort Mill,672.1966527196653,704.907949790795,668.3430962343097,0.0,False,False,True
0506dff7bd4ef764e0f02f5edb2f12f1991fb37f,dec,2020,heat,auto,Bluffton,745.2331288343559,736.0122699386503,732.239263803681,10.0,True,False,False
0506dff7bd4ef764e0f02f5edb2f12f1991fb37f,dec,2020,heat,hold,Bluffton,738.2669902912621,727.4805825242719,721.6699029126214,10.0,True,False,False
054f674c2ac6b579d50763e752cd86b8fcc76188,dec,2020,auto,auto,Greer,678.4333333333333,740.0,680.0,17.0,False,False,False
054f674c2ac6b579d50763e752cd86b8fcc76188,dec,2020,auto,hold,Greer,657.0454545454545,780.2954545454545,659.5454545454545,17.0,False,False,False
