Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0000ac445144d0c6debe6d9952ead47342bdd9f7,jul,2021,auto,hold,York,790.569182389937,793.5094339622641,689.8694968553459,15.0,False,False,False
0011fb83dfa5644ad133058b0540e2af72598827,jul,2021,cool,hold,Hanahan,734.2392344497607,735.9704944178628,735.9704944178628,10.0,True,False,True
00f84a3c7f1096a53cbe252d757eadf37f79631a,jul,2021,auto,hold,Mount Pleasant,713.6812110418522,721.0658949243099,620.1371326803205,0.0,False,False,True
03bef4aae91c5ff7d053e64e8b9ecbb87b716259,jul,2021,cool,hold,Mount Pleasant,724.8842482100239,723.5178997613365,723.5178997613365,5.0,False,False,False
0406fd52d1c1ddfb4eba77d6810eec34a2fa2a99,jul,2021,cool,hold,Pawleys Island,733.7384799521245,735.5026929982047,735.3800119688809,25.0,False,False,True
04529f3d42aa6fbd98694e3e8e919676de36ae71,jul,2021,cool,hold,Greenville,769.8389175257732,769.9845360824743,690.9845360824743,15.0,False,False,False
05b8f51ea477a5942e3c974f5083aa5f7499b8ec,jul,2021,cool,hold,Clover,736.1067961165048,730.2742718446602,729.7281553398059,15.0,False,False,False
05cc0b66531e7e3766970dda03f2d887af548f44,jul,2021,auto,hold,Summerville,726.6440677966102,720.0,690.0,6.0,False,False,False
0696db3386f335367a71b132ac7f5f9f235d1f33,jul,2021,auto,hold,Boiling Springs,752.0215827338129,750.1438848920864,722.2302158273382,15.0,False,False,False
06d4cf9079d88bba13ed19286d0516bb90130859,jul,2021,cool,hold,Fort Mill,730.7977129337539,738.0977917981072,738.0977917981072,0.0,False,False,False
06d8e8f72cb6ada7797dabe568a514f1b9cca432,jul,2021,cool,hold,Rock Hill,698.4297380061246,700.0,700.0,45.0,False,False,False
070e7e87f87fe7225ec814fd464e0c346a752933,jul,2021,auto,hold,Fort Mill,719.4184615384615,715.0,655.0,10.0,False,False,False
0797a668f267f4425ded95605bbe31a5fb020cfe,jul,2021,auto,hold,Anderson,730.2314814814815,728.3333333333334,678.3333333333334,40.0,False,False,True
07fd5e9cc6a5ac0421c036f3f6ba512bd6bc4d29,jul,2021,auto,hold,Indian Land,716.75,710.0,660.0,15.0,False,False,False
093cefd3b21643c061c0e466580c25cefe0457b1,jul,2021,auto,hold,Hilton Head Island,711.1620781527531,711.0146536412078,651.047513321492,0.0,False,False,True
0a0d5374c736b747ba2d38483251bf4a6b4a4f75,jul,2021,cool,hold,Murrells Inlet,755.479097909791,774.2233223322332,761.7161716171618,25.0,True,False,True
0ac9c975ddb2bf423014d03f5c870f8e7c4bcf8d,jul,2021,cool,hold,Fort Mill,756.4926421404682,754.6588628762541,754.6588628762541,0.0,True,False,True
0af16eb55f6caf775cd9b37afdaece6749dfa47b,jul,2021,cool,hold,Columbia,760.6332888295506,760.0,760.0,10.0,False,False,True
0b82974ba7d5ae123f232c94ebdba067e5dd689b,jul,2021,cool,hold,Mauldin,702.0800438596491,700.0,700.0,0.0,True,False,False
0b9598b609337f89ade94d21508c3598372a271c,jul,2021,cool,hold,Easley,736.9806412583182,736.5611010284332,736.5611010284332,9.0,False,False,False
0bd79afafb7bc0e4b5a007d3006f0a0b77486dd1,jul,2021,cool,hold,Bluffton,764.4115876598946,764.3702031602709,764.3630549285177,15.0,False,False,True
