Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
011eb806f7782fc048072fabfb035b54f5d71e67,dec,2018,auto,hold,Sioux Falls,656.7333333333333,740.6666666666666,657.6888888888889,100.0,False,False,False
045e533587d8a51c00e08e459243ce7ec3cbaaf9,dec,2018,heat,auto,Rapid City,694.3405017921147,756.2903225806451,695.1075268817204,70.0,True,False,False
05b6a87c2c20aa57b357426c9107705c0bd7ec20,dec,2018,heat,auto,Sioux Falls,702.68,700.0,700.0,15.0,True,False,False
05b6a87c2c20aa57b357426c9107705c0bd7ec20,dec,2018,heat,hold,Sioux Falls,694.0236220472441,701.6220472440945,699.8110236220473,15.0,True,False,False
0968b16b919c5e8b72ff8de3bda124068f7f322d,dec,2018,auto,auto,Sioux Falls,695.248291571754,750.0318906605922,700.0318906605922,0.0,False,False,False
0968b16b919c5e8b72ff8de3bda124068f7f322d,dec,2018,auto,hold,Sioux Falls,659.2295454545455,757.6409090909091,664.3,0.0,False,False,False
13794e9c34d4c507a43e319612e223759e0d327f,dec,2018,heat,auto,Brookings,686.952380952381,690.0,690.0,5.0,False,False,False
13794e9c34d4c507a43e319612e223759e0d327f,dec,2018,heat,hold,Brookings,686.1675977653631,696.4972067039106,689.0391061452514,5.0,False,False,False
15a7bb14eda221a156a3e03592139ccd285d7bf2,dec,2018,auto,hold,Sioux Falls,681.4444444444445,750.0,680.0,5.0,False,False,False
18cd13efb32ea1f3caa01bc30656d0afbe3d1413,dec,2018,heat,hold,Sioux Falls,706.198880757641,708.5863108049936,708.5863108049936,16.0,False,False,False
1e2c9cf3efb7cfef2a5beabdc964a31e7fd51fc1,dec,2018,heat,auto,Sioux Falls,684.02,680.9,680.6,0.0,True,False,False
1e2c9cf3efb7cfef2a5beabdc964a31e7fd51fc1,dec,2018,heat,hold,Sioux Falls,672.7741935483871,669.3548387096774,669.3548387096774,0.0,True,False,False
